"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-09-07","81.5","-1.0484","5.6334","Jeremy Jeffress",460026,502026,"strikeout","called_strike",,,,,"8","Nick Hundley called out on strikes.  ","R","R","R","MIL","SF","S",2,"null",0,2,2018,"0.5090","-0.8054","0.1926","1.5877","null","null","null",1,9,"Top","null","null",,,456124,,"180908_030016","1.8137","-118.5947","-0.9710","4.3841","22.7374","-39.7126","3.4808","1.5925","null","null","null","80.9690","2523","5.9330",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"54.5666","null","null","0.00",1,0,0,"null",68,"3","Knuckle Curve",4,2,2,4,2,4,2,4,"Standard","Standard"
"KC","2018-09-07","81.3","-0.9993","5.6716","Jeremy Jeffress",460026,502026,"null","called_strike",,,,,"7","null","R","R","R","MIL","SF","S","null","null",0,1,2018,"0.7115","-0.9191","-0.6661","1.8446","null","null","null",1,9,"Top","null","null",,,456124,,"180908_025945","-0.5858","-118.3270","-0.2375","6.6720","22.9277","-40.8440","3.3645","1.5635","null","null","null","80.6130","2461","5.8430",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"54.6567","null","null","null","null","null","null","null",68,"2","Knuckle Curve",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"FF","2018-09-07","95.9","-0.9415","5.8883","Jeremy Jeffress",460026,502026,"null","called_strike",,,,,"1","null","R","R","R","MIL","SF","S","null","null",0,0,2018,"-0.6124","1.2270","-0.4453","3.1116","null","null","null",1,9,"Top","null","null",,,456124,,"180908_025927","2.7198","-139.7075","-4.5904","-8.6821","29.9849","-15.1585","3.3645","1.5344","null","null","null","96.6280","2195","6.5370",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"53.9627","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"KC","2018-09-07","82.0","-1.0409","5.6446","Jeremy Jeffress",474832,502026,"null","ball",,,,,"13","null","R","L","R","MIL","SF","B","null","null",2,2,2018,"0.6239","-0.6787","-0.3599","1.3806","null","null","null",0,9,"Top","null","null",,,456124,,"180908_025754","0.3555","-119.4008","-1.8281","5.8118","22.0177","-38.4619","3.3701","1.6535","null","null","null","81.5080","2566","5.8250",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"54.6746","null","null","null","null","null","null","null",67,"5","Knuckle Curve",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"KC","2018-09-07","81.8","-1.0440","5.7122","Jeremy Jeffress",474832,502026,"null","ball",,,,,"11","null","R","L","R","MIL","SF","B","null","null",1,1,2018,"0.6710","-0.6476","-1.3730","4.0605","null","null","null",0,9,"Top","null","null",,,456124,,"180908_025702","-1.9910","-118.9613","3.9964","6.6446","21.5437","-39.1902","3.4864","1.6535","null","null","null","81.2750","2483","5.8400",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"54.6593","null","null","null","null","null","null","null",67,"3","Knuckle Curve",4,2,2,4,2,4,2,4,"Strategic","Standard"
"KC","2018-09-07","80.1","-1.0760","5.6607","Jeremy Jeffress",474832,502026,"null","ball",,,,,"13","null","R","L","R","MIL","SF","B","null","null",0,0,2018,"0.8403","-0.6961","-1.0587","1.8249","null","null","null",0,9,"Top","null","null",,,456124,,"180908_025617","-1.5021","-116.5942","-0.4829","7.8036","21.8667","-38.5570","3.3992","1.6825","null","null","null","79.4440","2497","5.8100",531522,502026,456124,542583,541650,543768,606115,592885,456715,542979,"54.6890","null","null","null","null","null","null","null",67,"1","Knuckle Curve",4,2,2,4,2,4,2,4,"Strategic","Standard"
"FT","2018-09-07","90.7","3.6578","5.5490","Steven Okert",573135,595345,"null","ball",,,,,"12","null","R","R","L","MIL","SF","B","null","null",2,1,2018,"1.3294","0.6891","2.1792","3.0288","null","null","543768.00",2,8,"Bot","null","null",,,460026,,"180908_025248","-6.4892","-131.8438","-1.8143","16.7684","28.3336","-24.0431","3.4227","1.5635","null","null","null","90.3160","2351","6.1370",531522,595345,460026,474832,605412,446334,593700,622046,491676,596103,"54.3622","null","null","null","null","null","null","null",66,"4","2-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard"
"SL","2018-09-07","81.0","3.6159","5.5439","Steven Okert",573135,595345,"null","called_strike",,,,,"12","null","R","R","L","MIL","SF","S","null","null",2,0,2018,"-0.5614","0.4924","1.0097","2.9048","null","null","543768.00",2,8,"Bot","null","null",,,460026,,"180908_025228","-4.7124","-117.8515","-0.2042","-4.2450","21.3991","-27.9090","3.4517","1.5635","null","null","null","80.0290","2581","5.5260",531522,595345,460026,474832,605412,446334,593700,622046,491676,596103,"54.9730","null","null","null","null","null","null","null",66,"3","Slider",4,2,4,2,2,4,4,2,"Standard","Standard"
"CU","2018-09-07","75.7","3.3805","5.8803","Steven Okert",573135,595345,"null","ball",,,,,"14","null","R","R","L","MIL","SF","B","null","null",1,0,2018,"-1.0533","-0.5385","0.6747","1.0289","null","null","543768.00",2,8,"Bot","null","null",,,460026,,"180908_025208","-3.7661","-110.0207","-2.0640","-7.6225","19.3617","-36.3074","3.4808","1.5344","null","null","null","74.4510","2514","5.4120",531522,595345,460026,474832,605412,446334,593700,622046,491676,596103,"55.0870","null","null","null","null","null","null","null",66,"2","Curveball",4,2,4,2,2,4,4,2,"Standard","Standard"
"CU","2018-09-07","75.8","3.3641","5.9460","Steven Okert",573135,595345,"null","ball",,,,,"14","null","R","R","L","MIL","SF","B","null","null",0,0,2018,"-1.1937","-0.5896","1.4032","2.0662","null","null","543768.00",2,8,"Bot","null","null",,,460026,,"180908_025152","-2.0072","-110.2740","-0.0337","-9.1007","19.0129","-37.0893","3.4227","1.5635","null","null","null","74.6820","2609","5.4070",531522,595345,460026,474832,605412,446334,593700,622046,491676,596103,"55.0923","null","null","null","null","null","null","null",66,"1","Curveball",4,2,4,2,2,4,4,2,"Standard","Standard"
