"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-07-01","81.9","2.1076","6.2447","Will Smith",571875,519293,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",0,2,2018,"-0.8652","0.3666","-1.8049","2.3016","444482.00","571974.00","null",2,9,"Bot","null","null",,,460026,,"180701_235502","-7.1167","-119.0133","-2.9519","-6.5748","24.1651","-28.4359","3.4301","1.6527","null","null","null","80.8200","2317","5.7620",530666,519293,460026,474832,605412,593700,543063,596103,491676,457705,"54.7404","null","null","null","null","null","null","null",93,"3","Slider",6,9,6,9,9,6,6,9,"Standard","Standard"
"SL","2018-07-01","79.8","2.2370","6.3400","Will Smith",571875,519293,"null","called_strike",,,,,"2","null","R","L","L","ARI","SF","S","null","null",0,0,2018,"-0.7683","-0.0966","-0.0461","3.0851","444482.00","null","571974.00",2,9,"Bot","null","null",,,460026,,"180701_235415","-3.5606","-115.9219","-0.1688","-5.9300","23.8886","-33.2650","3.3630","1.5855","null","null","null","78.1460","2354","5.4520",530666,519293,460026,474832,605412,593700,543063,596103,491676,457705,"55.0501","null","null","null","null","null","null","null",93,"1","Slider",6,9,6,9,9,6,6,9,"Standard","Standard"
"FC","2018-07-01","90.6","-1.5456","6.1836","Mark Melancon",571974,453343,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,1,2018,"0.1715","0.5581","0.6934","1.1545","null","572233.00","444482.00",2,9,"Bot","null","null",,,460026,,"180701_234935","5.2195","-131.7123","-7.8470","0.9992","25.3378","-24.3425","3.2459","1.3675","null","null","null","90.8220","2291","6.2680",530666,453343,460026,474832,605412,593700,543063,596103,491676,457705,"54.2336","null","null","null","null","null","null","null",92,"3","Cutter",5,9,5,9,9,5,5,9,"Standard","Standard"
"KC","2018-07-01","82.9","-1.3157","6.2927","Mark Melancon",571974,453343,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"0.1976","-0.8414","0.8603","1.4056","null","572233.00","444482.00",2,9,"Bot","null","null",,,460026,,"180701_234831","4.5400","-120.4545","-2.9792","0.9166","25.3162","-39.7821","3.3601","1.3103","null","null","null","81.6770","2796","5.7330",530666,453343,460026,474832,605412,593700,543063,596103,491676,457705,"54.7689","null","null","null","null","null","null","null",92,"1","Knuckle Curve",5,9,5,9,9,5,5,9,"Standard","Standard"
"KC","2018-07-01","84.3","-1.4911","6.4436","Mark Melancon",572233,453343,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"0.5396","-0.9179","1.6578","1.0402","null","null","null",2,9,"Bot","null","null",,,460026,,"180701_234531","6.1937","-122.4436","-4.2835","3.9745","25.9760","-40.5236","3.5781","1.5252","null","null","null","83.0960","2783","5.7630",530666,453343,460026,474832,605412,593700,543063,596103,491676,457705,"54.7386","null","null","null","null","null","null","null",90,"1","Knuckle Curve",5,9,5,9,9,5,5,9,"Standard","Standard"
"KC","2018-07-01","84.1","-1.5350","6.2763","Mark Melancon",502671,453343,"null","called_strike",,,,,"14","null","R","R","R","ARI","SF","S","null","null",1,0,2018,"0.3772","-0.9041","0.8606","1.8707","null","null","null",1,9,"Bot","null","null",,,460026,,"180701_234431","4.7757","-122.2275","-1.9879","2.6881","25.8749","-40.8765","3.4847","1.6713","null","null","null","83.1390","2718","5.8900",530666,453343,460026,474832,605412,593700,543063,596103,491676,457705,"54.6120","null","null","null","null","null","null","null",89,"2","Knuckle Curve",5,9,5,9,9,5,5,9,"Strategic","Standard"
"FF","2018-07-01","92.4","-1.7203","6.3033","Mark Melancon",502671,453343,"null","ball",,,,,"13","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"-0.3813","0.9147","-0.1413","1.5106","null","null","null",1,9,"Bot","null","null",,,460026,,"180701_234412","4.8422","-134.2163","-8.3227","-5.6761","30.2612","-19.5270","3.5623","1.6448","null","null","null","92.0900","2410","6.2990",530666,453343,460026,474832,605412,593700,543063,596103,491676,457705,"54.2030","null","null","null","null","null","null","null",89,"1","4-Seam Fastball",5,9,5,9,9,5,5,9,"Strategic","Standard"
"FF","2018-07-01","88.5","-0.5021","5.8170","Fernando Salas",460026,477569,"null","ball",,,,,"9","null","R","R","R","ARI","SF","B","null","null",0,1,2018,"0.0150","1.7489","0.4665","1.6706","474832.00","543063.00","null",2,9,"Top","null","null",,,571974,,"180701_233928","2.3139","-128.5932","-7.5305","-0.3474","28.4072","-11.7134","3.4227","1.5782","null","null","null","87.6170","2323","5.9640",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.5376","null","null","null","null","null","null","null",87,"2","4-Seam Fastball",5,9,9,5,9,5,9,5,"Standard","Standard"
"FF","2018-07-01","91.3","-0.8185","5.8783","Fernando Salas",543063,477569,"null","ball",,,,,"11","null","R","L","R","ARI","SF","B","null","null",0,0,2018,"-0.3580","1.4808","-1.5909","2.4146","457706.00","null","474832.00",2,9,"Top","null","null",,,571974,,"180701_233740","-1.1759","-132.7842","-5.9036","-3.8937","30.4496","-13.8466","3.3781","1.4459","null","null","null","90.5430","2100","6.0210",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.4809","null","null","null","null","null","null","null",86,"1","4-Seam Fastball",5,8,8,5,8,5,8,5,"Infield shift","Standard"
"KC","2018-07-01","81.8","-0.8501","5.8828","Fernando Salas",491676,477569,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,2,2018,"0.2044","-0.2838","0.4858","0.9210","null","457706.00","null",0,9,"Top","null","null",,,571974,,"180701_233423","2.6003","-118.9923","-4.0118","1.3703","24.0694","-34.2519","3.2258","1.5691","null","null","null","80.8490","2294","5.7830",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.7187","null","null","null","null","null","null","null",83,"5","Knuckle Curve",5,8,8,5,8,5,8,5,"Standard","Standard"
"FF","2018-07-01","89.1","-0.7102","5.8521","Fernando Salas",491676,477569,"null","called_strike",,,,,"4","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"-0.3076","1.4156","-0.5055","2.7684","null","457706.00","null",0,9,"Top","null","null",,,571974,,"180701_233127","1.1362","-129.6646","-4.4351","-3.6686","28.5765","-15.7084","3.3770","1.4548","null","null","null","88.5150","2068","6.0450",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.4574","null","null","null","null","null","null","null",83,"1","4-Seam Fastball",5,8,8,5,8,5,8,5,"Standard","Standard"
"FF","2018-07-01","91.0","-0.6451","5.8434","Fernando Salas",457706,477569,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,2,2018,"-0.3616","1.3503","1.2594","2.3338","null","null","null",0,9,"Top","null","null",,,571974,,"180701_233020","5.4997","-132.3118","-5.7075","-5.3517","27.9650","-15.5557","3.3967","1.4781","null","null","null","90.3960","2090","5.9470",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.5551","null","null","null","null","null","null","null",82,"4","4-Seam Fastball",5,8,8,5,8,5,8,5,"Standard","Standard"
"KC","2018-07-01","82.4","-0.8366","5.9175","Fernando Salas",457706,477569,"null","ball",,,,,"12","null","R","R","R","ARI","SF","B","null","null",0,1,2018,"0.2561","-0.1227","1.7331","2.6605","null","null","null",0,9,"Top","null","null",,,571974,,"180701_232940","5.2752","-119.6919","-0.5965","1.3316","24.0634","-33.4633","3.5109","1.5924","null","null","null","81.1200","2303","5.6130",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"54.8886","null","null","null","null","null","null","null",82,"2","Knuckle Curve",5,8,8,5,8,5,8,5,"Standard","Standard"
"KC","2018-07-01","79.3","-0.9165","5.9163","Fernando Salas",457706,477569,"null","called_strike",,,,,"12","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"0.2381","-0.2252","0.9144","2.8406","null","null","null",0,9,"Top","null","null",,,571974,,"180701_232924","3.5132","-115.2489","0.4711","1.3896","21.8716","-34.4725","3.4538","1.5352","null","null","null","77.9980","2187","5.4880",530666,477569,571974,502671,572008,571875,605113,572233,502481,444482,"55.0139","null","null","null","null","null","null","null",82,"1","Knuckle Curve",5,8,8,5,8,5,8,5,"Standard","Standard"
"SI","2018-07-01","92.8","3.6306","5.0389","Tony Watson",502481,453265,"null","called_strike",,,,,"8","null","R","L","L","ARI","SF","S","null","null",0,0,2018,"1.7211","0.6180","0.2272","1.8386","null","null","null",2,8,"Bot","null","null",,,460026,,"180701_232524","-12.0640","-134.3833","-3.5551","22.8145","30.1455","-24.4299","3.1852","1.3940","null","null","null","90.7150","2499","5.3750",530666,453265,460026,474832,605412,593700,543063,596103,491676,457705,"55.1266","null","null","null","null","null","null","null",81,"1","Sinker",5,8,5,8,8,5,5,8,"Standard","Standard"
"CH","2018-07-01","84.3","3.7108","5.0615","Tony Watson",572008,453265,"null","ball",,,,,"14","null","R","R","L","ARI","SF","B","null","null",0,0,2018,"1.8510","0.8001","1.0923","1.2969","null","null","null",0,8,"Bot","null","null",,,460026,,"180701_232341","-9.4249","-122.0784","-3.6983","19.8183","27.0175","-23.9880","3.1891","1.4818","null","null","null","82.1140","2583","5.3770",530666,453265,460026,474832,605412,593700,543063,596103,491676,457705,"55.1250","null","null","null","null","null","null","null",79,"1","Changeup",5,8,5,8,8,5,5,8,"Standard","Standard"
"FF","2018-07-01","93.7","2.8278","5.4931","Jorge De La Rosa",605412,407822,"null","called_strike",,,,,"13","null","R","L","L","ARI","SF","S","null","null",1,1,2018,"1.2142","0.8808","-0.9401","1.7089","null","460026.00","596103.00",2,8,"Top","null","null",,,571974,,"180701_231938","-12.1254","-135.7483","-5.7933","17.2633","29.3393","-20.5505","3.2495","1.4516","null","null","null","92.1960","2001","5.6090",530666,407822,571974,502671,572008,571875,605113,572233,502481,444482,"54.8927","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",5,8,8,5,8,5,8,5,"Standard","Standard"
"FS","2018-07-01","84.7","2.6183","5.9444","Jorge De La Rosa",605412,407822,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",0,0,2018,"0.8582","0.4658","-1.0707","1.1973","null","460026.00","596103.00",2,8,"Top","null","null",,,571974,,"180701_231846","-10.1049","-122.8449","-5.5639","10.3549","22.4458","-26.7736","3.2125","1.4717","null","null","null","83.6180","1394","5.5880",530666,407822,571974,502671,572008,571875,605113,572233,502481,444482,"54.9137","null","null","null","null","null","null","null",78,"1","Split Finger",5,8,8,5,8,5,8,5,"Standard","Standard"
"FF","2018-07-01","93.4","2.5707","5.9439","Jorge De La Rosa",593700,407822,"null","ball",,,,,"9","null","R","R","L","ARI","SF","B","null","null",0,0,2018,"1.2822","1.0262","0.2990","1.6315","null","460026.00","null",1,8,"Top","null","null",,,571974,,"180701_231621","-8.3492","-135.4288","-7.3341","16.9638","28.2433","-18.7211","3.2713","1.6347","null","null","null","91.4660","2103","5.2230",530666,407822,571974,502671,572008,571875,605113,572233,502481,444482,"55.2793","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",5,8,8,5,8,5,8,5,"Standard","Standard"
"FS","2018-07-01","83.1","2.5125","5.9095","Jorge De La Rosa",460026,407822,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",1,0,2018,"1.0929","0.0652","-0.7869","0.8516","null","null","null",1,8,"Top","null","null",,,571974,,"180701_231513","-9.3422","-120.3894","-5.0808","11.9621","22.7550","-30.8772","3.4269","1.5252","null","null","null","81.0660","1501","5.0960",530666,407822,571974,502671,572008,571875,605113,572233,502481,444482,"55.4058","null","null","null","null","null","null","null",75,"2","Split Finger",5,8,8,5,8,5,8,5,"Standard","Standard"
