"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-02","95.2","-2.1347","6.1966","Wade Davis",543063,451584,"null","called_strike",,,,,"1","null","R","L","R","COL","SF","S","null","null",3,1,2018,"-0.1992","1.1190","-0.7970","2.9233","null","457763.00","null",2,9,"Top","null","null",,,455104,,"180703_032703","3.9525","-138.7807","-5.5639","-3.2999","24.6183","-16.7679","3.3517","1.5240","null","null","null","95.9930","2422","6.1910",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.3113","null","null","null","null","null","null","null",72,"5","4-Seam Fastball",5,2,2,5,2,5,2,5,"Strategic","Standard"
"FF","2018-07-02","95.4","-2.2102","6.1702","Wade Davis",543063,451584,"null","ball",,,,,"7","null","R","L","R","COL","SF","B","null","null",2,1,2018,"-0.2951","1.2207","-0.4148","1.4824","null","457763.00","null",2,9,"Top","null","null",,,455104,,"180703_032635","5.3898","-138.8725","-9.5957","-4.7615","22.2474","-14.6660","3.2866","1.5240","null","null","null","96.6370","2615","6.3530",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.1485","null","null","null","null","null","null","null",72,"4","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","95.4","-2.2665","6.1923","Wade Davis",543063,451584,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",1,1,2018,"-0.2907","1.1450","-1.3127","1.8981","null","457763.00","null",2,9,"Top","null","null",,,455104,,"180703_032605","3.1447","-138.9781","-8.3407","-4.3173","22.3823","-15.9860","3.3416","1.5790","null","null","null","96.2520","2605","6.1010",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.4011","null","null","null","null","null","null","null",72,"3","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FC","2018-07-02","92.2","-2.0986","6.1831","Wade Davis",543063,451584,"null","ball",,,,,"14","null","R","L","R","COL","SF","B","null","null",0,1,2018,"0.4956","0.4650","1.4427","0.9681","null","457763.00","null",2,9,"Top","null","null",,,455104,,"180703_032542","7.8973","-134.0594","-8.5159","4.7806","21.1856","-25.3410","3.2866","1.5790","null","null","null","92.7120","2838","6.0490",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.4531","null","null","null","null","null","null","null",72,"2","Cutter",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","94.5","-2.2541","6.1647","Wade Davis",543063,451584,"null","called_strike",,,,,"9","null","R","L","R","COL","SF","S","null","null",0,0,2018,"-0.1344","1.0520","0.5930","1.4887","null","457763.00","null",2,9,"Top","null","null",,,455104,,"180703_032520","7.6654","-137.4295","-8.8841","-2.9658","22.4143","-17.4672","3.4067","1.4690","null","null","null","94.9700","2439","6.0170",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.4848","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","95.6","-2.0560","6.2116","Wade Davis",596103,451584,"null","ball",,,,,"12","null","R","R","R","COL","SF","B","null","null",0,2,2018,"-0.2997","0.9419","1.1749","3.3481","null","457763.00","null",1,9,"Top","null","null",,,455104,,"180703_032411","9.1871","-139.1120","-4.1765","-5.4740","22.9154","-19.1982","3.6713","1.6833","null","null","null","96.6480","2554","6.3060",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.1956","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","93.9","-1.9228","6.2398","Wade Davis",596103,451584,"null","called_strike",,,,,"5","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.2222","1.0083","0.1172","2.2035","null","457763.00","null",1,9,"Top","null","null",,,455104,,"180703_032314","5.7478","-136.6689","-7.0354","-3.7837","23.1872","-18.4127","3.5613","1.5733","null","null","null","94.4930","2426","6.1180",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.3837","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FC","2018-07-02","89.8","-1.9453","6.1535","Wade Davis",457763,451584,"null","ball",,,,,"12","null","R","R","R","COL","SF","B","null","null",0,1,2018,"0.5268","0.2552","1.4101","4.7812","null","null","null",1,9,"Top","null","null",,,455104,,"180703_032159","7.1440","-130.7495","1.8836","4.8799","20.6225","-29.7485","3.5574","1.6494","null","null","null","89.7400","2693","5.6680",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.8337","null","null","null","null","null","null","null",70,"2","Cutter",5,2,2,5,2,5,2,5,"Standard","Standard"
"FC","2018-07-02","89.1","-1.9462","6.0906","Wade Davis",457763,451584,"null","called_strike",,,,,"9","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.4479","0.4052","0.5792","1.9481","null","null","null",1,9,"Top","null","null",,,455104,,"180703_032139","5.2521","-129.8910","-5.1408","4.3238","19.0865","-26.9761","3.6325","1.5394","null","null","null","89.6630","2637","5.8840",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.6176","null","null","null","null","null","null","null",70,"1","Cutter",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","92.0","-2.1700","6.1054","Wade Davis",457705,451584,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,0,2018,"-0.5250","0.9912","1.1648","1.9907","null","null","null",0,9,"Top","null","null",,,455104,,"180703_031942","9.5385","-133.7770","-6.8136","-7.9173","21.8470","-19.2259","3.5762","1.6481","null","null","null","92.5160","2261","6.1040",530675,451584,455104,435622,518934,571448,596115,571595,453568,471865,"54.3977","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",5,2,2,5,2,5,2,5,"Standard","Standard"
"FF","2018-07-02","95.4","-1.3831","5.4728","Sam Dyson",571448,473879,"null","called_strike",,,,,"4","null","R","R","R","COL","SF","S","null","null",0,1,2018,"-0.4332","0.8419","-0.6557","2.5154","null","606132.00","null",2,8,"Bot","null","null",,,457763,,"180703_031514","2.8127","-138.7786","-3.9744","-6.0451","28.0642","-20.9600","3.4624","1.6294","null","null","null","94.4250","2298","5.5230",530675,473879,457763,474832,605412,467055,543063,596103,491676,457705,"54.9784","null","null","null","null","null","null","null",68,"2","4-Seam Fastball",5,2,5,2,2,5,5,2,"Standard","Standard"
"FF","2018-07-02","94.9","-1.3455","5.3923","Sam Dyson",571448,473879,"null","called_strike",,,,,"9","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.4566","0.6833","0.7950","1.8508","null","606132.00","null",2,8,"Bot","null","null",,,457763,,"180703_031442","6.4515","-138.0277","-5.0678","-6.8849","25.4357","-22.9402","3.5174","1.5744","null","null","null","93.8060","2349","5.2930",530675,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.2085","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",5,2,5,2,2,5,5,2,"Standard","Standard"
"FF","2018-07-02","93.8","-1.3461","5.5137","Sam Dyson",518934,473879,"null","ball",,,,,"3","null","R","R","R","COL","SF","B","null","null",0,0,2018,"-0.1997","0.7866","0.6982","3.5586","571595.00","608596.00","null",0,8,"Bot","null","null",,,457763,,"180703_031221","5.6282","-136.5943","-1.1028","-3.4767","24.7639","-22.5148","3.4730","1.5697","null","null","null","93.1540","2344","5.4760",530675,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.0263","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",4,2,4,2,2,4,4,2,"Strategic","Standard"
"SI","2018-07-02","90.9","2.9972","6.3847","Ty Blach",608596,621389,"null","ball",,,,,"13","null","R","R","L","COL","SF","B","null","null",2,2,2018,"1.0024","0.5694","-0.9052","1.8077","471865.00","null","571595.00",0,8,"Bot","null","null",,,457763,,"180703_030823","-11.5281","-131.7660","-6.6459","13.2870","21.7735","-24.8248","3.4363","1.5940","null","null","null","89.5120","2179","5.1600",530675,621389,457763,474832,605412,467055,543063,596103,491676,457705,"55.3417","null","null","null","null","null","null","null",65,"7","Sinker",3,2,3,2,2,3,3,2,"Strategic","Standard"
"SI","2018-07-02","91.3","3.0455","6.2583","Ty Blach",608596,621389,"null","ball",,,,,"14","null","R","R","L","COL","SF","B","null","null",1,2,2018,"1.1249","0.6397","0.0023","0.9519","471865.00","null","571595.00",0,8,"Bot","null","null",,,457763,,"180703_030758","-9.7520","-132.3964","-8.6563","14.6333","23.5653","-23.5244","3.4363","1.5390","null","null","null","89.9330","2247","5.2770",530675,621389,457763,474832,605412,467055,543063,596103,491676,457705,"55.2245","null","null","null","null","null","null","null",65,"6","Sinker",3,2,3,2,2,3,3,2,"Strategic","Standard"
"SI","2018-07-02","90.6","3.2279","6.2131","Ty Blach",608596,621389,"null","ball",,,,,"14","null","R","R","L","COL","SF","B","null","null",0,1,2018,"1.1824","0.7654","1.6722","2.5264","471865.00","null","571595.00",0,8,"Bot","null","null",,,457763,,"180703_030618","-6.0756","-131.7531","-4.8166","14.2522","21.4226","-23.0307","3.4913","1.5940","null","null","null","88.9580","2248","4.7910",530675,621389,457763,474832,605412,467055,543063,596103,491676,457705,"55.7108","null","null","null","null","null","null","null",65,"2","Sinker",3,2,3,2,2,3,3,2,"Strategic","Standard"
"SI","2018-07-02","89.0","3.1669","6.3712","Ty Blach",571595,621389,"null","ball",,,,,"12","null","R","R","L","COL","SF","B","null","null",1,0,2018,"1.1967","0.6923","1.3277","2.9084","null","null","471865.00",0,8,"Bot","null","null",,,457763,,"180703_030439","-6.6829","-129.2644","-3.8135","14.0579","22.3384","-24.2918","3.5614","1.4084","null","null","null","87.1890","2102","4.8720",530675,621389,457763,474832,605412,467055,543063,596103,491676,457705,"55.6301","null","null","null","null","null","null","null",64,"2","Sinker",3,2,3,2,2,3,3,2,"Strategic","Standard"
"SI","2018-07-02","89.5","2.9675","6.4007","Ty Blach",571595,621389,"null","ball",,,,,"13","null","R","R","L","COL","SF","B","null","null",0,0,2018,"1.3009","0.8012","-1.5285","1.8307","null","null","471865.00",0,8,"Bot","null","null",,,457763,,"180703_030400","-13.2328","-129.3608","-6.6582","16.4056","23.3501","-22.5910","3.3964","1.4084","null","null","null","87.1470","2182","4.8820",530675,621389,457763,474832,605412,467055,543063,596103,491676,457705,"55.6200","null","null","null","null","null","null","null",64,"1","Sinker",3,2,3,2,2,3,3,2,"Standard","Standard"
