"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-07","94.0","-1.0531","6.2512","Wilmer Font",457705,521655,"null","ball",,,,,"13","null","R","R","R","SF","LAD","B","null","null",0,1,2018,"-0.7311","1.2752","-0.9725","1.2754","605509.00","null","605412.00",0,14,"Bot","null","null",,,518735,,"180408_031544","1.8534","-136.6622","-10.0897","-9.6639","28.9482","-14.0603","3.3832","1.6660","null","null","null","94.6250","2179","6.6140",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"53.8837","null","null","null","null","null","null","null",119,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"CU","2018-04-07","74.2","-1.3813","6.2470","Wilmer Font",457705,521655,"null","called_strike",,,,,"2","null","R","R","R","SF","LAD","S","null","null",0,0,2018,"1.0247","-1.0443","-0.1552","3.3537","605509.00","null","605412.00",0,14,"Bot","null","null",,,518735,,"180408_031520","0.7126","-107.9601","3.2186","7.8399","20.3168","-41.1352","3.3262","1.5519","null","null","null","74.0850","2431","6.3920",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"54.1059","null","null","null","null","null","null","null",119,"1","Curveball",4,5,4,5,5,4,4,5,"Strategic","Standard"
"FF","2018-04-07","93.9","-0.9660","6.3238","Wilmer Font",605412,521655,"null","ball",,,,,"1","null","R","L","R","SF","LAD","B","null","null",0,1,2018,"-0.5741","1.4988","-0.8197","3.3361","null","null","605509.00",0,14,"Bot","null","null",,,518735,,"180408_031347","1.6604","-136.7458","-5.3714","-7.5940","30.0680","-12.3273","3.2429","1.5233","null","null","null","94.2730","2228","6.4560",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"54.0409","null","null","null","null","null","null","null",118,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"CU","2018-04-07","72.9","-1.4740","6.3223","Wilmer Font",605412,521655,"null","called_strike",,,,,"11","null","R","L","R","SF","LAD","S","null","null",0,0,2018,"0.8037","-1.1873","-0.8646","2.4405","null","null","605509.00",0,14,"Bot","null","null",,,518735,,"180408_031323","-0.1422","-106.0432","1.6344","5.9988","19.4102","-41.5415","3.1849","1.4272","null","null","null","72.3810","2302","6.0700",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"54.4270","null","null","null","null","null","null","null",118,"1","Curveball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-04-07","94.4","-0.8525","6.4964","Wilmer Font",605509,521655,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",1,2,2018,"-0.3158","1.3037","-0.1483","4.5928","null","null","null",0,14,"Bot","null","null",,,518735,,"180408_031140","2.5396","-137.5488","-2.2172","-4.5509","28.3144","-15.2868","3.2247","1.5577","null","null","null","94.8980","2206","6.3430",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"54.1543","null","null","null","null","null","null","null",117,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Strategic"
"FF","2018-04-07","94.6","-1.2015","6.3737","Wilmer Font",605509,521655,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",0,1,2018,"-0.3286","1.4139","-0.0360","4.2801","null","null","null",0,14,"Bot","null","null",,,518735,,"180408_031052","3.8070","-137.8352","-3.0389","-5.0309","28.1496","-13.4380","3.1867","1.5387","null","null","null","95.6110","2220","6.6190",529524,521655,518735,641355,400284,523253,608369,571771,621035,624577,"53.8784","null","null","null","null","null","null","null",117,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Strategic"
"SL","2018-04-07","84.7","-1.8902","5.6697","Roberto  Gomez",400284,596816,"null","called_strike",,,,,"1","null","R","L","R","SF","LAD","S","null","null",0,0,2018,"0.4437","0.0828","-0.6314","3.2525","null","523253.00","571771.00",2,14,"Top","null","null",,,457763,,"180408_030605","2.0532","-123.2767","0.5454","4.0188","25.3094","-31.7036","3.4693","1.6179","null","null","null","83.9940","2241","5.8860",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.6115","null","null","null","null","null","null","null",116,"1","Slider",4,5,5,4,5,4,5,4,"Standard","Standard"
"SI","2018-04-07","92.6","-1.7717","5.7592","Roberto  Gomez",477132,596816,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",0,2,2018,"-1.3873","0.6966","-1.1996","4.9931","null","523253.00","571771.00",1,14,"Top","null","null",,,457763,,"180408_030500","4.4067","-134.6210","2.3469","-17.5777","29.6610","-24.5926","3.0959","1.5183","null","null","null","91.8710","2064","5.9350",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.5626","null","null","null","null","null","null","null",115,"3","Sinker",4,5,5,4,5,4,5,4,"Standard","Strategic"
"SI","2018-04-07","94.4","-1.8073","5.6843","Roberto  Gomez",477132,596816,"null","called_strike",,,,,"4","null","R","L","R","SF","LAD","S","null","null",0,0,2018,"-1.5178","0.5095","-0.8288","2.7362","null","523253.00","571771.00",1,14,"Top","null","null",,,457763,,"180408_030402","5.8051","-137.2005","-3.0387","-20.1198","31.2427","-25.4188","3.4723","1.6934","null","null","null","93.4360","2051","5.8510",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.6464","null","null","null","null","null","null","null",115,"1","Sinker",4,5,5,4,5,4,5,4,"Strategic","Strategic"
"SI","2018-04-07","94.4","-1.9055","5.6969","Roberto  Gomez",571771,596816,"null","called_strike",,,,,"7","null","R","R","R","SF","LAD","S","null","null",0,0,2018,"-1.5957","0.5739","-0.8009","2.0403","null","641355.00","523253.00",0,14,"Top","null","null",,,457763,,"180408_030236","6.2947","-137.0754","-4.9692","-21.1560","32.3190","-24.1838","3.1215","1.5649","null","null","null","93.2090","2110","5.8510",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.6467","null","null","null","null","null","null","null",114,"1","Sinker",4,5,5,4,5,4,5,4,"Strategic","Standard"
"SI","2018-04-07","94.8","-1.8559","5.6901","Roberto  Gomez",523253,596816,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",1,2,2018,"-1.4238","0.8275","-1.3267","2.4751","624577.00","null","641355.00",0,14,"Top","null","null",,,457763,,"180408_030052","4.4889","-137.9109","-4.5149","-18.9147","31.3842","-20.9873","3.1699","1.5197","null","null","null","94.1340","2187","5.9640",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.5334","null","null","null","null","null","null","null",113,"4","Sinker",4,4,4,4,4,4,4,4,"Strategic","Standard"
"FF","2018-04-07","92.8","-1.9431","5.7708","Roberto  Gomez",523253,596816,"null","ball",,,,,"12","null","R","R","R","SF","LAD","B","null","null",0,2,2018,"-0.6442","0.8439","0.9383","3.7966","624577.00","null","641355.00",0,14,"Top","null","null",,,457763,,"180408_030027","8.6322","-134.8340","-1.0396","-9.5464","29.1138","-22.1328","3.1509","1.4436","null","null","null","91.6890","2119","5.6870",529524,596816,457763,474832,605412,446334,605509,452254,453923,457705,"54.8103","null","null","null","null","null","null","null",113,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Strategic","Standard"
