"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-08-25","90.4","-1.7896","6.2872","Mark Melancon",542208,453343,"null","called_strike",,,,,"11","null","R","R","R","SF","TEX","S","null","null",2,0,2018,"0.5793","0.6764","-0.1474","3.2671","595777.00","455139.00","643396.00",2,9,"Top","null","null",,,460026,,"180825_231240","2.8615","-131.6178","-3.0571","6.1525","23.8774","-24.0368","3.1259","1.5229","null","null","null","90.1590","2337","5.7870",531355,453343,460026,474832,593700,446334,543063,596103,621453,457705,"54.7105","null","null","null","null","null","null","null",71,"3","Cutter",5,3,3,5,3,5,3,5,"Standard","Standard"
"FC","2018-08-25","91.2","-1.7013","6.2883","Mark Melancon",542208,453343,"null","ball",,,,,"12","null","R","R","R","SF","TEX","B","null","null",1,0,2018,"0.1897","0.6794","1.2744","2.5344","595777.00","455139.00","643396.00",2,9,"Top","null","null",,,460026,,"180825_231216","7.0604","-132.7986","-5.0793","0.9901","23.7828","-23.3811","3.0999","1.4440","null","null","null","91.6010","2279","6.1290",531355,453343,460026,474832,593700,446334,543063,596103,621453,457705,"54.3683","null","null","null","null","null","null","null",71,"2","Cutter",5,3,3,5,3,5,3,5,"Standard","Standard"
"FC","2018-08-25","90.1","-1.6671","6.2848","Mark Melancon",542208,453343,"null","ball",,,,,"12","null","R","R","R","SF","TEX","B","null","null",0,0,2018,"0.4217","0.7269","1.1416","2.7623","595777.00","455139.00","643396.00",2,9,"Top","null","null",,,460026,,"180825_231152","6.0793","-131.2173","-4.3934","3.7667","24.1583","-23.1374","3.1259","1.5498","null","null","null","90.4510","2198","6.1670",531355,453343,460026,474832,593700,446334,543063,596103,621453,457705,"54.3303","null","null","null","null","null","null","null",71,"1","Cutter",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-08-25","93.8","1.5960","6.5263","Will Smith",643396,519293,"walk","ball",,,,,"13","Isiah Kiner-Falefa walks.  ","R","R","L","SF","TEX","B","null","null",3,2,2018,"0.5589","1.3854","-1.2462","1.4827","595777.00","455139.00","null",2,9,"Top","null","null",,,460026,,"180825_230829","-8.4623","-135.9439","-10.1780","8.6264","28.7533","-13.3061","3.1779","1.5188","null","null","null","92.8800","2122","5.8860",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.6116","null","null","0.70",1,0,0,"null",70,"8","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-08-25","80.7","1.9424","6.3644","Will Smith",643396,519293,"null","called_strike",,,,,"8","null","R","R","L","SF","TEX","S","null","null",2,1,2018,"-1.1853","0.1761","0.1462","1.6057","595777.00","455139.00","null",2,9,"Top","null","null",,,460026,,"180825_230602","-1.7741","-117.4091","-4.2250","-10.4167","21.9473","-30.0292","3.1259","1.5188","null","null","null","79.9590","2296","5.7570",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.7401","null","null","null","null","null","null","null",70,"4","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-08-25","81.5","2.0528","6.3679","Will Smith",643396,519293,"null","called_strike",,,,,"6","null","R","R","L","SF","TEX","S","null","null",2,0,2018,"-0.7781","-0.0945","0.4122","2.2581","595777.00","455139.00","null",2,9,"Top","null","null",,,460026,,"180825_230517","-2.2056","-118.7194","-2.5253","-6.9033","20.5414","-32.8384","3.1519","1.5188","null","null","null","81.2800","2464","5.8650",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.6322","null","null","null","null","null","null","null",70,"3","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-08-25","81.2","1.9710","6.4068","Will Smith",643396,519293,"null","ball",,,,,"13","null","R","R","L","SF","TEX","B","null","null",1,0,2018,"-0.9110","0.2490","-1.2525","1.6058","595777.00","455139.00","null",2,9,"Top","null","null",,,460026,,"180825_230452","-5.4496","-118.0458","-4.5791","-7.4052","20.7827","-29.3123","3.1259","1.5188","null","null","null","80.4730","2466","5.6740",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.8237","null","null","null","null","null","null","null",70,"2","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-08-25","93.4","1.4710","6.5433","Will Smith",134181,519293,"null","ball",,,,,"13","null","R","R","L","SF","TEX","B","null","null",1,2,2018,"0.6701","1.5257","-1.5551","1.6998","595777.00","455139.00","null",1,9,"Top","null","null",,,460026,,"180825_230307","-9.2037","-135.4629","-9.9789","10.1566","28.5136","-11.5743","3.4114","1.6279","null","null","null","93.0350","2238","6.1720",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.3255","null","null","null","null","null","null","null",69,"5","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"SL","2018-08-25","80.3","1.9316","6.3567","Will Smith",134181,519293,"null","ball",,,,,"13","null","R","R","L","SF","TEX","B","null","null",0,2,2018,"-0.8789","-0.3683","-0.9829","0.4242","null","595777.00","455139.00",1,9,"Top","null","null",,,460026,,"180825_230120","-4.7827","-116.8263","-5.7424","-7.0902","21.2194","-34.6924","3.3336","1.5278","null","null","null","79.9240","2487","5.9580",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"54.5394","null","null","null","null","null","null","null",69,"3","Slider",5,3,3,5,3,5,3,5,"Standard","Standard"
"CU","2018-08-25","77.2","1.7621","6.5780","Will Smith",134181,519293,"null","called_strike",,,,,"4","null","R","R","L","SF","TEX","S","null","null",0,0,2018,"-0.7136","-0.3067","-0.3122","2.2264","null","595777.00","455139.00",1,9,"Top","null","null",,,460026,,"180825_230032","-3.1090","-112.3270","-1.8259","-5.3468","17.9256","-34.6383","3.2817","1.5278","null","null","null","75.9750","2184","5.1370",531355,519293,460026,474832,593700,446334,543063,596103,621453,457705,"55.3601","null","null","null","null","null","null","null",69,"1","Curveball",5,3,3,5,3,5,3,5,"Standard","Standard"
