"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-04-24","95.7","-3.1226","5.8447","Hunter Strickland",594694,519326,"null","ball",,,,,"13","null","R","L","R","SF","WSH","B","null","null",0,1,2018,"-1.0727","1.1475","-1.0570","1.3036","null","null","null",2,9,"Top","null","null",,,457763,,"180425_044214","7.6863","-138.8656","-8.7366","-15.2491","30.5360","-15.9949","3.0736","1.3533","null","null","null","94.3970","2389","5.6420",529759,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.8553","null","null","null","null","null","null","null",69,"2","2-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FT","2018-04-24","95.4","-2.9314","5.9634","Hunter Strickland",594694,519326,"null","called_strike",,,,,"4","null","R","L","R","SF","WSH","S","null","null",0,0,2018,"-1.1199","1.1972","-0.7659","2.0965","null","null","null",2,9,"Top","null","null",,,457763,,"180425_044153","8.0237","-138.4134","-7.0293","-15.8315","30.6168","-15.8407","2.9570","1.3368","null","null","null","94.0640","2301","5.6470",529759,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.8500","null","null","null","null","null","null","null",69,"1","2-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"CH","2018-04-24","88.5","-2.9312","5.8845","Hunter Strickland",571431,519326,"null","ball",,,,,"13","null","R","L","R","SF","WSH","B","null","null",0,0,2018,"-1.3836","0.6519","-0.0549","1.0873","null","null","null",0,9,"Top","null","null",,,457763,,"180425_043933","9.8896","-128.4021","-6.9623","-17.3367","25.8528","-23.7488","3.5181","1.7019","null","null","null","88.4770","1712","6.3730",529759,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.1240","null","null","null","null","null","null","null",67,"1","Changeup",4,3,3,4,3,4,3,4,"Infield shift","Standard"
"FF","2018-04-24","96.6","-1.3570","6.4998","Ryan Madson",446334,425492,"null","called_strike",,,,,"6","null","R","R","R","SF","WSH","S","null","null",1,0,2018,"-1.0818","1.4621","0.4479","2.4358","null","null","null",1,8,"Bot","null","null",,,600474,,"180425_043524","7.1706","-140.2579","-8.4829","-15.6693","29.4767","-11.4673","3.6654","1.7220","null","null","null","96.1100","2300","5.9700",529759,425492,600474,475582,435062,594694,607208,501213,572191,547180,"54.5279","null","null","null","null","null","null","null",65,"2","4-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"CU","2018-04-24","85.2","-1.7000","6.3451","Ryan Madson",446334,425492,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",0,0,2018,"0.1120","-0.7505","0.5662","1.3891","null","null","null",1,8,"Bot","null","null",,,600474,,"180425_043509","5.0245","-123.9020","-3.8276","0.1331","24.3595","-39.1858","3.6510","1.7284","null","null","null","83.9760","2485","5.4810",529759,425492,600474,475582,435062,594694,607208,501213,572191,547180,"55.0165","null","null","null","null","null","null","null",65,"1","Curveball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FF","2018-04-24","96.3","-1.4509","6.4478","Ryan Madson",474832,425492,"null","ball",,,,,"12","null","R","L","R","SF","WSH","B","null","null",0,2,2018,"-1.4214","1.2270","0.2335","3.6403","null","null","null",0,8,"Bot","null","null",,,600474,,"180425_043413","7.5512","-139.9139","-4.5685","-20.0135","29.9470","-15.5437","3.2642","1.5729","null","null","null","95.5470","2352","5.8240",529759,425492,600474,475582,435062,594694,607208,501213,572191,547180,"54.6739","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",4,3,4,3,3,4,4,3,"Infield shift","Standard"
"FT","2018-04-24","93.8","-1.5747","5.4120","Sam Dyson",435062,473879,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",2,2,2018,"-1.4087","0.4873","1.1681","1.7312","null","null","null",1,8,"Top","null","null",,,457763,,"180425_042809","9.8355","-136.0538","-4.7364","-18.8910","27.0280","-25.6215","3.0581","1.2906","null","null","null","92.0620","2278","5.2150",529759,473879,457763,474832,605412,446334,543063,607776,453923,457705,"55.2827","null","null","null","null","null","null","null",61,"6","2-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"SL","2018-04-24","90.4","-1.5009","5.5145","Sam Dyson",435062,473879,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",1,2,2018,"0.2817","0.4795","1.6109","1.7581","null","null","null",1,8,"Top","null","null",,,457763,,"180425_042710","7.0698","-131.3696","-4.3643","1.7551","26.6230","-26.1040","3.0134","1.4472","null","null","null","89.3300","2511","5.6030",529759,473879,457763,474832,605412,446334,543063,607776,453923,457705,"54.8943","null","null","null","null","null","null","null",61,"4","Slider",4,3,3,4,3,4,3,4,"Standard","Standard"
"SL","2018-04-24","91.7","-1.3645","5.5076","Sam Dyson",435062,473879,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",0,2,2018,"0.0588","0.5238","1.1412","1.0144","null","null","null",1,8,"Top","null","null",,,457763,,"180425_042648","6.1181","-133.1379","-6.4924","-0.6095","28.1174","-24.9707","3.0914","1.4463","null","null","null","90.4570","2447","5.6170",529759,473879,457763,474832,605412,446334,543063,607776,453923,457705,"54.8805","null","null","null","null","null","null","null",61,"3","Slider",4,3,3,4,3,4,3,4,"Standard","Standard"
"SL","2018-04-24","89.6","-1.7922","5.5187","Sam Dyson",607208,473879,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",0,1,2018,"0.0194","0.6292","1.2629","1.7754","null","null","null",0,8,"Top","null","null",,,457763,,"180425_042502","7.3505","-130.2322","-4.4808","-1.1831","24.7457","-24.6325","3.3005","1.6480","null","null","null","88.1550","2582","5.2330",529759,473879,457763,474832,605412,446334,543063,607776,453923,457705,"55.2640","null","null","null","null","null","null","null",60,"2","Slider",4,3,3,4,3,4,3,4,"Standard","Standard"
