"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-04-23","84.6","-3.0953","5.7319","Hunter Strickland",607208,519326,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",1,1,2018,"0.8281","-0.5291","0.6001","0.9542","null","572191.00","null",2,9,"Top","null","null",,,457763,,"180424_045735","6.9113","-122.8889","-3.7292","6.9021","23.1123","-36.9539","3.5257","1.6496","null","null","null","83.5680","2666","5.5890",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.9080","null","null","null","null","null","null","null",71,"3","Slider",4,2,2,4,2,4,2,4,"Standard","Standard"
"FF","2018-04-23","95.7","-2.9891","5.5927","Hunter Strickland",607208,519326,"null","ball",,,,,"3","null","R","R","R","SF","WSH","B","null","null",0,1,2018,"-0.2126","1.2933","0.4912","3.4803","null","572191.00","null",2,9,"Top","null","null",,,457763,,"180424_045709","9.5934","-139.0136","-2.8051","-4.8825","31.2408","-15.1880","3.4493","1.6017","null","null","null","95.1060","2464","6.0460",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.4517","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FF","2018-04-23","95.0","-2.7729","5.9866","Hunter Strickland",501213,519326,"null","called_strike",,,,,"9","null","R","R","R","SF","WSH","S","null","null",3,0,2018,"-0.1997","1.2499","0.3658","1.8333","null","572191.00","null",1,9,"Top","null","null",,,457763,,"180424_045431","8.6047","-137.9718","-7.9335","-4.3777","29.6174","-14.8569","3.1272","1.3772","null","null","null","94.5430","2475","6.0490",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.4483","null","null","null","null","null","null","null",70,"4","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FF","2018-04-23","95.4","-3.0462","5.5773","Hunter Strickland",501213,519326,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",2,0,2018,"-0.4262","1.2288","1.4258","1.9643","null","572191.00","null",1,9,"Top","null","null",,,457763,,"180424_045403","12.6042","-138.2517","-6.5354","-8.0814","29.0138","-15.3431","3.2668","1.4558","null","null","null","94.8730","2493","6.0770",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.4201","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FF","2018-04-23","95.7","-2.9788","5.6015","Hunter Strickland",501213,519326,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",1,0,2018,"-0.4118","1.3452","1.5836","1.4962","null","572191.00","null",1,9,"Top","null","null",,,457763,,"180424_045338","12.8395","-138.5618","-8.1148","-8.0100","29.5436","-13.4368","3.2668","1.5038","null","null","null","95.0510","2515","6.0860",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.4116","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"SL","2018-04-23","84.3","-3.0752","5.8536","Hunter Strickland",501213,519326,"null","ball",,,,,"14","null","R","R","R","SF","WSH","B","null","null",0,0,2018,"1.0830","-0.5796","1.0897","0.9160","null","572191.00","null",1,9,"Top","null","null",,,457763,,"180424_045313","7.4666","-122.4349","-3.9282","9.1638","23.2718","-37.3429","3.3147","1.5517","null","null","null","null","2731","5.4417",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"55.0562","null","null","null","null","null","null","null",70,"1","Slider",4,2,2,4,2,4,2,4,"Standard","Standard"
"FT","2018-04-23","95.4","-2.5523","5.9995","Hunter Strickland",594694,519326,"null","ball",,,,,"13","null","R","L","R","SF","WSH","B","null","null",1,1,2018,"-1.1202","1.1037","-0.6871","1.1127","null","null","572191.00",0,9,"Top","null","null",,,457763,,"180424_045032","7.3086","-138.3915","-9.5108","-15.8316","32.1292","-16.2854","3.0234","1.3531","null","null","null","94.3150","2368","5.9160",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.5811","null","null","null","null","null","null","null",69,"3","2-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FT","2018-04-23","94.4","-2.6161","5.9449","Hunter Strickland",594694,519326,"null","ball",,,,,"13","null","R","L","R","SF","WSH","B","null","null",0,1,2018,"-1.1742","1.0325","-1.5755","1.5541","null","null","572191.00",0,9,"Top","null","null",,,457763,,"180424_045004","5.2175","-137.0247","-7.8413","-15.6959","32.5162","-17.8579","3.0713","1.3531","null","null","null","93.1520","2269","5.8540",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.6434","null","null","null","null","null","null","null",69,"2","2-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FT","2018-04-23","94.7","-2.7815","6.0208","Hunter Strickland",572191,519326,"walk","ball",,,,,"13","Michael A.   Taylor walks.  ","R","R","R","SF","WSH","B","null","null",3,1,2018,"-1.1458","1.1288","-0.3884","0.7374","null","null","null",0,9,"Top","null","null",,,457763,,"180424_044901","8.6490","-137.2391","-10.4207","-16.1442","30.3276","-16.0891","3.2088","1.3955","null","null","null","93.5880","2333","5.8560",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.6411","null","null","0.70",1,0,0,"null",68,"5","2-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
"FF","2018-04-23","94.6","-2.9641","5.6343","Hunter Strickland",572191,519326,"null","called_strike",,,,,"12","null","R","R","R","SF","WSH","S","null","null",3,0,2018,"-0.1904","1.0502","0.2133","3.3560","null","null","null",0,9,"Top","null","null",,,457763,,"180424_044810","8.6269","-137.4866","-2.5602","-4.1892","28.7227","-18.6994","3.0604","1.2857","null","null","null","94.0360","2388","5.8960",529744,519326,457763,474832,605412,446334,543063,491676,457706,457705,"54.6016","null","null","null","null","null","null","null",68,"4","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard"
