"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-08-04","93.9","1.8240","6.0877","Andrew Chafin",446334,605177,"null","ball",,,,,"12","null","R","R","L","ARI","SF","B","null","null",0,1,2018,"1.2565","1.0614","1.8011","3.0356","null","457705.00","null",2,9,"Top","null","null",,,425772,,"180805_030815","-2.8471","-136.6863","-4.5100","16.3484","31.8042","-18.0996","3.7269","1.7262","null","null","null","93.8420","2175","6.3650",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.1375","null","null","null","null","null","null","null",75,"2","Sinker",9,3,3,9,3,9,3,9,"Infield shift","Standard"
"SL","2018-08-04","82.1","2.0893","5.9746","Andrew Chafin",446334,605177,"null","called_strike",,,,,"9","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"0.0869","-0.2902","0.7040","1.9543","null","457705.00","null",2,9,"Top","null","null",,,425772,,"180805_030756","-3.2868","-119.4107","-1.9240","1.5115","25.2210","-34.7478","3.7500","1.7200","null","null","null","81.4310","2313","6.0850",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.4171","null","null","null","null","null","null","null",75,"1","Slider",9,3,3,9,3,9,3,9,"Infield shift","Standard"
"FF","2018-08-04","92.6","1.8912","6.0134","Andrew Chafin",491676,605177,"null","ball",,,,,"12","null","R","R","L","ARI","SF","B","null","null",0,2,2018,"0.6316","1.2546","0.6564","4.0350","null","457705.00","null",1,9,"Top","null","null",,,425772,,"180805_030623","-4.5566","-134.8849","-2.0306","8.7235","28.6397","-16.5389","3.3947","1.5611","null","null","null","93.1040","2139","6.4810",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.0209","null","null","null","null","null","null","null",74,"3","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"SI","2018-08-04","93.1","1.9339","6.1071","Andrew Chafin",491676,605177,"null","called_strike",,,,,"5","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"1.2776","1.0923","0.2352","2.5273","null","457705.00","null",1,9,"Top","null","null",,,425772,,"180805_030540","-7.0824","-135.3265","-5.7531","17.0520","28.6607","-17.8834","3.2438","1.5611","null","null","null","92.6660","2155","6.0280",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.4742","null","null","null","null","null","null","null",74,"1","Sinker",9,3,3,9,3,9,3,9,"Standard","Standard"
"SI","2018-08-04","94.0","1.7857","6.0914","Andrew Chafin",457705,605177,"null","called_strike",,,,,"6","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"1.4309","0.9855","0.7285","2.4919","null","null","621453.00",1,9,"Top","null","null",,,425772,,"180805_030352","-5.9478","-136.6424","-5.7895","19.3277","31.3756","-18.6886","3.4550","1.6261","null","null","null","94.1160","2170","6.5130",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"53.9893","null","null","null","null","null","null","null",73,"1","Sinker",9,2,2,9,2,9,2,9,"Infield shift","Standard"
"SI","2018-08-04","91.9","1.8782","6.0593","Andrew Chafin",621453,605177,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",1,1,2018,"1.0525","1.1433","-0.4799","0.5619","null","null","null",0,9,"Top","null","null",,,425772,,"180805_030109","-8.2084","-133.2748","-10.4573","14.2644","28.8629","-16.5670","3.5154","1.7561","null","null","null","91.4860","2141","6.2470",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.2546","null","null","null","null","null","null","null",71,"3","Sinker",9,2,2,9,2,9,2,9,"Standard","Standard"
"SL","2018-08-04","82.0","1.9604","5.9830","Andrew Chafin",621453,605177,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",0,1,2018,"-0.1497","0.1940","-1.2830","0.5981","null","null","null",0,9,"Top","null","null",,,425772,,"180805_030050","-6.9727","-118.9580","-5.8462","0.0407","24.4386","-29.4244","3.5456","1.7262","null","null","null","80.9400","2358","5.9000",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.6020","null","null","null","null","null","null","null",71,"2","Slider",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-08-04","93.1","1.6606","6.1669","Andrew Chafin",621453,605177,"null","called_strike",,,,,"8","null","R","L","L","ARI","SF","S","null","null",0,0,2018,"0.8269","1.1986","-0.1821","1.5869","null","null","null",0,9,"Top","null","null",,,425772,,"180805_030034","-6.5652","-135.2731","-8.6218","11.6302","29.6309","-15.7220","3.5758","1.5851","null","null","null","93.2660","2147","6.4820",531076,605177,425772,502671,606466,500871,605113,444482,572041,519306,"54.0202","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",9,2,2,9,2,9,2,9,"Standard","Standard"
"FF","2018-08-04","93.4","-0.7477","6.1663","Derek Law",488671,571882,"null","called_strike",,,,,"9","null","R","L","R","ARI","SF","S","null","null",3,0,2018,"-0.5650","1.0131","0.6148","2.1280","null","null","425772.00",1,8,"Bot","null","null",,,460026,,"180805_025716","4.8118","-135.9982","-7.0198","-8.1143","27.1870","-18.1238","3.3343","1.6662","null","null","null","94.5670","2168","6.7400",531076,571882,460026,596103,605412,446334,543063,491676,621453,457705,"53.7619","null","null","null","null","null","null","null",70,"4","4-Seam Fastball",9,2,9,2,2,9,9,2,"Infield shift","Standard"
"FF","2018-08-04","93.1","-0.8330","6.1521","Derek Law",488671,571882,"null","ball",,,,,"11","null","R","L","R","ARI","SF","B","null","null",2,0,2018,"-0.3749","1.0733","-1.0106","3.2887","null","null","425772.00",1,8,"Bot","null","null",,,460026,,"180805_025654","0.3789","-135.6896","-4.0261","-4.7715","28.6608","-18.0854","3.3042","1.6962","null","null","null","93.9990","2024","6.6550",531076,571882,460026,596103,605412,446334,543063,491676,621453,457705,"53.8468","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",9,2,9,2,2,9,9,2,"Infield shift","Standard"
