"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-27","93.4","-2.9569","5.7428","Hunter Strickland",605113,519326,"null","ball",,,,,"12","null","R","R","R","SF","ARI","B","null","null",2,2,2018,"-0.1071","0.8589","0.8473","3.6569","null","502671.00","519306.00",2,9,"Top","null","null",,,460026,,"180828_044627","9.9038","-135.6531","-1.4395","-3.4340","29.2766","-21.7102","3.4670","1.5890","null","null","null","92.3730","2385","5.7490",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.7483","null","null","null","null","null","null","null",63,"5","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-08-27","94.1","-3.1313","5.8176","Hunter Strickland",605113,519326,"null","ball",,,,,"14","null","R","R","R","SF","ARI","B","null","null",1,1,2018,"-0.3452","0.9512","1.5526","1.6600","null","502671.00","519306.00",2,9,"Top","null","null",,,460026,,"180828_044517","12.7642","-136.3115","-7.0445","-6.9718","29.0185","-19.1786","3.4670","1.5890","null","null","null","93.2380","2254","5.9570",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.5400","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-08-27","94.4","-3.0736","5.8247","Hunter Strickland",605113,519326,"null","ball",,,,,"14","null","R","R","R","SF","ARI","B","null","null",0,1,2018,"-0.2030","0.9674","1.2915","1.5347","null","502671.00","519306.00",2,9,"Top","null","null",,,460026,,"180828_044429","11.6828","-136.7858","-7.4930","-4.9896","28.8785","-18.7950","3.4670","1.5890","null","null","null","93.6290","2327","5.9710",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.5259","null","null","null","null","null","null","null",63,"2","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-08-27","94.0","-2.7073","6.2300","Hunter Strickland",519306,519326,"walk","ball",,,,,"12","Steven Souza Jr.   walks.   Paul Goldschmidt to 2nd.  ","R","R","R","SF","ARI","B","null","null",3,2,2018,"-0.1534","1.1182","1.1566","2.8105","null","null","502671.00",2,9,"Top","null","null",,,460026,,"180828_044310","10.2347","-136.3447","-5.4928","-4.1091","29.6330","-17.4792","3.5490","1.6270","null","null","null","93.0730","2282","5.8910",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.6068","null","null","0.70",1,0,0,"null",62,"6","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Strategic"
"SL","2018-08-27","82.2","-2.9456","6.2524","Hunter Strickland",519306,519326,"null","ball",,,,,"13","null","R","R","R","SF","ARI","B","null","null",2,1,2018,"0.8941","-0.8118","-0.0196","1.0671","null","null","502671.00",2,9,"Top","null","null",,,460026,,"180828_044208","4.8517","-119.3392","-3.5833","7.1420","23.9576","-39.1227","3.5490","1.6270","null","null","null","79.9290","2783","4.9440",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"55.5532","null","null","null","null","null","null","null",62,"4","Slider",2,0,0,2,0,2,0,2,"Strategic","Strategic"
"FF","2018-08-27","94.1","-2.8396","6.1592","Hunter Strickland",519306,519326,"null","ball",,,,,"12","null","R","R","R","SF","ARI","B","null","null",1,1,2018,"-0.1176","1.3354","1.3389","2.6497","null","null","502671.00",2,9,"Top","null","null",,,460026,,"180828_044146","10.9274","-136.4590","-6.1495","-3.8635","30.3418","-14.7728","3.5490","1.6270","null","null","null","92.7140","2346","5.6780",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.8199","null","null","null","null","null","null","null",62,"3","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Strategic"
"FF","2018-08-27","94.0","-2.7309","6.3335","Hunter Strickland",519306,519326,"null","ball",,,,,"14","null","R","R","R","SF","ARI","B","null","null",0,0,2018,"-0.3211","0.8204","1.3651","2.1640","null","null","502671.00",2,9,"Top","null","null",,,460026,,"180828_044050","11.1452","-136.2789","-6.7425","-6.3054","29.1384","-20.9523","3.5490","1.6270","null","null","null","92.8030","2398","5.7210",531372,519326,460026,474832,488818,446334,543063,491676,621453,457705,"54.7767","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Strategic"
"SL","2018-08-27","83.6","3.4172","5.0408","Tony Watson",518614,453265,"null","ball",,,,,"12","null","R","L","L","SF","ARI","B","null","null",1,2,2018,"-0.2714","0.1568","0.6870","3.5280","null","null","502671.00",1,9,"Top","null","null",,,460026,,"180828_043753","-5.6632","-121.4510","2.5553","-1.5735","22.1064","-31.3843","3.3010","1.5040","null","null","null","82.2380","2300","5.3070",531372,453265,460026,474832,488818,446334,543063,491676,621453,457705,"55.1907","null","null","null","null","null","null","null",61,"6","Slider",2,0,0,2,0,2,0,2,"Standard","Standard"
"SI","2018-08-27","93.6","3.3515","5.0277","Tony Watson",518614,453265,"null","called_strike",,,,,"8","null","R","L","L","SF","ARI","S","null","null",1,1,2018,"1.3210","0.5123","-0.1876","1.7768","null","null","502671.00",1,9,"Top","null","null",,,460026,,"180828_043634","-11.7984","-135.6926","-3.7110","18.4125","26.8925","-25.4283","3.3010","1.5040","null","null","null","92.6490","2284","5.7180",531372,453265,460026,474832,488818,446334,543063,491676,621453,457705,"54.7789","null","null","null","null","null","null","null",61,"3","Sinker",2,0,0,2,0,2,0,2,"Standard","Standard"
"SI","2018-08-27","93.2","3.4531","5.0302","Tony Watson",518614,453265,"null","called_strike",,,,,"5","null","R","L","L","SF","ARI","S","null","null",1,0,2018,"1.2685","0.4890","0.1060","2.1487","null","null","502671.00",1,9,"Top","null","null",,,460026,,"180828_043612","-11.1564","-135.2263","-2.6381","17.6065","28.5943","-25.9793","3.3010","1.5040","null","null","null","92.0600","2316","5.6970",531372,453265,460026,474832,488818,446334,543063,491676,621453,457705,"54.8000","null","null","null","null","null","null","null",61,"2","Sinker",2,0,0,2,0,2,0,2,"Standard","Standard"
