"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-07","97.6","-1.7777","5.4953","Yacksel Rios",605509,605441,"null","ball",,,,,"2","null","R","R","R","PHI","SF","B","null","null",0,2,2018,"-0.4914","1.1072","-0.2635","3.3456","null","null","491676.00",2,9,"Top","null","null",,,595751,,"180508_021230","5.1877","-142.1697","-2.8505","-7.7595","30.2964","-16.7809","3.4398","1.6842","null","null","null","97.7640","1952","6.1710",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.3321","null","null","null","null","null","null","null",78,"4","4-Seam Fastball",11,0,0,11,0,11,0,11,"Standard","Standard"
"FF","2018-05-07","98.6","-1.7347","5.4082","Yacksel Rios",605509,605441,"null","called_strike",,,,,"9","null","R","R","R","PHI","SF","S","null","null",0,1,2018,"-0.8432","1.3170","0.6629","1.9181","null","null","491676.00",2,9,"Top","null","null",,,595751,,"180508_021140","8.4755","-143.1552","-7.0604","-13.5917","33.9159","-12.6263","3.5745","1.6427","null","null","null","98.4530","2133","6.3940",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.1087","null","null","null","null","null","null","null",78,"2","4-Seam Fastball",11,0,0,11,0,11,0,11,"Standard","Standard"
"FF","2018-05-07","97.7","-2.0346","5.3260","Yacksel Rios",605509,605441,"null","called_strike",,,,,"8","null","R","R","R","PHI","SF","S","null","null",0,0,2018,"-0.4500","1.6189","0.1662","2.2650","null","null","491676.00",2,9,"Top","null","null",,,595751,,"180508_021119","6.9302","-142.0481","-6.4218","-7.6147","31.9264","-9.1604","3.6052","1.7249","null","null","null","97.4500","2154","6.1550",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.3473","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",11,0,0,11,0,11,0,11,"Standard","Standard"
"SL","2018-05-07","84.8","-1.9196","5.3755","Yacksel Rios",491676,605441,"null","ball",,,,,"14","null","R","R","R","PHI","SF","B","null","null",0,1,2018,"0.7611","-0.7702","1.4381","1.0048","null","null","null",2,9,"Top","null","null",,,595751,,"180508_021020","6.2969","-123.2011","-2.3002","6.2925","25.6790","-39.6399","3.4014","1.5298","null","null","null","83.9280","2513","5.9180",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.5844","null","null","null","null","null","null","null",77,"2","Slider",11,0,0,11,0,11,0,11,"Standard","Standard"
"SL","2018-05-07","83.9","-1.8565","5.4435","Yacksel Rios",491676,605441,"null","called_strike",,,,,"6","null","R","R","R","PHI","SF","S","null","null",0,0,2018,"0.7247","-0.6751","0.6691","2.3175","null","null","null",2,9,"Top","null","null",,,595751,,"180508_021001","4.3961","-122.0950","0.4681","6.2357","24.0699","-39.1271","3.3813","1.5298","null","null","null","83.1200","2357","5.7740",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.7289","null","null","null","null","null","null","null",77,"1","Slider",11,0,0,11,0,11,0,11,"Standard","Standard"
"FT","2018-05-07","97.8","-2.0129","5.5810","Yacksel Rios",543063,605441,"null","ball",,,,,"11","null","R","L","R","PHI","SF","B","null","null",1,0,2018,"-1.0438","1.1946","-1.3873","3.9074","null","null","null",0,9,"Top","null","null",,,595751,,"180508_020643","4.0078","-142.2950","-1.6958","-14.8363","33.2045","-16.1154","3.4002","1.5802","null","null","null","96.8940","2013","5.8220",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.6811","null","null","null","null","null","null","null",75,"2","2-Seam Fastball",11,0,0,11,0,11,0,11,"Infield shift","Standard"
"FT","2018-05-07","97.6","-2.1183","5.4757","Yacksel Rios",543063,605441,"null","ball",,,,,"11","null","R","L","R","PHI","SF","B","null","null",0,0,2018,"-1.2768","0.8825","-1.1030","2.6277","null","null","null",0,9,"Top","null","null",,,595751,,"180508_020623","5.6006","-141.8906","-4.1144","-18.3350","33.5191","-19.6819","3.4417","1.6217","null","null","null","96.9280","1947","6.0350",529931,605441,595751,467793,621044,596748,664068,656555,465753,608384,"54.4678","null","null","null","null","null","null","null",75,"1","2-Seam Fastball",11,0,0,11,0,11,0,11,"Infield shift","Standard"
"FF","2018-05-07","94.6","-1.9342","6.0961","Pierce Johnson",608384,572955,"null","called_strike",,,,,"8","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"-1.1509","1.4833","-0.0262","2.0270","null","null","null",2,8,"Bot","null","null",,,460026,,"180508_020331","7.3569","-137.1884","-7.9427","-15.8534","33.1380","-12.3878","3.4212","1.6005","null","null","null","92.8150","2385","5.6300",529931,572955,460026,474832,605509,446334,543063,593700,491676,453923,"54.8723","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",11,0,11,0,0,11,11,0,"Standard","Standard"
"FF","2018-05-07","94.5","-1.9030","6.0587","Pierce Johnson",467793,572955,"null","called_strike",,,,,"6","null","R","L","R","PHI","SF","S","null","null",0,1,2018,"-0.9850","1.3683","0.6767","2.3915","465753.00","null","null",1,8,"Bot","null","null",,,460026,,"180508_020241","8.7432","-137.0536","-6.7076","-14.1103","31.0215","-14.0562","3.4179","1.5374","null","null","null","93.1700","2260","5.7450",529931,572955,460026,474832,605509,446334,543063,593700,491676,453923,"54.7574","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",10,0,10,0,0,10,10,0,"Infield shift","Standard"
"CU","2018-05-07","81.4","-1.9542","5.9881","Pierce Johnson",467793,572955,"null","called_strike",,,,,"1","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"1.2113","-0.9449","-0.5495","2.8319","465753.00","null","null",1,8,"Bot","null","null",,,460026,,"180508_020225","0.9007","-118.2972","1.2837","10.7137","24.2204","-41.2282","3.4179","1.5374","null","null","null","79.5850","2840","5.2710",529931,572955,460026,474832,605509,446334,543063,593700,491676,453923,"55.2318","null","null","null","null","null","null","null",73,"1","Curveball",10,0,10,0,0,10,10,0,"Infield shift","Standard"
