"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-21","92.5","1.5418","6.8331","Will Smith",518960,519293,"null","called_strike",,,,,"13","null","R","R","L","OAK","SF","S","null","null",1,1,2018,"0.6471","1.2386","-0.9576","2.5731","null","656305.00","640461.00",2,11,"Bot","null","null",,,457763,,"180722_051051","-7.6624","-134.3196","-7.6331","9.2475","26.6304","-16.0904","3.6291","1.7468","null","null","null","91.7920","2140","5.7890",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"54.7088","null","null","null","null","null","null","null",90,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2018-07-21","82.3","1.9137","6.6531","Will Smith",656305,519293,"null","ball",,,,,"13","null","R","R","L","OAK","SF","B","null","null",1,2,2018,"-0.8666","0.2194","-1.5364","1.2661","null","null","null",2,11,"Bot","null","null",,,457763,,"180722_050654","-6.1093","-119.5419","-6.0108","-6.9349","23.3067","-29.1935","3.5107","1.7208","null","null","null","81.3000","2312","5.7350",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"54.7628","null","null","null","null","null","null","null",88,"4","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"SL","2018-07-21","79.4","1.7467","6.9023","Will Smith",656305,519293,"null","called_strike",,,,,"9","null","R","R","L","OAK","SF","S","null","null",1,1,2018,"-1.0729","-0.3999","0.3768","1.9782","null","null","null",2,11,"Bot","null","null",,,457763,,"180722_050636","-1.0497","-115.5391","-3.2578","-9.0919","21.1272","-35.3016","3.5303","1.7405","null","null","null","78.0820","1875","5.3140",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"55.1844","null","null","null","null","null","null","null",88,"3","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","91.8","1.6899","6.7768","Will Smith",656305,519293,"null","ball",,,,,"14","null","R","R","L","OAK","SF","B","null","null",0,0,2018,"0.8411","1.7053","0.4881","1.3822","null","null","null",2,11,"Bot","null","null",,,457763,,"180722_050553","-4.7877","-133.1174","-11.2560","10.9065","30.1425","-9.9574","3.6287","1.7996","null","null","null","90.7340","2192","5.9580",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"54.5402","null","null","null","null","null","null","null",88,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"SL","2018-07-21","78.6","1.7153","6.8573","Will Smith",641583,519293,"null","called_strike",,,,,"6","null","R","L","L","OAK","SF","S","null","null",0,0,2018,"-0.7880","-0.8275","0.6875","3.0542","null","null","null",1,11,"Bot","null","null",,,457763,,"180722_050447","-0.8113","-114.2319","0.0659","-6.4833","21.1176","-39.4260","3.6681","1.8193","null","null","null","77.0030","1898","5.2210",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"55.2774","null","null","null","null","null","null","null",87,"1","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","91.6","1.7238","6.8013","Will Smith",572039,519293,"null","called_strike",,,,,"9","null","R","R","L","OAK","SF","S","null","null",0,1,2018,"0.8737","1.4393","0.7472","1.8185","null","null","null",0,11,"Bot","null","null",,,457763,,"180722_050312","-4.2511","-133.0655","-9.6528","11.0528","26.4346","-13.6682","3.4722","1.6799","null","null","null","90.7820","2244","5.7190",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"54.7793","null","null","null","null","null","null","null",86,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"CU","2018-07-21","77.8","1.8423","6.8614","Will Smith",572039,519293,"null","called_strike",,,,,"4","null","R","R","L","OAK","SF","S","null","null",0,0,2018,"-0.7825","-0.4151","-0.5999","2.3457","null","null","null",0,11,"Bot","null","null",,,457763,,"180722_050253","-3.7890","-113.2182","-2.0635","-5.8547","19.5034","-35.5259","3.4328","1.6208","null","null","null","76.5590","2021","5.2620",530886,519293,457763,474832,593700,467055,543063,491676,621453,457705,"55.2360","null","null","null","null","null","null","null",86,"1","Curveball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FC","2018-07-21","86.1","-0.6695","5.9177","Yusmeiro Petit",452254,433589,"null","called_strike",,,,,"5","null","R","R","R","OAK","SF","S","null","null",0,0,2018,"-0.2654","1.2313","0.1026","2.6488","null","null","null",2,11,"Top","null","null",,,518960,,"180722_045827","2.4143","-125.6229","-4.2312","-3.3129","21.8764","-18.1774","3.5088","1.9258","null","null","null","87.7720","2151","6.8820",530886,433589,518960,592192,476704,656305,543760,640461,641583,572039,"53.6158","null","null","null","null","null","null","null",85,"1","Cutter",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","86.8","-2.1282","5.8589","Yusmeiro Petit",593700,433589,"null","ball",,,,,"13","null","R","L","R","OAK","SF","B","null","null",1,2,2018,"-0.2363","1.4781","-1.2467","1.9402","null","null","null",1,11,"Top","null","null",,,518960,,"180722_045640","2.6569","-126.5502","-6.4798","-3.1320","24.1042","-14.6711","3.3720","1.7574","null","null","null","88.6370","2244","7.1780",530886,433589,518960,592192,476704,656305,543760,640461,641583,572039,"53.3200","null","null","null","null","null","null","null",84,"5","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","90.0","-1.9560","5.8659","Yusmeiro Petit",593700,433589,"null","ball",,,,,"11","null","R","L","R","OAK","SF","B","null","null",0,2,2018,"-0.4357","1.5582","-1.7665","2.6067","null","null","null",1,11,"Top","null","null",,,518960,,"180722_045554","1.4391","-131.2029","-5.6124","-5.4529","27.3708","-12.7534","3.3720","1.7968","null","null","null","91.4020","2211","7.0040",530886,433589,518960,592192,476704,656305,543760,640461,641583,572039,"53.4941","null","null","null","null","null","null","null",84,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","89.9","-2.0795","5.8357","Yusmeiro Petit",593700,433589,"null","called_strike",,,,,"13","null","R","L","R","OAK","SF","S","null","null",0,1,2018,"-0.5180","1.4152","-0.9815","2.4660","null","null","null",1,11,"Top","null","null",,,518960,,"180722_045534","3.8957","-130.9983","-5.5558","-6.8907","26.1769","-14.5381","3.3619","1.7968","null","null","null","91.3090","2182","6.9440",530886,433589,518960,592192,476704,656305,543760,640461,641583,572039,"53.5547","null","null","null","null","null","null","null",84,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-21","90.1","-2.0081","5.8379","Yusmeiro Petit",467055,433589,"strikeout","called_strike",,,,,"11","Pablo Sandoval called out on strikes.  ","R","L","R","OAK","SF","S",2,"null",3,2,2018,"-0.5623","1.5434","-0.9762","2.5224","null","null","null",0,11,"Top","null","null",,,518960,,"180722_045430","3.8091","-131.1892","-5.6678","-7.3789","26.9726","-13.0942","3.2266","1.7158","null","null","null","91.0120","2235","6.7450",530886,433589,518960,592192,476704,656305,543760,640461,641583,572039,"53.7533","null","null","0.00",1,0,0,"null",83,"6","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
