"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-09-28","91.3","-1.8599","6.1048","Kenley Jansen",605244,445276,"null","ball",,,,,"12","null","R","R","R","SF","LAD","B","null","null",1,2,2018,"0.7597","1.2137","0.5708","5.0784","null","null","543063.00",1,9,"Bot","null","null",,,518735,,"180929_053528","4.5086","-133.0611","0.6150","8.2801","27.8151","-17.7495","3.4670","1.5890","null","null","null","92.6020","2579","6.9210",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.5763","null","null","null","null","null","null","null",69,"5","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","92.2","-1.8821","6.1865","Kenley Jansen",605244,445276,"null","ball",,,,,"12","null","R","R","R","SF","LAD","B","null","null",0,1,2018,"0.4268","1.2690","1.3853","2.6100","null","null","543063.00",1,9,"Bot","null","null",,,518735,,"180929_053343","7.4482","-134.1106","-6.1771","3.7498","27.5863","-15.3742","3.4670","1.5890","null","null","null","93.5050","2526","6.9700",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.5278","null","null","null","null","null","null","null",69,"2","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","89.9","-1.9975","6.0244","Kenley Jansen",605244,445276,"null","called_strike",,,,,"3","null","R","R","R","SF","LAD","S","null","null",0,0,2018,"0.6673","1.2394","0.3076","3.3622","null","null","543063.00",1,9,"Bot","null","null",,,518735,,"180929_053318","4.3354","-131.1231","-3.4225","7.0319","27.0100","-16.9205","3.4670","1.5890","null","null","null","91.6050","2599","7.1300",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.3675","null","null","null","null","null","null","null",69,"1","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","90.1","-1.9640","6.1029","Kenley Jansen",460026,445276,"null","called_strike",,,,,"6","null","R","R","R","SF","LAD","S","null","null",3,1,2018,"0.4203","1.0301","0.6106","2.3148","null","null","null",0,9,"Bot","null","null",,,518735,,"180929_052955","5.5668","-131.2657","-5.8213","3.8844","26.3321","-18.9167","3.3710","1.5350","null","null","null","91.7020","2453","7.0690",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.4282","null","null","null","null","null","null","null",67,"5","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","90.5","-2.0817","6.0895","Kenley Jansen",460026,445276,"null","ball",,,,,"12","null","R","R","R","SF","LAD","B","null","null",2,1,2018,"0.7062","1.0933","0.2030","3.9453","null","null","null",0,9,"Bot","null","null",,,518735,,"180929_052933","4.2242","-132.0054","-1.8906","7.6502","26.2861","-18.8213","3.3710","1.5350","null","null","null","92.1750","2453","7.0160",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.4814","null","null","null","null","null","null","null",67,"4","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","92.2","-1.8834","6.2115","Kenley Jansen",460026,445276,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",1,1,2018,"0.6327","1.2361","-0.2230","3.9273","null","null","null",0,9,"Bot","null","null",,,518735,,"180929_052910","2.8549","-134.3773","-2.7701","7.2109","27.2043","-16.5811","3.3710","1.5350","null","null","null","93.2470","2498","6.6730",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.8241","null","null","null","null","null","null","null",67,"3","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FC","2018-09-28","91.0","-1.9560","6.2258","Kenley Jansen",460026,445276,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",0,1,2018,"0.6360","1.2234","-0.0006","4.1270","null","null","null",0,9,"Bot","null","null",,,518735,,"180929_052849","3.5645","-132.7846","-2.1424","7.0256","25.6545","-17.0925","3.3710","1.5350","null","null","null","92.5750","2455","6.8580",531799,445276,518735,571970,571771,457759,592518,592626,641355,624577,"53.6392","null","null","null","null","null","null","null",67,"2","Cutter",1,3,1,3,3,1,1,3,"Standard","Standard"
"FT","2018-09-28","93.1","-2.8879","5.6322","Hunter Strickland",624577,519326,"null","ball",,,,,"11","null","R","R","R","SF","LAD","B","null","null",1,1,2018,"-1.3714","0.4679","-2.1180","2.5586","null","null","null",2,9,"Top","null","null",,,460026,,"180929_052438","4.8784","-135.4407","-3.0969","-17.6318","29.5673","-26.0878","3.4670","1.5890","null","null","null","92.2900","2413","5.8150",531799,519326,460026,605244,605412,446334,543063,453923,491676,452254,"54.6822","null","null","null","null","null","null","null",66,"3","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic"
"FT","2018-09-28","96.0","-2.8750","5.5985","Hunter Strickland",624577,519326,"null","ball",,,,,"14","null","R","R","R","SF","LAD","B","null","null",0,1,2018,"-1.2223","0.7302","0.5164","0.2190","null","null","null",2,9,"Top","null","null",,,460026,,"180929_052404","11.5494","-138.8859","-10.0842","-18.1546","30.6329","-20.8581","3.4670","1.5890","null","null","null","94.8950","2377","5.9330",531799,519326,460026,605244,605412,446334,543063,453923,491676,452254,"54.5641","null","null","null","null","null","null","null",66,"2","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic"
"FT","2018-09-28","94.5","-2.9602","5.5989","Hunter Strickland",624577,519326,"null","called_strike",,,,,"9","null","R","R","R","SF","LAD","S","null","null",0,0,2018,"-1.3757","0.8419","0.3610","1.6461","null","null","null",2,9,"Top","null","null",,,460026,,"180929_052335","11.5498","-136.8572","-6.3026","-19.7015","32.3580","-20.5487","3.4670","1.5890","null","null","null","93.2490","2464","5.9750",531799,519326,460026,605244,605412,446334,543063,453923,491676,452254,"54.5228","null","null","null","null","null","null","null",66,"1","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic"
