"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-08-20","85.5","-0.4170","6.1695","Derek Law",450306,571882,"null","ball",,,,,"14","null","R","L","R","NYM","SF","B","null","null",2,2,2018,"0.2487","-0.3250","0.6935","0.8613","null","null","null",2,13,"Bot","null","null",,,457763,,"180821_032940","2.1098","-124.3968","-5.5716","2.1470","23.9597","-34.6630","3.2966","1.6079","null","null","null","85.0930","2158","5.9440",531285,571882,457763,474832,605412,488818,543063,593700,491676,457705,"54.5553","null","null","null","null","null","null","null",100,"5","Slider",1,2,1,2,2,1,1,2,"Strategic","Strategic"
"SL","2018-08-20","85.5","-0.2243","6.2200","Derek Law",450306,571882,"null","ball",,,,,"14","null","R","L","R","NYM","SF","B","null","null",1,2,2018,"0.5471","-0.4069","2.5000","-0.3692","null","null","null",2,13,"Bot","null","null",,,457763,,"180821_032914","5.2783","-124.1323","-8.3324","4.5152","24.3532","-34.9073","3.3211","1.6816","null","null","null","84.5780","2230","5.7700",531285,571882,457763,474832,605412,488818,543063,593700,491676,457705,"54.7295","null","null","null","null","null","null","null",100,"4","Slider",1,2,1,2,2,1,1,2,"Strategic","Strategic"
"SL","2018-08-20","83.2","-0.5987","6.2198","Derek Law",450306,571882,"null","ball",,,,,"11","null","R","L","R","NYM","SF","B","null","null",0,1,2018,"0.3655","-0.1274","-1.2021","3.5460","null","null","null",2,13,"Bot","null","null",,,457763,,"180821_032841","-2.0706","-121.0224","0.5694","3.9376","23.7750","-33.7572","3.3947","1.6325","null","null","null","82.5250","2238","5.8740",531285,571882,457763,474832,605412,488818,543063,593700,491676,457705,"54.6257","null","null","null","null","null","null","null",100,"2","Slider",1,2,1,2,2,1,1,2,"Strategic","Strategic"
"FF","2018-08-20","93.6","-0.6928","6.2130","Derek Law",450306,571882,"null","called_strike",,,,,"4","null","R","L","R","NYM","SF","S","null","null",0,0,2018,"-0.7316","0.5760","-0.7245","2.3226","null","null","null",2,13,"Bot","null","null",,,457763,,"180821_032828","1.5332","-136.2838","-5.5689","-9.4380","30.6548","-23.9834","3.3211","1.6570","null","null","null","93.6420","1932","6.3340",531285,571882,457763,474832,605412,488818,543063,593700,491676,457705,"54.1654","null","null","null","null","null","null","null",100,"1","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FF","2018-08-20","95.8","0.0897","6.2792","Derek Law",527038,571882,"null","ball",,,,,"12","null","R","R","R","NYM","SF","B","null","null",0,2,2018,"-0.2848","0.9264","0.6527","4.3660","null","null","null",0,13,"Bot","null","null",,,457763,,"180821_032640","2.1300","-139.4836","-1.5421","-4.1887","31.2153","-19.9696","3.2684","1.6247","null","null","null","95.9010","2120","6.3050",531285,571882,457763,474832,605412,488818,543063,593700,491676,457705,"54.1950","null","null","null","null","null","null","null",98,"3","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FF","2018-08-20","96.2","-0.7498","5.4898","Tyler Bashlor",474832,641341,"null","ball",,,,,"14","null","R","L","R","NYM","SF","B","null","null",0,0,2018,"-0.5390","1.6386","1.3180","1.9158","457763.00","null","543063.00",2,13,"Top","null","null",,,519023,,"180821_032255","6.7013","-139.8061","-7.5950","-8.5585","31.0169","-9.2012","3.3274","1.6753","null","null","null","96.2240","2869","6.3380",531285,641341,519023,527038,408314,453943,642708,642086,457706,624424,"54.1612","null","null","null","null","null","null","null",97,"1","4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shift","Standard"
"FF","2018-08-20","96.0","-0.7116","5.4724","Tyler Bashlor",543063,641341,"null","ball",,,,,"14","null","R","L","R","NYM","SF","B","null","null",0,0,2018,"-0.8346","1.7497","0.4203","1.3977","457705.00","null","457763.00",2,13,"Top","null","null",,,519023,,"180821_032140","4.8571","-139.4738","-9.0662","-11.9324","31.9891","-7.6391","3.3680","1.6127","null","null","null","95.6240","2865","6.2050",531285,641341,519023,527038,408314,453943,642708,642086,457706,624424,"54.2950","null","null","null","null","null","null","null",96,"1","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2018-08-20","82.7","-0.8354","5.3496","Tyler Bashlor",457763,641341,"null","called_strike",,,,,"5","null","R","R","R","NYM","SF","S","null","null",1,0,2018,"0.4199","-0.7415","0.1621","2.4522","488818.00","null","457705.00",1,13,"Top","null","null",,,519023,,"180821_032000","1.4594","-120.3535","1.2782","3.7400","22.8630","-39.7453","3.4838","1.7116","null","null","null","82.1350","2582","5.8560",531285,641341,519023,527038,408314,453943,642708,642086,457706,624424,"54.6431","null","null","null","null","null","null","null",95,"2","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2018-08-20","83.7","-0.7506","5.3648","Tyler Bashlor",457763,641341,"null","ball",,,,,"14","null","R","R","R","NYM","SF","B","null","null",0,0,2018,"0.2731","-0.6063","1.0489","1.3575","488818.00","null","457705.00",1,13,"Top","null","null",,,519023,,"180821_031932","3.6089","-121.8672","-1.7042","2.0729","21.7699","-38.1085","3.4838","1.6870","null","null","null","83.8060","2675","6.1240",531285,641341,519023,527038,408314,453943,642708,642086,457706,624424,"54.3754","null","null","null","null","null","null","null",95,"1","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2018-08-20","95.9","-0.6093","5.5088","Tyler Bashlor",457705,641341,"walk","ball",,,,,"11","Andrew McCutchen walks.  ","R","R","R","NYM","SF","B","null","null",3,2,2018,"-0.6343","1.4533","-1.6278","4.0009","488818.00","null","null",0,13,"Top","null","null",,,519023,,"180821_031732","-1.2606","-139.7386","-1.6964","-8.0429","31.3883","-12.9282","3.5144","1.7333","null","null","null","96.2460","2603","6.4060",531285,641341,519023,527038,408314,453943,642708,642086,457706,624424,"54.0933","null","null","0.70",1,0,0,"null",93,"6","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
