"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-18","90.1","2.3674","5.8605","Mike Dunn",460026,445197,"null","ball",,,,,"14","null","R","R","L","SF","COL","B","null","null",1,0,2018,"0.2059","1.5406","0.5012","1.3094","null","457763.00","null",2,9,"Bot","null","null",,,455104,,"180519_051451","-5.0956","-130.9794","-8.6544","3.4656","27.7778","-12.6948","3.2840","1.5956","null","null","null","90.4300","2211","6.5530",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"53.9447","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"FF","2018-05-18","90.6","2.2932","5.8237","Mike Dunn",460026,445197,"null","ball",,,,,"14","null","R","R","L","SF","COL","B","null","null",0,0,2018,"0.3625","1.4906","0.0441","1.0694","null","457763.00","null",2,9,"Bot","null","null",,,455104,,"180519_051428","-6.4384","-131.6879","-9.2540","5.5317","25.2956","-12.9132","3.2515","1.5623","null","null","null","91.4900","2266","6.6730",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"53.8247","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"SL","2018-05-18","84.2","2.4715","5.8205","Mike Dunn",446334,445197,"strikeout","called_strike",,,,,"14","Evan Longoria called out on strikes.  ","R","R","L","SF","COL","S",2,"null",0,2,2018,"-0.4400","0.4152","1.0062","2.0800","null","457763.00","null",1,9,"Bot","null","null",,,455104,,"180519_051349","-2.5279","-122.6120","-3.1888","-3.9878","20.8412","-27.6677","3.6001","1.7521","null","null","null","84.1800","2241","5.9220",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"54.5750","null","null","0.00",1,0,0,"null",71,"3","Slider",1,6,1,6,6,1,1,6,"Infield shift","Standard"
"FF","2018-05-18","89.9","2.4070","5.8696","Mike Dunn",446334,445197,"null","called_strike",,,,,"2","null","R","R","L","SF","COL","S","null","null",0,0,2018,"0.2567","1.4356","-0.0818","3.4810","null","null","457763.00",1,9,"Bot","null","null",,,455104,,"180519_051254","-6.7624","-130.9078","-3.0538","4.3758","26.9438","-15.0557","3.7147","1.7713","null","null","null","90.5890","2196","6.6130",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"53.8840","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",1,6,1,6,6,1,1,6,"Infield shift","Standard"
"FF","2018-05-18","90.5","2.3208","5.9299","Mike Dunn",457763,445197,"walk","ball",,,,,"14","Buster Posey walks.  ","R","R","L","SF","COL","B","null","null",3,2,2018,"0.0071","1.6007","1.2009","2.3713","null","null","null",1,9,"Bot","null","null",,,455104,,"180519_051220","-2.7963","-131.7001","-6.2976","0.6687","27.6664","-12.6288","3.4044","1.6699","null","null","null","90.1660","2214","6.0550",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"54.4427","null","null","0.70",1,0,0,"null",70,"6","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"FF","2018-05-18","89.8","2.4813","5.9123","Mike Dunn",457763,445197,"null","ball",,,,,"14","null","R","R","L","SF","COL","B","null","null",2,1,2018,"0.2782","1.4763","1.3317","1.9672","null","null","null",1,9,"Bot","null","null",,,455104,,"180519_051133","-3.4103","-130.6059","-6.8475","3.8564","26.7769","-14.2418","3.4617","1.6699","null","null","null","89.4690","2275","6.0520",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"54.4455","null","null","null","null","null","null","null",70,"4","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"FF","2018-05-18","89.6","2.4820","5.9685","Mike Dunn",457763,445197,"null","called_strike",,,,,"6","null","R","R","L","SF","COL","S","null","null",2,0,2018,"0.1423","1.4801","0.4325","2.5361","null","null","null",1,9,"Bot","null","null",,,455104,,"180519_051114","-5.3427","-130.4022","-5.5985","2.6699","25.6718","-14.4586","3.3862","1.6125","null","null","null","89.5670","2277","6.1150",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"54.3819","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"FF","2018-05-18","89.7","2.2256","5.7558","Mike Dunn",457763,445197,"null","ball",,,,,"13","null","R","R","L","SF","COL","B","null","null",1,0,2018,"0.0528","1.2620","-0.9935","1.5327","null","null","null",1,9,"Bot","null","null",,,455104,,"180519_051052","-8.1473","-130.4349","-7.3009","2.0718","23.2494","-16.2294","3.4235","1.6507","null","null","null","91.0570","2131","6.8090",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"53.6883","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"FF","2018-05-18","89.7","2.2135","5.8496","Mike Dunn",457763,445197,"null","ball",,,,,"13","null","R","R","L","SF","COL","B","null","null",0,0,2018,"0.2076","1.3411","-1.0113","1.9362","null","null","null",1,9,"Bot","null","null",,,455104,,"180519_051034","-8.4524","-130.3667","-6.6116","4.0021","24.6428","-15.5742","3.4808","1.6507","null","null","null","90.4460","2200","6.5840",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"53.9131","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",1,6,1,6,6,1,1,6,"Standard","Standard"
"CU","2018-05-18","69.9","2.3330","5.8522","Mike Dunn",457705,445197,"null","ball",,,,,"12","null","R","R","L","SF","COL","B","null","null",0,1,2018,"-0.6774","-0.9831","0.6729","4.6499","null","null","null",0,9,"Bot","null","null",,,455104,,"180519_050924","-2.0823","-101.4694","6.9115","-4.3641","15.1921","-40.2006","3.3108","1.6326","null","null","null","69.8000","1897","6.1520",530066,445197,455104,435622,593495,571448,596115,621311,453568,571595,"54.3455","null","null","null","null","null","null","null",69,"2","Curveball",1,6,1,6,6,1,1,6,"Standard","Standard"
