"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-07-08","92.0","2.9097","6.1301","Ty Blach",657557,621389,"strikeout","called_strike",,,,,"7","Paul DeJong called out on strikes.  ","R","R","L","SF","STL","S",2,"null",1,2,2018,"1.2146","0.8382","-0.5887","1.7496","null","null","576397.00",2,9,"Top","null","null",,,457763,,"180708_235231","-11.0526","-133.3965","-6.8808","15.9457","23.0933","-21.5285","3.3485","1.5503","null","null","null","90.2700","2241","4.9980",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.4990","null","null","0.00",1,0,0,"null",90,"4","Sinker",13,8,8,13,8,13,8,13,"Standard","Standard"
"CH","2018-07-08","80.1","2.9503","6.2486","Ty Blach",657557,621389,"null","ball",,,,,"8","null","R","R","L","SF","STL","B","null","null",0,0,2018,"1.4307","0.8187","-0.2096","1.5300","null","null","576397.00",2,9,"Top","null","null",,,457763,,"180708_235135","-9.1993","-116.0651","-5.0252","13.8679","19.5351","-24.5466","3.5326","1.6210","null","null","null","77.8870","1984","4.7330",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.7644","null","null","null","null","null","null","null",90,"1","Changeup",13,8,8,13,8,13,8,13,"Standard","Standard"
"SI","2018-07-08","90.7","2.8827","6.1212","Ty Blach",542303,621389,"null","ball",,,,,"13","null","R","R","L","SF","STL","B","null","null",0,1,2018,"1.2679","1.0604","-1.0615","2.3412","null","null","null",1,9,"Top","null","null",,,457763,,"180708_235020","-12.1040","-131.2699","-5.5206","16.5053","25.9901","-19.5415","3.5628","1.7519","null","null","null","88.5510","2256","5.1070",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.3905","null","null","null","null","null","null","null",88,"2","Sinker",13,8,8,13,8,13,8,13,"Standard","Standard"
"CH","2018-07-08","79.9","2.9915","6.3214","Ty Blach",542303,621389,"null","called_strike",,,,,"3","null","R","R","L","SF","STL","S","null","null",0,0,2018,"1.4496","0.7188","0.8161","3.1855","null","null","null",1,9,"Top","null","null",,,457763,,"180708_235009","-7.1828","-115.9975","-1.4763","13.7861","19.6398","-25.9484","3.5177","1.7068","null","null","null","78.1720","1924","4.9850",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.5122","null","null","null","null","null","null","null",88,"1","Changeup",13,8,8,13,8,13,8,13,"Standard","Standard"
"CH","2018-07-08","80.4","3.0232","6.2097","Ty Blach",500874,621389,"null","ball",,,,,"14","null","R","R","L","SF","STL","B","null","null",1,2,2018,"1.3904","0.5572","0.8869","1.3255","null","null","null",0,9,"Top","null","null",,,457763,,"180708_234916","-6.9601","-116.7370","-5.0459","13.2294","18.9241","-26.7675","3.8186","2.0153","null","null","null","78.3120","1918","4.6300",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.8673","null","null","null","null","null","null","null",87,"4","Changeup",13,8,8,13,8,13,8,13,"Standard","Standard"
"SI","2018-07-08","90.0","2.8249","6.2245","Ty Blach",500874,621389,"null","called_strike",,,,,"9","null","R","R","L","SF","STL","S","null","null",1,0,2018,"1.4766","1.0184","0.6833","2.0589","null","null","null",0,9,"Top","null","null",,,457763,,"180708_234835","-8.0225","-130.4593","-6.1942","17.7033","27.0790","-20.1147","3.8664","1.9252","null","null","null","87.4470","2204","4.8630",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.6345","null","null","null","null","null","null","null",87,"2","Sinker",13,8,8,13,8,13,8,13,"Standard","Standard"
"SI","2018-07-08","88.5","3.0531","6.2196","Ty Blach",500874,621389,"null","ball",,,,,"12","null","R","R","L","SF","STL","B","null","null",0,0,2018,"1.4198","0.7694","1.6175","3.4231","null","null","null",0,9,"Top","null","null",,,457763,,"180708_234821","-6.1334","-128.4162","-2.1802","16.2379","27.2071","-23.9111","3.8862","2.0153","null","null","null","86.0600","2105","4.9330",530758,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.5641","null","null","null","null","null","null","null",87,"1","Sinker",13,8,8,13,8,13,8,13,"Standard","Standard"
"SL","2018-07-08","87.9","-1.9724","5.6915","Sam Tuivailala",457705,592815,"null","called_strike",,,,,"3","null","R","R","R","SF","STL","S","null","null",1,1,2018,"0.2220","0.5226","0.2931","3.1274","452254.00","null","621453.00",2,8,"Bot","null","null",,,506747,,"180708_234428","4.9820","-127.9499","-1.1941","1.4392","24.4395","-26.5502","3.3923","1.6242","null","null","null","87.1560","2150","5.6320",530758,592815,506747,572761,622168,576397,657557,542303,664056,500874,"54.8658","null","null","null","null","null","null","null",86,"3","Slider",13,8,13,8,8,13,13,8,"Standard","Standard"
"FF","2018-07-08","95.3","-1.8385","5.4908","Sam Tuivailala",457705,592815,"null","ball",,,,,"14","null","R","R","R","SF","STL","B","null","null",0,1,2018,"-0.8538","1.0840","0.9987","1.5833","452254.00","null","621453.00",2,8,"Bot","null","null",,,506747,,"180708_234358","9.2671","-138.2414","-6.9275","-12.9087","31.4815","-17.1233","3.4374","1.7144","null","null","null","94.4390","2349","6.0070",530758,592815,506747,572761,622168,576397,657557,542303,664056,500874,"54.4903","null","null","null","null","null","null","null",86,"2","4-Seam Fastball",13,8,13,8,8,13,13,8,"Standard","Standard"
"FF","2018-07-08","93.2","-1.9243","5.6581","Sam Tuivailala",621453,592815,"null","ball",,,,,"13","null","R","L","R","SF","STL","B","null","null",0,0,2018,"-1.0454","1.2313","-1.2218","2.4611","null","452254.00","null",1,8,"Bot","null","null",,,506747,,"180708_234042","4.0468","-135.6416","-5.1226","-13.6355","28.0701","-16.2602","3.4375","1.7409","null","null","null","92.9350","2378","6.0000",530758,592815,506747,572761,622168,576397,657557,542303,664056,500874,"54.4973","null","null","null","null","null","null","null",84,"1","4-Seam Fastball",13,8,13,8,8,13,13,8,"Standard","Standard"
