"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-04-08","91.3","-1.6286","6.1752","Kenley Jansen",474832,445276,"strikeout","called_strike",,,,,"11","Brandon Belt called out on strikes.  ","R","L","R","SF","LAD","S",2,"null",2,2,2018,"0.6610","1.0955","-0.4295","3.6295","null","452254.00","null",2,10,"Bot","null","null",,,518735,,"180408_230915","1.5867","-133.1445","-3.0060","7.7010","28.1275","-18.4005","3.2558","1.5712","null","null","null","92.6740","2604","6.9510",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.5464","null","null","0.00",1,0,0,"null",77,"6","Cutter",1,2,1,2,2,1,1,2,"Strategic","Standard"
"FC","2018-04-08","92.2","-1.7677","6.2556","Kenley Jansen",474832,445276,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",1,2,2018,"0.6647","1.0496","-0.2956","4.2066","null","452254.00","null",2,10,"Bot","null","null",,,518735,,"180408_230846","2.3005","-134.4192","-1.7452","7.6970","28.2612","-19.0789","3.1027","1.3784","null","null","null","93.2270","2675","6.7240",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.7731","null","null","null","null","null","null","null",77,"5","Cutter",1,2,1,2,2,1,1,2,"Strategic","Standard"
"FC","2018-04-08","93.6","-1.5061","6.2377","Kenley Jansen",474832,445276,"null","ball",,,,,"14","null","R","L","R","SF","LAD","B","null","null",0,2,2018,"0.6521","1.1874","1.0016","1.8356","null","452254.00","null",2,10,"Bot","null","null",,,518735,,"180408_230745","5.0527","-136.1649","-8.3591","7.1882","28.5589","-15.5896","3.1181","1.3920","null","null","null","94.5120","2692","6.7350",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.7629","null","null","null","null","null","null","null",77,"3","Cutter",1,2,1,2,2,1,1,2,"Strategic","Standard"
"FC","2018-04-08","91.2","-1.5003","6.2511","Kenley Jansen",543063,445276,"null","ball",,,,,"12","null","R","L","R","SF","LAD","B","null","null",2,2,2018,"0.6454","1.0360","1.3680","4.5781","null","null","452254.00",1,10,"Bot","null","null",,,518735,,"180408_230430","5.8752","-132.9880","-0.6851","6.7877","24.6631","-19.5641","3.0692","1.3518","null","null","null","92.8790","2413","6.8700",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.6272","null","null","null","null","null","null","null",76,"5","Cutter",1,2,1,2,2,1,1,2,"Standard","Standard"
"FC","2018-04-08","90.0","-1.8618","6.2544","Kenley Jansen",543063,445276,"null","ball",,,,,"12","null","R","L","R","SF","LAD","B","null","null",1,2,2018,"0.4234","0.9000","0.8782","4.8239","null","null","452254.00",1,10,"Bot","null","null",,,518735,,"180408_230357","5.9319","-131.0049","0.4881","3.6869","27.4362","-21.9955","3.1683","1.3518","null","null","null","90.6620","2434","6.6540",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.8435","null","null","null","null","null","null","null",76,"4","Cutter",1,2,1,2,2,1,1,2,"Standard","Standard"
"FF","2018-04-08","92.1","-1.5336","6.1516","Kenley Jansen",543063,445276,"null","called_strike",,,,,"7","null","R","L","R","SF","LAD","S","null","null",1,1,2018,"-1.0775","1.4511","-0.5971","1.7263","null","null","452254.00",1,10,"Bot","null","null",,,518735,,"180408_230238","4.8275","-133.9195","-8.7359","-14.2845","27.7758","-12.6479","3.1784","1.3518","null","null","null","93.3260","2154","6.9640",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.5335","null","null","null","null","null","null","null",76,"3","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FC","2018-04-08","90.0","-1.9751","6.2036","Kenley Jansen",543063,445276,"null","ball",,,,,"12","null","R","L","R","SF","LAD","B","null","null",0,1,2018,"0.4312","1.3866","1.3877","4.5943","null","null","452254.00",1,10,"Bot","null","null",,,518735,,"180408_230207","7.4917","-131.0105","-1.0048","3.3763","28.9584","-15.9667","3.1683","1.3518","null","null","null","90.7740","2467","6.8430",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.6544","null","null","null","null","null","null","null",76,"2","Cutter",1,2,1,2,2,1,1,2,"Standard","Standard"
"FC","2018-04-08","92.3","-1.1925","6.4426","Kenley Jansen",452254,445276,"null","ball",,,,,"12","null","R","R","R","SF","LAD","B","null","null",0,2,2018,"0.5531","1.2372","2.3431","4.7798","null","null","null",1,10,"Bot","null","null",,,518735,,"180408_225949","7.8272","-134.2248","-1.1039","4.9578","30.4322","-17.0730","3.2889","1.4925","null","null","null","92.6850","2430","6.6590",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.8381","null","null","null","null","null","null","null",75,"4","Cutter",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FF","2018-04-08","93.9","-0.8486","6.2944","Kenley Jansen",467055,445276,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",1,2,2018,"-0.6576","1.3351","-0.9001","3.6650","null","null","null",0,10,"Bot","null","null",,,518735,,"180408_225737","1.3980","-137.0255","-4.3201","-8.8990","26.2345","-13.9681","2.9976","1.3418","null","null","null","96.3440","2312","7.2370",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.2607","null","null","null","null","null","null","null",74,"4","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Strategic"
"FC","2018-04-08","90.8","-1.6102","6.3542","Kenley Jansen",467055,445276,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",0,0,2018,"0.5446","1.3508","-0.5310","3.7054","null","null","null",0,10,"Bot","null","null",,,518735,,"180408_225622","1.5379","-132.2877","-3.6935","6.1624","26.3111","-15.5848","2.8489","1.0939","null","null","null","91.5850","2439","6.5430",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.9547","null","null","null","null","null","null","null",74,"1","Cutter",1,2,1,2,2,1,1,2,"Standard","Standard"
