"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-05-19","91.9","3.4269","5.1363","Tony Watson",453568,453265,"null","called_strike",,,,,"4","null","R","L","L","SF","COL","S","null","null",0,0,2018,"0.8597","0.9030","-0.6685","2.4342","null","null","null",2,9,"Top","null","null",,,457763,,"180519_230927","-12.0588","-133.2074","-2.8344","12.6868","29.1259","-21.2412","3.3587","1.5510","null","null","null","90.7870","2404","5.8680",530081,453265,457763,467055,605509,446334,543063,474832,491676,453923,"54.6292","null","null","null","null","null","null","null",80,"1","Sinker",9,4,4,9,4,9,4,9,"Standard","Standard"
"CH","2018-05-19","84.9","3.4534","5.0947","Tony Watson",642162,453265,"null","ball",,,,,"14","null","R","R","L","SF","COL","B","null","null",0,0,2018,"2.0233","0.6898","1.2881","2.0586","null","null","null",1,9,"Top","null","null",,,457763,,"180519_230751","-8.8600","-123.2432","-2.0811","21.8378","23.7866","-25.1559","3.1505","1.5262","null","null","null","83.7430","2470","5.5950",530081,453265,457763,467055,605509,446334,543063,474832,491676,453923,"54.9024","null","null","null","null","null","null","null",79,"1","Changeup",9,4,4,9,4,9,4,9,"Standard","Standard"
"SI","2018-05-19","91.2","3.4594","5.1004","Tony Watson",571595,453265,"null","called_strike",,,,,"7","null","R","R","L","SF","COL","S","null","null",0,0,2018,"1.6909","0.4123","-0.7632","1.4617","null","null","null",0,9,"Top","null","null",,,457763,,"180519_230702","-14.0155","-132.0180","-4.0719","22.3248","25.5474","-26.8189","3.5444","1.4510","null","null","null","90.4690","2257","5.9280",530081,453265,457763,467055,605509,446334,543063,474832,491676,453923,"54.5696","null","null","null","null","null","null","null",78,"1","Sinker",9,4,4,9,4,9,4,9,"Standard","Standard"
"SL","2018-05-19","84.0","-1.5408","6.0435","Brooks Pounders",467055,572044,"null","called_strike",,,,,"8","null","R","L","R","SF","COL","S","null","null",0,0,2018,"1.0284","-0.0509","-0.1316","1.5845","null","null","null",2,8,"Bot","null","null",,,547172,,"180519_230356","1.2579","-122.5065","-3.9649","10.1660","19.4839","-32.2453","3.1843","1.5299","null","null","null","84.3700","2609","5.9750",530081,572044,547172,435622,642162,571448,596115,467827,453568,621311,"54.5221","null","null","null","null","null","null","null",77,"1","Slider",9,4,9,4,4,9,9,4,"Strategic","Standard"
"SL","2018-05-19","83.0","-2.1701","6.1657","Brooks Pounders",543063,572044,"null","ball",,,,,"13","null","R","L","R","SF","COL","B","null","null",1,1,2018,"0.7326","0.2055","-0.5704","0.6829","null","null","null",1,8,"Bot","null","null",,,547172,,"180519_230239","2.2359","-120.8173","-6.5097","6.7609","21.2635","-29.2287","3.3561","1.5399","null","null","null","83.0200","2243","6.0670",530081,572044,547172,435622,642162,571448,596115,467827,453568,621311,"54.4307","null","null","null","null","null","null","null",76,"3","Slider",9,4,9,4,4,9,9,4,"Strategic","Standard"
"CH","2018-05-19","85.6","-1.4431","6.2645","Brooks Pounders",543063,572044,"null","called_strike",,,,,"7","null","R","L","R","SF","COL","S","null","null",1,0,2018,"-0.0909","0.5477","-0.7889","1.8316","null","null","null",1,8,"Bot","null","null",,,547172,,"180519_230224","1.7157","-124.7032","-5.3699","-1.2309","20.5376","-25.7655","3.0883","1.5399","null","null","null","85.8420","920","5.9790",530081,572044,547172,435622,642162,571448,596115,467827,453568,621311,"54.5182","null","null","null","null","null","null","null",76,"2","Changeup",9,4,9,4,4,9,9,4,"Strategic","Standard"
"SL","2018-05-19","84.5","-1.6838","6.1707","Brooks Pounders",543063,572044,"null","ball",,,,,"14","null","R","L","R","SF","COL","B","null","null",0,0,2018,"0.7314","0.1755","0.6040","1.0406","null","null","null",1,8,"Bot","null","null",,,547172,,"180519_230208","3.8774","-123.0722","-6.0302","6.8057","19.8733","-29.6082","3.2782","1.5509","null","null","null","84.7070","2420","5.9590",530081,572044,547172,435622,642162,571448,596115,467827,453568,621311,"54.5381","null","null","null","null","null","null","null",76,"1","Slider",9,4,9,4,4,9,9,4,"Strategic","Standard"
"FF","2018-05-19","90.0","-1.3048","6.3009","Brooks Pounders",446334,572044,"null","ball",,,,,"11","null","R","R","R","SF","COL","B","null","null",0,0,2018,"-0.7968","1.7081","-1.1243","2.9219","null","null","null",0,8,"Bot","null","null",,,547172,,"180519_230108","2.1668","-130.8947","-6.0347","-9.6659","30.5890","-11.3521","3.7758","1.7096","null","null","null","90.0530","2146","6.5930",530081,572044,547172,435622,642162,571448,596115,467827,453568,621311,"53.9046","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",9,4,9,4,4,9,9,4,"Standard","Standard"
"CU","2018-05-19","78.9","-1.0267","5.6208","Sam Dyson",547172,473879,"strikeout","called_strike",,,,,"7","Tony Wolters called out on strikes.  ","R","L","R","SF","COL","S",2,"null",0,2,2018,"1.0798","-0.6189","-0.4644","1.6940","null","null","435622.00",2,8,"Top","null","null",,,457763,,"180519_225843","-0.6715","-114.7402","-0.6462","9.2601","20.7319","-37.5702","3.0500","1.4858","null","null","null","77.2100","2978","5.0600",530081,473879,457763,467055,605509,446334,543063,474832,491676,453923,"55.4373","null","null","0.00",1,0,0,"null",74,"7","Curveball",9,4,4,9,4,9,4,9,"Standard","Standard"
"FT","2018-05-19","92.1","-1.3182","5.4063","Sam Dyson",547172,473879,"null","called_strike",,,,,"6","null","R","L","R","SF","COL","S","null","null",0,0,2018,"-1.4693","0.6035","0.4975","2.2496","null","null","435622.00",2,8,"Top","null","null",,,457763,,"180519_225512","7.5377","-133.6666","-3.3300","-18.6825","30.2476","-24.7248","3.1889","1.4795","null","null","null","90.2070","2172","5.3890",530081,473879,457763,467055,605509,446334,543063,474832,491676,453923,"55.1085","null","null","null","null","null","null","null",74,"1","2-Seam Fastball",9,4,4,9,4,9,4,9,"Standard","Standard"
