"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-06","93.6","1.9263","6.3695","Will Smith",576397,519293,"null","called_strike",,,,,"12","null","R","R","L","SF","STL","S","null","null",1,1,2018,"0.7121","1.1644","0.9195","2.7336","null","null","null",2,9,"Top","null","null",,,457763,,"180707_044122","-4.0965","-136.0828","-6.1110","9.5778","28.9090","-16.8711","3.1191","1.4742","null","null","null","92.8630","2118","5.8260",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.6715","null","null","null","null","null","null","null",67,"3","4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FF","2018-07-06","93.3","1.7896","6.3844","Will Smith",576397,519293,"null","ball",,,,,"14","null","R","R","L","SF","STL","B","null","null",0,1,2018,"0.4440","1.3376","1.1649","1.5238","null","null","null",2,9,"Top","null","null",,,457763,,"180707_044102","-2.5318","-135.5866","-9.5429","5.9076","27.2628","-14.2179","3.0679","1.4412","null","null","null","92.6070","2041","5.7680",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.7295","null","null","null","null","null","null","null",67,"2","4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"CU","2018-07-06","77.2","1.7451","6.5939","Will Smith",576397,519293,"null","called_strike",,,,,"3","null","R","R","L","SF","STL","S","null","null",0,0,2018,"-0.7424","-0.1637","0.6209","3.1958","null","null","null",2,9,"Top","null","null",,,457763,,"180707_044043","-1.0743","-112.3540","-0.0390","-5.9179","19.2001","-33.7631","3.1570","1.5121","null","null","null","76.1100","1864","5.3610",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"55.1364","null","null","null","null","null","null","null",67,"1","Curveball",3,2,2,3,2,3,2,3,"Standard","Standard"
"SL","2018-07-06","78.3","1.9724","6.4918","Will Smith",542303,519293,"null","called_strike",,,,,"9","null","R","R","L","SF","STL","S","null","null",0,1,2018,"-1.1568","-0.4486","0.8081","1.9404","null","null","null",1,9,"Top","null","null",,,457763,,"180707_043944","-0.4539","-113.8927","-2.1780","-9.6856","19.5619","-35.8360","3.6134","1.8429","null","null","null","77.1320","1482","5.3280",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"55.1694","null","null","null","null","null","null","null",66,"2","Slider",3,2,2,3,2,3,2,3,"Standard","Standard"
"FF","2018-07-06","93.1","1.8505","6.4613","Will Smith",542303,519293,"null","called_strike",,,,,"3","null","R","R","L","SF","STL","S","null","null",0,0,2018,"0.5561","1.1702","0.3345","3.1392","null","null","null",1,9,"Top","null","null",,,457763,,"180707_043926","-5.0367","-135.4145","-5.2481","7.7814","27.9729","-17.1345","3.4995","1.7290","null","null","null","92.4620","1997","5.8100",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"54.6873","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"CU","2018-07-06","77.8","1.9063","6.5374","Will Smith",425877,519293,"null","called_strike",,,,,"12","null","R","R","L","SF","STL","S","null","null",0,0,2018,"-0.5405","-0.5011","0.8397","3.0289","null","null","null",0,9,"Top","null","null",,,457763,,"180707_043830","-1.3126","-113.2262","0.1980","-4.2728","19.3630","-36.6310","3.3232","1.5872","null","null","null","76.5810","1758","5.2590",530728,519293,457763,474832,593700,467055,543063,596103,491676,457705,"55.2387","null","null","null","null","null","null","null",65,"1","Curveball",3,2,2,3,2,3,2,3,"Standard","Standard"
"SL","2018-07-06","88.6","-1.6458","5.6230","Sam Tuivailala",596103,592815,"null","ball",,,,,"12","null","R","R","R","SF","STL","B","null","null",0,1,2018,"0.3172","0.4881","1.1023","3.0625","null","null","null",1,8,"Bot","null","null",,,425877,,"180707_043424","6.0144","-128.9458","-1.2271","2.3343","24.9308","-26.7787","3.4277","1.6610","null","null","null","88.1890","2023","5.8650",530728,592815,425877,572761,543939,576397,657557,542303,502054,664056,"54.6326","null","null","null","null","null","null","null",63,"2","Slider",3,2,3,2,2,3,3,2,"Standard","Standard"
"FF","2018-07-06","95.4","-1.7629","5.6899","Sam Tuivailala",596103,592815,"null","called_strike",,,,,"4","null","R","R","R","SF","STL","S","null","null",0,0,2018,"-0.7785","1.3319","-0.3693","2.4150","null","null","null",1,8,"Bot","null","null",,,425877,,"180707_043405","5.3160","-138.7169","-5.8668","-11.0085","29.3945","-14.2566","3.3708","1.6420","null","null","null","94.6160","2319","5.7530",530728,592815,425877,572761,543939,576397,657557,542303,502054,664056,"54.7440","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
"FT","2018-07-06","94.9","-1.7262","5.6010","Sam Tuivailala",467055,592815,"null","ball",,,,,"11","null","R","L","R","SF","STL","B","null","null",2,1,2018,"-1.4699","0.6515","-1.3764","2.9162","null","null","null",0,8,"Bot","null","null",,,425877,,"180707_043312","4.1077","-138.1637","-2.8203","-19.4598","28.5121","-23.5643","3.2945","1.5259","null","null","null","94.5150","2275","5.8690",530728,592815,425877,572761,543939,576397,657557,542303,502054,664056,"54.6284","null","null","null","null","null","null","null",62,"4","2-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Strategic"
"FT","2018-07-06","96.3","-1.8429","5.5712","Sam Tuivailala",467055,592815,"null","ball",,,,,"13","null","R","L","R","SF","STL","B","null","null",1,1,2018,"-1.5381","0.9097","-1.7871","1.9689","null","null","null",0,8,"Bot","null","null",,,425877,,"180707_043241","3.5426","-140.0670","-5.9690","-20.7176","30.9598","-19.2991","3.1427","1.5069","null","null","null","95.6040","2338","5.8630",530728,592815,425877,572761,543939,576397,657557,542303,502054,664056,"54.6347","null","null","null","null","null","null","null",62,"3","2-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Strategic"
