"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-07-24","81.3","2.0538","6.3221","Will Smith",592325,519293,"null","called_strike",,,,,"5","null","R","L","L","SEA","SF","S","null","null",0,0,2018,"-0.5798","-0.0958","0.0469","2.5980","null","null","null",1,9,"Bot","null","null",,,457763,,"180725_050718","-3.3580","-118.0562","-1.4425","-4.4762","25.0173","-33.0234","3.2401","1.5635","null","null","null","79.3560","2346","5.3120",530928,519293,457763,474832,593700,467055,543063,596103,621453,457705,"55.1880","null","null","null","null","null","null","null",74,"1","Slider",3,4,3,4,4,3,3,4,"Standard","Standard"
"SL","2018-07-24","81.6","1.9378","6.3184","Will Smith",572287,519293,"null","ball",,,,,"13","null","R","R","L","SEA","SF","B","null","null",1,2,2018,"-0.7201","0.0508","-1.2405","2.0291","null","null","null",0,9,"Bot","null","null",,,457763,,"180725_050625","-5.7137","-118.6941","-3.1529","-5.5901","21.1381","-31.3940","3.3552","1.6554","null","null","null","80.4290","2307","5.3520",530928,519293,457763,474832,593700,467055,543063,596103,621453,457705,"55.1482","null","null","null","null","null","null","null",73,"4","Slider",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"SL","2018-07-24","77.1","1.7586","6.5925","Will Smith",572287,519293,"null","called_strike",,,,,"5","null","R","R","L","SEA","SF","S","null","null",1,0,2018,"-0.6693","-0.1875","-0.1963","2.3785","null","null","null",0,9,"Bot","null","null",,,457763,,"180725_050541","-2.9249","-112.0395","-1.5747","-4.8285","21.6779","-33.6721","3.4500","1.6715","null","null","null","75.3260","2069","5.2260",530928,519293,457763,474832,593700,467055,543063,596103,621453,457705,"55.2743","null","null","null","null","null","null","null",73,"2","Slider",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"SL","2018-07-24","76.4","1.8143","6.6401","Will Smith",572287,519293,"null","ball",,,,,"13","null","R","R","L","SEA","SF","B","null","null",0,0,2018,"-1.0529","-0.2549","-0.5632","1.4549","null","null","null",0,9,"Bot","null","null",,,457763,,"180725_050524","-3.1235","-110.9883","-3.3345","-7.7008","20.6135","-33.8547","3.5054","1.6175","null","null","null","74.4050","1863","4.9870",530928,519293,457763,474832,593700,467055,543063,596103,621453,457705,"55.5125","null","null","null","null","null","null","null",73,"1","Slider",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"FF","2018-07-24","96.0","-2.6828","5.0264","Edwin Diaz",474832,621242,"null","ball",,,,,"11","null","R","L","R","SEA","SF","B","null","null",1,2,2018,"-0.8030","1.2951","-0.6399","4.2085","null","null","467055.00",2,9,"Top","null","null",,,572287,,"180725_050201","7.3227","-139.7233","0.5018","-12.3906","34.0616","-15.3988","3.4134","1.7324","null","null","null","96.5490","2281","6.7790",530928,621242,572287,592387,543829,572122,516416,452655,571745,592325,"53.7211","null","null","null","null","null","null","null",72,"4","4-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard"
"FF","2018-07-24","97.7","-2.7398","5.0126","Edwin Diaz",474832,621242,"null","ball",,,,,"11","null","R","L","R","SEA","SF","B","null","null",0,1,2018,"-0.8398","1.2646","-1.2088","3.5988","null","null","467055.00",2,9,"Top","null","null",,,572287,,"180725_050115","6.1541","-142.2715","-1.3001","-12.9844","31.8275","-14.5903","3.3424","1.6565","null","null","null","98.8010","2278","6.8090",530928,621242,572287,592387,543829,572122,516416,452655,571745,592325,"53.6906","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",3,4,4,3,4,3,4,3,"Infield shift","Standard"
"SL","2018-07-24","87.7","-2.6622","5.2241","Edwin Diaz",467055,621242,"null","ball",,,,,"11","null","R","L","R","SEA","SF","B","null","null",0,0,2018,"0.2723","0.3260","-1.2889","3.9716","null","621453.00","null",2,9,"Top","null","null",,,572287,,"180725_045834","2.7667","-127.7963","2.3132","2.5594","21.6239","-29.1161","3.5334","1.6744","null","null","null","88.6240","2341","6.3920",530928,621242,572287,592387,543829,572122,516416,452655,571745,592325,"54.1082","null","null","null","null","null","null","null",71,"1","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2018-07-24","96.0","-2.5868","5.0766","Edwin Diaz",593700,621242,"null","ball",,,,,"11","null","R","L","R","SEA","SF","B","null","null",0,0,2018,"-0.8849","1.2407","-1.2325","2.7857","null","null","621453.00",1,9,"Top","null","null",,,572287,,"180725_045553","5.6413","-139.7787","-3.3075","-12.9820","32.5758","-15.2533","3.6294","1.8434","null","null","null","96.4660","2087","6.6000",530928,621242,572287,592387,543829,572122,516416,452655,571745,592325,"53.8998","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-07-24","97.6","-2.5998","4.9469","Edwin Diaz",621453,621242,"null","called_strike",,,,,"8","null","R","L","R","SEA","SF","S","null","null",0,1,2018,"-1.0703","1.1951","-0.2389","1.7081","null","null","null",1,9,"Top","null","null",,,572287,,"180725_045444","8.9307","-141.9624","-6.0566","-16.7115","31.8336","-14.5808","3.6294","1.7744","null","null","null","98.5130","2278","6.7790",530928,621242,572287,592387,543829,572122,516416,452655,571745,592325,"53.7211","null","null","null","null","null","null","null",69,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2018-07-24","82.2","3.3097","5.0357","Tony Watson",452655,453265,"null","called_strike",,,,,"7","null","R","L","L","SEA","SF","S","null","null",1,1,2018,"-0.1744","0.2610","-0.4540","1.8384","null","null","null",2,8,"Bot","null","null",,,457763,,"180725_044940","-8.0536","-119.4032","-1.1765","-0.0982","22.5258","-29.7891","3.4003","1.6645","null","null","null","80.8420","2308","5.4150",530928,453265,457763,474832,605509,488818,543063,596103,621453,457705,"55.0850","null","null","null","null","null","null","null",67,"3","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
