"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-09-01","94.0","-1.5072","6.0074","Robert Gsellman",596103,607229,"null","called_strike",,,,,"4","null","R","R","R","SF","NYM","S","null","null",3,1,2018,"-1.4523","0.8452","-0.3566","2.0831","null","null","null",2,11,"Bot","null","null",,,621512,,"180901_230017","6.1407","-136.7896","-6.3413","-19.4249","27.0248","-20.5269","3.2969","1.4953","null","null","null","94.0830","2033","6.1010",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.3966","null","null","null","null","null","null","null",79,"5","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","94.0","-1.5455","6.1372","Robert Gsellman",596103,607229,"null","called_strike",,,,,"3","null","R","R","R","SF","NYM","S","null","null",3,0,2018,"-1.2125","0.7896","0.3564","3.0511","null","null","null",2,11,"Bot","null","null",,,621512,,"180901_225955","7.5603","-136.7520","-4.0578","-16.6980","26.8288","-21.6704","3.1167","1.4168","null","null","null","94.1200","2067","6.1250",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.3727","null","null","null","null","null","null","null",79,"4","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","94.1","-1.6124","6.0534","Robert Gsellman",596103,607229,"null","ball",,,,,"11","null","R","R","R","SF","NYM","B","null","null",2,0,2018,"-1.3285","0.7379","-1.9197","2.3913","null","null","null",2,11,"Bot","null","null",,,621512,,"180901_225913","2.0846","-137.0045","-5.4081","-16.9901","28.3490","-22.0799","3.1940","1.4691","null","null","null","93.7720","2097","5.9220",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.5754","null","null","null","null","null","null","null",79,"3","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","95.2","-1.5281","6.0255","Robert Gsellman",596103,607229,"null","ball",,,,,"13","null","R","R","R","SF","NYM","B","null","null",1,0,2018,"-1.5080","0.7014","-1.0571","0.6266","null","null","null",2,11,"Bot","null","null",,,621512,,"180901_225849","4.4979","-138.2119","-9.9477","-19.9833","29.8884","-21.4157","3.1425","1.4168","null","null","null","94.2870","2227","5.8140",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.6833","null","null","null","null","null","null","null",79,"2","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-09-01","90.1","-1.7820","5.8675","Robert Gsellman",596103,607229,"null","ball",,,,,"14","null","R","R","R","SF","NYM","B","null","null",0,0,2018,"-0.1079","0.5678","2.1105","0.8486","null","null","null",2,11,"Bot","null","null",,,621512,,"180901_225833","9.7558","-130.6830","-7.6133","-3.0153","24.0264","-24.5619","3.1425","1.3382","null","null","null","89.3740","2370","5.7360",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.7617","null","null","null","null","null","null","null",79,"1","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","95.2","-1.4555","6.0669","Robert Gsellman",491676,607229,"strikeout","called_strike",,,,,"9","Gorkys Hernandez called out on strikes.  ","R","R","R","SF","NYM","S",2,"null",3,2,2018,"-1.3001","1.1159","0.3994","1.5688","null","null","null",1,11,"Bot","null","null",,,621512,,"180901_225758","7.6999","-138.2585","-8.5776","-18.2005","29.7805","-16.3504","3.1940","1.3644","null","null","null","94.7420","2319","6.0530",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.4440","null","null","0.00",1,0,0,"null",78,"6","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","93.7","-1.6268","6.0083","Robert Gsellman",491676,607229,"null","ball",,,,,"13","null","R","R","R","SF","NYM","B","null","null",2,1,2018,"-1.4027","0.7205","-2.3214","1.5736","null","null","null",1,11,"Bot","null","null",,,621512,,"180901_225705","1.2200","-136.3710","-7.2678","-17.5231","27.0239","-22.0772","3.1940","1.3906","null","null","null","93.2310","2116","5.7790",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.7181","null","null","null","null","null","null","null",78,"4","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","93.8","-1.7106","5.9469","Robert Gsellman",491676,607229,"null","ball",,,,,"13","null","R","R","R","SF","NYM","B","null","null",1,0,2018,"-1.1675","0.9104","-0.6129","1.0827","null","null","null",1,11,"Bot","null","null",,,621512,,"180901_225634","5.2758","-136.3066","-8.7406","-15.3525","26.6546","-19.5203","3.1940","1.4430","null","null","null","93.0220","2228","5.6550",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.8420","null","null","null","null","null","null","null",78,"2","2-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-09-01","89.7","-1.8266","5.9036","Robert Gsellman",491676,607229,"null","ball",,,,,"14","null","R","R","R","SF","NYM","B","null","null",0,0,2018,"0.0921","0.6613","1.3787","1.7238","null","null","null",1,11,"Bot","null","null",,,621512,,"180901_225621","7.6207","-130.3226","-5.6769","-0.3652","23.8714","-23.9545","3.0651","1.3120","null","null","null","88.8640","2344","5.5700",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.9279","null","null","null","null","null","null","null",78,"1","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"FT","2018-09-01","93.2","-1.5426","6.0162","Robert Gsellman",453923,607229,"null","ball",,,,,"14","null","R","L","R","SF","NYM","B","null","null",1,1,2018,"-1.6026","0.5915","1.3154","1.6392","null","null","null",0,11,"Bot","null","null",,,621512,,"180901_225527","10.6305","-135.1308","-6.6923","-21.4326","25.6281","-23.9518","3.0651","1.5214","null","null","null","92.4630","2111","5.7600",531442,607229,621512,457803,527038,453943,642708,624424,457706,607043,"54.7377","null","null","null","null","null","null","null",77,"3","2-Seam Fastball",1,2,1,2,2,1,1,2,"Strategic","Standard"
