"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-09-22","84.0","-1.6899","6.4003","Mark Melancon",641933,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",1,2,2018,"-0.0629","-1.3433","0.1324","-0.6056","null","null","null",2,10,"Bot","null","null",,,460026,,"180922_202016","4.3353","-122.0085","-7.0102","-1.6321","28.5496","-43.9822","3.2705","1.3758","null","null","null","83.1810","2761","6.2810",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"54.2170","null","null","null","null","null","null","null",81,"4","Knuckle Curve",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-22","91.5","-1.7879","6.4414","Mark Melancon",641933,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",0,1,2018,"0.3945","0.4879","1.8010","2.0397","null","null","null",2,10,"Bot","null","null",,,460026,,"180922_201936","8.1736","-132.8544","-6.1953","2.7746","30.0971","-25.2836","3.2120","1.4634","null","null","null","90.9410","2392","6.2010",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"54.2977","null","null","null","null","null","null","null",81,"2","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"KC","2018-09-22","84.6","-1.6477","6.4960","Mark Melancon",622168,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",1,2,2018,"0.0567","-1.2226","1.5208","0.4336","null","null","null",1,10,"Bot","null","null",,,460026,,"180922_201721","7.2516","-122.8298","-5.2396","-1.0362","27.1472","-43.4763","3.4019","1.5511","null","null","null","83.9220","2825","6.2310",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"54.2678","null","null","null","null","null","null","null",80,"4","Knuckle Curve",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-22","93.4","-1.9273","6.4003","Mark Melancon",622168,453343,"null","ball",,,,,"13","null","R","R","R","STL","SF","B","null","null",0,2,2018,"-0.0954","0.8025","-1.3810","1.8534","null","null","null",1,10,"Bot","null","null",,,460026,,"180922_201700","1.6257","-135.9442","-7.7792","-1.5426","29.3222","-20.6745","3.3582","1.5803","null","null","null","93.9020","2402","6.5340",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"53.9647","null","null","null","null","null","null","null",80,"3","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-22","92.0","-1.8100","6.5178","Mark Melancon",622168,453343,"null","called_strike",,,,,"6","null","R","R","R","STL","SF","S","null","null",0,0,2018,"0.1976","0.6840","0.7881","2.4823","null","null","null",1,10,"Bot","null","null",,,460026,,"180922_201614","6.1487","-133.7874","-5.8921","1.1561","26.5100","-22.9918","3.3582","1.6095","null","null","null","92.0980","2490","6.2010",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"54.2978","null","null","null","null","null","null","null",80,"1","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"FC","2018-09-22","91.5","-1.9527","6.4752","Mark Melancon",664056,453343,"null","ball",,,,,"11","null","R","R","R","STL","SF","B","null","null",0,0,2018,"0.1226","0.6835","-0.5782","3.2498","null","null","null",0,10,"Bot","null","null",,,460026,,"180922_201508","3.2325","-133.3754","-3.8886","0.8985","24.7486","-23.2650","3.0951","1.3173","null","null","null","92.9420","2288","6.7460",531725,453343,460026,605412,593700,446334,543063,453923,491676,452254,"53.7529","null","null","null","null","null","null","null",79,"1","Cutter",4,4,4,4,4,4,4,4,"Standard","Standard"
"SL","2018-09-22","87.6","-0.9567","5.2021","Carlos Martinez",596103,593372,"strikeout","called_strike",,,,,"9","Austin Slater called out on strikes.  ","R","R","R","STL","SF","S",2,"null",1,2,2018,"1.1633","0.0689","0.6288","1.6722","452254.00","491676.00","460026.00",2,10,"Top","null","null",,,425877,,"180922_201159","1.4879","-127.3778","-2.4603","11.8774","27.2278","-31.2024","3.2705","1.4926","null","null","null","85.9270","2208","5.3450",531725,593372,425877,572761,622168,576397,657557,542303,664056,641933,"55.1530","null","null","0.00",1,0,0,"null",78,"5","Slider",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-09-22","98.0","-0.6037","5.5359","Carlos Martinez",596103,593372,"null","ball",,,,,"12","null","R","R","R","STL","SF","B","null","null",0,2,2018,"-0.5683","1.2092","0.0568","4.1853","452254.00","491676.00","460026.00",2,10,"Top","null","null",,,425877,,"180922_201110","3.0528","-142.6803","-0.9357","-8.3382","31.4365","-15.8846","3.2412","1.5219","null","null","null","97.5410","2089","5.9040",531725,593372,425877,572761,622168,576397,657557,542303,664056,641933,"54.5943","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"SL","2018-09-22","86.3","-1.1319","5.1956","Carlos Martinez",596103,593372,"null","called_strike",,,,,"9","null","R","R","R","STL","SF","S","null","null",0,0,2018,"1.4327","0.1320","0.3395","1.9459","452254.00","491676.00","460026.00",2,10,"Top","null","null",,,425877,,"180922_201026","0.6689","-125.6624","-1.7753","14.6485","24.7599","-30.7130","3.4459","1.5511","null","null","null","85.2730","2279","5.5240",531725,593372,425877,572761,622168,576397,657557,542303,664056,641933,"54.9742","null","null","null","null","null","null","null",78,"1","Slider",4,4,4,4,4,4,4,4,"Standard","Standard"
"SL","2018-09-22","83.7","-1.1780","5.2939","Carlos Martinez",593700,593372,"null","ball",,,,,"13","null","R","L","R","STL","SF","B","null","null",2,1,2018,"1.4069","-0.1383","-1.3326","1.9223","452254.00","null","491676.00",1,10,"Top","null","null",,,425877,,"180922_200636","-2.9462","-121.5461","-1.0035","13.9319","26.0990","-33.5669","3.4459","1.6095","null","null","null","81.5630","2216","5.1730",531725,593372,425877,572761,622168,576397,657557,542303,664056,641933,"55.3250","null","null","null","null","null","null","null",76,"4","Slider",4,4,4,4,4,4,4,4,"Strategic","Standard"
