"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-06-30","82.6","-2.4380","4.5590","Cory Gearrin",571974,518715,"null","called_strike",,,,,"5","null","R","R","R","ARI","SF","S","null","null",0,0,2018,"1.0035","0.3487","0.1824","2.1552","null","null","605113.00",2,9,"Bot","null","null",,,457763,,"180701_050025","4.0047","-119.9691","0.4229","8.5007","24.7477","-29.3022","3.0642","1.2528","null","null","null","80.8990","2787","5.3870",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"55.1155","null","null","null","null","null","null","null",76,"1","Slider",0,7,0,7,7,0,0,7,"Standard","Standard"
"SL","2018-06-30","82.3","-2.5112","4.6705","Cory Gearrin",605113,518715,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",1,1,2018,"0.6203","0.4181","1.0888","1.9005","null","null","null",2,9,"Bot","null","null",,,457763,,"180701_045916","6.8796","-119.5176","-0.4967","4.3832","23.7250","-28.4695","3.6011","1.6254","null","null","null","80.8020","2766","5.4480",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"55.0536","null","null","null","null","null","null","null",75,"3","Slider",0,7,0,7,7,0,0,7,"Standard","Standard"
"SI","2018-06-30","91.9","-2.2616","4.7035","Cory Gearrin",605113,518715,"null","called_strike",,,,,"14","null","R","R","R","ARI","SF","S","null","null",1,0,2018,"-1.4186","0.4003","0.8909","1.9912","null","null","null",2,9,"Bot","null","null",,,457763,,"180701_045853","10.8203","-133.2969","-1.7980","-18.8746","29.3794","-27.3801","3.7523","1.6725","null","null","null","90.5100","2297","5.6820",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"54.8202","null","null","null","null","null","null","null",75,"2","Sinker",0,7,0,7,7,0,0,7,"Standard","Standard"
"SI","2018-06-30","92.5","-2.2206","4.6038","Cory Gearrin",605113,518715,"null","ball",,,,,"14","null","R","R","R","ARI","SF","B","null","null",0,0,2018,"-1.5934","0.4063","1.1767","2.3914","null","null","null",2,9,"Bot","null","null",,,457763,,"180701_045831","11.8781","-133.9752","-0.6286","-21.3803","29.5804","-27.5035","3.6582","1.7397","null","null","null","91.0920","2273","5.7490",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"54.7531","null","null","null","null","null","null","null",75,"1","Sinker",0,7,0,7,7,0,0,7,"Standard","Standard"
"SI","2018-06-30","92.7","-2.1805","4.6098","Cory Gearrin",518614,518715,"null","called_strike",,,,,"8","null","R","L","R","ARI","SF","S","null","null",1,1,2018,"-1.7503","-0.1851","0.1451","1.3843","null","null","null",1,9,"Bot","null","null",,,457763,,"180701_045652","9.5075","-134.3257","-1.9143","-22.7810","32.3558","-34.1599","3.2122","1.4645","null","null","null","90.7990","2340","5.6270",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"54.8754","null","null","null","null","null","null","null",74,"3","Sinker",0,7,0,7,7,0,0,7,"Infield shift","Standard"
"CH","2018-06-30","86.5","-2.2414","4.3766","Cory Gearrin",518614,518715,"null","ball",,,,,"14","null","R","L","R","ARI","SF","B","null","null",0,1,2018,"-1.5253","-0.3122","0.0992","0.8745","null","null","null",1,9,"Bot","null","null",,,457763,,"180701_045629","8.4357","-125.3793","-1.3822","-17.3921","28.4255","-35.3184","3.2693","1.4645","null","null","null","84.5250","2300","5.4980",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"55.0041","null","null","null","null","null","null","null",74,"2","Changeup",0,7,0,7,7,0,0,7,"Infield shift","Standard"
"SI","2018-06-30","92.7","-2.1939","4.6330","Cory Gearrin",518614,518715,"null","called_strike",,,,,"13","null","R","L","R","ARI","SF","S","null","null",0,0,2018,"-1.7553","-0.0124","-0.8308","1.5669","null","null","null",1,9,"Bot","null","null",,,457763,,"180701_045610","7.1194","-134.5262","-1.8779","-22.3480","33.3674","-32.1405","3.2122","1.5217","null","null","null","90.8620","2347","5.6540",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"54.8479","null","null","null","null","null","null","null",74,"1","Sinker",0,7,0,7,7,0,0,7,"Infield shift","Standard"
"CH","2018-06-30","86.0","-2.1917","4.3740","Cory Gearrin",444482,518715,"null","ball",,,,,"14","null","R","L","R","ARI","SF","B","null","null",0,1,2018,"-1.4612","-0.2162","0.9690","1.3384","null","null","null",0,9,"Bot","null","null",,,457763,,"180701_045437","10.2610","-124.7337","-0.4631","-17.0470","25.7445","-34.5375","3.5609","1.6423","null","null","null","84.8630","2333","5.7940",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"54.7080","null","null","null","null","null","null","null",73,"2","Changeup",0,7,0,7,7,0,0,7,"Standard","Standard"
"SI","2018-06-30","90.6","-2.1449","4.7035","Cory Gearrin",444482,518715,"null","called_strike",,,,,"4","null","R","L","R","ARI","SF","S","null","null",0,0,2018,"-1.6215","0.1059","-0.5772","2.7008","null","null","null",0,9,"Bot","null","null",,,457763,,"180701_045412","7.1028","-131.5681","0.7238","-19.6931","28.6551","-31.4207","3.2754","1.5751","null","null","null","88.7810","2213","5.3350",530651,518715,457763,474832,605412,467055,543063,593700,491676,457705,"55.1673","null","null","null","null","null","null","null",73,"1","Sinker",0,7,0,7,7,0,0,7,"Standard","Standard"
"FF","2018-06-30","94.8","-1.0318","5.4680","Jimmie Sherfy",467055,642073,"null","ball",,,,,"11","null","R","L","R","ARI","SF","B","null","null",0,2,2018,"-0.4880","1.1894","-0.5021","5.1384","457763.00","474832.00","543063.00",2,9,"Top","null","null",,,571974,,"180701_045051","2.4309","-138.0024","2.1755","-6.6596","30.7804","-17.9909","3.2089","1.3232","null","null","null","94.0140","2171","5.8140",530651,642073,571974,502671,518614,571875,605113,444482,502481,445055,"54.6885","null","null","null","null","null","null","null",72,"3","4-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Standard"
