"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-05-20","88.4","-2.5656","6.2488","Hunter Strickland",467827,519326,"null","ball",,,,,"11","null","R","L","R","SF","COL","B","null","null",1,2,2018,"-1.2548","0.5657","-1.1441","3.2514","null","596115.00","null",2,9,"Top","null","null",,,457763,,"180520_232908","5.9317","-128.6340","-2.4013","-14.8012","24.3570","-25.7815","3.2825","1.5076","null","null","null","87.6850","1502","5.6430",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.8544","null","null","null","null","null","null","null",82,"4","Changeup",9,5,5,9,5,9,5,9,"Standard","Strategic"
"FT","2018-05-20","95.9","-3.0736","5.6039","Hunter Strickland",467827,519326,"null","ball",,,,,"11","null","R","L","R","SF","COL","B","null","null",0,2,2018,"-0.8838","1.1581","-2.0575","4.1491","null","596115.00","null",2,9,"Top","null","null",,,457763,,"180520_232844","4.5998","-139.6402","-0.8496","-12.3634","29.0469","-17.2750","3.3047","1.5187","null","null","null","95.4180","2528","5.8020",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6959","null","null","null","null","null","null","null",82,"3","2-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Strategic"
"FF","2018-05-20","96.2","-2.9580","5.7328","Hunter Strickland",467827,519326,"null","called_strike",,,,,"7","null","R","L","R","SF","COL","S","null","null",0,0,2018,"-0.6006","1.2036","-0.4473","1.6878","null","null","596115.00",2,9,"Top","null","null",,,457763,,"180520_232724","7.9213","-139.7698","-7.8088","-9.3633","27.1021","-15.1783","3.2704","1.5521","null","null","null","95.9130","2596","5.8970",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6005","null","null","null","null","null","null","null",82,"1","4-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Strategic"
"FT","2018-05-20","96.2","-2.9982","5.6524","Hunter Strickland",455104,519326,"null","called_strike",,,,,"7","null","R","R","R","SF","COL","S","null","null",2,1,2018,"-0.7508","0.8701","-0.6300","1.8837","null","null","596115.00",1,9,"Top","null","null",,,457763,,"180520_232532","7.8650","-139.7861","-6.2806","-11.4040","30.6093","-19.8124","3.2815","1.5562","null","null","null","95.3640","2534","5.8180",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6792","null","null","null","null","null","null","null",81,"4","2-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Standard"
"FF","2018-05-20","96.6","-2.9625","5.6827","Hunter Strickland",455104,519326,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",1,1,2018,"-0.6180","0.8159","1.0942","1.5241","null","null","596115.00",1,9,"Top","null","null",,,457763,,"180520_232503","12.0350","-140.0210","-7.2308","-10.6109","30.1790","-20.2609","3.2761","1.5489","null","null","null","95.6540","2546","5.8560",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6414","null","null","null","null","null","null","null",81,"3","4-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Standard"
"FT","2018-05-20","96.6","-2.8256","5.6749","Hunter Strickland",455104,519326,"null","ball",,,,,"13","null","R","R","R","SF","COL","B","null","null",0,1,2018,"-0.7023","0.8100","-1.7424","2.3481","null","null","596115.00",1,9,"Top","null","null",,,457763,,"180520_232437","4.4111","-140.5782","-5.1300","-10.1045","27.8646","-20.7222","3.3206","1.5711","null","null","null","96.3070","2465","5.8360",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6617","null","null","null","null","null","null","null",81,"2","2-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Standard"
"SL","2018-05-20","84.3","-2.9937","5.8290","Hunter Strickland",455104,519326,"null","called_strike",,,,,"5","null","R","R","R","SF","COL","S","null","null",0,0,2018,"1.0000","-0.6147","0.2390","2.2187","null","null","596115.00",1,9,"Top","null","null",,,457763,,"180520_232415","5.5075","-122.6388","-0.8600","8.8133","22.9949","-38.3083","3.3428","1.5610","null","null","null","83.3180","2723","5.5340",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.9637","null","null","null","null","null","null","null",81,"1","Slider",9,5,5,9,5,9,5,9,"Standard","Standard"
"FF","2018-05-20","97.4","-2.9262","5.7585","Hunter Strickland",596115,519326,"null","called_strike",,,,,"6","null","R","R","R","SF","COL","S","null","null",1,0,2018,"-0.4627","0.9079","0.6567","2.1993","null","null","null",1,9,"Top","null","null",,,457763,,"180520_232308","10.5387","-141.4111","-6.0414","-8.3070","29.1317","-19.1088","3.5035","1.5890","null","null","null","96.7260","2507","5.8130",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6845","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Standard"
"FF","2018-05-20","97.2","-2.8743","5.8686","Hunter Strickland",596115,519326,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,0,2018,"-0.4433","1.1834","0.7887","0.8795","null","null","null",1,9,"Top","null","null",,,457763,,"180520_232246","10.6559","-140.6953","-10.3056","-8.1514","31.1959","-14.6739","3.5257","1.5890","null","null","null","95.9560","2476","5.8150",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6823","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",9,5,5,9,5,9,5,9,"Standard","Standard"
"FF","2018-05-20","97.0","-2.8901","5.7237","Hunter Strickland",571448,519326,"null","called_strike",,,,,"9","null","R","R","R","SF","COL","S","null","null",0,0,2018,"-0.5829","1.4246","0.6018","1.8211","null","null","null",0,9,"Top","null","null",,,457763,,"180520_232133","10.5098","-140.5435","-7.9437","-9.9831","32.0281","-12.0622","3.3433","1.6012","null","null","null","95.7990","2506","5.8480",530096,519326,457763,474832,605509,446334,543063,453923,457706,491676,"54.6497","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",9,5,5,9,5,9,5,9,"Strategic","Standard"
