"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-07-07","96.3","-1.2799","5.8018","Bud Norris",596103,502032,"null","ball",,,,,"14","null","R","R","R","SF","STL","B","null","null",0,2,2018,"-0.9605","1.3292","0.0950","1.0965","null","null","null",2,9,"Bot","null","null",,,506747,,"180707_225554","5.7852","-139.8465","-9.8671","-13.8012","29.7894","-12.8899","3.5114","1.5385","null","null","null","96.0980","2515","6.1590",530743,502032,506747,572761,543939,576397,657557,542303,502054,451594,"54.3382","null","null","null","null","null","null","null",72,"3","2-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FC","2018-07-07","89.1","-1.3336","6.0562","Bud Norris",596103,502032,"null","called_strike",,,,,"3","null","R","R","R","SF","STL","S","null","null",0,0,2018,"0.0119","0.8519","0.6688","3.2944","null","null","null",2,9,"Bot","null","null",,,506747,,"180707_225502","4.8663","-129.6998","-2.5080","-0.8906","27.2757","-22.3946","3.5179","1.5441","null","null","null","88.6180","2484","5.9800",530743,502032,506747,572761,543939,576397,657557,542303,502054,451594,"54.5175","null","null","null","null","null","null","null",72,"1","Cutter",2,3,2,3,3,2,2,3,"Standard","Standard"
"FC","2018-07-07","87.4","-1.2575","5.9275","Bud Norris",467055,502032,"null","ball",,,,,"14","null","R","L","R","SF","STL","B","null","null",0,0,2018,"0.2148","0.3398","1.0020","2.1045","null","null","null",0,9,"Bot","null","null",,,506747,,"180707_225313","4.9535","-127.0714","-3.7025","1.2671","25.8965","-28.0629","2.9967","1.2453","null","null","null","86.4460","2527","5.7130",530743,502032,506747,572761,543939,576397,657557,542303,502054,451594,"54.7842","null","null","null","null","null","null","null",70,"1","Cutter",2,3,2,3,3,2,2,3,"Standard","Standard"
"FC","2018-07-07","89.8","-1.7664","6.1923","Mark Melancon",572761,453343,"null","ball",,,,,"11","null","R","L","R","SF","STL","B","null","null",1,1,2018,"0.0330","0.7101","-0.9040","3.5378","null","null","622168.00",2,9,"Top","null","null",,,460026,,"180707_224654","2.0630","-130.9016","-2.1857","0.0149","23.1979","-23.7791","3.5722","1.7336","null","null","null","90.2870","2358","6.1330",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.3648","null","null","null","null","null","null","null",69,"3","Cutter",2,3,3,2,3,2,3,2,"Infield shift","Standard"
"FC","2018-07-07","89.4","-1.7360","6.1883","Mark Melancon",572761,453343,"null","called_strike",,,,,"1","null","R","L","R","SF","STL","S","null","null",1,0,2018,"0.3278","0.6437","-0.5668","3.1457","null","null","622168.00",2,9,"Top","null","null",,,460026,,"180707_224607","2.1952","-130.2975","-2.9525","3.3821","22.1778","-24.4803","3.5444","1.7336","null","null","null","89.9540","2287","6.1190",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.3779","null","null","null","null","null","null","null",69,"2","Cutter",2,3,3,2,3,2,3,2,"Infield shift","Strategic"
"FC","2018-07-07","89.3","-1.7540","6.2719","Mark Melancon",572761,453343,"null","ball",,,,,"11","null","R","L","R","SF","STL","B","null","null",0,0,2018,"-0.1847","0.8165","-1.0574","3.9529","null","null","622168.00",2,9,"Top","null","null",,,460026,,"180707_224540","2.1085","-130.2436","-1.5049","-2.5090","24.0971","-22.7217","3.4285","1.6857","null","null","null","89.9950","2382","6.3220",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.1750","null","null","null","null","null","null","null",69,"1","Cutter",2,3,3,2,3,2,3,2,"Infield shift","Strategic"
"FC","2018-07-07","89.5","-1.8757","6.2395","Mark Melancon",622168,453343,"walk","ball",,,,,"12","Yairo Munoz walks.  ","R","R","R","SF","STL","B","null","null",3,0,2018,"0.2661","0.5505","0.0592","3.4177","null","null","null",2,9,"Top","null","null",,,460026,,"180707_224457","4.1985","-130.3425","-2.1310","2.1617","26.1251","-25.7589","3.2222","1.3762","null","null","null","89.2220","2281","5.9660",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.5315","null","null","0.70",1,0,0,"null",68,"4","Cutter",2,3,3,2,3,2,3,2,"Standard","Standard"
"FC","2018-07-07","90.5","-1.6994","6.2589","Mark Melancon",622168,453343,"null","ball",,,,,"12","null","R","R","R","SF","STL","B","null","null",2,0,2018,"0.2584","0.4633","0.1707","4.0526","null","null","null",2,9,"Top","null","null",,,460026,,"180707_224436","4.1140","-131.8592","-0.6209","2.2317","25.1490","-26.8486","3.2222","1.3762","null","null","null","90.7830","2249","6.1590",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.3381","null","null","null","null","null","null","null",68,"3","Cutter",2,3,3,2,3,2,3,2,"Standard","Standard"
"KC","2018-07-07","83.0","-1.5842","6.2721","Mark Melancon",622168,453343,"null","ball",,,,,"14","null","R","R","R","SF","STL","B","null","null",1,0,2018,"0.2407","-0.9734","1.1171","0.9090","null","null","null",2,9,"Top","null","null",,,460026,,"180707_224410","5.6540","-120.6507","-3.9024","1.2314","22.8934","-40.9936","3.2701","1.3762","null","null","null","82.1590","2628","5.7250",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.7721","null","null","null","null","null","null","null",68,"2","Knuckle Curve",2,3,3,2,3,2,3,2,"Standard","Standard"
"KC","2018-07-07","82.2","-1.4714","6.3045","Mark Melancon",622168,453343,"null","ball",,,,,"11","null","R","R","R","SF","STL","B","null","null",0,0,2018,"0.6304","-1.2341","-0.6792","3.9685","null","null","null",2,9,"Top","null","null",,,460026,,"180707_224349","0.5939","-119.6380","3.5269","5.8430","22.4429","-44.7272","3.2701","1.3762","null","null","null","81.6130","2668","5.8160",530743,453343,460026,474832,593700,467055,543063,596103,491676,457705,"54.6811","null","null","null","null","null","null","null",68,"1","Knuckle Curve",2,3,3,2,3,2,3,2,"Standard","Standard"
