"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-05-02","78.3","1.1112","6.4557","D.J. Snelten",543333,592769,"null","ball",,,,,"13","null","R","L","L","SF","SD","B","null","null",0,0,2018,"0.8888","0.4088","-1.2252","2.0387","454560.00","null","622534.00",2,9,"Top","null","null",,,460026,,"180502_224326","-6.6822","-113.9062","-3.5058","8.8752","18.2349","-28.2109","3.6419","1.6104","null","null","null","78.7530","2012","6.3340",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.1634","null","null","null","null","null","null","null",82,"1","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
"CH","2018-05-02","74.3","1.1390","6.5617","D.J. Snelten",622534,592769,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",1,1,2018,"0.9907","0.3792","0.4062","4.3322","null","454560.00","608671.00",1,9,"Top","null","null",,,460026,,"180502_224221","-3.2168","-108.1630","1.9735","8.2885","18.3090","-29.7608","3.4943","1.5746","null","null","null","74.2670","1917","6.1730",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.3240","null","null","null","null","null","null","null",81,"3","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","90.2","1.4321","6.6461","D.J. Snelten",622534,592769,"null","ball",,,,,"14","null","R","R","L","SF","SD","B","null","null",0,1,2018,"0.7447","0.9357","0.9048","2.3010","null","454560.00","608671.00",1,9,"Top","null","null",,,460026,,"180502_224202","-2.8739","-131.3078","-6.8646","9.1663","25.1551","-20.2365","3.6293","1.5746","null","null","null","90.3700","1729","6.1560",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.3412","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"CH","2018-05-02","76.4","1.0736","6.5798","D.J. Snelten",622534,592769,"null","called_strike",,,,,"2","null","R","R","L","SF","SD","S","null","null",0,0,2018,"0.8498","0.2389","-0.0373","3.1993","null","454560.00","608671.00",1,9,"Top","null","null",,,460026,,"180502_224146","-3.8559","-111.3145","-0.5947","7.7016","18.1415","-30.2912","3.3592","1.3269","null","null","null","76.6530","1946","6.1940",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.3036","null","null","null","null","null","null","null",81,"1","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","89.4","1.4525","6.5427","D.J. Snelten",608671,592769,"null","called_strike",,,,,"6","null","R","L","L","SF","SD","S","null","null",2,0,2018,"1.0564","0.7859","0.3291","2.5122","null","null","454560.00",1,9,"Top","null","null",,,460026,,"180502_224056","-4.9860","-130.1167","-5.6196","13.0043","25.2160","-22.3301","3.3540","1.4922","null","null","null","89.6920","1768","6.2850",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.2123","null","null","null","null","null","null","null",80,"3","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","88.0","1.4980","6.4783","D.J. Snelten",608671,592769,"null","ball",,,,,"1","null","R","L","L","SF","SD","B","null","null",1,0,2018,"0.4053","0.8815","-0.3437","3.4134","null","null","454560.00",1,9,"Top","null","null",,,460026,,"180502_224041","-5.2996","-128.1565","-3.2396","5.4270","22.5537","-22.0164","3.3380","1.4378","null","null","null","88.4980","1649","6.2240",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.2737","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","88.8","1.3738","6.5335","D.J. Snelten",608671,592769,"null","ball",,,,,"12","null","R","L","L","SF","SD","B","null","null",0,0,2018,"0.7601","0.9773","0.9834","3.7376","null","null","454560.00",1,9,"Top","null","null",,,460026,,"180502_223958","-2.5141","-129.3808","-2.8697","8.9711","24.5530","-20.9193","3.4387","1.4875","null","null","null","88.8050","1724","6.0190",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.4788","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","88.5","1.2218","6.4902","D.J. Snelten",454560,592769,"walk","ball",,,,,"12","A.  J.   Ellis walks.  ","R","R","L","SF","SD","B","null","null",3,1,2018,"0.4502","0.8482","1.2508","3.6728","null","null","null",1,9,"Top","null","null",,,460026,,"180502_223906","-0.8558","-129.0920","-2.7060","5.2127","20.8711","-22.3522","3.4909","1.5924","null","null","null","89.2360","1803","6.1170",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.3802","null","null","0.70",1,0,0,"null",79,"5","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","89.0","1.4361","6.5420","D.J. Snelten",454560,592769,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",2,1,2018,"0.8314","0.6568","1.7380","3.3635","null","null","null",1,9,"Top","null","null",,,460026,,"180502_223848","-0.9765","-129.6943","-3.1990","9.5449","23.8812","-24.3894","3.4963","1.5521","null","null","null","89.1720","1575","6.0490",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.4488","null","null","null","null","null","null","null",79,"4","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"CH","2018-05-02","77.4","1.0593","6.5848","D.J. Snelten",454560,592769,"null","ball",,,,,"14","null","R","R","L","SF","SD","B","null","null",1,1,2018,"1.0064","0.2224","0.1341","1.2105","null","null","null",1,9,"Top","null","null",,,460026,,"180502_223835","-3.7915","-112.7215","-5.0697","9.2144","16.3215","-29.7014","3.4738","1.5296","null","null","null","77.9920","2073","6.2110",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.2860","null","null","null","null","null","null","null",79,"3","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
