"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-11","92.8","-2.9677","5.8108","Richard Rodriguez",446334,593144,"null","called_strike",,,,,"9","null","R","R","R","PIT","SF","S","null","null",0,0,2018,"-1.2380","1.1322","0.3141","2.3413","null","null","457763.00",1,9,"Top","null","null",,,465041,,"180512_022546","11.0373","-134.6588","-5.5041","-17.3509","28.5730","-17.4969","3.7926","1.7226","null","null","null","92.4890","2410","6.2080",529981,593144,465041,605137,621559,501896,474568,446481,516782,570256,"54.2914","null","null","null","null","null","null","null",82,"1","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-11","92.1","-2.8972","5.9404","Richard Rodriguez",474832,593144,"null","ball",,,,,"11","null","R","L","R","PIT","SF","B","null","null",1,1,2018,"-0.9723","1.3830","-0.1851","3.6733","null","null","457763.00",0,9,"Top","null","null",,,465041,,"180512_022430","9.0837","-133.8396","-2.9431","-13.8301","30.0346","-14.9452","3.3837","1.6136","null","null","null","92.5230","2306","6.7050",529981,593144,465041,605137,621559,501896,474568,446481,516782,570256,"53.7940","null","null","null","null","null","null","null",81,"3","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Standard"
"FF","2018-05-11","91.9","-2.9825","5.9518","Richard Rodriguez",474832,593144,"null","ball",,,,,"11","null","R","L","R","PIT","SF","B","null","null",0,1,2018,"-1.1600","1.3868","-1.3334","3.7541","null","null","457763.00",0,9,"Top","null","null",,,465041,,"180512_022410","6.7938","-133.7831","-2.7709","-15.6135","30.3828","-14.9260","3.3000","1.5927","null","null","null","92.5330","2304","6.7630",529981,593144,465041,605137,621559,501896,474568,446481,516782,570256,"53.7357","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",11,2,2,11,2,11,2,11,"Infield shift","Standard"
"FF","2018-05-11","92.3","-3.2617","5.8488","Richard Rodriguez",457763,593144,"null","called_strike",,,,,"9","null","R","R","R","PIT","SF","S","null","null",1,0,2018,"-0.8822","1.1050","0.6328","1.9314","null","null","null",0,9,"Top","null","null",,,465041,,"180512_022258","11.7511","-133.8436","-6.4769","-13.0248","27.9892","-17.7997","3.6675","1.6647","null","null","null","91.9340","2244","6.1920",529981,593144,465041,605137,621559,501896,474568,446481,516782,570256,"54.3068","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-11","91.6","-3.1148","5.8818","Richard Rodriguez",457763,593144,"null","ball",,,,,"14","null","R","R","R","PIT","SF","B","null","null",0,0,2018,"-0.9207","1.1677","0.9530","2.1850","null","null","null",0,9,"Top","null","null",,,465041,,"180512_022246","12.1964","-132.7654","-5.9314","-13.3887","27.2138","-17.3577","3.6474","1.6438","null","null","null","91.3600","2225","6.2670",529981,593144,465041,605137,621559,501896,474568,446481,516782,570256,"54.2318","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",11,2,2,11,2,11,2,11,"Standard","Standard"
"FF","2018-05-11","98.0","-0.8852","5.2202","Reyes Moronta",605137,606625,"null","ball",,,,,"13","null","R","L","R","PIT","SF","B","null","null",2,2,2018,"-0.3858","1.3986","-1.3881","0.8797","null","null","516782.00",2,8,"Bot","null","null",,,457763,,"180512_021948","-0.4727","-142.5092","-9.4617","-5.1576","30.2412","-11.3093","3.6622","1.7025","null","null","null","98.0820","2595","6.2010",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.2980","null","null","null","null","null","null","null",79,"6","4-Seam Fastball",11,2,11,2,2,11,11,2,"Strategic","Standard"
"FF","2018-05-11","97.9","-0.7342","5.3143","Reyes Moronta",605137,606625,"null","ball",,,,,"13","null","R","L","R","PIT","SF","B","null","null",1,2,2018,"-0.4750","1.2924","-0.4191","1.4535","null","null","516782.00",2,8,"Bot","null","null",,,457763,,"180512_021925","1.9282","-142.4755","-7.9027","-6.8594","29.9329","-13.1608","3.6622","1.7130","null","null","null","97.9300","2529","6.1080",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.3909","null","null","null","null","null","null","null",79,"5","4-Seam Fastball",11,2,11,2,2,11,11,2,"Strategic","Standard"
"SL","2018-05-11","87.3","-1.1980","5.0385","Reyes Moronta",605137,606625,"null","ball",,,,,"14","null","R","L","R","PIT","SF","B","null","null",0,2,2018,"0.7344","0.5286","0.5025","1.3677","null","null","516782.00",2,8,"Bot","null","null",,,457763,,"180512_021905","2.5950","-127.1971","-3.8156","7.4451","22.5139","-26.0188","3.6622","1.7235","null","null","null","87.1540","2663","5.8210",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.6783","null","null","null","null","null","null","null",79,"4","Slider",11,2,11,2,2,11,11,2,"Strategic","Standard"
"SL","2018-05-11","81.2","-1.1836","5.1173","Reyes Moronta",605137,606625,"null","called_strike",,,,,"8","null","R","L","R","PIT","SF","S","null","null",0,0,2018,"0.7007","-0.2123","-0.1779","1.5377","null","null","516782.00",2,8,"Bot","null","null",,,457763,,"180512_021733","0.9358","-118.2126","-0.9984","6.2187","22.7231","-34.1755","3.4652","1.6307","null","null","null","80.2240","2654","5.6100",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.8887","null","null","null","null","null","null","null",79,"1","Slider",11,2,11,2,2,11,11,2,"Strategic","Standard"
"FF","2018-05-11","96.4","-0.7078","5.2737","Reyes Moronta",516782,606625,"null","ball",,,,,"14","null","R","R","R","PIT","SF","B","null","null",0,1,2018,"-0.2301","1.2146","1.5923","0.1752","null","null","null",2,8,"Bot","null","null",,,457763,,"180512_021606","6.5952","-139.9906","-10.6872","-4.3538","28.1938","-14.2539","3.7492","1.6132","null","null","null","96.3410","2621","6.1270",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.3721","null","null","null","null","null","null","null",78,"2","4-Seam Fastball",11,2,11,2,2,11,11,2,"Strategic","Standard"
"SL","2018-05-11","85.7","-1.0657","5.1686","Reyes Moronta",516782,606625,"null","called_strike",,,,,"3","null","R","R","R","PIT","SF","S","null","null",0,0,2018,"1.0722","0.3649","0.5309","3.1072","null","null","null",2,8,"Bot","null","null",,,457763,,"180512_021549","1.6530","-124.6816","0.6721","10.4950","25.2449","-28.8879","3.7500","1.6245","null","null","null","84.3580","2693","5.4370",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"55.0620","null","null","null","null","null","null","null",78,"1","Slider",11,2,11,2,2,11,11,2,"Strategic","Standard"
"SL","2018-05-11","84.1","-0.9005","5.0901","Reyes Moronta",570256,606625,"null","ball",,,,,"14","null","R","L","R","PIT","SF","B","null","null",2,2,2018,"0.9520","0.1295","1.4227","1.5499","null","null","null",1,8,"Bot","null","null",,,457763,,"180512_021451","3.5070","-122.3703","-2.0739","8.6969","23.2477","-30.7472","3.9037","1.8945","null","null","null","83.2730","2519","5.6610",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.8386","null","null","null","null","null","null","null",77,"7","Slider",11,2,11,2,2,11,11,2,"Infield shift","Standard"
"FF","2018-05-11","96.7","-0.7028","5.4940","Reyes Moronta",570256,606625,"null","ball",,,,,"13","null","R","L","R","PIT","SF","B","null","null",1,2,2018,"-0.4131","1.5152","-1.0290","2.4739","null","null","null",1,8,"Bot","null","null",,,457763,,"180512_021410","0.0567","-140.7791","-5.8916","-5.4475","30.5165","-11.1839","3.8932","1.8840","null","null","null","96.3460","2534","5.9590",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.5404","null","null","null","null","null","null","null",77,"5","4-Seam Fastball",11,2,11,2,2,11,11,2,"Infield shift","Standard"
"SL","2018-05-11","83.9","-1.1000","5.1916","Reyes Moronta",570256,606625,"null","called_strike",,,,,"4","null","R","L","R","PIT","SF","S","null","null",1,0,2018,"0.9590","0.3241","-0.7139","2.6830","null","null","null",1,8,"Bot","null","null",,,457763,,"180512_021315","-0.9308","-122.0340","-0.0009","9.4737","24.8869","-29.3034","3.9769","1.8853","null","null","null","82.5860","2601","5.5170",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"54.9825","null","null","null","null","null","null","null",77,"2","Slider",11,2,11,2,2,11,11,2,"Infield shift","Standard"
"SL","2018-05-11","79.6","-1.1473","5.4165","Reyes Moronta",570256,606625,"null","ball",,,,,"11","null","R","L","R","PIT","SF","B","null","null",0,0,2018,"0.5263","-0.2124","-1.0738","3.0948","null","null","null",1,8,"Bot","null","null",,,457763,,"180512_021303","-0.7796","-115.6759","2.0641","4.7075","23.3264","-34.7099","3.9037","1.8840","null","null","null","78.0270","2533","5.4340",529981,606625,457763,474832,593700,446334,543063,453923,457706,457705,"55.0654","null","null","null","null","null","null","null",77,"1","Slider",11,2,11,2,2,11,11,2,"Infield shift","Standard"
"SI","2018-05-11","92.4","3.3642","5.0406","Tony Watson",621559,453265,"null","ball",,,,,"11","null","R","R","L","PIT","SF","B","null","null",1,1,2018,"1.2458","0.9742","-1.1293","2.7849","446481.00","null","624428.00",1,8,"Bot","null","null",,,457763,,"180512_020907","-14.0480","-133.7937","-1.9645","17.9312","29.1563","-20.3431","3.2396","1.4816","null","null","null","91.7600","2440","6.2000",529981,453265,457763,474832,593700,446334,543063,453923,457706,457705,"54.2989","null","null","null","null","null","null","null",76,"3","Sinker",8,2,8,2,2,8,8,2,"Strategic","Standard"
"CH","2018-05-11","86.2","3.3434","4.9891","Tony Watson",621559,453265,"null","ball",,,,,"14","null","R","R","L","PIT","SF","B","null","null",0,1,2018,"1.8885","0.6540","0.5656","0.9272","446481.00","null","624428.00",1,8,"Bot","null","null",,,457763,,"180512_020844","-10.1335","-124.7900","-4.5129","21.2917","27.3541","-24.8585","3.2395","1.4813","null","null","null","84.3310","2531","5.5570",529981,453265,457763,474832,593700,446334,543063,453923,457706,457705,"54.9418","null","null","null","null","null","null","null",76,"2","Changeup",8,2,8,2,2,8,8,2,"Strategic","Standard"
"SI","2018-05-11","91.5","3.3431","5.0391","Tony Watson",621559,453265,"null","called_strike",,,,,"7","null","R","R","L","PIT","SF","S","null","null",0,0,2018,"1.1196","1.0025","-0.3373","1.7165","446481.00","null","624428.00",1,8,"Bot","null","null",,,457763,,"180512_020827","-11.5889","-132.5663","-4.5408","15.6449","29.7297","-19.7111","3.3018","1.5754","null","null","null","90.6450","2435","6.1220",529981,453265,457763,474832,593700,446334,543063,453923,457706,457705,"54.3768","null","null","null","null","null","null","null",76,"1","Sinker",8,2,8,2,2,8,8,2,"Strategic","Standard"
"SL","2018-05-11","84.4","3.3523","5.0031","Tony Watson",624428,453265,"walk","ball",,,,,"13","Adam Frazier walks.  ","R","L","L","PIT","SF","B","null","null",3,1,2018,"-0.2345","0.1161","-1.1875","1.2687","446481.00","null","null",1,8,"Bot","null","null",,,457763,,"180512_020749","-9.9492","-122.4138","-2.4867","-0.3780","23.6748","-30.8006","3.3603","1.4713","null","null","null","83.1910","2392","5.6230",529981,453265,457763,474832,593700,446334,543063,453923,457706,457705,"54.8757","null","null","0.70",1,0,0,"null",75,"5","Slider",8,2,8,2,2,8,8,2,"Strategic","Standard"
