"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-06-03","79.3","-1.0681","5.2875","Reyes Moronta",622226,606625,"null","ball",,,,,"12","null","R","L","R","SF","PHI","B","null","null",0,0,2018,"1.0682","0.1058","0.9259","3.4590","null","null","null",2,9,"Top","null","null",,,457763,,"180603_223940","2.3822","-115.4310","2.5336","8.9758","20.8314","-31.9330","3.3155","1.6541","null","null","null","78.8010","2602","5.8510",530294,606625,457763,467055,605412,446334,543063,607776,491676,457705,"54.6464","null","null","null","null","null","null","null",67,"1","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2018-06-03","84.3","-1.3689","5.0148","Reyes Moronta",571437,606625,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",0,2,2018,"1.3461","-0.5253","0.6302","0.1523","null","null","null",1,9,"Top","null","null",,,457763,,"180603_223850","2.0072","-122.6004","-3.8325","12.8343","25.4554","-36.8059","3.8511","1.8653","null","null","null","83.2910","2621","5.7630",530294,606625,457763,467055,605412,446334,543063,607776,491676,457705,"54.7344","null","null","null","null","null","null","null",66,"3","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"FF","2018-06-03","97.6","-0.7919","5.4045","Reyes Moronta",571437,606625,"null","called_strike",,,,,"5","null","R","R","R","SF","PHI","S","null","null",0,0,2018,"-0.3074","1.1466","0.2733","3.0192","null","null","null",1,9,"Top","null","null",,,457763,,"180603_223818","3.5613","-142.2333","-3.5974","-4.9008","28.8947","-16.0632","3.8611","2.0685","null","null","null","97.9420","2349","6.1440",530294,606625,457763,467055,605412,446334,543063,607776,491676,457705,"54.3535","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",6,1,1,6,1,6,1,6,"Standard","Standard"
"FF","2018-06-03","94.7","-2.0642","5.4296","Hector Neris",457705,593576,"null","ball",,,,,"11","null","R","R","R","SF","PHI","B","null","null",2,1,2018,"-0.7278","1.4990","-0.5210","3.9698","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223320","5.6229","-137.8328","-1.4785","-10.4298","29.2060","-13.0480","3.3518","1.6069","null","null","null","94.6430","2520","6.1370",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"54.3602","null","null","null","null","null","null","null",63,"4","4-Seam Fastball",6,1,6,1,1,6,6,1,"Infield shift","Strategic"
"FS","2018-06-03","86.3","-1.8280","5.8495","Hector Neris",457705,593576,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",1,1,2018,"-0.7260","-0.2519","1.1479","1.5222","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223300","8.3329","-125.3705","-3.5503","-8.9785","23.1744","-34.3423","3.3067","1.6521","null","null","null","84.9890","1370","5.3370",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"55.1605","null","null","null","null","null","null","null",63,"3","Split Finger",6,1,6,1,1,6,6,1,"Infield shift","Strategic"
"FT","2018-06-03","94.9","-1.9410","5.6631","Hector Neris",457705,593576,"null","called_strike",,,,,"11","null","R","R","R","SF","PHI","S","null","null",1,0,2018,"-1.3732","1.0246","-0.8537","2.6203","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223245","5.9241","-138.0765","-4.6465","-18.9006","27.7769","-18.2186","3.2841","1.5618","null","null","null","95.4250","2346","6.3830",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"54.1149","null","null","null","null","null","null","null",63,"2","2-Seam Fastball",6,1,6,1,1,6,6,1,"Infield shift","Strategic"
"FF","2018-06-03","95.7","-2.1694","5.5859","Hector Neris",457705,593576,"null","ball",,,,,"11","null","R","R","R","SF","PHI","B","null","null",0,0,2018,"-0.9255","1.4450","-2.1874","2.7073","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223228","2.0052","-139.4269","-5.2568","-12.4447","27.6719","-12.5243","3.2841","1.6069","null","null","null","95.8570","2545","6.0500",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"54.4476","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",6,1,6,1,1,6,6,1,"Infield shift","Strategic"
"FS","2018-06-03","85.8","-1.8985","5.9754","Hector Neris",457763,593576,"null","ball",,,,,"7","null","R","R","R","SF","PHI","B","null","null",2,0,2018,"-1.0879","-0.6142","-0.6740","1.5030","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223121","4.9100","-124.6097","-3.0295","-11.9259","25.7950","-37.9821","3.4528","1.5475","null","null","null","84.0410","1308","5.3090",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"55.1889","null","null","null","null","null","null","null",62,"3","Split Finger",5,1,5,1,1,5,5,1,"Standard","Standard"
"FF","2018-06-03","94.5","-2.2215","5.6245","Hector Neris",457763,593576,"null","ball",,,,,"11","null","R","R","R","SF","PHI","B","null","null",1,0,2018,"-0.8657","1.2588","-2.0467","3.4496","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223100","2.3107","-137.5649","-2.7373","-11.2863","28.1652","-16.1196","3.4980","1.6378","null","null","null","93.8610","2510","5.7170",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"54.7800","null","null","null","null","null","null","null",62,"2","4-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard"
"FF","2018-06-03","94.4","-2.3236","5.7482","Hector Neris",457763,593576,"null","ball",,,,,"11","null","R","R","R","SF","PHI","B","null","null",0,0,2018,"-0.8564","1.4234","-2.2184","3.2712","null","null","null",2,8,"Bot","null","null",,,595751,,"180603_223042","2.1252","-137.3492","-3.8279","-11.1204","30.6876","-13.8663","3.3626","1.5926","null","null","null","93.6180","2482","5.8530",530294,593576,595751,467793,514917,596748,664068,608384,546318,571437,"54.6446","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",5,1,5,1,1,5,5,1,"Standard","Standard"
