"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-09-03","84.3","-1.5527","6.2157","Wade Davis",460026,451584,"strikeout","called_strike",,,,,"4","Nick Hundley called out on strikes.  ","R","R","R","COL","SF","S",2,"null",3,2,2018,"0.3886","-0.7196","-0.4888","2.4930","null","null","null",2,9,"Top","null","null",,,455104,,"180903_223044","1.7027","-122.7569","-0.9843","3.5858","20.7697","-39.3947","3.3691","1.6601","null","null","null","83.8670","2470","5.6440",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.8574","null","null","0.00",1,0,0,"null",78,"6","Knuckle Curve",9,8,8,9,8,9,8,9,"Standard","Standard"
"FF","2018-09-03","94.5","-1.5238","6.3948","Wade Davis",460026,451584,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",2,1,2018,"-0.0032","0.8218","0.1890","0.3407","null","null","null",2,9,"Top","null","null",,,455104,,"180903_222941","4.4331","-137.3210","-11.8828","-0.8226","24.2339","-19.8643","3.3691","1.5133","null","null","null","94.5430","2455","5.9440",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.5575","null","null","null","null","null","null","null",78,"4","4-Seam Fastball",9,8,8,9,8,9,8,9,"Standard","Standard"
"FF","2018-09-03","93.9","-1.3820","6.3726","Wade Davis",460026,451584,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",1,1,2018,"-0.1687","0.9485","2.2953","1.6992","null","null","null",2,9,"Top","null","null",,,455104,,"180903_222915","9.8678","-136.4036","-8.5355","-3.8500","23.7412","-18.8752","3.3691","1.6014","null","null","null","94.4940","2531","6.2710",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.2303","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",9,8,8,9,8,9,8,9,"Standard","Standard"
"FC","2018-09-03","87.4","-1.5188","6.3140","Wade Davis",460026,451584,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,0,2018,"0.2551","0.2244","1.2051","-0.6364","null","null","null",2,9,"Top","null","null",,,455104,,"180903_222829","6.0109","-126.9609","-11.1047","1.8243","20.1779","-28.1415","3.3691","1.5720","null","null","null","87.7290","2769","6.1000",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.4020","null","null","null","null","null","null","null",78,"1","Cutter",9,8,8,9,8,9,8,9,"Standard","Standard"
"FF","2018-09-03","93.1","-1.4979","6.4097","Wade Davis",446334,451584,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",1,0,2018,"0.0954","0.8461","0.9650","0.5286","null","null","null",1,9,"Top","null","null",,,455104,,"180903_222623","6.0942","-135.3081","-11.2436","0.1783","22.3676","-19.9661","3.7094","1.6894","null","null","null","93.7270","2471","6.1940",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.3078","null","null","null","null","null","null","null",77,"2","4-Seam Fastball",9,8,8,9,8,9,8,9,"Infield shift","Strategic"
"FF","2018-09-03","92.3","-1.8763","6.3177","Wade Davis",446334,451584,"null","ball",,,,,"12","null","R","R","R","COL","SF","B","null","null",0,0,2018,"0.0389","0.9850","1.0120","3.4460","null","null","null",1,9,"Top","null","null",,,455104,,"180903_222606","7.2525","-134.3988","-3.7528","-0.6736","21.3305","-19.6498","3.8270","1.6601","null","null","null","93.1470","2388","6.1690",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.3325","null","null","null","null","null","null","null",77,"1","4-Seam Fastball",9,8,8,9,8,9,8,9,"Infield shift","Strategic"
"FF","2018-09-03","94.2","-2.0594","6.2652","Wade Davis",474832,451584,"strikeout","called_strike",,,,,"7","Brandon Belt called out on strikes.  ","R","L","R","COL","SF","S",2,"null",1,2,2018,"-0.1286","1.0840","-0.5461","1.8964","null","null","null",0,9,"Top","null","null",,,455104,,"180903_222531","4.1912","-137.1598","-8.0986","-2.3551","23.7455","-17.2153","3.2979","1.4840","null","null","null","94.6180","2370","6.0220",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.4799","null","null","0.00",1,0,0,"null",76,"4","4-Seam Fastball",9,8,8,9,8,9,8,9,"Infield shift","Strategic"
"FC","2018-09-03","86.5","-2.2379","6.2071","Wade Davis",474832,451584,"null","ball",,,,,"14","null","R","L","R","COL","SF","B","null","null",0,2,2018,"0.3730","-0.0280","1.3620","0.8132","null","null","null",0,9,"Top","null","null",,,455104,,"180903_222513","7.7729","-125.8528","-6.6783","2.7546","19.5206","-31.6193","3.2392","1.4840","null","null","null","86.5960","2709","5.8410",531474,451584,455104,435622,518934,571448,596115,467827,453568,471865,"54.6604","null","null","null","null","null","null","null",76,"3","Cutter",9,8,8,9,8,9,8,9,"Infield shift","Strategic"
"SI","2018-09-03","93.2","3.5299","5.1181","Tony Watson",518934,453265,"null","called_strike",,,,,"2","null","R","R","L","COL","SF","S","null","null",0,0,2018,"1.0883","0.8269","-0.2013","3.1205","null","null","571595.00",2,8,"Bot","null","null",,,460026,,"180903_222030","-11.6997","-135.2801","-1.1862","15.2434","24.0048","-22.1667","3.6507","1.6307","null","null","null","92.4090","2358","5.5460",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.9563","null","null","null","null","null","null","null",75,"1","Sinker",9,8,9,8,8,9,9,8,"Standard","Standard"
"CH","2018-09-03","87.4","3.5843","5.0056","Tony Watson",453568,453265,"null","called_strike",,,,,"7","null","R","L","L","COL","SF","S","null","null",1,1,2018,"1.3587","0.6382","-0.7379","1.7171","null","null","571595.00",1,8,"Bot","null","null",,,460026,,"180903_221849","-12.8776","-126.6720","-3.0807","16.4874","20.0568","-25.0994","3.5625","1.5987","null","null","null","86.6440","2398","5.5370",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.9651","null","null","null","null","null","null","null",74,"3","Changeup",9,8,9,8,8,9,9,8,"Standard","Standard"
"SI","2018-09-03","93.8","3.3987","5.0508","Tony Watson",453568,453265,"null","ball",,,,,"11","null","R","L","L","COL","SF","B","null","null",0,1,2018,"0.7203","0.8178","-0.8993","3.4829","null","null","571595.00",1,8,"Bot","null","null",,,460026,,"180903_221826","-12.5566","-136.1789","-0.2136","11.0394","22.1631","-22.1008","3.4891","1.5987","null","null","null","93.9370","2387","5.9300",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.5722","null","null","null","null","null","null","null",74,"2","Sinker",9,8,9,8,8,9,9,8,"Standard","Standard"
"SI","2018-09-03","93.4","3.4886","5.0285","Tony Watson",471865,453265,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",1,2,2018,"1.0780","0.3795","-0.8261","1.0335","null","null","435622.00",0,8,"Bot","null","null",,,460026,,"180903_221605","-13.3216","-135.5382","-5.4119","15.5446","22.3471","-26.7590","3.3861","1.6014","null","null","null","93.5310","2306","5.9790",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.5224","null","null","null","null","null","null","null",71,"6","Sinker",7,8,7,8,8,7,7,8,"Infield shift","Standard"
"SL","2018-09-03","86.4","3.5391","5.0723","Tony Watson",471865,453265,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",0,2,2018,"-0.1716","0.1175","-1.9857","0.9425","null","null","435622.00",0,8,"Bot","null","null",,,460026,,"180903_221605","-12.5853","-125.2092","-3.8323","0.3579","21.2093","-30.5256","3.4091","1.5587","null","null","null","85.4180","2460","5.5290",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.9727","null","null","null","null","null","null","null",71,"3","Slider",7,8,7,8,8,7,7,8,"Infield shift","Standard"
"SI","2018-09-03","93.3","3.4795","5.1648","Tony Watson",471865,453265,"null","called_strike",,,,,"5","null","R","L","L","COL","SF","S","null","null",0,1,2018,"1.3134","0.3896","-0.1898","2.6737","null","null","435622.00",0,8,"Bot","null","null",,,460026,,"180903_221606","-12.0791","-135.3807","-1.5372","18.1555","24.0627","-27.3531","3.4091","1.5587","null","null","null","92.7600","2319","5.7170",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.7852","null","null","null","null","null","null","null",71,"2","Sinker",7,8,7,8,8,7,7,8,"Infield shift","Standard"
"SI","2018-09-03","93.8","3.4803","5.0769","Tony Watson",471865,453265,"null","called_strike",,,,,"3","null","R","L","L","COL","SF","S","null","null",0,0,2018,"1.4124","0.4804","0.4242","3.1566","null","null","435622.00",0,8,"Bot","null","null",,,460026,,"180903_221605","-10.7352","-136.0891","-0.3097","19.2642","25.7864","-26.4763","3.2686","1.5587","null","null","null","92.7690","2319","5.5400",531474,453265,460026,474832,593700,446334,543063,453923,491676,596103,"54.9619","null","null","null","null","null","null","null",71,"1","Sinker",7,8,7,8,8,7,7,8,"Infield shift","Standard"
"FF","2018-09-03","91.2","-2.6638","5.4429","Seunghwan Oh",596103,493200,"null","ball",,,,,"11","null","R","R","R","COL","SF","B","null","null",1,2,2018,"-0.4014","1.1836","-0.8266","3.8536","null","null","null",2,8,"Top","null","null",,,460077,,"180903_220513","5.3712","-132.7368","-0.6800","-5.5816","22.3410","-18.4687","3.4691","1.6601","null","null","null","90.7000","2306","5.5040",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.9977","null","null","null","null","null","null","null",69,"6","4-Seam Fastball",7,8,8,7,8,7,8,7,"Standard","Standard"
"FF","2018-09-03","91.2","-2.4017","5.4748","Seunghwan Oh",596103,493200,"null","ball",,,,,"14","null","R","R","R","COL","SF","B","null","null",0,2,2018,"-0.1973","1.2276","1.1475","1.6270","null","null","null",2,8,"Top","null","null",,,460077,,"180903_220410","9.2618","-132.5781","-6.4546","-3.7850","20.7416","-16.8030","3.4691","1.6894","null","null","null","91.4640","2239","5.9160",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.5857","null","null","null","null","null","null","null",69,"3","4-Seam Fastball",7,8,8,7,8,7,8,7,"Standard","Standard"
"FC","2018-09-03","82.1","-2.6496","5.6265","Seunghwan Oh",596103,493200,"null","called_strike",,,,,"2","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.3926","0.0030","0.0678","3.2681","null","null","null",2,8,"Top","null","null",,,460077,,"180903_220335","5.3245","-119.5153","1.0134","2.9091","17.5115","-32.4987","3.4691","1.6014","null","null","null","81.4380","2254","5.2930",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"55.2086","null","null","null","null","null","null","null",69,"1","Cutter",7,8,8,7,8,7,8,7,"Standard","Standard"
"CH","2018-09-03","83.9","-2.3669","5.5344","Seunghwan Oh",593700,493200,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",1,1,2018,"-0.7399","0.4494","-1.6370","3.8824","null","null","491676.00",2,8,"Top","null","null",,,460077,,"180903_220013","3.1242","-122.3080","1.5591","-7.9564","19.4137","-28.0744","3.4449","1.6014","null","null","null","84.3880","1623","6.0800",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.4218","null","null","null","null","null","null","null",67,"3","Changeup",7,5,5,7,5,7,5,7,"Standard","Standard"
"CU","2018-09-03","71.8","-2.3721","5.5138","Seunghwan Oh",593700,493200,"null","called_strike",,,,,"8","null","R","L","R","COL","SF","S","null","null",0,0,2018,"0.3408","-0.6782","-0.2471","1.9892","null","null","491676.00",2,8,"Top","null","null",,,460077,,"180903_215912","3.5839","-104.4941","1.4263","1.9386","14.4360","-37.4368","3.2098","1.5133","null","null","null","70.9750","2438","5.2430",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"55.2586","null","null","null","null","null","null","null",67,"1","Curveball",7,5,5,7,5,7,5,7,"Standard","Strategic"
"FC","2018-09-03","85.4","-2.6907","5.3555","Seunghwan Oh",491676,493200,"null","called_strike",,,,,"12","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.2403","0.2195","0.8666","2.6839","null","null","null",2,8,"Top","null","null",,,460077,,"180903_215533","7.8039","-124.2521","-0.5403","1.1937","20.1541","-30.0449","3.2686","1.6014","null","null","null","84.9960","2167","5.6160",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.8859","null","null","null","null","null","null","null",66,"1","Cutter",7,5,5,7,5,7,5,7,"Standard","Standard"
"FC","2018-09-03","83.7","-2.5533","5.6235","Seunghwan Oh",452254,493200,"null","ball",,,,,"12","null","R","R","R","COL","SF","B","null","null",1,2,2018,"0.0937","0.1560","1.6171","3.2662","null","null","null",1,8,"Top","null","null",,,460077,,"180903_215438","9.3219","-121.7432","0.5201","-0.4481","17.9360","-30.9000","3.5491","1.7775","null","null","null","83.4980","2307","5.6330",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.8687","null","null","null","null","null","null","null",65,"4","Cutter",7,5,5,7,5,7,5,7,"Strategic","Standard"
"CU","2018-09-03","67.2","-2.1991","5.5788","Seunghwan Oh",452254,493200,"null","ball",,,,,"11","null","R","R","R","COL","SF","B","null","null",0,1,2018,"0.8899","-1.0160","-0.0616","3.7752","null","null","null",1,8,"Top","null","null",,,460077,,"180903_215354","2.5510","-97.3810","5.9366","5.0881","13.3604","-39.4494","3.5491","1.6014","null","null","null","65.6300","2614","4.9230",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"55.5785","null","null","null","null","null","null","null",65,"2","Curveball",7,5,5,7,5,7,5,7,"Strategic","Standard"
"FC","2018-09-03","87.1","-2.7456","5.3178","Seunghwan Oh",452254,493200,"null","called_strike",,,,,"5","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.0003","0.3770","-0.1892","2.4009","null","null","null",1,8,"Top","null","null",,,460077,,"180903_215337","6.0845","-126.8448","-1.7446","-0.9153","19.0212","-28.0249","3.5491","1.7775","null","null","null","87.2970","2360","5.7860",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.7160","null","null","null","null","null","null","null",65,"1","Cutter",7,5,5,7,5,7,5,7,"Standard","Standard"
"FT","2018-09-03","87.2","-2.3878","5.6137","Seunghwan Oh",543063,493200,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",1,2,2018,"-0.9614","0.5899","-1.2426","2.2927","null","null","null",0,8,"Top","null","null",,,460077,,"180903_215250","4.5942","-127.0180","-3.0873","-11.0021","20.8324","-25.5857","3.2098","1.4840","null","null","null","86.7430","1857","5.5040",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.9977","null","null","null","null","null","null","null",64,"4","2-Seam Fastball",7,5,5,7,5,7,5,7,"Standard","Standard"
"FF","2018-09-03","92.7","-2.8787","5.3435","Seunghwan Oh",543063,493200,"null","ball",,,,,"11","null","R","L","R","COL","SF","B","null","null",0,2,2018,"-0.5791","1.2898","-1.3847","3.2992","null","null","null",0,8,"Top","null","null",,,460077,,"180903_215235","5.0211","-134.9798","-2.2801","-7.9554","24.2773","-16.2529","3.2392","1.4840","null","null","null","92.7290","2414","5.8880",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.6137","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",7,5,5,7,5,7,5,7,"Strategic","Standard"
"FT","2018-09-03","86.6","-2.6308","5.5342","Seunghwan Oh",543063,493200,"null","called_strike",,,,,"1","null","R","L","R","COL","SF","S","null","null",0,1,2018,"-0.8201","0.6062","-0.8122","2.8012","null","null","null",0,8,"Top","null","null",,,460077,,"180903_215217","5.9217","-126.0653","-1.6615","-9.6465","19.5926","-25.6509","3.3273","1.5427","null","null","null","86.6890","1789","5.8080",531474,493200,460077,435622,518934,571448,596115,467827,453568,471865,"54.6938","null","null","null","null","null","null","null",64,"2","2-Seam Fastball",7,5,5,7,5,7,5,7,"Standard","Standard"
"FF","2018-09-03","93.3","-2.1211","6.2897","Pierce Johnson",407812,572955,"null","ball",,,,,"13","null","R","R","R","COL","SF","B","null","null",1,2,2018,"-0.7554","1.1103","-1.3814","2.2745","518934.00","596115.00","null",2,7,"Bot","null","null",,,460026,,"180903_214844","3.5090","-135.8541","-7.0612","-9.9634","22.5264","-17.3932","3.5919","1.8655","null","null","null","93.6660","2175","5.9360",531474,572955,460026,488818,605509,446334,543063,452254,491676,596103,"54.5657","null","null","null","null","null","null","null",63,"4","4-Seam Fastball",7,5,7,5,5,7,7,5,"Standard","Standard"
"FF","2018-09-03","92.2","-2.1606","6.3045","Pierce Johnson",407812,572955,"null","ball",,,,,"12","null","R","R","R","COL","SF","B","null","null",0,2,2018,"-0.5001","1.3310","0.9288","4.8119","518934.00","null","596115.00",2,7,"Bot","null","null",,,460026,,"180903_214813","8.8209","-134.1148","-0.8985","-7.5001","22.6745","-16.2207","3.7094","1.9536","null","null","null","92.1120","2162","5.7780",531474,572955,460026,488818,605509,446334,543063,452254,491676,596103,"54.7240","null","null","null","null","null","null","null",63,"3","4-Seam Fastball",7,5,7,5,5,7,7,5,"Standard","Standard"
"CU","2018-09-03","82.3","-2.5361","5.9304","Pierce Johnson",596115,572955,"null","called_strike",,,,,"12","null","R","R","R","COL","SF","S","null","null",0,0,2018,"0.8157","-0.6690","0.9809","2.8688","null","453568.00","518934.00",1,7,"Bot","null","null",,,460026,,"180903_214534","6.3424","-119.6608","0.7044","6.6522","19.1086","-38.7933","3.6507","1.5587","null","null","null","81.4230","3063","5.3610",531474,572955,460026,488818,605509,446334,543063,452254,491676,596103,"55.1410","null","null","null","null","null","null","null",62,"1","Curveball",7,5,7,5,5,7,7,5,"Standard","Standard"
"CU","2018-09-03","81.5","-2.5852","5.8406","Pierce Johnson",571448,572955,"null","ball",,,,,"11","null","R","R","R","COL","SF","B","null","null",0,2,2018,"1.0631","-0.3759","-1.0124","3.5398","null","453568.00","518934.00",0,7,"Bot","null","null",,,460026,,"180903_214259","1.5457","-118.5575","1.9832","9.5171","19.5806","-36.1882","3.3273","1.6601","null","null","null","80.5190","3024","5.3340",531474,572955,460026,488818,605509,446334,543063,452254,491676,596103,"55.1677","null","null","null","null","null","null","null",61,"3","Curveball",7,5,7,5,5,7,7,5,"Standard","Standard"
"FF","2018-09-03","93.3","-2.2956","6.2863","Pierce Johnson",518934,572955,"walk","ball",,,,,"11","DJ LeMahieu walks.   Charlie Blackmon to 2nd.  ","R","R","R","COL","SF","B","null","null",3,1,2018,"-0.4385","1.0768","-0.7313","4.9770","null","null","453568.00",0,7,"Bot","null","null",,,460026,,"180903_214116","4.8909","-135.8210","-0.0221","-6.2153","23.7923","-19.2145","3.4155","1.6014","null","null","null","92.8770","2190","5.5750",531474,572955,460026,488818,605509,446334,543063,452254,491676,596103,"54.9265","null","null","0.70",1,0,0,"null",60,"5","4-Seam Fastball",7,5,7,5,5,7,7,5,"Standard","Standard"
