"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-29","94.1","-1.6695","5.5799","Brad Boxberger",474832,502202,"strikeout","called_strike",,,,,"13","Brandon Belt called out on strikes.  ","R","L","R","SF","ARI","S",2,"null",0,2,2018,"-0.3695","1.2196","-0.9427","2.0674","null","null","null",2,9,"Bot","null","null",,,488671,,"180830_050003","2.6317","-136.9048","-5.9659","-5.0600","27.6210","-16.2623","3.5490","1.6270","null","null","null","92.9600","2095","5.4280",531394,502202,488671,502671,606466,500871,605113,444482,572041,519306,"55.0699","null","null","0.00",1,0,0,"null",69,"4","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-29","92.2","-1.9436","5.6341","Brad Boxberger",474832,502202,"null","called_strike",,,,,"13","null","R","L","R","SF","ARI","S","null","null",0,0,2018,"-0.4779","1.4172","-0.9705","1.5854","null","null","null",2,9,"Bot","null","null",,,488671,,"180830_045853","3.4285","-134.0209","-7.3800","-6.3179","26.5601","-14.2257","3.5490","1.6270","null","null","null","91.2130","2252","5.5640",531394,502202,488671,502671,606466,500871,605113,444482,572041,519306,"54.9330","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2018-08-29","93.7","-1.7254","5.7765","Brad Boxberger",460026,502202,"null","ball",,,,,"11","null","R","R","R","SF","ARI","B","null","null",0,2,2018,"-0.3666","1.3767","-0.0125","4.3081","null","null","null",1,9,"Bot","null","null",,,488671,,"180830_045758","5.1128","-136.2612","-0.9755","-5.5382","29.8943","-15.6369","3.3710","1.5350","null","null","null","92.1340","2170","5.3800",531394,502202,488671,502671,606466,500871,605113,444482,572041,519306,"55.1171","null","null","null","null","null","null","null",68,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2018-08-29","92.2","-1.7752","5.7904","Brad Boxberger",460026,502202,"null","called_strike",,,,,"5","null","R","R","R","SF","ARI","S","null","null",0,0,2018,"-0.5182","1.3234","0.2754","2.6035","null","null","null",1,9,"Bot","null","null",,,488671,,"180830_045722","6.2030","-133.9905","-5.0005","-7.3584","27.4194","-15.8449","3.3710","1.5350","null","null","null","91.0130","2210","5.5210",531394,502202,488671,502671,606466,500871,605113,444482,572041,519306,"54.9762","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"SL","2018-08-29","83.7","1.8307","6.0607","Andrew Chafin",543063,605177,"null","ball",,,,,"13","null","R","L","L","SF","ARI","B","null","null",2,2,2018,"0.0629","-0.1653","-0.3730","0.4039","null","null","null",0,9,"Bot","null","null",,,488671,,"180830_045329","-5.1984","-121.6679","-6.2520","1.6909","25.0672","-32.7465","3.4670","1.5890","null","null","null","83.3830","2339","6.2490",531394,605177,488671,502671,606466,500871,605113,444482,572041,519306,"54.2482","null","null","null","null","null","null","null",67,"5","Slider",1,3,1,3,3,1,1,3,"Strategic","Standard"
"FF","2018-08-29","93.1","1.6752","6.1934","Andrew Chafin",543063,605177,"null","ball",,,,,"13","null","R","L","L","SF","ARI","B","null","null",1,2,2018,"0.7066","1.3204","-0.7469","1.1792","null","null","null",0,9,"Bot","null","null",,,488671,,"180830_045304","-7.8227","-135.0210","-9.9863","10.5436","32.0766","-13.7859","3.4670","1.5890","null","null","null","93.1320","2173","6.6980",531394,605177,488671,502671,606466,500871,605113,444482,572041,519306,"53.7992","null","null","null","null","null","null","null",67,"4","4-Seam Fastball",1,3,1,3,3,1,1,3,"Strategic","Standard"
"FF","2018-08-29","93.5","1.6979","6.1909","Andrew Chafin",543063,605177,"null","called_strike",,,,,"8","null","R","L","L","SF","ARI","S","null","null",1,1,2018,"0.8081","1.2745","0.1420","1.9589","null","null","null",0,9,"Bot","null","null",,,488671,,"180830_045241","-5.8258","-135.8874","-7.9693","11.3859","31.6444","-14.7181","3.4670","1.5890","null","null","null","93.5760","2148","6.5430",531394,605177,488671,502671,606466,500871,605113,444482,572041,519306,"53.9543","null","null","null","null","null","null","null",67,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"SL","2018-08-29","83.0","1.7873","6.0534","Andrew Chafin",543063,605177,"null","ball",,,,,"13","null","R","L","L","SF","ARI","B","null","null",0,1,2018,"-0.1335","-0.1934","-1.2705","-0.3322","null","null","null",0,9,"Bot","null","null",,,488671,,"180830_045212","-6.6694","-120.3299","-7.5396","0.2354","27.0510","-32.5821","3.4670","1.5890","null","null","null","81.6490","2379","5.9440",531394,605177,488671,502671,606466,500871,605113,444482,572041,519306,"54.5534","null","null","null","null","null","null","null",67,"2","Slider",1,3,1,3,3,1,1,3,"Standard","Standard"
"SI","2018-08-29","90.6","2.7671","6.4124","Ty Blach",519306,621389,"null","called_strike",,,,,"2","null","R","R","L","SF","ARI","S","null","null",0,0,2018,"1.2257","0.8043","0.2107","3.1330","null","null","null",2,9,"Top","null","null",,,460026,,"180830_044858","-8.5393","-131.3663","-3.7487","15.1563","26.3997","-22.8878","3.5490","1.6270","null","null","null","87.8670","2146","4.6560",531394,621389,460026,474832,605412,593700,543063,596103,491676,457705,"55.8412","null","null","null","null","null","null","null",66,"1","Sinker",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2018-08-29","80.7","3.0532","6.3738","Ty Blach",572233,621389,"null","ball",,,,,"14","null","R","R","L","SF","ARI","B","null","null",1,2,2018,"1.4848","0.5333","2.3582","2.1411","null","null","null",1,9,"Top","null","null",,,460026,,"180830_044800","-4.0445","-117.1497","-3.5777","13.6331","22.1028","-27.1813","3.3710","1.5350","null","null","null","78.0980","1996","4.5790",531394,621389,460026,474832,605412,593700,543063,596103,491676,457705,"55.9181","null","null","null","null","null","null","null",65,"4","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
