"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-25","99.8","-1.7291","6.1787","Brandon Morrow",607776,453344,"null","called_strike",,,,,"9","null","R","R","R","CHC","SF","S","null","null",0,1,2018,"-1.0964","1.1426","0.4955","1.9975","null","446334.00","543063.00",2,9,"Top","null","null",,,575929,,"180525_210813","8.6337","-144.9096","-8.7734","-17.2621","30.2319","-14.4313","3.4769","1.5071","null","null","null","99.7760","2521","6.1560",530165,453344,575929,519203,595879,592178,608365,664023,546991,518792,"54.3431","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",6,2,2,6,2,6,2,6,"Standard","Standard"
"FF","2018-05-25","93.2","2.3689","6.2530","Brian Duensing",543063,488846,"null","ball",,,,,"14","null","R","L","L","CHC","SF","B","null","null",2,2,2018,"0.3907","1.2356","0.0194","0.9901","null","446334.00","null",2,9,"Top","null","null",,,575929,,"180525_210202","-6.8044","-135.2312","-10.3191","6.1156","27.3335","-15.3196","3.2451","1.4685","null","null","null","92.5160","2071","5.8770",530165,488846,575929,519203,595879,592178,608365,664023,546991,518792,"54.6222","null","null","null","null","null","null","null",69,"5","4-Seam Fastball",6,2,2,6,2,6,2,6,"Standard","Standard"
"CU","2018-05-25","69.8","2.0084","6.3241","Brian Duensing",543063,488846,"null","ball",,,,,"12","null","R","L","L","CHC","SF","B","null","null",1,0,2018,"-0.7217","-1.2035","1.5304","3.0178","null","446334.00","null",2,9,"Top","null","null",,,575929,,"180525_210047","0.2307","-101.3770","3.2842","-4.8586","17.8163","-41.0592","3.2862","1.4480","null","null","null","68.5740","2461","5.5790",530165,488846,575929,519203,595879,592178,608365,664023,546991,518792,"54.9210","null","null","null","null","null","null","null",69,"2","Curveball",6,2,2,6,2,6,2,6,"Standard","Standard"
"FF","2018-05-25","91.0","2.3535","6.2728","Brian Duensing",543063,488846,"null","ball",,,,,"13","null","R","L","L","CHC","SF","B","null","null",0,0,2018,"0.2669","1.1683","-1.7866","1.7189","null","null","446334.00",2,9,"Top","null","null",,,575929,,"180525_210029","-10.8335","-131.9099","-7.9102","5.1834","25.4543","-17.3251","3.3682","1.5506","null","null","null","90.4210","2096","5.9420",530165,488846,575929,519203,595879,592178,608365,664023,546991,518792,"54.5574","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",6,2,2,6,2,6,2,6,"Standard","Standard"
"SL","2018-05-25","83.9","-0.8560","6.0722","Pedro Strop",446334,467008,"null","ball",,,,,"13","null","R","R","R","CHC","SF","B","null","null",0,0,2018,"0.3207","-0.5953","-0.4049","1.3098","null","null","474832.00",2,9,"Top","null","null",,,575929,,"180525_205652","0.4215","-122.2123","-3.5010","3.0840","22.0563","-37.6360","3.5703","1.5523","null","null","null","83.3720","2483","5.6950",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"54.8047","null","null","null","null","null","null","null",68,"1","Slider",6,1,1,6,1,6,1,6,"Standard","Standard"
"SL","2018-05-25","83.0","-1.0905","6.1346","Pedro Strop",474832,467008,"null","ball",,,,,"13","null","R","L","R","CHC","SF","B","null","null",2,1,2018,"0.1815","-0.3883","-1.0320","1.7197","null","null","null",2,9,"Top","null","null",,,575929,,"180525_205556","-0.2224","-121.0028","-2.9815","1.8428","20.6156","-35.7102","3.1735","1.3847","null","null","null","83.8000","2382","6.4320",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"54.0674","null","null","null","null","null","null","null",67,"4","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FS","2018-05-25","90.4","-1.0322","6.0597","Pedro Strop",474832,467008,"null","ball",,,,,"14","null","R","L","R","CHC","SF","B","null","null",1,1,2018,"-1.0904","0.6641","1.0037","-0.4477","null","null","null",2,9,"Top","null","null",,,575929,,"180525_205533","7.2795","-131.1612","-11.6119","-13.8295","22.9769","-22.6899","2.7557","1.2541","null","null","null","90.1590","1325","5.9230",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"54.5764","null","null","null","null","null","null","null",67,"3","Split Finger",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2018-05-25","83.7","-1.1038","6.1019","Pedro Strop",474832,467008,"null","ball",,,,,"13","null","R","L","R","CHC","SF","B","null","null",0,1,2018,"0.2768","-0.2830","-1.8317","1.6864","null","null","null",2,9,"Top","null","null",,,575929,,"180525_205520","-2.1732","-121.8859","-3.3113","3.0606","19.6830","-34.6242","3.0877","1.3194","null","null","null","83.1210","2328","5.4690",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"55.0306","null","null","null","null","null","null","null",67,"2","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"SL","2018-05-25","84.7","-1.0970","5.9987","Pedro Strop",474832,467008,"null","called_strike",,,,,"7","null","R","L","R","CHC","SF","S","null","null",0,0,2018,"0.6045","-0.0384","-0.5853","1.4948","null","null","null",2,9,"Top","null","null",,,575929,,"180525_205505","0.0256","-123.3045","-4.1548","6.0688","20.6667","-32.0770","3.1936","1.3432","null","null","null","84.2010","2452","5.5900",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"54.9096","null","null","null","null","null","null","null",67,"1","Slider",6,1,1,6,1,6,1,6,"Infield shift","Standard"
"FC","2018-05-25","89.6","-1.0528","5.9558","Pedro Strop",457763,467008,"null","ball",,,,,"14","null","R","R","R","CHC","SF","B","null","null",0,0,2018,"0.2339","0.4297","1.1998","2.3176","null","null","null",1,9,"Top","null","null",,,575929,,"180525_205415","5.0495","-130.5154","-3.9662","1.7751","23.0219","-26.7750","3.4047","1.4760","null","null","null","89.6980","2381","5.9340",530165,467008,575929,519203,595879,592178,608365,664023,546991,518792,"54.5654","null","null","null","null","null","null","null",66,"1","Cutter",6,1,1,6,1,6,1,6,"Standard","Standard"
