"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-13","92.4","1.8251","6.5463","Will Smith",461314,519293,"null","called_strike",,,,,"8","null","R","R","L","LAD","SF","S","null","null",1,1,2018,"0.4894","1.3949","0.2304","2.2961","null","null","605131.00",2,9,"Bot","null","null",,,457763,,"180814_051433","-5.0688","-134.2193","-7.9295","6.9161","28.4638","-14.0759","3.6215","1.7670","null","null","null","91.7460","2181","5.9480",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.5515","null","null","null","null","null","null","null",73,"3","4-Seam Fastball",2,5,2,5,5,2,2,5,"Strategic","Standard"
"FF","2018-08-13","91.6","1.7521","6.5064","Will Smith",461314,519293,"null","called_strike",,,,,"8","null","R","R","L","LAD","SF","S","null","null",1,0,2018,"0.5177","1.4930","0.0107","1.6750","null","null","605131.00",2,9,"Bot","null","null",,,457763,,"180814_051413","-5.5048","-133.0125","-9.5392","7.2866","27.2095","-12.6626","3.6339","1.7462","null","null","null","91.6460","2152","6.3290",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.1703","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Strategic","Standard"
"CU","2018-08-13","77.2","1.7471","6.6616","Will Smith",461314,519293,"null","ball",,,,,"7","null","R","R","L","LAD","SF","B","null","null",0,0,2018,"-0.7391","-0.3294","-0.8223","1.9693","null","null","605131.00",2,9,"Bot","null","null",,,457763,,"180814_051351","-4.0982","-112.3140","-2.4391","-5.3260","19.6468","-34.7013","3.5657","1.8559","null","null","null","75.9040","2109","5.2800",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"55.2186","null","null","null","null","null","null","null",73,"1","Curveball",2,5,2,5,5,2,2,5,"Standard","Standard"
"CU","2018-08-13","77.8","1.7559","6.7572","Will Smith",571970,519293,"null","called_strike",,,,,"5","null","R","L","L","LAD","SF","S","null","null",0,0,2018,"-0.4426","-0.4368","0.2146","2.4526","null","null","605131.00",1,9,"Bot","null","null",,,457763,,"180814_051231","-2.4794","-113.1524","-1.5414","-3.2323","20.3934","-35.7885","3.2523","1.5080","null","null","null","76.5320","2054","5.3750",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"55.1239","null","null","null","null","null","null","null",72,"1","Curveball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-08-13","92.4","1.5383","6.5965","Will Smith",605131,519293,"walk","ball",,,,,"11","Austin Barnes walks.  ","R","R","L","LAD","SF","B","null","null",3,2,2018,"0.5552","1.5550","-0.7515","3.4969","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_051150","-7.0785","-134.3573","-5.5089","8.2897","28.7515","-12.2224","3.1096","1.4291","null","null","null","92.8120","2133","6.5460",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"53.9526","null","null","0.70",1,0,0,"null",71,"7","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-08-13","91.3","1.8664","6.5455","Will Smith",605131,519293,"null","ball",,,,,"14","null","R","R","L","LAD","SF","B","null","null",2,2,2018,"0.6445","1.3276","1.1443","1.6601","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_051100","-3.1583","-132.6937","-9.1735","8.1791","26.8257","-15.0088","3.0620","1.4053","null","null","null","90.8500","2169","5.9590",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.5398","null","null","null","null","null","null","null",71,"5","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"SL","2018-08-13","80.6","1.9412","6.5160","Will Smith",605131,519293,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",1,2,2018,"-1.1795","-0.4768","-1.4619","0.2811","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_051028","-5.2962","-117.0216","-6.1178","-9.3434","24.2128","-35.4128","3.0381","1.4053","null","null","null","78.9410","2367","5.4730",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"55.0258","null","null","null","null","null","null","null",71,"4","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"SL","2018-08-13","80.6","1.9500","6.4933","Will Smith",605131,519293,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",0,2,2018,"-0.8056","0.5954","-1.2761","1.1516","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_050956","-5.6022","-117.0489","-6.2150","-6.2070","21.7967","-25.9020","3.0858","1.4291","null","null","null","79.6570","2255","5.7180",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.7815","null","null","null","null","null","null","null",71,"3","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-08-13","91.6","1.7476","6.5450","Will Smith",605131,519293,"null","called_strike",,,,,"9","null","R","R","L","LAD","SF","S","null","null",0,1,2018,"0.5096","1.2642","0.2819","1.5888","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_050937","-4.7719","-133.0400","-9.3291","7.0020","26.8499","-15.5218","3.0620","1.4053","null","null","null","91.4460","2146","6.1680",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.3312","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2018-08-13","91.4","1.7260","6.6250","Will Smith",605131,519293,"null","called_strike",,,,,"5","null","R","R","L","LAD","SF","S","null","null",0,0,2018,"0.5559","1.4428","0.0392","2.5025","null","null","null",1,9,"Bot","null","null",,,457763,,"180814_050919","-5.3613","-132.7329","-7.4732","7.5647","27.1345","-14.0898","3.2289","1.4291","null","null","null","90.5900","2124","5.8070",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.6921","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"SL","2018-08-13","80.7","2.1280","6.4156","Will Smith",641355,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",1,2,2018,"-0.7682","0.2889","-1.4324","-0.3028","null","null","null",0,9,"Bot","null","null",,,457763,,"180814_050810","-6.3897","-117.1134","-8.6894","-5.8043","19.9645","-28.3365","3.9555","1.8146","null","null","null","79.5500","2287","5.4250",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"55.0744","null","null","null","null","null","null","null",70,"5","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"SL","2018-08-13","80.3","2.1493","6.3534","Will Smith",641355,519293,"null","called_strike",,,,,"4","null","R","L","L","LAD","SF","S","null","null",1,1,2018,"-0.9520","0.3738","-0.5233","2.9039","null","null","null",0,9,"Bot","null","null",,,457763,,"180814_050720","-4.1058","-116.7766","-1.5689","-7.6047","23.3278","-28.8260","3.8601","1.8385","null","null","null","78.9500","2380","5.5170",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.9823","null","null","null","null","null","null","null",70,"3","Slider",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"SL","2018-08-13","79.1","2.1552","6.4111","Will Smith",641355,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",0,1,2018,"-0.8157","0.3886","-0.7163","1.6155","null","null","null",0,9,"Bot","null","null",,,457763,,"180814_050700","-4.7101","-114.9335","-4.3099","-6.1943","20.2736","-28.3164","3.9317","1.8385","null","null","null","77.9160","2358","5.4230",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"55.0756","null","null","null","null","null","null","null",70,"2","Slider",2,5,2,5,5,2,2,5,"Infield shift","Standard"
"FF","2018-08-13","92.4","1.7092","6.6406","Will Smith",641355,519293,"null","called_strike",,,,,"8","null","R","L","L","LAD","SF","S","null","null",0,0,2018,"0.5968","1.4445","0.0217","2.0713","null","null","null",0,9,"Bot","null","null",,,457763,,"180814_050643","-5.5450","-134.1727","-8.8451","8.3380","29.3334","-13.2266","4.0033","1.8385","null","null","null","91.7610","2169","6.0450",531191,519293,457763,596103,605412,446334,488818,491676,621453,457705,"54.4538","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",2,5,2,5,5,2,2,5,"Infield shift","Standard"
