"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-07-26","81.4","-1.9791","5.9166","Corey Knebel",460026,608349,"strikeout","called_strike",,,,,"12","Nick Hundley called out on strikes.  ","R","R","R","SF","MIL","S",2,"null",1,2,2018,"0.5628","-1.2646","0.9243","2.7002","null","457705.00","null",2,9,"Bot","null","null",,,456124,,"180727_053702","5.3905","-118.2101","1.7948","4.0414","24.0521","-44.3469","3.2785","1.5740","null","null","null","80.2000","2586","5.7270",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.7704","null","null","0.00",1,0,0,"null",84,"4","Knuckle Curve",5,7,5,7,7,5,5,7,"Standard","Strategic"
"FF","2018-07-26","96.5","-1.7842","5.9905","Corey Knebel",460026,608349,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",0,2,2018,"-0.1851","1.3681","1.0479","1.8602","null","457705.00","null",2,9,"Bot","null","null",,,456124,,"180727_053634","7.9268","-140.0602","-8.4679","-4.2014","31.3023","-12.5416","3.3562","1.5740","null","null","null","96.2360","2407","6.2550",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.2426","null","null","null","null","null","null","null",84,"3","4-Seam Fastball",5,7,5,7,7,5,5,7,"Standard","Strategic"
"KC","2018-07-26","80.9","-2.1079","5.8748","Corey Knebel",460026,608349,"null","called_strike",,,,,"8","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"0.5687","-1.3607","0.1784","1.7550","null","457705.00","null",2,9,"Bot","null","null",,,456124,,"180727_053544","3.9969","-117.6696","0.0655","4.3123","24.5977","-44.7704","3.3044","1.4946","null","null","null","79.8570","2562","5.8220",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.6756","null","null","null","null","null","null","null",84,"1","Knuckle Curve",5,7,5,7,7,5,5,7,"Standard","Standard"
"FF","2018-07-26","96.7","-2.0505","5.9371","Corey Knebel",457705,608349,"null","called_strike",,,,,"8","null","R","R","R","SF","MIL","S","null","null",0,1,2018,"-0.2516","1.3829","0.2338","1.7128","null","null","596103.00",2,9,"Bot","null","null",,,456124,,"180727_053256","6.6997","-140.5490","-8.9097","-4.8895","32.0556","-11.8661","3.3303","1.6520","null","null","null","97.1210","2543","6.6050",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"53.8923","null","null","null","null","null","null","null",83,"2","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","95.6","-2.1145","5.9184","Corey Knebel",457705,608349,"null","called_strike",,,,,"9","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"0.0333","1.3289","0.5627","2.0007","null","null","596103.00",2,9,"Bot","null","null",,,456124,,"180727_053235","6.9819","-138.8496","-7.6644","-1.1954","32.3398","-13.4415","3.3044","1.6257","null","null","null","95.4700","2464","6.4080",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.0898","null","null","null","null","null","null","null",83,"1","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","96.7","-1.9701","5.9634","Corey Knebel",596103,608349,"walk","ball",,,,,"12","Austin Slater walks.  ","R","R","R","SF","MIL","B","null","null",3,2,2018,"-0.0567","1.2583","0.8649","3.9363","null","null","null",2,9,"Bot","null","null",,,456124,,"180727_053200","7.7020","-140.7807","-2.7597","-2.3924","29.8671","-14.9632","3.2266","1.5208","null","null","null","97.1590","2410","6.3750",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.1222","null","null","0.70",1,0,0,"null",82,"6","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","96.9","-1.9236","5.9280","Corey Knebel",596103,608349,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",2,2,2018,"-0.1346","1.5484","0.5568","1.3868","null","null","null",2,9,"Bot","null","null",,,456124,,"180727_053138","6.9408","-140.7540","-10.1226","-3.3695","31.9326","-9.4453","3.2525","1.5733","null","null","null","96.9970","2477","6.4390",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.0583","null","null","null","null","null","null","null",82,"5","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","96.5","-2.0063","5.9729","Corey Knebel",596103,608349,"null","called_strike",,,,,"8","null","R","R","R","SF","MIL","S","null","null",2,1,2018,"0.0105","1.3105","-0.1824","1.5425","null","null","null",2,9,"Bot","null","null",,,456124,,"180727_053115","4.8344","-140.2038","-9.2086","-0.9406","31.3112","-12.9706","3.3044","1.5471","null","null","null","96.6770","2465","6.4460",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.0510","null","null","null","null","null","null","null",82,"4","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"KC","2018-07-26","80.7","-1.9535","5.8411","Corey Knebel",596103,608349,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",1,1,2018,"0.7492","-1.3855","1.6021","1.4667","null","null","null",2,9,"Bot","null","null",,,456124,,"180727_053055","6.4238","-117.1565","-0.3794","5.2638","25.3735","-44.6886","3.1487","1.4946","null","null","null","79.0830","2469","5.6230",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.8743","null","null","null","null","null","null","null",82,"3","Knuckle Curve",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","96.3","-2.2005","5.9278","Corey Knebel",596103,608349,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"-0.1448","1.3538","0.9624","1.8933","null","null","null",2,9,"Bot","null","null",,,456124,,"180727_053004","8.7330","-139.8591","-8.2294","-3.7562","29.4863","-12.7294","3.1747","1.4946","null","null","null","96.6350","2500","6.4400",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.0579","null","null","null","null","null","null","null",82,"1","4-Seam Fastball",4,7,4,7,7,4,4,7,"Standard","Standard"
"FF","2018-07-26","96.8","-2.0982","5.9057","Corey Knebel",488818,608349,"null","ball",,,,,"13","null","R","R","R","SF","MIL","B","null","null",1,0,2018,"-0.3618","1.2740","-0.5350","1.3283","621453.00","null","null",1,9,"Bot","null","null",,,456124,,"180727_052852","4.9659","-140.7506","-9.5505","-5.8057","28.2960","-13.5261","3.2525","1.6782","null","null","null","96.8520","2461","6.1050",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.3927","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard"
"KC","2018-07-26","82.3","-2.0782","5.8547","Corey Knebel",488818,608349,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"0.7981","-1.3538","1.9753","1.2679","null","621453.00","null",1,9,"Bot","null","null",,,456124,,"180727_052810","7.6244","-119.5684","-1.1597","5.8662","26.0520","-44.9443","3.2785","1.6039","null","null","null","81.5320","2666","6.1520",530949,608349,456124,542583,573135,543768,606115,460075,542979,592885,"54.3450","null","null","null","null","null","null","null",81,"1","Knuckle Curve",3,7,3,7,7,3,3,7,"Standard","Standard"
