"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-06-16","91.4","-1.7074","6.2566","Kenley Jansen",467055,445276,"null","ball",,,,,"12","null","R","L","R","LAD","SF","B","null","null",0,1,2018,"0.9547","1.2597","1.1724","4.8169","457763.00","607776.00","null",2,9,"Top","null","null",,,605131,,"180617_030521","5.2192","-133.1540","-0.5124","10.3700","28.9634","-17.0777","3.2727","1.6518","null","null","null","92.2410","2689","6.7590",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.7402","null","null","null","null","null","null","null",68,"2","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","91.1","-1.6890","6.1808","Kenley Jansen",467055,445276,"null","called_strike",,,,,"2","null","R","L","R","LAD","SF","S","null","null",0,0,2018,"0.7973","1.1652","0.2429","3.2815","457763.00","607776.00","null",2,9,"Top","null","null",,,605131,,"180617_030457","3.1437","-132.7944","-4.0454","9.0199","28.4737","-17.3136","3.3752","1.6364","null","null","null","92.6830","2555","7.1400",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.3589","null","null","null","null","null","null","null",68,"1","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","91.9","-1.6482","6.1161","Kenley Jansen",605412,445276,"null","ball",,,,,"13","null","R","L","R","LAD","SF","B","null","null",2,2,2018,"0.6556","1.1778","-0.0006","1.1284","null","457763.00","607776.00",1,9,"Top","null","null",,,605131,,"180617_030332","2.7575","-133.8379","-9.6752","7.6323","27.4651","-15.6148","3.1560","1.5919","null","null","null","94.0230","2522","7.3800",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.1191","null","null","null","null","null","null","null",67,"5","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","91.9","-1.8491","6.1290","Kenley Jansen",605412,445276,"null","called_strike",,,,,"7","null","R","L","R","LAD","SF","S","null","null",2,1,2018,"0.5297","1.2454","-0.3652","1.9504","null","457763.00","607776.00",1,9,"Top","null","null",,,605131,,"180617_030301","2.6257","-133.9449","-7.7620","6.1373","25.9031","-15.1970","3.2976","1.6437","null","null","null","94.1840","2531","7.3060",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.1931","null","null","null","null","null","null","null",67,"4","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","90.2","-1.7663","6.1500","Kenley Jansen",605412,445276,"null","called_strike",,,,,"8","null","R","L","R","LAD","SF","S","null","null",2,0,2018,"0.7275","1.2268","-0.0444","1.6136","null","457763.00","607776.00",1,9,"Top","null","null",,,605131,,"180617_030238","2.7359","-131.4170","-8.1891","8.1432","26.8196","-15.9949","3.2437","1.5359","null","null","null","91.9390","2551","7.1820",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.3168","null","null","null","null","null","null","null",67,"3","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","89.8","-1.7539","6.0580","Kenley Jansen",605412,445276,"null","ball",,,,,"13","null","R","L","R","LAD","SF","B","null","null",1,0,2018,"0.7834","1.1000","-0.2490","1.1452","null","457763.00","607776.00",1,9,"Top","null","null",,,605131,,"180617_030214","2.0517","-130.8547","-8.8426","9.0061","24.2397","-17.5024","3.2997","1.6099","null","null","null","92.0470","2535","7.2880",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.2106","null","null","null","null","null","null","null",67,"2","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","88.9","-1.9305","6.2705","Kenley Jansen",607776,445276,"walk","ball",,,,,"11","Mac Williamson walks.   Buster Posey to 2nd.  ","R","R","R","LAD","SF","B","null","null",3,0,2018,"0.6504","1.0876","-0.7968","3.4336","null","null","457763.00",1,9,"Top","null","null",,,605131,,"180617_030011","1.4098","-129.6756","-3.3537","7.2601","24.3312","-19.1322","3.2054","1.4313","null","null","null","90.4150","2588","6.8530",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.6457","null","null","0.70",1,0,0,"null",66,"4","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","91.0","-1.6682","6.1407","Kenley Jansen",607776,445276,"null","ball",,,,,"14","null","R","R","R","LAD","SF","B","null","null",2,0,2018,"0.8500","1.0731","0.2813","1.0699","null","null","457763.00",1,9,"Top","null","null",,,605131,,"180617_025946","3.0618","-132.5523","-9.4657","9.8449","26.6059","-17.2182","3.4608","1.6682","null","null","null","93.2760","2597","7.4440",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.0548","null","null","null","null","null","null","null",66,"3","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","90.1","-1.9094","6.2465","Kenley Jansen",607776,445276,"null","ball",,,,,"11","null","R","R","R","LAD","SF","B","null","null",1,0,2018,"0.7858","0.9641","-1.2795","4.1030","null","null","457763.00",1,9,"Top","null","null",,,605131,,"180617_025911","-0.1403","-131.5635","-1.5965","9.4487","23.6118","-20.4805","3.6763","1.6682","null","null","null","92.0770","2464","6.9440",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.5550","null","null","null","null","null","null","null",66,"2","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-06-16","90.6","-1.7851","6.2432","Kenley Jansen",607776,445276,"null","ball",,,,,"11","null","R","R","R","LAD","SF","B","null","null",0,0,2018,"0.6554","1.1887","-0.5189","4.5533","null","null","457763.00",1,9,"Top","null","null",,,605131,,"180617_025852","1.7567","-132.2097","-0.9823","7.5792","25.9839","-17.7733","3.6763","1.7401","null","null","null","92.4380","2521","7.0580",530462,445276,605131,641355,523253,457759,621035,592626,571771,624577,"53.4412","null","null","null","null","null","null","null",66,"1","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
