"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-04-28","90.4","1.3480","5.6468","Scott Alexander",596103,518397,"null","called_strike",,,,,"8","null","R","R","L","SF","LAD","S","null","null",1,0,2018,"1.2138","0.2015","-0.1954","1.9148","null","null","467055.00",2,9,"Bot","null","null",,,605131,,"180428_235740","-6.2702","-131.3852","-3.7654","15.0062","25.3780","-29.3864","3.3653","1.5091","null","null","null","89.5340","2181","5.6240",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.8735","null","null","null","null","null","null","null",97,"2","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","91.8","1.2268","5.6743","Scott Alexander",596103,518397,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"1.2913","0.2924","-0.9650","1.1930","null","null","467055.00",2,9,"Bot","null","null",,,605131,,"180428_235723","-8.0944","-133.2969","-6.0579","16.5670","24.3837","-27.8712","3.5277","1.7165","null","null","null","90.7880","2283","5.4600",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"55.0372","null","null","null","null","null","null","null",97,"1","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","92.2","1.1800","5.6797","Scott Alexander",467055,518397,"walk","ball",,,,,"14","Pablo Sandoval walks.  ","R","R","L","SF","LAD","B","null","null",3,2,2018,"1.2623","0.4141","0.4702","0.3646","null","null","null",2,9,"Bot","null","null",,,605131,,"180428_235640","-4.4328","-134.0697","-8.5352","15.8893","25.3993","-25.8342","3.1103","1.5897","null","null","null","91.7240","2266","5.7650",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.7327","null","null","0.70",1,0,0,"null",96,"6","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","92.2","1.2237","5.6590","Scott Alexander",467055,518397,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",2,2,2018,"1.3133","0.3526","0.6999","0.5388","null","null","null",2,9,"Bot","null","null",,,605131,,"180428_235622","-4.0548","-133.9841","-7.8691","16.3478","26.4271","-26.6751","3.1553","1.5897","null","null","null","91.3820","2166","5.6740",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.8239","null","null","null","null","null","null","null",96,"5","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","91.8","1.2990","5.6490","Scott Alexander",467055,518397,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",1,2,2018,"1.3175","0.5035","-0.9176","0.1146","null","null","null",2,9,"Bot","null","null",,,605131,,"180428_235601","-8.2665","-133.2275","-9.1229","17.0353","25.4268","-24.7460","3.2003","1.6347","null","null","null","90.9800","2263","5.6890",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.8082","null","null","null","null","null","null","null",96,"4","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","90.2","1.1613","5.5074","Scott Alexander",467055,518397,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,2,2018,"0.8971","0.2297","-0.4204","-0.7431","null","null","null",2,9,"Bot","null","null",,,605131,,"180428_235542","-5.7312","-130.9494","-9.9543","11.3104","26.2054","-27.8100","3.1328","1.5897","null","null","null","89.3880","2204","5.7980",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.6995","null","null","null","null","null","null","null",96,"3","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","91.3","1.2362","5.7689","Scott Alexander",467055,518397,"null","called_strike",,,,,"3","null","R","R","L","SF","LAD","S","null","null",0,0,2018,"1.1381","0.6882","0.6759","2.9045","null","null","null",2,9,"Bot","null","null",,,605131,,"180428_235510","-3.7425","-132.8294","-2.7632","13.9487","26.9866","-23.8765","3.1654","1.5671","null","null","null","90.3940","2153","5.6290",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.8680","null","null","null","null","null","null","null",96,"1","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"CH","2018-04-28","85.5","1.1410","5.5731","Scott Alexander",491676,518397,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",1,2,2018,"1.0683","0.2283","-0.2528","-0.1036","null","null","null",0,9,"Bot","null","null",,,605131,,"180428_235346","-5.3247","-124.4044","-7.5925","11.8701","19.8045","-28.8050","3.1733","1.4819","null","null","null","85.3520","1697","5.7400",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"54.7572","null","null","null","null","null","null","null",94,"4","Changeup",6,15,6,15,15,6,6,15,"Standard","Standard"
"SI","2018-04-28","90.9","1.3111","5.7888","Scott Alexander",491676,518397,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"1.2424","0.2882","1.6866","2.2184","null","null","null",0,9,"Bot","null","null",,,605131,,"180428_235228","-1.6049","-132.1681","-3.5797","14.4687","27.9140","-28.3983","3.3984","1.5720","null","null","null","89.5260","2224","5.4630",529513,518397,605131,518735,400284,571657,621035,571970,592626,641355,"55.0341","null","null","null","null","null","null","null",94,"1","Sinker",6,15,6,15,15,6,6,15,"Standard","Standard"
"CH","2018-04-28","87.5","-1.3554","5.7782","Pablo Sandoval",621035,467055,"null","called_strike",,,,,"9","null","R","R","R","SF","LAD","S","null","null",0,0,2018,"-0.7778","1.5533","0.4848","1.7222","null","null","null",2,9,"Top","null","null",,,460026,,"180428_234909","5.9587","-127.0410","-6.7013","-9.5178","26.1933","-14.4781","3.5993","1.6624","null","null","null","86.6850","2219","5.9070",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"54.5905","null","null","null","null","null","null","null",93,"1","Changeup",6,15,15,6,15,6,15,6,"Standard","Standard"
"CH","2018-04-28","87.0","-1.6062","5.7531","Pablo Sandoval",518735,467055,"null","called_strike",,,,,"7","null","R","L","R","SF","LAD","S","null","null",2,1,2018,"-0.7914","1.6319","-0.4693","1.6801","null","null","null",1,9,"Top","null","null",,,460026,,"180428_234828","4.2536","-126.3082","-6.7307","-9.1575","26.4260","-13.9729","3.2159","1.5096","null","null","null","85.8050","2151","5.7080",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"54.7897","null","null","null","null","null","null","null",92,"4","Changeup",6,15,15,6,15,6,15,6,"Infield shift","Strategic"
"CU","2018-04-28","68.9","-1.6624","5.5290","Pablo Sandoval",518735,467055,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",1,1,2018,"1.4798","-0.4054","-2.2203","2.8367","null","null","null",1,9,"Top","null","null",,,460026,,"180428_234820","-3.2580","-99.8371","3.3493","9.9662","17.8676","-35.6576","3.1034","1.3520","null","null","null","66.7890","2481","5.0350",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"55.4628","null","null","null","null","null","null","null",92,"3","Curveball",6,15,15,6,15,6,15,6,"Infield shift","Strategic"
"CU","2018-04-28","71.5","-1.6295","5.6550","Pablo Sandoval",518735,467055,"null","ball",,,,,"13","null","R","L","R","SF","LAD","B","null","null",0,1,2018,"1.2074","-0.9758","-1.3881","1.4029","null","null","null",1,9,"Top","null","null",,,460026,,"180428_234812","-1.4069","-103.7387","0.7833","8.4681","19.6009","-39.2810","3.2385","1.4646","null","null","null","69.1140","2586","4.8410",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"55.6568","null","null","null","null","null","null","null",92,"2","Curveball",6,15,15,6,15,6,15,6,"Infield shift","Strategic"
"CU","2018-04-28","69.3","-1.7452","5.5928","Pablo Sandoval",518735,467055,"null","called_strike",,,,,"7","null","R","L","R","SF","LAD","S","null","null",0,0,2018,"1.1541","-0.2540","-0.6028","1.7664","null","null","null",1,9,"Top","null","null",,,460026,,"180428_234802","0.3956","-100.5747","0.8698","7.3052","17.3933","-34.2651","3.2159","1.3295","null","null","null","67.0390","2490","4.7240",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"55.7736","null","null","null","null","null","null","null",92,"1","Curveball",6,15,15,6,15,6,15,6,"Infield shift","Strategic"
"CH","2018-04-28","82.9","-1.6999","5.7990","Pablo Sandoval",571970,467055,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",0,0,2018,"-0.6999","1.3993","-1.5969","3.5054","null","null","null",0,9,"Top","null","null",,,460026,,"180428_234724","1.5297","-120.6270","-1.4072","-6.9220","22.6805","-18.8991","3.2662","1.5197","null","null","null","81.7360","1970","5.4280",529513,467055,460026,474832,593700,446334,605509,596103,453923,491676,"55.0698","null","null","null","null","null","null","null",91,"1","Changeup",6,15,15,6,15,6,15,6,"Infield shift","Strategic"
