"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-16","96.6","-1.7395","5.4862","Raisel Iglesias",474832,628452,"strikeout","called_strike",,,,,"13","Brandon Belt called out on strikes.  ","R","L","R","SF","CIN","S",2,"null",3,2,2018,"-0.9405","1.2600","-1.0696","2.1587","null","543063.00","null",2,9,"Bot","null","null",,,571466,,"180516_222548","3.8367","-140.5622","-6.0839","-13.0874","29.5547","-14.6693","3.1057","1.4832","null","null","null","95.9730","2331","5.7670",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.7308","null","null","0.00",1,0,0,"null",76,"7","4-Seam Fastball",3,6,3,6,6,3,3,6,"Infield shift","Standard"
"SI","2018-05-16","96.6","-1.6290","5.4920","Raisel Iglesias",474832,628452,"null","ball",,,,,"14","null","R","L","R","SF","CIN","B","null","null",2,2,2018,"-1.1788","1.1048","0.9734","0.8778","null","543063.00","null",2,9,"Bot","null","null",,,571466,,"180516_222443","9.4293","-140.1290","-9.1129","-17.2100","27.0681","-16.2000","3.1169","1.3911","null","null","null","95.9870","2476","5.7860",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.7118","null","null","null","null","null","null","null",76,"5","Sinker",3,6,3,6,6,3,3,6,"Infield shift","Standard"
"CH","2018-05-16","87.3","-1.9400","5.3177","Raisel Iglesias",474832,628452,"null","called_strike",,,,,"13","null","R","L","R","SF","CIN","S","null","null",2,0,2018,"-1.2974","0.3194","-1.0955","2.0951","null","543063.00","null",2,9,"Bot","null","null",,,571466,,"180516_222350","4.6979","-127.1257","-2.2937","-15.0064","24.8978","-28.4641","3.2109","1.5856","null","null","null","87.5400","1559","6.2990",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.1985","null","null","null","null","null","null","null",76,"3","Changeup",3,6,3,6,6,3,3,6,"Infield shift","Standard"
"FF","2018-05-16","92.8","-1.6503","5.5791","Raisel Iglesias",474832,628452,"null","ball",,,,,"14","null","R","L","R","SF","CIN","B","null","null",1,0,2018,"-0.9340","1.4628","1.3209","2.1933","null","543063.00","null",2,9,"Bot","null","null",,,571466,,"180516_222306","9.5449","-134.7304","-6.0014","-13.2251","27.0711","-13.4725","3.2166","1.4409","null","null","null","92.4280","2172","6.0230",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.4741","null","null","null","null","null","null","null",76,"2","4-Seam Fastball",3,6,3,6,6,3,3,6,"Infield shift","Standard"
"FF","2018-05-16","95.1","-1.8069","5.4707","Raisel Iglesias",474832,628452,"null","ball",,,,,"14","null","R","L","R","SF","CIN","B","null","null",0,0,2018,"-1.0188","1.3778","1.4666","1.7141","null","null","543063.00",2,9,"Bot","null","null",,,571466,,"180516_222240","10.7266","-137.9410","-7.1713","-15.1247","28.7331","-13.4681","3.2664","1.4908","null","null","null","94.4810","2310","5.9610",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.5360","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",3,6,3,6,6,3,3,6,"Strategic","Standard"
"SI","2018-05-16","96.5","-2.9357","4.6328","Raisel Iglesias",457705,628452,"null","ball",,,,,"14","null","R","R","R","SF","CIN","B","null","null",2,2,2018,"-1.0967","0.9888","1.3465","1.3305","null","null","543063.00",1,9,"Bot","null","null",,,571466,,"180516_222135","13.7636","-139.8895","-5.4353","-17.1162","27.3271","-18.2994","3.3680","1.6906","null","null","null","96.3780","2338","6.1290",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.3683","null","null","null","null","null","null","null",75,"6","Sinker",3,6,3,6,6,3,3,6,"Standard","Standard"
"SL","2018-05-16","85.2","-2.9677","4.5230","Raisel Iglesias",457705,628452,"null","ball",,,,,"14","null","R","R","R","SF","CIN","B","null","null",1,1,2018,"0.5172","-0.1082","1.0201","1.1864","null","null","543063.00",1,9,"Bot","null","null",,,571466,,"180516_222009","8.1852","-123.5895","-1.2401","3.3890","25.7205","-33.2625","3.4099","1.4832","null","null","null","83.2680","2537","5.2830",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"55.2146","null","null","null","null","null","null","null",75,"3","Slider",3,6,3,6,6,3,3,6,"Standard","Standard"
"SI","2018-05-16","95.1","-2.9444","4.5779","Raisel Iglesias",457705,628452,"null","called_strike",,,,,"7","null","R","R","R","SF","CIN","S","null","null",1,0,2018,"-1.5460","0.4632","-0.7424","1.7088","null","null","543063.00",1,9,"Bot","null","null",,,571466,,"180516_221944","9.1160","-138.1707","-2.9013","-21.5309","28.3528","-25.9030","3.3182","1.5910","null","null","null","94.7270","2367","5.9790",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.5182","null","null","null","null","null","null","null",75,"2","Sinker",3,6,3,6,6,3,3,6,"Standard","Standard"
"SI","2018-05-16","94.0","-2.9680","4.5814","Raisel Iglesias",457705,628452,"null","ball",,,,,"14","null","R","R","R","SF","CIN","B","null","null",0,0,2018,"-1.3580","0.7668","0.8875","1.2987","null","null","543063.00",1,9,"Bot","null","null",,,571466,,"180516_221925","12.8490","-136.2715","-4.4518","-19.3783","26.4963","-21.9810","3.3681","1.4414","null","null","null","93.6700","2297","6.0440",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.4534","null","null","null","null","null","null","null",75,"1","Sinker",3,6,3,6,6,3,3,6,"Standard","Standard"
"FF","2018-05-16","96.0","-1.9546","5.5716","Raisel Iglesias",491676,628452,"null","called_strike",,,,,"6","null","R","R","R","SF","CIN","S","null","null",1,0,2018,"-0.8669","1.3729","0.3203","2.2004","null","null","543063.00",0,9,"Bot","null","null",,,571466,,"180516_221811","7.8980","-139.4299","-6.3445","-12.9155","30.2199","-13.2803","3.2565","1.5002","null","null","null","95.4820","2334","6.0120",530041,628452,571466,458015,571697,607468,606299,594807,571740,594988,"54.4853","null","null","null","null","null","null","null",74,"2","4-Seam Fastball",3,6,3,6,6,3,3,6,"Standard","Standard"
