"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-22","94.9","-2.4292","6.2458","Hunter Strickland",435079,519326,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",0,0,2018,"-0.1598","1.3922","1.2510","1.8233","527043.00","null","425784.00",2,9,"Bot","null","null",,,457763,,"180422_235224","9.8890","-137.5856","-8.8736","-4.1439","29.7083","-12.9821","3.0810","1.3400","null","null","null","94.1680","2345","6.0040",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.4945","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Strategic","Standard"
"SL","2018-04-22","82.5","-2.5632","6.1079","Hunter Strickland",425784,519326,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",2,2,2018,"0.8841","-0.4072","1.4018","1.8246","null","null","527043.00",2,9,"Bot","null","null",,,457763,,"180422_235012","7.2136","-119.7619","-2.3412","6.6482","25.2094","-35.7325","3.4613","1.6551","null","null","null","80.6400","2703","5.3530",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"55.1448","null","null","null","null","null","null","null",77,"5","Slider",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-04-22","95.0","-2.6092","6.0862","Hunter Strickland",594777,519326,"null","ball",,,,,"12","null","R","L","R","LAA","SF","B","null","null",0,2,2018,"0.1121","1.2566","1.0421","3.6004","null","null","527043.00",1,9,"Bot","null","null",,,457763,,"180422_234500","9.2224","-138.0400","-3.5730","-0.6120","30.2590","-15.8322","3.0879","1.4993","null","null","null","94.1500","2298","5.8360",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.6625","null","null","null","null","null","null","null",76,"3","4-Seam Fastball",2,4,2,4,4,2,2,4,"Strategic","Strategic"
"FT","2018-04-22","94.7","-2.4464","6.2807","Hunter Strickland",594777,519326,"null","called_strike",,,,,"1","null","R","L","R","LAA","SF","S","null","null",0,1,2018,"-1.0300","1.0651","-0.8251","3.2226","null","null","527043.00",1,9,"Bot","null","null",,,457763,,"180422_234432","6.4451","-137.6477","-4.6078","-14.3360","30.4161","-18.0377","3.3240","1.4192","null","null","null","94.0250","2259","5.9440",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.5540","null","null","null","null","null","null","null",76,"2","2-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Strategic"
"SL","2018-04-22","81.7","-2.7294","6.0600","Hunter Strickland",594777,519326,"null","called_strike",,,,,"11","null","R","L","R","LAA","SF","S","null","null",0,0,2018,"0.6867","-0.1090","-0.8130","3.4019","null","null","527043.00",1,9,"Bot","null","null",,,457763,,"180422_234402","2.9850","-118.7622","0.7626","5.6637","22.5341","-33.5838","3.1356","1.3992","null","null","null","79.9370","2619","5.1070",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"55.3909","null","null","null","null","null","null","null",76,"1","Slider",2,4,2,4,4,2,2,4,"Standard","Strategic"
"FT","2018-04-22","94.6","-2.2730","6.2631","Hunter Strickland",527043,519326,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",1,0,2018,"-1.1718","1.3737","0.0321","0.8502","null","null","null",1,9,"Bot","null","null",,,457763,,"180422_234236","8.5513","-136.9762","-11.3266","-16.5909","31.5078","-12.6560","3.4366","1.6006","null","null","null","93.8190","2267","6.1970",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3009","null","null","null","null","null","null","null",75,"2","2-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FT","2018-04-22","94.9","-2.3753","6.3097","Hunter Strickland",527043,519326,"null","ball",,,,,"11","null","R","R","R","LAA","SF","B","null","null",0,0,2018,"-1.2529","1.0885","-1.0010","2.8875","null","null","null",1,9,"Bot","null","null",,,457763,,"180422_234217","6.3376","-137.8514","-5.6276","-17.2523","32.1829","-17.3957","3.4591","1.6231","null","null","null","94.2160","2131","6.0990",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3995","null","null","null","null","null","null","null",75,"1","2-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FT","2018-04-22","94.0","-2.3816","6.2725","Hunter Strickland",446359,519326,"strikeout","called_strike",,,,,"7","Zack Cozart called out on strikes.  ","R","R","R","LAA","SF","S",2,"null",2,2,2018,"-1.1764","0.9748","-0.6164","1.9405","null","null","null",0,9,"Bot","null","null",,,457763,,"180422_234144","7.1254","-136.3772","-7.5305","-16.1915","32.7672","-18.6109","3.3538","1.5303","null","null","null","93.1520","2328","6.1610",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3368","null","null","0.00",1,0,0,"null",74,"5","2-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-04-22","95.2","-2.4858","6.0025","Hunter Strickland",446359,519326,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",1,2,2018,"-0.3457","1.3677","1.2294","1.9702","null","null","null",0,9,"Bot","null","null",,,457763,,"180422_234118","10.4518","-138.1138","-7.8990","-6.7074","30.6245","-13.2829","3.2413","1.5303","null","null","null","94.6380","2304","6.1170",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3808","null","null","null","null","null","null","null",74,"4","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FT","2018-04-22","93.0","-2.2922","6.2993","Hunter Strickland",446359,519326,"null","called_strike",,,,,"8","null","R","R","R","LAA","SF","S","null","null",1,0,2018,"-1.1816","1.3022","0.2069","1.9943","null","null","null",0,9,"Bot","null","null",,,457763,,"180422_234033","8.9340","-134.8727","-7.9933","-16.3165","30.5364","-14.8437","3.3876","1.5303","null","null","null","92.3660","2123","6.1890",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3090","null","null","null","null","null","null","null",74,"2","2-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2018-04-22","95.4","-2.3902","6.1841","Hunter Strickland",446359,519326,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",0,0,2018,"-0.3473","1.6335","1.1616","2.3210","null","null","null",0,9,"Bot","null","null",,,457763,,"180422_234013","10.0564","-138.2848","-8.0653","-6.7465","32.0561","-9.7670","3.3538","1.5190","null","null","null","94.6960","2245","6.1820",529732,519326,457763,474832,605412,446334,543063,491676,453923,457705,"54.3162","null","null","null","null","null","null","null",74,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
