"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-06-01","89.5","-2.7486","6.2667","Hunter Strickland",608384,519326,"null","ball",,,,,"14","null","R","L","R","SF","PHI","B","null","null",0,0,2018,"-1.1989","0.9354","0.3806","1.0349","664068.00","546318.00","null",2,9,"Top","null","null",,,457763,,"180602_050456","9.9980","-129.6669","-8.6352","-15.2387","26.5442","-20.3619","3.2791","1.6167","null","null","null","88.0720","1692","5.5900",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"54.9079","null","null","null","null","null","null","null",71,"1","Changeup",4,0,0,4,0,4,0,4,"Standard","Standard"
"FF","2018-06-01","96.1","-2.6213","6.1588","Hunter Strickland",596748,519326,"null","called_strike",,,,,"7","null","R","R","R","SF","PHI","S","null","null",0,1,2018,"-0.2160","1.3293","-0.3022","1.8390","664068.00","546318.00","null",1,9,"Top","null","null",,,457763,,"180602_050356","6.5222","-139.4358","-8.6488","-4.1701","30.1751","-13.5694","3.3121","1.5032","null","null","null","94.8850","2454","5.6570",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"54.8401","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard"
"SL","2018-06-01","82.2","-2.8809","6.1573","Hunter Strickland",596748,519326,"null","called_strike",,,,,"9","null","R","R","R","SF","PHI","S","null","null",0,0,2018,"0.8269","-0.7669","0.2988","1.8321","664068.00","546318.00","null",1,9,"Top","null","null",,,457763,,"180602_050339","5.5368","-119.3580","-1.7486","6.3887","24.5380","-39.0944","3.3856","1.5151","null","null","null","80.0400","2678","5.0710",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"55.4267","null","null","null","null","null","null","null",70,"1","Slider",4,0,0,4,0,4,0,4,"Standard","Standard"
"FF","2018-06-01","96.5","-2.9570","5.8077","Hunter Strickland",467793,519326,"null","ball",,,,,"3","null","R","L","R","SF","PHI","B","null","null",0,1,2018,"-0.2548","1.2303","0.5552","3.5091","664068.00","546318.00","null",0,9,"Top","null","null",,,457763,,"180602_050223","9.7728","-140.0726","-3.2397","-5.3693","29.7667","-15.8181","3.4343","1.5736","null","null","null","95.4710","2514","5.6990",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"54.7989","null","null","null","null","null","null","null",69,"2","4-Seam Fastball",4,0,0,4,0,4,0,4,"Infield shift","Standard"
"SL","2018-06-01","83.7","-2.8429","6.1956","Hunter Strickland",664068,519326,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",0,1,2018,"0.8749","-0.2716","0.5573","0.8800","null","null","null",0,9,"Top","null","null",,,457763,,"180602_045920","6.0375","-121.5304","-5.2101","7.1363","22.6120","-34.0468","3.3991","1.4559","null","null","null","81.5420","2656","4.8350",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"55.6622","null","null","null","null","null","null","null",67,"2","Slider",4,0,0,4,0,4,0,4,"Standard","Standard"
"FF","2018-06-01","95.9","-2.5829","6.1834","Hunter Strickland",664068,519326,"null","called_strike",,,,,"8","null","R","R","R","SF","PHI","S","null","null",0,0,2018,"-0.3315","1.5579","0.0393","1.6455","null","null","null",0,9,"Top","null","null",,,457763,,"180602_045900","7.5571","-139.0322","-9.6593","-5.9114","31.3293","-10.4695","3.1406","1.2349","null","null","null","94.5940","2461","5.7440",530264,519326,457763,467055,605412,446334,543063,453923,491676,457705,"54.7537","null","null","null","null","null","null","null",67,"1","4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard"
"SL","2018-06-01","85.8","-1.5567","5.7335","Victor Arano",457763,644364,"null","ball",,,,,"11","null","R","R","R","SF","PHI","B","null","null",1,1,2018,"0.3889","0.2306","-1.1241","4.1576","null","null","null",2,8,"Bot","null","null",,,595284,,"180602_045524","0.2661","-125.0800","1.8632","3.9751","18.4798","-30.2657","3.5101","1.5932","null","null","null","85.3660","2510","5.3180",530264,644364,595284,467793,514917,596748,664068,608384,546318,622226,"55.1793","null","null","null","null","null","null","null",66,"3","Slider",4,0,4,0,0,4,4,0,"Standard","Standard"
"SL","2018-06-01","87.2","-1.6083","5.7477","Victor Arano",457763,644364,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",0,0,2018,"-0.0236","0.5916","0.4715","0.7164","null","null","null",2,8,"Bot","null","null",,,595284,,"180602_045434","4.9689","-126.7360","-7.0468","-1.1751","23.6156","-24.8579","3.5005","1.6069","null","null","null","86.2260","2651","5.5340",530264,644364,595284,467793,514917,596748,664068,608384,546318,622226,"54.9635","null","null","null","null","null","null","null",66,"1","Slider",4,0,4,0,0,4,4,0,"Standard","Standard"
"SL","2018-06-01","85.6","-1.5970","5.7258","Victor Arano",605412,644364,"null","ball",,,,,"12","null","R","L","R","SF","PHI","B","null","null",1,2,2018,"0.2855","0.3293","1.6539","2.2591","null","null","null",1,8,"Bot","null","null",,,595284,,"180602_045338","6.9743","-124.3986","-2.5460","1.6182","22.4352","-28.6404","3.0510","1.4046","null","null","null","84.2740","2712","5.2660",530264,644364,595284,467793,514917,596748,664068,608384,546318,622226,"55.2310","null","null","null","null","null","null","null",65,"4","Slider",4,0,4,0,0,4,4,0,"Strategic","Standard"
"SL","2018-06-01","84.9","-1.4549","5.7359","Victor Arano",605412,644364,"null","ball",,,,,"14","null","R","L","R","SF","PHI","B","null","null",0,2,2018,"0.2208","-0.0447","0.6755","0.3234","null","null","null",1,8,"Bot","null","null",,,595284,,"180602_045312","4.4927","-123.3583","-6.1807","1.3503","23.4779","-31.6852","3.1072","1.4529","null","null","null","83.9120","2670","5.6230",530264,644364,595284,467793,514917,596748,664068,608384,546318,622226,"54.8741","null","null","null","null","null","null","null",65,"3","Slider",4,0,4,0,0,4,4,0,"Strategic","Standard"
