"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-27","95.0","-2.8797","5.5822","Justin Hancock",622497,606995,"null","called_strike",,,,,"5","null","R","L","R","CHC","SF","S","null","null",3,0,2018,"-0.8951","1.3463","0.1299","2.4982","null","null","543063.00",1,9,"Top","null","null",,,575929,,"180528_034022","9.8569","-138.0218","-5.4130","-13.5530","29.6814","-14.0244","3.1639","1.4326","null","null","null","94.9430","2450","6.2670",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"54.2323","null","null","null","null","null","null","null",84,"4","4-Seam Fastball",8,3,3,8,3,8,3,8,"Standard","Standard"
"FF","2018-05-27","95.8","-2.7083","5.5890","Justin Hancock",622497,606995,"null","ball",,,,,"14","null","R","L","R","CHC","SF","B","null","null",1,0,2018,"-1.0455","1.2223","0.8755","2.2030","null","null","543063.00",1,9,"Top","null","null",,,575929,,"180528_033940","11.8661","-138.9586","-6.0815","-16.3230","31.5605","-15.0669","3.2870","1.3915","null","null","null","95.9180","2449","6.5640",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"53.9357","null","null","null","null","null","null","null",84,"2","4-Seam Fastball",8,3,3,8,3,8,3,8,"Standard","Standard"
"SL","2018-05-27","88.0","-2.8155","5.7841","Justin Hancock",622497,606995,"null","ball",,,,,"11","null","R","L","R","CHC","SF","B","null","null",0,0,2018,"0.0355","0.1494","-1.3694","3.4919","null","null","543063.00",1,9,"Top","null","null",,,575929,,"180528_033921","3.4091","-128.0504","0.2126","-0.2922","25.4655","-30.8247","3.0034","1.4494","null","null","null","87.4920","2192","5.8870",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"54.6125","null","null","null","null","null","null","null",84,"1","Slider",8,3,3,8,3,8,3,8,"Standard","Standard"
"FF","2018-05-27","97.3","-2.7232","5.6402","Justin Hancock",543063,606995,"null","ball",,,,,"14","null","R","L","R","CHC","SF","B","null","null",1,0,2018,"-1.0598","1.2754","0.7810","0.3248","null","null","null",1,9,"Top","null","null",,,575929,,"180528_033815","11.7899","-140.7035","-11.5253","-16.8626","33.5489","-12.7377","3.4061","1.5885","null","null","null","96.7160","2581","6.4170",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"54.0822","null","null","null","null","null","null","null",83,"2","4-Seam Fastball",8,3,3,8,3,8,3,8,"Standard","Standard"
"FF","2018-05-27","96.8","-2.9887","5.5985","Justin Hancock",543063,606995,"null","ball",,,,,"11","null","R","L","R","CHC","SF","B","null","null",0,0,2018,"-0.9881","1.1835","-1.7663","3.2769","null","null","null",1,9,"Top","null","null",,,575929,,"180528_033758","5.5404","-140.8718","-3.3268","-14.4690","34.2525","-15.8733","3.4471","1.6295","null","null","null","96.7870","2548","6.4370",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"54.0629","null","null","null","null","null","null","null",83,"1","4-Seam Fastball",8,3,3,8,3,8,3,8,"Standard","Standard"
"FF","2018-05-27","96.4","-3.1305","5.5765","Justin Hancock",446334,606995,"null","ball",,,,,"13","null","R","R","R","CHC","SF","B","null","null",0,0,2018,"-1.1185","0.9837","-0.9146","1.0208","null","null","null",0,9,"Top","null","null",,,575929,,"180528_033702","8.4179","-139.8795","-8.7002","-16.6175","32.9153","-17.4768","3.6538","1.6769","null","null","null","96.0810","2511","6.3610",530195,606995,575929,519203,595879,592178,608365,656941,546991,518792,"54.1386","null","null","null","null","null","null","null",82,"1","4-Seam Fastball",8,3,3,8,3,8,3,8,"Standard","Standard"
"SI","2018-05-27","92.8","-2.2011","4.8227","Cory Gearrin",656941,518715,"null","ball",,,,,"12","null","R","L","R","CHC","SF","B","null","null",1,2,2018,"-1.4640","-0.0981","1.3630","3.0951","null","595879.00","519203.00",2,8,"Bot","null","null",,,460026,,"180528_033519","12.0431","-134.4679","1.5618","-19.8802","27.3811","-33.8941","3.3868","1.5382","null","null","null","91.6260","2275","5.6810",530195,518715,460026,474832,605509,446334,543063,607776,491676,457705,"54.8182","null","null","null","null","null","null","null",81,"4","Sinker",8,3,8,3,3,8,8,3,"Infield shift","Standard"
"SI","2018-05-27","92.8","-2.2180","4.8818","Cory Gearrin",656941,518715,"null","ball",,,,,"12","null","R","L","R","CHC","SF","B","null","null",0,2,2018,"-1.6016","0.1404","0.4185","3.6133","null","595879.00","519203.00",2,8,"Bot","null","null",,,460026,,"180528_033519","9.9573","-134.5415","2.2182","-21.0381","28.0248","-31.2202","3.3457","1.4972","null","null","null","91.3620","2297","5.5370",530195,518715,460026,474832,605509,446334,543063,607776,491676,457705,"54.9629","null","null","null","null","null","null","null",81,"3","Sinker",8,3,8,3,3,8,8,3,"Infield shift","Standard"
"CH","2018-05-27","86.8","-2.3225","4.6657","Cory Gearrin",656941,518715,"null","called_strike",,,,,"6","null","R","L","R","CHC","SF","S","null","null",0,1,2018,"-1.4269","-0.0541","0.5368","2.1499","null","595879.00","519203.00",2,8,"Bot","null","null",,,460026,,"180528_033519","9.5860","-126.0717","0.2476","-16.8071","23.7044","-33.0149","3.4069","1.5177","null","null","null","86.1280","2182","5.7940",530195,518715,460026,474832,605509,446334,543063,607776,491676,457705,"54.7053","null","null","null","null","null","null","null",81,"2","Changeup",8,3,8,3,3,8,8,3,"Infield shift","Standard"
"SL","2018-05-27","85.0","-2.5184","4.7442","Cory Gearrin",575929,518715,"null","ball",,,,,"12","null","R","R","R","CHC","SF","B","null","null",2,2,2018,"0.6327","0.1431","1.8637","2.4930","null","595879.00","519203.00",1,8,"Bot","null","null",,,460026,,"180528_034049","8.8706","-123.4033","0.7478","4.5685","23.5976","-31.1557","3.2257","1.4921","null","null","null","83.5350","2897","5.3620",530195,518715,460026,474832,605509,446334,543063,607776,491676,457705,"55.1371","null","null","null","null","null","null","null",80,"6","Slider",8,3,8,3,3,8,8,3,"Standard","Standard"
