"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-08-14","83.7","2.0653","6.3356","Will Smith",571970,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",1,2,2018,"-0.5560","0.6740","-2.7434","1.5098","null","641355.00","null",2,9,"Bot","null","null",,,457763,,"180815_051848","-9.9014","-121.2773","-5.8799","-3.3730","24.6663","-24.6950","3.2954","1.6812","null","null","null","82.6430","2587","5.9110",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.5880","null","null","null","null","null","null","null",71,"4","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-08-14","82.3","2.2019","6.4606","Will Smith",571970,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",0,0,2018,"-0.9395","-0.1602","-1.4012","2.1172","null","null","641355.00",2,9,"Bot","null","null",,,457763,,"180815_051702","-6.2991","-119.4824","-2.8768","-7.3100","25.8235","-33.3183","3.3431","1.8003","null","null","null","80.6120","2424","5.5390",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.9597","null","null","null","null","null","null","null",71,"1","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"CU","2018-08-14","78.6","1.8053","6.5870","Will Smith",518735,519293,"null","called_strike",,,,,"6","null","R","R","L","LAD","SF","S","null","null",0,1,2018,"-0.8122","-0.7701","0.5439","2.5210","null","null","641355.00",1,9,"Bot","null","null",,,457763,,"180815_051517","-1.2747","-114.2244","-0.6044","-6.5139","21.3011","-38.7570","3.2716","1.5383","null","null","null","76.4930","2122","4.8690",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"55.6304","null","null","null","null","null","null","null",70,"2","Curveball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FF","2018-08-14","93.9","1.9040","6.6255","Will Smith",518735,519293,"null","called_strike",,,,,"8","null","R","R","L","LAD","SF","S","null","null",0,0,2018,"0.6223","1.4965","-0.0708","1.9675","null","null","641355.00",1,9,"Bot","null","null",,,457763,,"180815_051456","-6.4380","-136.2465","-9.5372","9.0927","29.5374","-11.8190","3.3431","1.6102","null","null","null","93.4120","2292","6.1300",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.3691","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"FF","2018-08-14","94.2","1.4685","6.6932","Will Smith",641355,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",1,2,2018,"0.6663","1.3523","-0.8833","1.4843","null","null","null",1,9,"Bot","null","null",,,457763,,"180815_051341","-7.4836","-136.4955","-10.6221","9.8590","29.9815","-13.4024","3.9634","1.8480","null","null","null","93.2460","2246","5.9550",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.5437","null","null","null","null","null","null","null",69,"4","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-08-14","81.0","2.0170","6.3531","Will Smith",641355,519293,"null","ball",,,,,"13","null","R","L","L","LAD","SF","B","null","null",0,2,2018,"-0.7278","-0.1907","-1.8662","0.4912","null","null","null",1,9,"Bot","null","null",,,457763,,"180815_051315","-7.2039","-117.5368","-5.9551","-5.1405","23.0564","-32.9856","3.9156","1.8241","null","null","null","79.6560","2427","5.5930",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.9058","null","null","null","null","null","null","null",69,"3","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-08-14","83.1","2.2607","6.2735","Will Smith",641355,519293,"null","called_strike",,,,,"13","null","R","L","L","LAD","SF","S","null","null",0,1,2018,"-0.7463","-0.1943","-0.9083","2.3419","null","null","null",1,9,"Bot","null","null",,,457763,,"180815_051246","-5.7632","-120.8469","-2.1389","-6.0063","23.7166","-33.8638","3.8222","1.9177","null","null","null","82.1040","2401","5.6700",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.8292","null","null","null","null","null","null","null",69,"2","Slider",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"SL","2018-08-14","80.9","2.1930","6.4177","Will Smith",641355,519293,"null","called_strike",,,,,"7","null","R","L","L","LAD","SF","S","null","null",0,0,2018,"-0.6033","-0.2025","-0.4994","1.8887","null","null","null",1,9,"Bot","null","null",,,457763,,"180815_051223","-4.8123","-117.5325","-2.9686","-4.4141","24.2327","-33.6543","3.9634","1.8003","null","null","null","79.4460","2426","5.5680",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"54.9313","null","null","null","null","null","null","null",69,"1","Slider",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"CU","2018-08-14","76.8","2.0246","6.6615","Will Smith",461314,519293,"null","ball",,,,,"14","null","R","R","L","LAD","SF","B","null","null",1,0,2018,"-0.6534","-0.4275","0.5810","1.1448","null","null","null",0,9,"Bot","null","null",,,457763,,"180815_051110","-1.8832","-111.5832","-3.8081","-4.8227","21.1534","-35.1439","3.7009","1.8480","null","null","null","74.6930","2202","4.9380",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"55.5608","null","null","null","null","null","null","null",68,"2","Curveball",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"CU","2018-08-14","76.5","1.9538","6.6417","Will Smith",461314,519293,"null","ball",,,,,"13","null","R","R","L","LAD","SF","B","null","null",0,0,2018,"-1.1244","-0.3843","-0.9781","1.1769","null","null","null",0,9,"Bot","null","null",,,457763,,"180815_051049","-4.1466","-111.1005","-3.7036","-8.1393","21.0355","-34.8102","3.7963","1.8003","null","null","null","74.7530","2158","5.2370",531205,519293,457763,474832,488818,446334,593700,596103,621453,457705,"55.2620","null","null","null","null","null","null","null",68,"1","Curveball",1,2,1,2,2,1,1,2,"Infield shift","Standard"
