"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-07-05","83.0","0.6853","6.4288","Brett Cecil",460026,446399,"null","ball",,,,,"14","null","R","R","L","SF","STL","B","null","null",1,2,2018,"-0.0235","-0.6582","0.6201","0.2941","null","null","null",2,9,"Bot","null","null",,,506747,,"180706_045029","-0.1027","-120.5101","-6.1532","-0.1985","23.9205","-37.3622","3.3272","1.6687","null","null","null","80.9200","2334","5.0400",530714,446399,506747,425877,543939,576397,622168,664056,502054,451594,"55.4573","null","null","null","null","null","null","null",76,"5","Knuckle Curve",2,11,2,11,11,2,2,11,"Standard","Standard"
"KC","2018-07-05","82.0","0.5918","6.3875","Brett Cecil",460026,446399,"null","ball",,,,,"13","null","R","R","L","SF","STL","B","null","null",0,2,2018,"-0.0702","-0.4787","-0.7723","-1.0075","null","null","null",2,9,"Bot","null","null",,,506747,,"180706_044931","-2.8829","-119.0439","-9.0888","-0.1278","21.2592","-35.1929","3.3272","1.6190","null","null","null","80.3300","2310","5.1140",530714,446399,506747,425877,543939,576397,622168,664056,502054,451594,"55.3831","null","null","null","null","null","null","null",76,"3","Knuckle Curve",2,11,2,11,11,2,2,11,"Standard","Standard"
"SI","2018-07-05","90.0","0.6505","6.3857","Brett Cecil",460026,446399,"null","called_strike",,,,,"4","null","R","R","L","SF","STL","S","null","null",0,0,2018,"1.2062","0.7435","-0.4599","2.5076","null","null","null",2,9,"Bot","null","null",,,506747,,"180706_044850","-5.0971","-130.9006","-5.1309","14.4061","24.3543","-23.1643","3.3372","1.5693","null","null","null","88.6940","2111","5.2370",530714,446399,506747,425877,543939,576397,622168,664056,502054,451594,"55.2608","null","null","null","null","null","null","null",76,"1","Sinker",2,11,2,11,11,2,2,11,"Standard","Standard"
"CH","2018-07-05","83.4","0.9969","6.4933","Brett Cecil",593700,446399,"null","called_strike",,,,,"8","null","R","R","L","SF","STL","S","null","null",0,0,2018,"0.4670","1.1790","-0.0755","1.8732","null","null","null",1,9,"Bot","null","null",,,506747,,"180706_044747","-3.2789","-121.1122","-6.2643","5.0717","23.5750","-20.0298","3.2378","1.4407","null","null","null","81.7790","1372","5.2990",530714,446399,506747,425877,543939,576397,622168,664056,502054,451594,"55.1982","null","null","null","null","null","null","null",75,"1","Changeup",2,11,2,11,11,2,2,11,"Standard","Standard"
"SL","2018-07-05","82.1","2.9104","6.0376","Derek Holland",664056,502706,"null","ball",,,,,"13","null","R","R","L","SF","STL","B","null","null",0,2,2018,"0.3371","0.7282","-2.0583","1.6307","null","null","null",0,9,"Top","null","null",,,460026,,"180706_044113","-11.6828","-118.7827","-4.6128","5.5007","24.3756","-24.7890","3.2660","1.5939","null","null","null","80.5380","2231","5.7010",530714,502706,460026,474832,605412,467055,593700,457706,491676,452254,"54.7967","null","null","null","null","null","null","null",71,"3","Slider",2,11,11,2,11,2,11,2,"Standard","Standard"
"CH","2018-07-05","82.4","2.6036","6.0262","Derek Holland",664056,502706,"null","called_strike",,,,,"14","null","R","R","L","SF","STL","S","null","null",0,1,2018,"0.9631","1.3837","0.8552","2.4357","null","null","null",0,9,"Top","null","null",,,460026,,"180706_044057","-5.7441","-119.7046","-4.2220","10.1918","22.6168","-18.5284","3.3654","1.5939","null","null","null","81.6570","2201","5.8300",530714,502706,460026,474832,605412,467055,593700,457706,491676,452254,"54.6674","null","null","null","null","null","null","null",71,"2","Changeup",2,11,11,2,11,2,11,2,"Standard","Standard"
"SI","2018-07-05","92.0","2.7879","6.0083","Derek Holland",664056,502706,"null","called_strike",,,,,"2","null","R","R","L","SF","STL","S","null","null",0,0,2018,"1.1425","1.2258","0.2668","3.2126","null","null","null",0,9,"Top","null","null",,,460026,,"180706_044042","-8.8752","-133.7651","-3.9236","15.5968","27.6240","-16.8013","3.3654","1.5939","null","null","null","92.2150","2333","6.3650",530714,502706,460026,474832,605412,467055,593700,457706,491676,452254,"54.1325","null","null","null","null","null","null","null",71,"1","Sinker",2,11,11,2,11,2,11,2,"Standard","Standard"
"CH","2018-07-05","87.0","-1.3477","5.3357","Luke Weaver",491676,596133,"null","ball",,,,,"14","null","R","R","R","SF","STL","B","null","null",1,2,2018,"-0.9907","0.9279","0.5901","0.2297","null","null","null",2,8,"Bot","null","null",,,506747,,"180706_043757","6.6071","-126.3228","-7.8789","-11.8277","25.3545","-20.9830","3.2257","1.4990","null","null","null","86.4720","1649","6.0380",530714,596133,506747,425877,543939,576397,622168,664056,502054,451594,"54.4597","null","null","null","null","null","null","null",70,"4","Changeup",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-07-05","94.8","-1.1732","5.5461","Luke Weaver",491676,596133,"null","ball",,,,,"12","null","R","R","R","SF","STL","B","null","null",0,2,2018,"-1.0053","1.3192","1.1616","2.4747","null","null","null",2,8,"Bot","null","null",,,506747,,"180706_043735","8.2260","-137.6716","-5.2048","-14.3684","29.3597","-14.7404","3.1760","1.5487","null","null","null","94.0740","2416","5.8840",530714,596133,506747,425877,543939,576397,622168,664056,502054,451594,"54.6130","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-07-05","94.1","-1.2726","5.4611","Luke Weaver",491676,596133,"null","called_strike",,,,,"1","null","R","R","R","SF","STL","S","null","null",0,0,2018,"-0.6683","1.5106","-0.5249","2.8585","null","null","null",2,8,"Bot","null","null",,,506747,,"180706_043647","3.3731","-136.8875","-4.3196","-9.0208","29.4844","-12.7264","3.3547","1.5487","null","null","null","93.5580","2323","5.9300",530714,596133,506747,425877,543939,576397,622168,664056,502054,451594,"54.5674","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
