"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-08-05","82.7","2.2699","6.1740","Will Smith",572041,519293,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",1,2,2018,"-0.3874","0.3784","-0.0887","1.0274","null","null","null",2,9,"Bot","null","null",,,460026,,"180805_232552","-4.5884","-120.3130","-5.9405","-2.8806","21.4573","-27.7304","3.4852","1.5463","null","null","null","82.0630","2440","5.6960",531091,519293,460026,457763,605412,446334,543063,596103,491676,457705,"54.8061","null","null","null","null","null","null","null",71,"4","Slider",2,3,2,3,3,2,2,3,"Infield shift","Standard"
"FF","2018-08-05","94.1","1.6519","6.5615","Will Smith",572041,519293,"null","ball",,,,,"12","null","R","R","L","ARI","SF","B","null","null",0,2,2018,"0.5243","1.4902","0.5741","3.8577","null","null","null",2,9,"Bot","null","null",,,460026,,"180805_232526","-3.8790","-136.9201","-4.4832","7.2827","29.5682","-13.1317","3.4852","1.6362","null","null","null","93.0940","2268","5.6490",531091,519293,460026,457763,605412,446334,543063,596103,491676,457705,"54.8526","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",2,3,2,3,3,2,2,3,"Infield shift","Standard"
"SL","2018-08-05","81.7","2.2828","6.1541","Will Smith",445055,519293,"null","ball",,,,,"12","null","R","L","L","ARI","SF","B","null","null",0,1,2018,"-0.7015","-0.0752","1.0218","2.8675","null","null","null",1,9,"Bot","null","null",,,460026,,"180805_232046","-1.5221","-118.9808","-0.7907","-6.2016","19.5156","-32.9733","3.5154","1.6662","null","null","null","80.5280","2399","5.1210",531091,519293,460026,457763,605412,446334,543063,596103,491676,457705,"55.3811","null","null","null","null","null","null","null",70,"2","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2018-08-05","79.9","2.3698","6.2269","Will Smith",605113,519293,"null","ball",,,,,"13","null","R","R","L","ARI","SF","B","null","null",0,1,2018,"-0.9225","0.3506","-0.8080","1.4573","null","null","null",0,9,"Bot","null","null",,,460026,,"180805_231843","-5.2235","-116.1813","-4.3667","-7.1459","20.0585","-28.6188","3.5758","1.6362","null","null","null","78.4070","2482","5.1060",531091,519293,460026,457763,605412,446334,543063,596103,491676,457705,"55.3964","null","null","null","null","null","null","null",69,"2","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SI","2018-08-05","93.6","4.4921","5.4042","Jake Diekman",593700,518617,"null","called_strike",,,,,"2","null","R","R","L","ARI","SF","S","null","null",0,0,2018,"0.9115","0.9532","0.0363","3.1885","null","null","null",2,9,"Top","null","null",,,571974,,"180805_231449","-13.3461","-135.6310","-2.0263","13.8677","27.3807","-20.2944","3.3947","1.6362","null","null","null","93.0060","2125","6.0000",531091,518617,571974,502671,606466,500871,605113,444482,445055,519306,"54.5019","null","null","null","null","null","null","null",68,"1","Sinker",2,3,3,2,3,2,3,2,"Standard","Standard"
"SI","2018-08-05","93.1","4.4258","5.3683","Jake Diekman",491676,518617,"null","ball",,,,,"12","null","R","R","L","ARI","SF","B","null","null",0,0,2018,"1.1297","0.9863","1.7854","3.5285","null","null","null",1,9,"Top","null","null",,,571974,,"180805_231350","-9.2306","-135.3520","-1.1313","15.7894","27.5438","-20.0019","3.1835","1.3965","null","null","null","93.2330","2274","6.2690",531091,518617,571974,502671,606466,500871,605113,444482,445055,519306,"54.2331","null","null","null","null","null","null","null",67,"1","Sinker",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-08-05","82.7","4.5019","5.3052","Jake Diekman",605412,518617,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",1,2,2018,"-0.6428","-0.3727","-2.3066","0.7953","null","null","null",0,9,"Top","null","null",,,571974,,"180805_231248","-14.0749","-119.6586","-2.9872","-3.4679","22.1154","-35.3749","3.1835","1.3965","null","null","null","81.5970","2653","5.7680",531091,518617,571974,502671,606466,500871,605113,444482,445055,519306,"54.7339","null","null","null","null","null","null","null",66,"4","Slider",2,3,3,2,3,2,3,2,"Standard","Standard"
"SL","2018-08-05","84.1","4.6070","5.3658","Jake Diekman",605412,518617,"null","ball",,,,,"13","null","R","L","L","ARI","SF","B","null","null",0,2,2018,"-0.4604","-0.4011","-0.1478","1.0354","null","null","null",0,9,"Top","null","null",,,571974,,"180805_231229","-9.9554","-122.0092","-2.8277","-2.5953","23.0179","-35.7870","3.1835","1.3666","null","null","null","82.7580","2722","5.4730",531091,518617,571974,502671,606466,500871,605113,444482,445055,519306,"55.0288","null","null","null","null","null","null","null",66,"3","Slider",2,3,3,2,3,2,3,2,"Standard","Standard"
"SI","2018-08-05","93.4","4.2998","5.5274","Jake Diekman",605412,518617,"null","called_strike",,,,,"5","null","R","L","L","ARI","SF","S","null","null",0,0,2018,"1.0085","1.0342","-0.1448","2.5220","null","null","null",0,9,"Top","null","null",,,571974,,"180805_231151","-13.6111","-135.3517","-4.2261","15.2396","27.8980","-18.7552","3.0931","1.3367","null","null","null","93.2910","2209","6.3300",531091,518617,571974,502671,606466,500871,605113,444482,445055,519306,"54.1716","null","null","null","null","null","null","null",66,"1","Sinker",2,3,3,2,3,2,3,2,"Standard","Standard"
"CH","2018-08-05","87.9","-1.3592","5.0620","Sam Dyson",606466,473879,"null","ball",,,,,"13","null","R","L","R","ARI","SF","B","null","null",1,2,2018,"-1.4789","0.0652","-1.2934","2.6063","518614.00","502671.00","519306.00",2,8,"Bot","null","null",,,460026,,"180805_230836","3.0201","-127.7805","0.0094","-16.1984","25.4217","-31.7538","3.6967","1.7861","null","null","null","86.2010","1975","5.1810",531091,473879,460026,457763,605412,446334,593700,596103,491676,457705,"55.3206","null","null","null","null","null","null","null",65,"5","Changeup",2,3,2,3,3,2,2,3,"Standard","Standard"
