"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-05-08","85.4","-2.0119","5.6210","Hector Neris",543063,593576,"strikeout","called_strike",,,,,"1","Brandon Crawford called out on strikes.  ","R","L","R","PHI","SF","S",2,"null",1,2,2018,"-0.5695","-0.2690","-0.5062","2.8181","null","null","null",2,9,"Top","null","null",,,595751,,"180509_020057","4.5741","-124.2061","0.1766","-6.6023","23.6274","-35.1635","3.2686","1.5228","null","null","null","84.2300","1263","5.4420",529945,593576,595751,467793,514917,596748,664068,656555,546318,571437,"55.0611","null","null","0.00",1,0,0,"null",68,"4","Split Finger",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"FS","2018-05-08","86.5","-1.9435","5.8999","Hector Neris",543063,593576,"null","ball",,,,,"13","null","R","L","R","PHI","SF","B","null","null",0,1,2018,"-1.1951","-0.1821","-1.0750","1.9752","null","null","null",2,9,"Top","null","null",,,595751,,"180509_020015","4.3670","-125.8417","-2.7662","-13.2279","25.0064","-33.7591","3.3329","1.6774","null","null","null","85.3810","1478","5.5350",529945,593576,595751,467793,514917,596748,664068,656555,546318,571437,"54.9681","null","null","null","null","null","null","null",68,"2","Split Finger",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"FF","2018-05-08","94.3","-1.9452","5.8953","Hector Neris",543063,593576,"null","called_strike",,,,,"2","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"-0.6076","1.5429","-0.0522","3.0187","null","null","null",2,9,"Top","null","null",,,595751,,"180509_015959","6.1846","-137.0200","-5.0863","-8.8816","30.0282","-12.1873","3.4087","1.6938","null","null","null","93.4550","2534","5.8560",529945,593576,595751,467793,514917,596748,664068,656555,546318,571437,"54.6463","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"FS","2018-05-08","86.5","-2.0058","5.9507","Hector Neris",446334,593576,"null","ball",,,,,"13","null","R","R","R","PHI","SF","B","null","null",1,1,2018,"-1.1144","0.0558","-0.0783","1.2063","null","null","null",1,9,"Top","null","null",,,595751,,"180509_015841","6.6738","-125.6346","-5.1275","-12.7815","24.6676","-30.8447","3.7001","1.7864","null","null","null","85.1760","1591","5.4700",529945,593576,595751,467793,514917,596748,664068,656555,546318,571437,"55.0326","null","null","null","null","null","null","null",67,"3","Split Finger",4,2,2,4,2,4,2,4,"Standard","Standard"
"FS","2018-05-08","85.8","-2.0345","6.0242","Hector Neris",446334,593576,"null","ball",,,,,"14","null","R","R","R","PHI","SF","B","null","null",0,1,2018,"-0.9165","-0.0845","0.3516","1.5787","null","null","null",1,9,"Top","null","null",,,595751,,"180509_015827","7.3180","-124.6157","-4.0595","-10.6846","22.8792","-32.5240","3.7988","1.8522","null","null","null","84.7780","1368","5.5400",529945,593576,595751,467793,514917,596748,664068,656555,546318,571437,"54.9630","null","null","null","null","null","null","null",67,"2","Split Finger",4,2,2,4,2,4,2,4,"Standard","Standard"
"FC","2018-05-08","93.2","-1.8320","6.2822","Tommy Hunter",474832,488984,"null","called_strike",,,,,"2","null","R","L","R","PHI","SF","S","null","null",0,0,2018,"0.0403","0.9328","0.1645","3.1817","null","null","null",0,9,"Top","null","null",,,595751,,"180509_015421","5.0165","-135.6848","-4.2472","-0.5236","27.5410","-20.0866","3.3154","1.6354","null","null","null","93.0330","2249","6.0050",529945,488984,595751,467793,514917,596748,664068,656555,546318,571437,"54.4976","null","null","null","null","null","null","null",66,"1","Cutter",4,2,2,4,2,4,2,4,"Infield shift","Standard"
"FF","2018-05-08","92.6","1.7377","6.4875","Will Smith",664068,519293,"null","called_strike",,,,,"7","null","R","R","L","PHI","SF","S","null","null",0,0,2018,"0.7778","1.3267","-0.7056","2.0166","546318.00","null","571437.00",2,8,"Bot","null","null",,,457763,,"180509_014929","-7.8565","-134.2749","-8.3509","11.0580","30.2367","-14.6876","3.3158","1.5753","null","null","null","91.7670","2266","6.0770",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.4259","null","null","null","null","null","null","null",65,"1","4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard"
"FF","2018-05-08","92.3","1.5808","6.5923","Will Smith",596748,519293,"null","ball",,,,,"3","null","R","R","L","PHI","SF","B","null","null",0,0,2018,"0.6073","1.4473","0.5705","3.2644","546318.00","null","571437.00",1,8,"Bot","null","null",,,457763,,"180509_014641","-3.8459","-134.2175","-5.6747","8.0886","30.6719","-13.9421","3.1963","1.4698","null","null","null","91.4840","2103","5.9650",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.5379","null","null","null","null","null","null","null",64,"1","4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Strategic"
"FF","2018-05-08","93.2","1.6644","6.4927","Will Smith",467793,519293,"null","ball",,,,,"13","null","R","R","L","PHI","SF","B","null","null",0,1,2018,"0.7915","1.5762","-1.1360","1.8852","null","546318.00","571437.00",0,8,"Bot","null","null",,,457763,,"180509_014507","-8.8019","-135.1142","-9.3277","11.4583","29.4761","-11.3830","3.5158","1.6518","null","null","null","92.1810","2127","5.8930",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.6094","null","null","null","null","null","null","null",63,"2","4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard"
"FF","2018-05-08","91.7","1.5824","6.4708","Will Smith",571437,519293,"walk","ball",,,,,"13","Aaron Altherr walks.  ","R","R","L","PHI","SF","B","null","null",3,2,2018,"0.7510","1.4730","-0.4001","0.9914","null","546318.00","null",0,8,"Bot","null","null",,,457763,,"180509_014357","-6.5523","-132.9451","-11.0018","10.1882","27.9508","-12.8087","4.0330","1.8771","null","null","null","90.9670","2156","6.0090",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.4933","null","null","0.70",1,0,0,"null",62,"6","4-Seam Fastball",4,2,4,2,2,4,4,2,"Strategic","Standard"
"SL","2018-05-08","82.2","2.1705","6.2481","Will Smith",571437,519293,"null","ball",,,,,"13","null","R","R","L","PHI","SF","B","null","null",2,2,2018,"-0.7063","0.1741","-1.1716","2.4275","null","null","546318.00",0,8,"Bot","null","null",,,457763,,"180509_014310","-6.1599","-119.5295","-2.4295","-5.4484","22.5519","-30.3329","3.9837","1.8606","null","null","null","81.2300","2484","5.6240",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.8783","null","null","null","null","null","null","null",62,"5","Slider",4,2,4,2,2,4,4,2,"Standard","Standard"
"SL","2018-05-08","81.3","1.9548","6.3864","Will Smith",571437,519293,"null","ball",,,,,"13","null","R","R","L","PHI","SF","B","null","null",0,2,2018,"-0.7438","-0.1399","-0.8348","1.2350","null","null","546318.00",0,8,"Bot","null","null",,,457763,,"180509_014207","-4.7966","-118.1658","-4.5915","-5.8446","22.8710","-32.8182","3.9344","1.8606","null","null","null","80.1040","2547","5.5690",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.9341","null","null","null","null","null","null","null",62,"3","Slider",4,2,4,2,2,4,4,2,"Standard","Standard"
"FF","2018-05-08","92.2","1.5044","6.4882","Will Smith",571437,519293,"null","called_strike",,,,,"7","null","R","R","L","PHI","SF","S","null","null",0,0,2018,"0.7678","1.3810","-0.7631","2.2562","null","null","546318.00",0,8,"Bot","null","null",,,457763,,"180509_014111","-7.3268","-133.8618","-7.7702","10.6681","29.1419","-14.4039","4.0267","1.8935","null","null","null","91.2790","2254","5.8810",529945,519293,457763,474832,593700,446334,543063,453923,457706,457705,"54.6221","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",4,2,4,2,2,4,4,2,"Standard","Standard"
