"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-06-21","89.8","-1.6683","6.2187","Mark Melancon",520471,453343,"strikeout","called_strike",,,,,"7","Freddy Galvis called out on strikes.  ","R","L","R","SF","SD","S",2,"null",0,2,2018,"0.0666","0.5636","-0.7216","1.7012","592669.00","null","null",2,9,"Top","null","null",,,457763,,"180622_043905","2.2034","-130.7817","-6.4370","0.3329","25.7013","-24.6357","3.1269","1.5001","null","null","null","90.0690","2240","6.2540",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.2438","null","null","0.00",1,0,0,"null",67,"3","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"FF","2018-06-21","90.2","-1.6426","6.3092","Mark Melancon",520471,453343,"null","called_strike",,,,,"11","null","R","L","R","SF","SD","S","null","null",0,0,2018,"-0.5201","1.1457","-0.9556","2.8040","592669.00","null","null",2,9,"Top","null","null",,,457763,,"180622_043813","2.7892","-131.2967","-5.2248","-6.5277","24.1406","-18.1627","3.2172","1.5226","null","null","null","90.3560","2413","6.0720",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.4252","null","null","null","null","null","null","null",67,"1","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-06-21","80.9","-1.4998","6.2781","Mark Melancon",517369,453343,"null","called_strike",,,,,"2","null","R","R","R","SF","SD","S","null","null",0,0,2018,"0.4372","-0.9081","-0.0898","3.0119","null","592669.00","null",1,9,"Top","null","null",,,457763,,"180622_043701","2.3054","-117.6661","1.0133","3.5622","21.5746","-40.8748","3.4556","1.6757","null","null","null","80.1690","2578","5.7350",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.7628","null","null","null","null","null","null","null",66,"1","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-06-21","90.3","-1.6119","6.2574","Mark Melancon",570799,453343,"null","ball",,,,,"12","null","R","R","R","SF","SD","B","null","null",0,2,2018,"0.2840","0.5746","1.2520","3.3169","null","null","592669.00",0,9,"Top","null","null",,,457763,,"180622_043543","6.4945","-131.4000","-2.6134","2.0192","25.2680","-25.2716","3.4446","1.7088","null","null","null","90.1180","2314","5.9700",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.5278","null","null","null","null","null","null","null",65,"3","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"FC","2018-06-21","90.2","-1.6979","6.3036","Mark Melancon",570799,453343,"null","called_strike",,,,,"6","null","R","R","R","SF","SD","S","null","null",0,0,2018,"0.2879","0.7056","0.3189","3.0218","null","null","592669.00",0,9,"Top","null","null",,,457763,,"180622_043455","4.3873","-131.3174","-3.6989","2.4183","26.3823","-23.5661","3.6026","1.8442","null","null","null","89.9170","2338","5.9720",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.5254","null","null","null","null","null","null","null",65,"1","Cutter",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-06-21","83.6","-1.4715","6.3248","Mark Melancon",592669,453343,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,1,2018,"0.4654","-0.9101","1.9832","-0.0807","null","null","null",0,9,"Top","null","null",,,457763,,"180622_043302","6.9923","-121.3911","-6.4696","3.1139","24.4125","-39.9557","3.5560","1.6957","null","null","null","82.7430","2635","5.8960",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.6010","null","null","null","null","null","null","null",64,"2","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"KC","2018-06-21","81.6","-1.6404","6.3462","Mark Melancon",592669,453343,"null","called_strike",,,,,"5","null","R","R","R","SF","SD","S","null","null",0,0,2018,"0.5935","-1.2099","0.1191","2.7130","null","null","null",0,9,"Top","null","null",,,457763,,"180622_043245","2.8081","-118.6059","0.6883","4.8919","23.3618","-43.6701","3.5284","1.6631","null","null","null","80.4020","2710","5.5950",530524,453343,457763,474832,605412,467055,543063,593700,491676,457705,"54.9021","null","null","null","null","null","null","null",64,"1","Knuckle Curve",3,0,0,3,0,3,0,3,"Standard","Standard"
"SL","2018-06-21","83.7","2.3697","6.1106","Jose Castillo",605412,620454,"caught_stealing_3b","ball",,,,,"13","With Joe Panik batting, Andrew McCutchen caught stealing 3rd base, catcher A.   Ellis to third baseman Christian Villanueva.  ","R","L","L","SF","SD","B",2,"null",2,2,2018,"-0.8614","-0.1596","-1.3891","1.3364","null","457705.00","467055.00",2,8,"Bot","null","null",,,454560,,"180622_042937","-6.9555","-121.7188","-4.2802","-7.1748","22.9634","-33.1621","3.0567","1.4875","null","null","null","83.3720","2735","6.0180",530524,620454,454560,543333,517369,570799,520471,571976,622534,592669,"54.4794","null","null","0.00",0,0,0,"null",63,"6","Slider",3,0,3,0,0,3,3,0,"Strategic","Standard"
"SL","2018-06-21","80.8","2.3877","6.1706","Jose Castillo",605412,620454,"null","called_strike",,,,,"1","null","R","L","L","SF","SD","S","null","null",1,0,2018,"-1.0099","-0.0724","-0.8182","2.5699","null","457705.00","467055.00",2,8,"Bot","null","null",,,454560,,"180622_042748","-5.2140","-117.5397","-1.2375","-8.2959","21.9245","-32.8347","3.0592","1.4223","null","null","null","80.4580","2592","6.0340",530524,620454,454560,543333,517369,570799,520471,571976,622534,592669,"54.4630","null","null","null","null","null","null","null",63,"2","Slider",3,0,3,0,0,3,3,0,"Strategic","Standard"
"FF","2018-06-21","93.8","2.2683","6.3568","Jose Castillo",605412,620454,"null","ball",,,,,"13","null","R","L","L","SF","SD","B","null","null",0,0,2018,"0.5643","1.2389","-0.3808","0.9246","null","457705.00","467055.00",2,8,"Bot","null","null",,,454560,,"180622_042730","-8.0031","-135.9355","-10.8862","8.6311","28.9640","-14.8763","3.1470","1.5101","null","null","null","93.0430","2145","6.0030",530524,620454,454560,543333,517369,570799,520471,571976,622534,592669,"54.4949","null","null","null","null","null","null","null",63,"1","4-Seam Fastball",3,0,3,0,0,3,3,0,"Strategic","Standard"
