"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-09-29","91.9","-1.9224","6.1877","Kenley Jansen",593700,445276,"null","called_strike",,,,,"7","null","R","L","R","SF","LAD","S","null","null",3,1,2018,"0.5680","1.3793","-0.7647","1.8556","null","453923.00","null",2,9,"Bot","null","null",,,518735,,"180929_233715","1.6959","-133.7731","-8.3338","6.6584","27.4566","-13.6204","3.3645","1.6557","null","null","null","93.3610","2519","7.0240",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.4736","null","null","null","null","null","null","null",88,"5","Cutter",6,10,6,10,10,6,6,10,"Standard","Strategic"
"FC","2018-09-29","92.3","-2.2235","6.1735","Kenley Jansen",593700,445276,"null","ball",,,,,"7","null","R","L","R","SF","LAD","B","null","null",2,1,2018,"0.5970","1.3888","-0.8278","1.8804","null","453923.00","null",2,9,"Bot","null","null",,,518735,,"180929_233649","2.2536","-134.3936","-8.3551","6.9954","26.6489","-13.3704","3.4760","1.7597","null","null","null","93.8620","2586","6.9820",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.5158","null","null","null","null","null","null","null",88,"4","Cutter",6,10,6,10,10,6,6,10,"Standard","Strategic"
"FC","2018-09-29","91.3","-1.8817","6.2169","Kenley Jansen",593700,445276,"null","called_strike",,,,,"7","null","R","L","R","SF","LAD","S","null","null",2,0,2018,"0.7784","0.9860","-0.6389","1.9116","null","453923.00","null",2,9,"Bot","null","null",,,518735,,"180929_233627","1.4357","-133.0197","-7.2883","9.2402","25.6014","-18.8809","3.3645","1.4994","null","null","null","92.9520","2579","6.9720",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.5258","null","null","null","null","null","null","null",88,"3","Cutter",6,10,6,10,10,6,6,10,"Standard","Strategic"
"FC","2018-09-29","90.5","-2.0329","6.2083","Kenley Jansen",593700,445276,"null","ball",,,,,"11","null","R","L","R","SF","LAD","B","null","null",1,0,2018,"0.7582","1.0605","-0.1441","3.9162","null","453923.00","null",2,9,"Bot","null","null",,,518735,,"180929_233554","3.1055","-131.9908","-2.1642","8.4260","26.3128","-19.2701","3.4248","1.6297","null","null","null","91.8000","2591","6.8030",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.6944","null","null","null","null","null","null","null",88,"2","Cutter",6,10,6,10,10,6,6,10,"Standard","Strategic"
"FC","2018-09-29","90.8","-1.9486","6.1908","Kenley Jansen",593700,445276,"null","ball",,,,,"6","null","R","L","R","SF","LAD","B","null","null",0,0,2018,"0.6537","1.1338","0.7482","2.4158","null","453923.00","null",2,9,"Bot","null","null",,,518735,,"180929_233531","5.3969","-132.2918","-6.1430","6.7820","26.9184","-17.4278","3.4504","1.6297","null","null","null","92.2930","2583","7.0090",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.4884","null","null","null","null","null","null","null",88,"1","Cutter",6,10,6,10,10,6,6,10,"Standard","Strategic"
"FC","2018-09-29","92.0","-1.8523","6.3227","Kenley Jansen",453923,445276,"null","ball",,,,,"12","null","R","L","R","SF","LAD","B","null","null",1,2,2018,"0.7924","1.1369","1.3026","5.0091","543063.00","null","null",2,9,"Bot","null","null",,,518735,,"180929_233406","6.3216","-134.0161","-0.0299","8.4232","27.6214","-18.3962","3.2197","1.5776","null","null","null","93.1130","2595","6.7850",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.7121","null","null","null","null","null","null","null",87,"5","Cutter",5,10,5,10,10,5,5,10,"Standard","Standard"
"FC","2018-09-29","91.5","-1.9892","6.2674","Kenley Jansen",453923,445276,"null","ball",,,,,"12","null","R","L","R","SF","LAD","B","null","null",0,2,2018,"0.7327","1.0758","0.0033","3.7430","null","543063.00","null",2,9,"Bot","null","null",,,518735,,"180929_233338","3.4621","-133.4543","-2.9606","8.2769","25.9941","-18.6274","3.1426","1.4734","null","null","null","92.9080","2614","6.7860",531814,445276,518735,571970,571771,457759,592518,621035,641355,624577,"53.7113","null","null","null","null","null","null","null",87,"4","Cutter",5,10,5,10,10,5,5,10,"Standard","Standard"
"SL","2018-09-29","85.7","2.5128","6.1283","Zac Rosscup",605244,573127,"null","called_strike",,,,,"6","null","R","R","L","SF","LAD","S","null","null",2,1,2018,"-0.1214","0.3672","0.7130","2.5351","null","null","543063.00",0,9,"Bot","null","null",,,518735,,"180929_232749","-4.0186","-124.7412","-2.9616","-0.4417","25.6691","-27.9401","3.4604","1.6557","null","null","null","85.8880","2471","6.4450",531814,573127,518735,571970,571771,457759,592518,621035,641355,624577,"54.0528","null","null","null","null","null","null","null",85,"4","Slider",5,10,5,10,10,5,5,10,"Standard","Standard"
"FF","2018-09-29","92.5","2.2868","6.1453","Zac Rosscup",605244,573127,"null","called_strike",,,,,"1","null","R","R","L","SF","LAD","S","null","null",2,0,2018,"0.3696","1.4153","-0.3871","2.9396","null","null","543063.00",0,9,"Bot","null","null",,,518735,,"180929_232730","-7.7410","-134.5909","-5.5714","6.3101","30.1323","-13.5873","3.4604","1.5515","null","null","null","93.5220","1996","6.9660",531814,573127,518735,571970,571771,457759,592518,621035,641355,624577,"53.5310","null","null","null","null","null","null","null",85,"3","4-Seam Fastball",5,10,5,10,10,5,5,10,"Standard","Standard"
"SL","2018-09-29","85.7","2.5263","6.1957","Zac Rosscup",605244,573127,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",1,0,2018,"-0.8604","0.1708","-0.8922","1.4180","null","null","543063.00",0,9,"Bot","null","null",,,518735,,"180929_232711","-6.3206","-124.4928","-5.1914","-7.2166","30.2738","-29.4432","3.5272","1.7077","null","null","null","84.6590","2501","6.1900",531814,573127,518735,571970,571771,457759,592518,621035,641355,624577,"54.3074","null","null","null","null","null","null","null",85,"2","Slider",5,10,5,10,10,5,5,10,"Standard","Standard"
