"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-05-05","90.1","-1.8937","5.9186","Pierce Johnson",542255,572955,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",0,1,2018,"0.1846","0.4113","-0.7626","3.7162","null","430832.00","622666.00",1,9,"Bot","null","null",,,460026,,"180506_020828","2.3968","-131.2131","-0.4267","1.6347","24.7434","-27.6732","3.0259","1.3253","null","null","null","89.2980","2442","5.5070",529909,572955,460026,474832,605509,446334,543063,593700,491676,457705,"54.9931","null","null","null","null","null","null","null",82,"2","Cutter",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-05-05","94.8","-1.6961","6.0706","Pierce Johnson",605512,572955,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",2,2,2018,"-0.8866","1.2514","-0.5571","3.4890","null","430832.00","622666.00",0,9,"Bot","null","null",,,460026,,"180506_020652","4.7501","-137.7223","-3.6415","-11.8670","31.2114","-16.4036","3.0809","1.6023","null","null","null","92.5710","2263","5.0980",529909,572955,460026,474832,605509,446334,543063,593700,491676,457705,"55.4021","null","null","null","null","null","null","null",81,"5","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-05-05","94.4","-1.6668","6.1388","Pierce Johnson",605512,572955,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",1,1,2018,"-0.8092","1.3236","-1.0999","3.1345","null","430832.00","622666.00",0,9,"Bot","null","null",,,460026,,"180506_020558","3.1322","-137.1540","-4.8513","-10.5211","29.5994","-15.2888","3.1328","1.5677","null","null","null","92.5830","2142","5.2380",529909,572955,460026,474832,605509,446334,543063,593700,491676,457705,"55.2621","null","null","null","null","null","null","null",81,"3","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
"CU","2018-05-05","81.0","-1.6780","6.0901","Pierce Johnson",605512,572955,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",0,1,2018,"1.2562","-0.6254","-1.1186","3.7898","null","430832.00","622666.00",0,9,"Bot","null","null",,,460026,,"180506_020533","-0.9984","-117.7573","2.5245","11.3651","21.2911","-38.4706","3.1848","1.5504","null","null","null","79.1950","2757","4.9750",529909,572955,460026,474832,605509,446334,543063,593700,491676,457705,"55.5244","null","null","null","null","null","null","null",81,"2","Curveball",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-05-05","97.9","-2.2740","5.2659","Reyes Moronta",622666,606625,"walk","ball",,,,,"14","Johan Camargo walks.   Jose Bautista to 2nd.  ","R","L","R","ATL","SF","B","null","null",3,0,2018,"-0.4444","1.4072","1.3103","0.9655","null","null","430832.00",0,9,"Bot","null","null",,,460026,,"180506_015957","10.6838","-141.9874","-9.3022","-8.5260","33.5130","-11.1865","3.3623","1.6957","null","null","null","97.6300","2513","6.3900",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.1098","null","null","0.70",1,0,0,"null",80,"4","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-05-05","98.1","-1.2529","5.3456","Reyes Moronta",622666,606625,"null","ball",,,,,"14","null","R","L","R","ATL","SF","B","null","null",1,0,2018,"-0.1697","1.0549","0.0982","1.3340","null","null","430832.00",0,9,"Bot","null","null",,,460026,,"180506_015911","4.0299","-142.5983","-7.7460","-3.2430","33.5015","-16.3072","3.5874","1.8689","null","null","null","97.7010","2403","6.1720",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.3274","null","null","null","null","null","null","null",80,"2","4-Seam Fastball",2,11,2,11,11,2,2,11,"Standard","Standard"
"SL","2018-05-05","80.9","-1.2826","5.3781","Reyes Moronta",622666,606625,"null","ball",,,,,"14","null","R","L","R","ATL","SF","B","null","null",0,0,2018,"0.5222","-0.0166","1.4999","2.5531","null","null","430832.00",0,9,"Bot","null","null",,,460026,,"180506_015856","5.1663","-117.5932","0.3825","3.7261","22.6395","-32.6530","3.4294","1.6937","null","null","null","79.8230","2549","5.6400",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.8601","null","null","null","null","null","null","null",80,"1","Slider",2,11,2,11,11,2,2,11,"Standard","Standard"
"FF","2018-05-05","98.4","-1.1953","5.3840","Reyes Moronta",430832,606625,"walk","ball",,,,,"12","Jose Bautista walks.  ","R","R","R","ATL","SF","B","null","null",3,0,2018,"-0.2023","1.2243","2.5863","2.4459","null","null","null",0,9,"Bot","null","null",,,460026,,"180506_015805","10.6832","-142.8100","-5.2980","-5.1630","32.1177","-14.4901","3.1624","1.4548","null","null","null","98.1310","2370","6.2310",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.2683","null","null","0.70",1,0,0,"null",79,"4","4-Seam Fastball",2,11,2,11,11,2,2,11,"Strategic","Strategic"
"FF","2018-05-05","98.2","-1.2794","5.2772","Reyes Moronta",430832,606625,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",2,0,2018,"-0.5611","1.1306","1.4904","0.1273","null","null","null",0,9,"Bot","null","null",,,460026,,"180506_015738","8.7778","-142.4648","-11.0493","-9.5974","31.4310","-14.5059","3.1624","1.5587","null","null","null","98.1680","2338","6.3490",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.1507","null","null","null","null","null","null","null",79,"3","4-Seam Fastball",2,11,2,11,11,2,2,11,"Strategic","Strategic"
"SL","2018-05-05","83.2","-1.4935","5.1128","Reyes Moronta",430832,606625,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",1,0,2018,"1.2870","0.2719","1.8685","0.9313","null","null","null",0,9,"Bot","null","null",,,460026,,"180506_015722","5.1877","-121.0093","-3.6024","11.3101","23.8486","-29.1113","2.9893","1.5068","null","null","null","82.1820","2444","5.6550",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.8442","null","null","null","null","null","null","null",79,"2","Slider",2,11,2,11,11,2,2,11,"Strategic","Strategic"
"FF","2018-05-05","98.7","-1.3260","5.2590","Reyes Moronta",430832,606625,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",0,0,2018,"-0.0733","1.2976","3.2358","1.2722","null","null","null",0,9,"Bot","null","null",,,460026,,"180506_015657","12.5256","-142.9917","-8.3460","-3.7956","31.8503","-12.7197","3.2490","1.6280","null","null","null","98.4070","2402","6.2930",529909,606625,460026,474832,605509,446334,543063,593700,491676,457705,"54.2071","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",2,11,2,11,11,2,2,11,"Strategic","Strategic"
"FF","2018-05-05","94.0","-1.8464","5.5489","Dan Winkler",605509,595465,"null","ball",,,,,"14","null","R","R","R","ATL","SF","B","null","null",0,2,2018,"-0.4233","1.3822","1.3393","1.7379","491676.00","null","460026.00",2,9,"Top","null","null",,,435559,,"180506_015401","9.1141","-136.4481","-7.1387","-7.1366","28.1827","-13.7607","3.2524","1.5303","null","null","null","93.5810","2461","6.0410",529909,595465,435559,518692,645277,430832,622666,660670,542255,605512,"54.4584","null","null","null","null","null","null","null",78,"3","4-Seam Fastball",2,11,11,2,11,2,11,2,"Standard","Standard"
"FF","2018-05-05","93.5","-2.0213","5.3767","Dan Winkler",605509,595465,"null","called_strike",,,,,"8","null","R","R","R","ATL","SF","S","null","null",0,0,2018,"-0.5578","1.3128","0.0941","1.7618","491676.00","null","460026.00",2,9,"Top","null","null",,,435559,,"180506_015332","6.6107","-135.9096","-6.3963","-8.2014","27.7778","-14.9648","3.4082","1.5822","null","null","null","93.0800","2471","5.9490",529909,595465,435559,518692,645277,430832,622666,660670,542255,605512,"54.5505","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",2,11,11,2,11,2,11,2,"Standard","Standard"
"FF","2018-05-05","95.5","2.2684","5.2967","A.J. Minter",491676,621345,"null","ball",,,,,"11","null","R","R","L","ATL","SF","B","null","null",2,2,2018,"0.2651","1.3820","-0.0113","3.7090","null","null","543063.00",2,9,"Top","null","null",,,435559,,"180506_014742","-6.5885","-138.9300","-1.6664","4.8502","29.9551","-14.1445","3.1317","1.5292","null","null","null","95.5580","2435","6.2540",529909,621345,435559,518692,645277,430832,622666,660670,542255,605512,"54.2461","null","null","null","null","null","null","null",76,"5","4-Seam Fastball",2,10,10,2,10,2,10,2,"Standard","Standard"
"FF","2018-05-05","95.3","2.3024","5.2782","A.J. Minter",491676,621345,"null","ball",,,,,"14","null","R","R","L","ATL","SF","B","null","null",1,2,2018,"0.4014","1.3160","0.3071","0.6754","null","null","543063.00",2,9,"Top","null","null",,,435559,,"180506_014722","-6.1175","-138.3561","-9.3496","6.4754","30.1533","-13.4945","3.1643","1.4579","null","null","null","95.0720","2448","6.2330",529909,621345,435559,518692,645277,430832,622666,660670,542255,605512,"54.2668","null","null","null","null","null","null","null",76,"4","4-Seam Fastball",2,10,10,2,10,2,10,2,"Standard","Standard"
"FC","2018-05-05","90.4","2.3472","5.3467","A.J. Minter",491676,621345,"null","ball",,,,,"13","null","R","R","L","ATL","SF","B","null","null",0,2,2018,"-0.4537","0.4544","-1.1878","1.2293","null","null","543063.00",2,9,"Top","null","null",,,435559,,"180506_014703","-7.7583","-131.3638","-5.2177","-3.6324","25.6317","-26.2347","3.1837","1.5985","null","null","null","89.4430","2661","5.6000",529909,621345,435559,518692,645277,430832,622666,660670,542255,605512,"54.9000","null","null","null","null","null","null","null",76,"3","Cutter",2,10,10,2,10,2,10,2,"Standard","Standard"
"FC","2018-05-05","90.8","2.5407","5.2865","A.J. Minter",593700,621345,"null","ball",,,,,"13","null","R","R","L","ATL","SF","B","null","null",2,2,2018,"-0.4586","0.5772","-0.6614","1.1659","null","null","543063.00",1,9,"Top","null","null",,,435559,,"180506_014525","-6.9852","-131.9568","-5.5683","-3.8593","26.8715","-24.6225","3.2490","1.6353","null","null","null","90.1310","null","5.8550",529909,621345,435559,518692,645277,430832,622666,660670,542255,605512,"54.6447","null","null","null","null","null","null","null",75,"5","Cutter",2,10,10,2,10,2,10,2,"Standard","Standard"
