"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-07-13","84.2","-1.2897","5.4014","Sam Dyson",656305,473879,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",1,2,2018,"0.6910","-0.3094","0.3972","1.2091","null","null","null",2,9,"Top","null","null",,,457763,,"180714_053110","2.5501","-122.4662","-2.7435","6.2230","23.0182","-34.9203","3.3567","1.7693","null","null","null","82.6680","2994","5.1820",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.3159","null","null","null","null","null","null","null",70,"4","Curveball",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2018-07-13","94.5","-1.4221","5.3451","Sam Dyson",656305,473879,"null","called_strike",,,,,"9","null","R","R","R","SF","OAK","S","null","null",1,1,2018,"-1.5338","0.3071","0.4472","1.5112","null","null","null",2,9,"Top","null","null",,,457763,,"180714_053049","7.9362","-137.1243","-4.8568","-20.2967","28.2256","-27.6938","3.4916","1.5669","null","null","null","92.6020","2238","5.1590",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.3382","null","null","null","null","null","null","null",70,"3","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"CU","2018-07-13","83.8","-1.3857","5.3463","Sam Dyson",656305,473879,"null","ball",,,,,"11","null","R","R","R","SF","OAK","B","null","null",0,0,2018,"0.9001","-0.4475","-0.9837","3.1740","null","null","null",2,9,"Top","null","null",,,457763,,"180714_053007","-0.7412","-121.8296","2.1138","8.7598","21.6009","-37.0933","3.4017","1.6794","null","null","null","82.1950","2886","5.0430",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.4548","null","null","null","null","null","null","null",70,"1","Curveball",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2018-07-13","93.8","-1.3311","5.3822","Sam Dyson",621566,473879,"strikeout","called_strike",,,,,"1","Matt Olson called out on strikes.  ","R","L","R","SF","OAK","S",2,"null",1,2,2018,"-1.3302","0.5620","-0.5274","3.2206","null","null","null",1,9,"Top","null","null",,,457763,,"180714_052929","4.7988","-136.3662","-1.0835","-17.0550","27.1916","-25.4017","3.3852","1.8023","null","null","null","92.3670","2249","5.2740",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.2232","null","null","0.00",1,0,0,"null",69,"4","2-Seam Fastball",7,1,1,7,1,7,1,7,"Infield shift","Standard"
"FT","2018-07-13","93.3","-1.4579","5.3367","Sam Dyson",621566,473879,"null","called_strike",,,,,"13","null","R","L","R","SF","OAK","S","null","null",1,1,2018,"-1.3603","0.4798","-0.8966","2.3699","null","null","null",1,9,"Top","null","null",,,457763,,"180714_052858","4.2483","-135.8060","-2.9269","-17.2443","25.6900","-26.0500","3.4813","1.7628","null","null","null","92.3290","2251","5.3870",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.1101","null","null","null","null","null","null","null",69,"3","2-Seam Fastball",7,1,1,7,1,7,1,7,"Infield shift","Standard"
"FF","2018-07-13","95.2","-1.3450","5.5047","Sam Dyson",621566,473879,"null","ball",,,,,"14","null","R","L","R","SF","OAK","B","null","null",0,0,2018,"-0.2197","0.9617","2.1009","2.3985","null","null","null",1,9,"Top","null","null",,,457763,,"180714_052756","9.3609","-138.2224","-4.5568","-4.6302","27.6628","-19.4286","3.4340","1.7853","null","null","null","94.0630","2404","5.5160",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"54.9814","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",7,1,1,7,1,7,1,7,"Infield shift","Standard"
"FT","2018-07-13","94.6","-1.5216","5.3551","Sam Dyson",572039,473879,"null","ball",,,,,"12","null","R","R","R","SF","OAK","B","null","null",1,2,2018,"-1.2912","0.8063","1.0770","2.6208","null","null","null",0,9,"Top","null","null",,,457763,,"180714_052629","9.2968","-137.3965","-3.1531","-17.6203","26.4564","-21.9219","3.3187","1.6379","null","null","null","92.9750","2378","5.1370",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.3599","null","null","null","null","null","null","null",68,"5","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"SL","2018-07-13","84.7","-1.2918","5.4840","Sam Dyson",572039,473879,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",0,2,2018,"0.6478","0.1894","1.1718","2.0360","null","null","null",0,9,"Top","null","null",,,457763,,"180714_052605","4.4244","-123.2412","-2.1359","5.6715","20.4885","-30.1765","3.2513","1.6379","null","null","null","83.5200","2973","5.1500",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.3479","null","null","null","null","null","null","null",68,"4","Slider",7,1,1,7,1,7,1,7,"Standard","Standard"
"FT","2018-07-13","93.0","-1.6311","5.3818","Sam Dyson",572039,473879,"null","called_strike",,,,,"5","null","R","R","R","SF","OAK","S","null","null",0,0,2018,"-1.6483","0.2690","-0.0134","2.4228","null","null","null",0,9,"Top","null","null",,,457763,,"180714_052445","7.4683","-134.9832","-2.2771","-21.0873","31.0969","-28.7718","3.4287","1.7728","null","null","null","90.9580","2235","5.3230",530819,473879,457763,474832,593700,488818,543063,491676,621453,457705,"55.1742","null","null","null","null","null","null","null",68,"1","2-Seam Fastball",7,1,1,7,1,7,1,7,"Standard","Standard"
"KC","2018-07-13","79.8","-3.2529","5.4979","Santiago Casilla",621453,433586,"null","called_strike",,,,,"5","null","R","L","R","SF","OAK","S","null","null",1,1,2018,"0.4869","-0.6843","0.0936","2.4300","null","null","488818.00",2,8,"Bot","null","null",,,518960,,"180714_052145","6.4135","-116.1023","1.1858","3.2491","20.0846","-38.7244","3.3693","1.6490","null","null","null","79.4700","2419","5.8970",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.6001","null","null","null","null","null","null","null",67,"3","Knuckle Curve",7,1,7,1,1,7,7,1,"Standard","Standard"
"KC","2018-07-13","79.4","-3.3253","5.4897","Santiago Casilla",621453,433586,"null","ball",,,,,"14","null","R","L","R","SF","OAK","B","null","null",0,0,2018,"0.5692","-0.5974","0.9061","1.8528","null","null","488818.00",2,8,"Bot","null","null",,,518960,,"180714_052026","8.1425","-115.4044","-0.1126","3.5661","20.5800","-37.6499","3.3468","1.5140","null","null","null","78.8570","2494","5.8780",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.6195","null","null","null","null","null","null","null",67,"1","Knuckle Curve",7,1,7,1,1,7,7,1,"Standard","Standard"
"FT","2018-07-13","93.9","-1.8767","5.4053","Santiago Casilla",488818,433586,"walk","ball",,,,,"14","Chase d'Arnaud walks.  ","R","R","R","SF","OAK","B","null","null",3,2,2018,"-1.3091","0.8593","0.9205","0.7543","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051941","10.1736","-136.3057","-8.2732","-18.5489","26.8185","-19.8687","3.2521","1.6797","null","null","null","94.4890","2563","6.5310",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"53.9665","null","null","0.70",1,0,0,"null",66,"8","2-Seam Fastball",7,1,7,1,1,7,7,1,"Standard","Standard"
"KC","2018-07-13","80.3","-2.3044","5.3817","Santiago Casilla",488818,433586,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",2,2,2018,"0.7992","-0.7978","1.7552","1.1532","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051812","7.4290","-116.6169","-1.1209","5.6934","22.9618","-39.3453","3.2746","1.7247","null","null","null","79.4460","2538","5.9110",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.5864","null","null","null","null","null","null","null",66,"5","Knuckle Curve",7,1,7,1,1,7,7,1,"Standard","Standard"
"FF","2018-07-13","93.6","-1.9218","5.4706","Santiago Casilla",488818,433586,"null","called_strike",,,,,"9","null","R","R","R","SF","OAK","S","null","null",2,1,2018,"-0.8956","1.4042","0.5545","1.7773","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051745","8.3872","-135.9241","-6.8417","-13.0679","32.2960","-13.4093","3.3420","1.8272","null","null","null","93.3990","2539","6.4720",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.0253","null","null","null","null","null","null","null",66,"4","4-Seam Fastball",7,1,7,1,1,7,7,1,"Standard","Standard"
"FT","2018-07-13","94.5","-1.7117","5.5963","Santiago Casilla",488818,433586,"null","ball",,,,,"14","null","R","R","R","SF","OAK","B","null","null",1,1,2018,"-1.3831","0.8847","1.5767","2.0545","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051720","11.6300","-137.0973","-5.4757","-20.0064","29.9280","-20.0165","3.3870","1.8822","null","null","null","94.4060","2515","6.3710",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.1266","null","null","null","null","null","null","null",66,"3","2-Seam Fastball",7,1,7,1,1,7,7,1,"Standard","Standard"
"SL","2018-07-13","90.1","-2.2729","5.3582","Santiago Casilla",488818,433586,"null","called_strike",,,,,"5","null","R","R","R","SF","OAK","S","null","null",1,0,2018,"-0.5249","1.2309","0.1908","2.7945","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051657","7.1871","-130.9768","-3.0038","-7.4328","25.8129","-17.6856","3.3645","1.7822","null","null","null","89.9370","2418","6.0930",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.4039","null","null","null","null","null","null","null",66,"2","Slider",7,1,7,1,1,7,7,1,"Standard","Standard"
"FT","2018-07-13","93.7","-1.7432","5.5126","Santiago Casilla",488818,433586,"null","ball",,,,,"11","null","R","R","R","SF","OAK","B","null","null",0,0,2018,"-1.1795","1.3140","-1.5598","3.7915","null","null","null",2,8,"Bot","null","null",,,518960,,"180714_051622","3.0818","-136.3710","-1.5727","-15.3471","32.3885","-15.7509","3.2746","1.8147","null","null","null","93.4830","2507","6.3310",530819,433586,518960,621566,640461,656305,543760,501981,592192,572039,"54.1662","null","null","null","null","null","null","null",66,"1","2-Seam Fastball",7,1,7,1,1,7,7,1,"Standard","Standard"
