"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-05-01","92.5","2.7238","6.0612","Brad Hand",457705,543272,"null","ball",,,,,"2","null","R","R","L","SF","SD","B","null","null",2,1,2018,"1.2465","0.7229","0.2333","3.4335","null","null","null",2,9,"Bot","null","null",,,607257,,"180502_043809","-8.6599","-134.2748","-2.3539","16.1267","26.3344","-23.6084","3.3147","1.5866","null","null","null","90.3090","2247","4.8740",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"55.6236","null","null","null","null","null","null","null",68,"4","2-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Strategic"
"SL","2018-05-01","80.8","2.3523","6.2442","Brad Hand",457705,543272,"null","ball",,,,,"14","null","R","R","L","SF","SD","B","null","null",1,1,2018,"-1.7837","-0.5381","1.0165","1.8102","null","null","null",2,9,"Bot","null","null",,,607257,,"180502_043742","0.1497","-117.1872","-2.1310","-15.2151","23.7774","-36.6734","3.3695","1.5912","null","null","null","77.3450","2645","4.1740",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"56.3236","null","null","null","null","null","null","null",68,"3","Slider",2,3,2,3,3,2,2,3,"Standard","Strategic"
"FT","2018-05-01","93.2","2.6287","6.1161","Brad Hand",457705,543272,"null","ball",,,,,"4","null","R","R","L","SF","SD","B","null","null",0,0,2018,"1.2753","0.2979","-0.7398","2.1817","null","null","null",2,9,"Bot","null","null",,,607257,,"180502_043652","-10.9318","-134.9543","-4.7864","17.1105","28.2318","-27.9930","3.3636","1.6374","null","null","null","90.4700","2384","4.8120",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"55.6851","null","null","null","null","null","null","null",68,"1","2-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Strategic"
"SL","2018-05-01","81.4","2.4898","6.2233","Brad Hand",457706,543272,"null","called_strike",,,,,"3","null","R","R","L","SF","SD","S","null","null",2,1,2018,"-1.4627","-0.3717","0.5874","2.9398","null","null","null",1,9,"Bot","null","null",,,607257,,"180502_043539","-1.6299","-118.2619","-0.1753","-12.4772","20.8050","-35.6934","3.2992","1.5309","null","null","null","78.3600","2455","4.0600",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"56.4377","null","null","null","null","null","null","null",67,"4","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"FT","2018-05-01","91.4","2.6000","6.0818","Brad Hand",457706,543272,"null","ball",,,,,"11","null","R","R","L","SF","SD","B","null","null",1,1,2018,"1.3400","0.0941","-1.3268","2.4992","null","null","null",1,9,"Bot","null","null",,,607257,,"180502_043514","-12.2507","-132.3367","-3.2752","17.4174","24.5053","-30.7525","3.2992","1.5805","null","null","null","89.2690","2201","4.9570",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"55.5405","null","null","null","null","null","null","null",67,"3","2-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"SL","2018-05-01","80.4","2.4907","6.2194","Brad Hand",457706,543272,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",0,1,2018,"-1.3431","-0.4175","3.0914","4.3602","null","null","null",1,9,"Bot","null","null",,,607257,,"180502_043448","3.4844","-116.7457","3.0228","-11.9969","18.4619","-36.4937","3.2992","1.5309","null","null","null","77.4640","2352","3.9600",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"56.5379","null","null","null","null","null","null","null",67,"2","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"FT","2018-05-01","91.4","2.6109","6.1966","Brad Hand",457706,543272,"null","called_strike",,,,,"2","null","R","R","L","SF","SD","S","null","null",0,0,2018,"1.3580","0.6160","0.2196","3.2335","null","null","null",1,9,"Bot","null","null",,,607257,,"180502_043428","-8.5462","-132.6889","-2.8225","17.0094","24.8873","-24.9089","3.2992","1.4814","null","null","null","89.4220","2247","4.9230",529852,543272,607257,543333,641319,570799,520471,614173,622534,608671,"55.5741","null","null","null","null","null","null","null",67,"1","2-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2018-05-01","94.5","-2.8880","5.6687","Hunter Strickland",543333,519326,"null","called_strike",,,,,"7","null","R","L","R","SF","SD","S","null","null",2,0,2018,"-0.1552","1.2154","-0.3150","2.0616","null","null","null",2,9,"Top","null","null",,,457763,,"180502_042947","7.0304","-137.5319","-6.4629","-3.3077","25.9917","-15.6478","3.4800","1.6019","null","null","null","94.8850","2322","6.1750",529852,519326,457763,474832,593700,446334,543063,596103,453923,457705,"54.3226","null","null","null","null","null","null","null",64,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Strategic"
"SL","2018-05-01","82.4","-3.1043","5.8552","Hunter Strickland",543333,519326,"null","ball",,,,,"13","null","R","L","R","SF","SD","B","null","null",1,0,2018,"0.8698","-0.2314","-1.1529","1.8910","null","null","null",2,9,"Top","null","null",,,457763,,"180502_042926","2.7637","-119.9561","-2.1268","7.7164","19.7573","-34.2286","3.4900","1.7011","null","null","null","81.4020","2571","5.2570",529852,519326,457763,474832,593700,446334,543063,596103,453923,457705,"55.2409","null","null","null","null","null","null","null",64,"2","Slider",2,2,2,2,2,2,2,2,"Standard","Strategic"
"CH","2018-05-01","87.2","-2.8472","6.0978","Hunter Strickland",543333,519326,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-1.1990","0.6905","-2.0848","3.4061","null","null","null",2,9,"Top","null","null",,,457763,,"180502_042911","4.1966","-126.8422","-1.7080","-13.5433","24.7058","-24.7453","3.4900","1.7506","null","null","null","86.5180","1455","5.7660",529852,519326,457763,474832,593700,446334,543063,596103,453923,457705,"54.7317","null","null","null","null","null","null","null",64,"1","Changeup",2,2,2,2,2,2,2,2,"Standard","Strategic"
