"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-06-20","82.3","-1.3420","5.2354","Reyes Moronta",543776,606625,"null","called_strike",,,,,"2","null","R","L","R","SF","MIA","S","null","null",1,1,2018,"1.6884","-0.0721","0.1776","2.7622","null","605119.00","592663.00",2,9,"Top","null","null",,,460026,,"180620_224923","0.2811","-119.8866","0.9449","15.8786","20.6218","-33.2471","3.1557","1.4662","null","null","null","81.5670","2608","5.4860",530510,606625,460026,474832,605412,467055,605509,452254,491676,607776,"55.0114","null","null","null","null","null","null","null",76,"3","Slider",6,5,5,6,5,6,5,6,"Standard","Standard"
"SL","2018-06-20","83.9","-1.3633","5.2424","Reyes Moronta",543776,606625,"null","ball",,,,,"9","null","R","L","R","SF","MIA","B","null","null",0,1,2018,"1.0358","0.4914","0.3812","1.6871","null","605119.00","592663.00",2,9,"Top","null","null",,,460026,,"180620_224851","2.0233","-122.1754","-2.7946","9.7921","22.0642","-27.0842","3.0841","1.4517","null","null","null","83.1610","2577","5.5700",530510,606625,460026,474832,605412,467055,605509,452254,491676,607776,"54.9272","null","null","null","null","null","null","null",76,"2","Slider",6,5,5,6,5,6,5,6,"Standard","Standard"
"SL","2018-06-20","79.9","-1.5061","5.3013","Reyes Moronta",543776,606625,"null","called_strike",,,,,"2","null","R","L","R","SF","MIA","S","null","null",0,0,2018,"1.5055","0.5679","-0.2757","3.0634","null","605119.00","592663.00",2,9,"Top","null","null",,,460026,,"180620_224831","-0.0162","-116.2511","0.7326","13.1959","21.4981","-27.5959","3.1335","1.4441","null","null","null","78.5760","2397","5.3340",530510,606625,460026,474832,605412,467055,605509,452254,491676,607776,"55.1639","null","null","null","null","null","null","null",76,"1","Slider",6,5,5,6,5,6,5,6,"Standard","Standard"
"FT","2018-06-20","92.6","-1.5226","5.3272","Sam Dyson",516770,473879,"null","ball",,,,,"14","null","R","R","R","SF","MIA","B","null","null",0,0,2018,"-1.4830","0.1948","0.5499","1.1623","500743.00","518618.00","null",1,9,"Top","null","null",,,460026,,"180620_224143","8.2137","-134.3670","-5.1408","-19.0604","27.1995","-29.1001","3.5581","1.6468","null","null","null","90.9310","2197","5.2850",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"55.2124","null","null","null","null","null","null","null",73,"1","2-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"CH","2018-06-20","84.1","-1.3488","5.3617","Sam Dyson",518618,473879,"null","ball",,,,,"11","null","R","L","R","SF","MIA","B","null","null",2,2,2018,"-1.2699","0.0989","-1.7164","2.8111","null","null","500743.00",1,9,"Top","null","null",,,460026,,"180620_224022","1.5584","-122.5190","0.1357","-12.8600","19.2679","-31.4175","3.4300","1.4942","null","null","null","83.7370","2003","5.5340",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"54.9636","null","null","null","null","null","null","null",72,"7","Changeup",6,3,3,6,3,6,3,6,"Standard","Standard"
"FT","2018-06-20","89.9","-1.3224","5.4239","Sam Dyson",518618,473879,"null","called_strike",,,,,"11","null","R","L","R","SF","MIA","S","null","null",1,0,2018,"-1.3856","0.4559","-0.9634","2.3312","null","null","500743.00",1,9,"Top","null","null",,,460026,,"180620_223711","3.7024","-130.8360","-2.6320","-16.3319","26.3652","-26.7546","3.1532","1.3281","null","null","null","89.0590","2205","5.6580",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"54.8397","null","null","null","null","null","null","null",72,"2","2-Seam Fastball",6,3,3,6,3,6,3,6,"Strategic","Standard"
"CH","2018-06-20","84.1","-1.3945","5.3302","Sam Dyson",518618,473879,"null","ball",,,,,"11","null","R","L","R","SF","MIA","B","null","null",0,0,2018,"-0.9700","0.1938","-1.7418","3.7384","null","null","500743.00",1,9,"Top","null","null",,,460026,,"180620_223651","1.0354","-122.4855","2.2035","-9.7314","21.4389","-30.8821","3.4078","1.5385","null","null","null","83.3340","2065","5.4770",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"55.0205","null","null","null","null","null","null","null",72,"1","Changeup",6,3,3,6,3,6,3,6,"Standard","Standard"
"FT","2018-06-20","90.8","-1.3344","5.3095","Sam Dyson",592680,473879,"null","ball",,,,,"14","null","R","R","R","SF","MIA","B","null","null",1,2,2018,"-1.4684","0.2747","1.1509","1.0248","null","null","500743.00",0,9,"Top","null","null",,,460026,,"180620_223552","9.2064","-131.9110","-5.3700","-18.7350","25.3523","-28.1858","3.2460","1.6437","null","null","null","90.2890","2232","5.8510",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"54.6466","null","null","null","null","null","null","null",71,"5","2-Seam Fastball",6,3,3,6,3,6,3,6,"Standard","Standard"
"SL","2018-06-20","87.6","-1.2541","5.4495","Sam Dyson",592680,473879,"null","ball",,,,,"12","null","R","R","R","SF","MIA","B","null","null",0,2,2018,"0.3431","0.4740","0.9852","3.2588","null","null","500743.00",0,9,"Top","null","null",,,460026,,"180620_223530","4.6397","-127.4606","-0.2077","2.8685","21.4650","-27.3186","3.3456","1.6326","null","null","null","86.6300","2574","5.2740",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"55.2236","null","null","null","null","null","null","null",71,"4","Slider",6,3,3,6,3,6,3,6,"Strategic","Standard"
"FT","2018-06-20","90.7","-1.3966","5.3607","Sam Dyson",592680,473879,"null","called_strike",,,,,"4","null","R","R","R","SF","MIA","S","null","null",0,1,2018,"-1.2543","0.4811","-0.6096","2.3869","null","null","500743.00",0,9,"Top","null","null",,,460026,,"180620_223432","4.4544","-131.9437","-2.5273","-15.0882","24.7067","-26.4694","3.3646","1.5572","null","null","null","89.5190","2085","5.3080",530510,473879,460026,474832,605412,467055,605509,452254,491676,607776,"55.1891","null","null","null","null","null","null","null",71,"2","2-Seam Fastball",6,3,3,6,3,6,3,6,"Strategic","Standard"
