"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-29","93.1","-1.3580","6.2001","Brooks Pounders",491676,572044,"null","called_strike",,,,,"7","null","R","R","R","COL","SF","S","null","null",0,0,2018,"-0.2210","1.0884","-0.5539","1.7498","null","null","467055.00",1,9,"Top","null","null",,,455104,,"180530_035739","2.5754","-135.5945","-8.2309","-3.2623","24.7152","-17.0816","3.2729","1.5081","null","null","null","94.5110","2269","6.6980",530223,572044,455104,435622,641857,571448,596115,467827,453568,471865,"53.8037","null","null","null","null","null","null","null",80,"1","4-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FF","2018-05-29","93.8","-1.3654","6.2413","Brooks Pounders",467055,572044,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",0,0,2018,"-0.1212","1.2091","-1.0104","0.8678","null","null","null",1,9,"Top","null","null",,,455104,,"180530_035645","1.1884","-136.4249","-10.9361","-1.7562","25.5061","-15.0063","3.1623","1.5698","null","null","null","94.5550","2189","6.4260",530223,572044,455104,435622,641857,571448,596115,467827,453568,471865,"54.0759","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",11,4,4,11,4,11,4,11,"Strategic","Standard"
"FF","2018-05-29","92.9","-1.5469","6.2191","Brooks Pounders",453923,572044,"null","called_strike",,,,,"1","null","R","L","R","COL","SF","S","null","null",1,0,2018,"-0.2975","1.0518","-0.3792","2.7683","null","null","null",0,9,"Top","null","null",,,455104,,"180530_035538","3.6649","-135.3065","-5.4891","-4.3967","25.0112","-18.1840","3.0639","1.6113","null","null","null","93.9850","2220","6.5400",530223,572044,455104,435622,641857,571448,596115,467827,453568,471865,"53.9623","null","null","null","null","null","null","null",78,"2","4-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"FF","2018-05-29","92.6","-1.6532","6.2630","Brooks Pounders",453923,572044,"null","ball",,,,,"13","null","R","L","R","COL","SF","B","null","null",0,0,2018,"-0.4390","1.0957","-1.4992","2.1894","null","null","null",0,9,"Top","null","null",,,455104,,"180530_035525","1.3584","-134.9333","-7.1050","-5.6876","25.6577","-17.4550","3.0538","1.5899","null","null","null","93.4660","2184","6.4470",530223,572044,455104,435622,641857,571448,596115,467827,453568,471865,"54.0551","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",11,4,4,11,4,11,4,11,"Standard","Standard"
"SI","2018-05-29","89.0","3.0448","6.4304","Ty Blach",641857,621389,"null","ball",,,,,"14","null","R","L","L","COL","SF","B","null","null",0,1,2018,"0.9695","0.8699","1.5374","2.3011","471865.00","null","435622.00",2,8,"Bot","null","null",,,457763,,"180530_035155","-5.4596","-129.1964","-5.6743","11.4389","25.4589","-22.0319","3.6350","1.7148","null","null","null","86.7700","2043","4.8860",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.6154","null","null","null","null","null","null","null",77,"2","Sinker",11,4,11,4,4,11,11,4,"Standard","Standard"
"SI","2018-05-29","90.0","3.0480","6.4210","Ty Blach",641857,621389,"null","called_strike",,,,,"4","null","R","L","L","COL","SF","S","null","null",0,0,2018,"0.9290","0.7474","-0.3618","2.7606","471865.00","null","435622.00",2,8,"Bot","null","null",,,457763,,"180530_035138","-10.0406","-130.4583","-4.5304","12.0603","23.9292","-23.3702","3.7207","1.7792","null","null","null","88.0540","2105","5.0040",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.4981","null","null","null","null","null","null","null",77,"1","Sinker",11,4,11,4,4,11,11,4,"Standard","Standard"
"SI","2018-05-29","89.8","3.1686","6.3082","Ty Blach",596115,621389,"null","called_strike",,,,,"6","null","R","R","L","COL","SF","S","null","null",0,0,2018,"1.0631","0.9858","0.7885","2.4244","null","null","471865.00",1,8,"Bot","null","null",,,457763,,"180530_034920","-7.7448","-130.3452","-5.4731","12.9724","23.8786","-20.7194","3.6642","1.8117","null","null","null","87.5090","2136","4.7010",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.8005","null","null","null","null","null","null","null",75,"1","Sinker",11,4,11,4,4,11,11,4,"Infield shift","Standard"
"CH","2018-05-29","80.2","2.9167","6.4490","Ty Blach",571448,621389,"null","ball",,,,,"14","null","R","R","L","COL","SF","B","null","null",0,0,2018,"1.3271","0.1966","0.3199","0.8158","null","null","null",1,8,"Bot","null","null",,,457763,,"180530_034659","-7.7849","-116.4349","-6.0260","12.6389","16.9311","-29.8329","3.4351","1.8016","null","null","null","78.1900","1976","4.5050",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.9964","null","null","null","null","null","null","null",73,"1","Changeup",10,4,10,4,4,10,10,4,"Infield shift","Strategic"
"SI","2018-05-29","90.6","2.8106","6.2854","Ty Blach",467827,621389,"strikeout","called_strike",,,,,"7","Gerardo Parra called out on strikes.  ","R","L","L","COL","SF","S",2,"null",3,2,2018,"1.1052","0.6370","-0.5661","1.7520","null","null","null",0,8,"Bot","null","null",,,457763,,"180530_034628","-10.3856","-131.4467","-6.6144","14.1307","21.3993","-24.1447","3.2173","1.5483","null","null","null","89.1180","2226","5.0290",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.4732","null","null","0.00",1,0,0,"null",72,"7","Sinker",10,4,10,4,4,10,10,4,"Standard","Standard"
"SL","2018-05-29","77.4","2.9468","6.3848","Ty Blach",467827,621389,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",2,2,2018,"-0.6115","-0.4098","-1.0863","0.7950","null","null","null",0,8,"Bot","null","null",,,457763,,"180530_034607","-7.3249","-112.4776","-4.3184","-3.9698","15.4472","-35.1448","3.2502","1.5912","null","null","null","75.7580","2455","4.6360",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.8657","null","null","null","null","null","null","null",72,"6","Slider",10,4,10,4,4,10,10,4,"Standard","Standard"
"SI","2018-05-29","89.8","2.9772","6.4080","Ty Blach",467827,621389,"null","called_strike",,,,,"7","null","R","L","L","COL","SF","S","null","null",2,0,2018,"1.0609","0.7482","-0.4860","2.0058","null","null","null",0,8,"Bot","null","null",,,457763,,"180530_034504","-10.3448","-130.1464","-6.2557","13.3997","23.3412","-23.1628","3.3031","1.6126","null","null","null","87.5780","2176","4.7950",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.7068","null","null","null","null","null","null","null",72,"3","Sinker",10,4,10,4,4,10,10,4,"Standard","Strategic"
"SI","2018-05-29","90.0","2.8245","6.3614","Ty Blach",467827,621389,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",1,0,2018,"1.0566","0.6982","-1.4177","1.7075","null","null","null",0,8,"Bot","null","null",,,457763,,"180530_034447","-12.1907","-130.2761","-6.7712","13.6658","23.2204","-23.6266","3.3359","1.6126","null","null","null","87.5550","2206","4.7110",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.7910","null","null","null","null","null","null","null",72,"2","Sinker",10,4,10,4,4,10,10,4,"Standard","Strategic"
"SI","2018-05-29","89.1","2.8900","6.4019","Ty Blach",467827,621389,"null","ball",,,,,"13","null","R","L","L","COL","SF","B","null","null",0,0,2018,"0.8971","0.8687","-1.1893","1.5925","null","null","null",0,8,"Bot","null","null",,,457763,,"180530_034432","-11.3847","-128.9433","-7.3001","11.5204","21.8410","-21.8922","3.3144","1.5483","null","null","null","86.8220","2201","4.7430",530223,621389,457763,474832,605509,446334,543063,607776,491676,457705,"55.7585","null","null","null","null","null","null","null",72,"1","Sinker",10,4,10,4,4,10,10,4,"Standard","Strategic"
"FC","2018-05-29","93.5","-3.0518","6.1034","Bryan Shaw",543063,543766,"null","ball",,,,,"14","null","R","L","R","COL","SF","B","null","null",2,1,2018,"0.3437","0.5686","1.8203","2.4106","null","null","null",2,8,"Top","null","null",,,455104,,"180530_034109","11.5635","-135.6525","-4.9483","2.1543","23.3245","-24.6853","3.3332","1.5798","null","null","null","92.2180","2623","5.2180",530223,543766,455104,435622,641857,571448,596115,467827,453568,471865,"55.2834","null","null","null","null","null","null","null",71,"4","Cutter",10,4,4,10,4,10,4,10,"Standard","Standard"
