"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-07-09","89.9","-3.4876","3.8142","Steve Cishek",474832,518553,"null","ball",,,,,"11","null","R","L","R","SF","CHC","B","null","null",1,1,2018,"-0.9509","0.9737","-1.1429","2.8667","null","null","457705.00",1,11,"Bot","null","null",,,575929,,"180710_051910","8.0994","-130.9763","1.4805","-13.0504","26.3899","-20.9295","3.0144","1.3343","null","null","null","92.1450","2371","7.4630",530761,518553,575929,519203,595879,664023,608365,450314,546991,518792,"53.0346","null","null","null","null","null","null","null",81,"3","4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard"
"FF","2018-07-09","91.0","-3.6056","3.9052","Steve Cishek",474832,518553,"null","ball",,,,,"11","null","R","L","R","SF","CHC","B","null","null",0,1,2018,"-0.8954","0.9485","-1.9588","4.5123","null","null","457705.00",1,11,"Bot","null","null",,,575929,,"180710_051849","6.1993","-132.5204","5.3771","-12.1064","26.1705","-21.8724","3.0369","1.3793","null","null","null","92.6770","2363","7.0740",530761,518553,575929,519203,595879,664023,608365,450314,546991,518792,"53.4230","null","null","null","null","null","null","null",81,"2","4-Seam Fastball",1,1,1,1,1,1,1,1,"Infield shift","Standard"
"SL","2018-07-09","78.2","-3.7242","3.8976","Steve Cishek",474832,518553,"null","called_strike",,,,,"7","null","R","L","R","SF","CHC","S","null","null",0,0,2018,"1.4694","-0.0035","-0.5643","1.8606","null","null","457705.00",1,11,"Bot","null","null",,,575929,,"180710_051829","4.0962","-113.7985","2.6027","11.8890","23.9180","-32.9796","3.1493","1.3568","null","null","null","78.2320","2506","6.6390",530761,518553,575929,519203,595879,664023,608365,450314,546991,518792,"53.8583","null","null","null","null","null","null","null",81,"1","Slider",1,1,1,1,1,1,1,1,"Infield shift","Standard"
"SL","2018-07-09","78.8","-3.4772","3.7775","Steve Cishek",457763,518553,"null","called_strike",,,,,"9","null","R","R","R","SF","CHC","S","null","null",0,0,2018,"1.1843","-0.3045","0.5818","2.1216","null","null","null",0,11,"Bot","null","null",,,575929,,"180710_051636","6.6340","-114.5354","3.8635","9.2920","21.7287","-35.8182","3.4252","1.6569","null","null","null","79.3050","2397","6.7630",530761,518553,575929,519203,595879,664023,608365,450314,546991,518792,"53.7348","null","null","null","null","null","null","null",79,"1","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"CH","2018-07-09","81.3","3.0201","6.3010","Ty Blach",575929,621389,"null","ball",,,,,"12","null","R","R","L","SF","CHC","B","null","null",1,2,2018,"1.4734","0.5011","2.3382","2.4322","null","null","null",2,11,"Top","null","null",,,457763,,"180710_051309","-4.0984","-118.1550","-2.9446","13.9615","20.9050","-27.4153","3.1975","1.4167","null","null","null","79.5590","1876","4.9890",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.5082","null","null","null","null","null","null","null",78,"5","Changeup",1,1,1,1,1,1,1,1,"Standard","Standard"
"CH","2018-07-09","81.6","2.9565","6.1924","Ty Blach",575929,621389,"null","called_strike",,,,,"8","null","R","R","L","SF","CHC","S","null","null",1,1,2018,"1.4297","0.7489","0.2044","1.4404","null","null","null",2,11,"Top","null","null",,,457763,,"180710_051231","-8.5025","-118.2231","-5.2431","14.3439","22.9474","-24.8072","3.3673","1.4842","null","null","null","79.0480","1979","4.7920",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.7052","null","null","null","null","null","null","null",78,"3","Changeup",1,1,1,1,1,1,1,1,"Standard","Standard"
"SI","2018-07-09","90.8","3.0667","6.2560","Ty Blach",575929,621389,"null","called_strike",,,,,"14","null","R","R","L","SF","CHC","S","null","null",1,0,2018,"1.0654","1.0795","0.9849","2.2627","null","null","null",2,11,"Top","null","null",,,457763,,"180710_051216","-7.1334","-131.6804","-6.0846","13.2243","25.9422","-19.2721","3.2099","1.4842","null","null","null","88.3960","2125","4.8150",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.6823","null","null","null","null","null","null","null",78,"2","Sinker",1,1,1,1,1,1,1,1,"Standard","Standard"
"CH","2018-07-09","80.2","2.9719","6.3254","Ty Blach",575929,621389,"null","ball",,,,,"14","null","R","R","L","SF","CHC","B","null","null",0,0,2018,"1.3318","0.9551","0.2850","1.1367","null","null","null",2,11,"Top","null","null",,,457763,,"180710_051203","-8.0373","-116.1444","-6.2638","12.8782","20.2593","-23.1267","3.2200","1.3942","null","null","null","77.9040","1981","4.7770",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.7200","null","null","null","null","null","null","null",78,"1","Changeup",1,1,1,1,1,1,1,1,"Standard","Standard"
"SI","2018-07-09","91.0","2.9031","6.1649","Ty Blach",519203,621389,"null","ball",,,,,"13","null","R","L","L","SF","CHC","B","null","null",0,1,2018,"1.1536","1.0274","-1.1915","1.6900","null","null","null",1,11,"Top","null","null",,,457763,,"180710_051112","-12.2511","-131.6196","-7.1764","15.3133","26.3085","-19.5479","3.5757","1.8572","null","null","null","88.6390","2088","5.0270",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.4701","null","null","null","null","null","null","null",77,"2","Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard"
"SI","2018-07-09","89.6","2.7479","6.2379","Ty Blach",519203,621389,"null","called_strike",,,,,"5","null","R","L","L","SF","CHC","S","null","null",0,0,2018,"1.1350","1.0870","0.2145","3.0023","null","null","null",1,11,"Top","null","null",,,457763,,"180710_051058","-8.2811","-130.0018","-4.0727","13.9215","25.2699","-19.8593","3.6207","1.7223","null","null","null","87.4180","2122","4.9100",530761,621389,457763,474832,593700,467055,543063,452254,621453,457705,"55.5870","null","null","null","null","null","null","null",77,"1","Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard"
