"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-08-24","96.5","-2.7243","5.6040","Jose Leclerc",605412,600917,"null","ball",,,,,"11","null","R","L","R","SF","TEX","B","null","null",0,1,2018,"-0.4337","1.5279","-1.1237","3.0150","null","null","null",2,10,"Bot","null","null",,,455139,,"180825_060443","5.1399","-140.2408","-4.6336","-6.7147","30.8251","-11.7277","3.2972","1.5826","null","null","null","95.2760","2534","5.5870",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"54.9107","null","null","null","null","null","null","null",93,"2","4-Seam Fastball",6,7,6,7,7,6,6,7,"Standard","Standard"
"FF","2018-08-24","96.6","-2.7516","5.6137","Jose Leclerc",457705,600917,"null","ball",,,,,"13","null","R","R","R","SF","TEX","B","null","null",2,2,2018,"-0.6577","1.6001","-0.4880","1.1258","null","null","null",1,10,"Bot","null","null",,,455139,,"180825_060327","7.3383","-140.0419","-9.7269","-10.0036","29.9027","-9.8140","3.3609","1.5307","null","null","null","95.1000","2709","5.5040",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"54.9934","null","null","null","null","null","null","null",92,"5","4-Seam Fastball",6,7,6,7,7,6,6,7,"Infield shift","Standard"
"SL","2018-08-24","82.1","-3.3908","5.3478","Jose Leclerc",457705,600917,"null","ball",,,,,"14","null","R","R","R","SF","TEX","B","null","null",1,1,2018,"0.9450","0.6291","1.1000","1.7429","null","null","null",1,10,"Bot","null","null",,,455139,,"180825_060239","8.2636","-119.2100","-2.7741","7.3284","21.5569","-26.0356","3.4386","1.5570","null","null","null","81.1390","2745","5.6210",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"54.8766","null","null","null","null","null","null","null",92,"3","Slider",6,7,6,7,7,6,6,7,"Infield shift","Standard"
"SL","2018-08-24","82.7","-3.5184","5.4430","Jose Leclerc",457705,600917,"null","called_strike",,,,,"9","null","R","R","R","SF","TEX","S","null","null",1,0,2018,"0.8446","0.2558","0.5293","1.9696","null","null","null",1,10,"Bot","null","null",,,455139,,"180825_060221","7.4553","-120.1036","-1.8944","6.5122","20.9436","-29.7417","3.4386","1.5570","null","null","null","80.7290","2703","4.8280",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"55.6697","null","null","null","null","null","null","null",92,"2","Slider",6,7,6,7,7,6,6,7,"Infield shift","Standard"
"SL","2018-08-24","81.7","-3.4130","5.3502","Jose Leclerc",457705,600917,"null","ball",,,,,"14","null","R","R","R","SF","TEX","B","null","null",0,0,2018,"0.8480","0.0412","1.1426","1.2966","null","null","null",1,10,"Bot","null","null",,,455139,,"180825_060201","8.4995","-118.6137","-2.5924","6.1903","21.3189","-31.5918","3.5163","1.5570","null","null","null","80.0850","null","5.1670",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"55.3306","null","null","null","null","null","null","null",92,"1","Slider",6,7,6,7,7,6,6,7,"Infield shift","Standard"
"SL","2018-08-24","82.0","-3.2710","5.5245","Jose Leclerc",596103,600917,"null","ball",,,,,"12","null","R","R","R","SF","TEX","B","null","null",0,1,2018,"0.6643","0.5244","1.3419","2.8875","null","null","null",0,10,"Bot","null","null",,,455139,,"180825_060043","9.1106","-119.2445","-0.4890","4.8312","19.6493","-27.2925","3.4569","1.5803","null","null","null","82.0370","null","6.0310",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"54.4669","null","null","null","null","null","null","null",91,"2","Slider",6,7,6,7,7,6,6,7,"Standard","Standard"
"FF","2018-08-24","94.7","-3.0305","5.9006","Jose Leclerc",596103,600917,"null","called_strike",,,,,"6","null","R","R","R","SF","TEX","S","null","null",0,0,2018,"-0.3813","1.6516","0.3155","2.3678","null","null","null",0,10,"Bot","null","null",,,455139,,"180825_060026","9.3182","-137.3308","-6.9094","-6.5892","28.5091","-10.8363","3.4051","1.5278","null","null","null","92.7500","2538","5.1790",531340,600917,455139,608597,596059,595777,462101,425783,624636,608577,"55.3188","null","null","null","null","null","null","null",91,"1","4-Seam Fastball",6,7,6,7,7,6,6,7,"Standard","Standard"
"SI","2018-08-24","90.7","3.0070","6.3115","Ty Blach",425783,621389,"null","called_strike",,,,,"14","null","R","L","L","SF","TEX","S","null","null",0,1,2018,"1.4290","0.9802","0.8914","1.9313","593643.00","608597.00","455139.00",2,10,"Top","null","null",,,457763,,"180825_055715","-7.9156","-131.4455","-6.7754","17.3799","27.0166","-20.2603","3.1433","1.5221","null","null","null","88.1020","2126","4.8210",531340,621389,457763,474832,605412,446334,543063,596103,621453,457705,"55.6767","null","null","null","null","null","null","null",90,"2","Sinker",6,7,7,6,7,6,7,6,"Standard","Standard"
"SI","2018-08-24","89.6","2.9384","6.3703","Ty Blach",425783,621389,"null","called_strike",,,,,"14","null","R","L","L","SF","TEX","S","null","null",0,0,2018,"1.3410","0.9849","0.9168","2.2731","593643.00","608597.00","455139.00",2,10,"Top","null","null",,,457763,,"180825_055655","-7.4738","-129.9927","-5.9300","16.0630","26.5403","-20.5634","3.1693","1.5220","null","null","null","87.3780","2077","4.9930",531340,621389,457763,474832,605412,446334,543063,596103,621453,457705,"55.5047","null","null","null","null","null","null","null",90,"1","Sinker",6,7,7,6,7,6,7,6,"Standard","Standard"
"FT","2018-08-24","91.9","-1.7628","5.2882","Sam Dyson",455139,473879,"walk","ball",,,,,"13","Robinson Chirinos walks.   Jurickson Profar scores.    Hanser Alberto to 3rd.    Ronald Guzman to 2nd.  ","R","R","R","SF","TEX","B","null","null",3,0,2018,"-1.4733","-0.0129","-1.0260","2.1305","595777.00","593643.00","608597.00",2,10,"Top","null","null",,,457763,,"180825_055247","4.9258","-133.7078","-2.1523","-18.3741","26.5335","-32.1263","2.9594","1.3461","null","null","null","91.2630","2065","5.7330",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"54.7648","null","null","0.70",1,0,0,"null",89,"4","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","94.3","-1.9683","5.1779","Sam Dyson",455139,473879,"null","ball",,,,,"13","null","R","R","R","SF","TEX","B","null","null",2,0,2018,"-1.3830","0.3969","-1.3400","1.9617","595777.00","593643.00","608597.00",2,10,"Top","null","null",,,457763,,"180825_055221","4.5144","-137.2726","-3.5431","-17.9458","26.1928","-26.8228","2.9074","1.2145","null","null","null","93.3460","2273","5.3950",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.1023","null","null","null","null","null","null","null",89,"3","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","93.6","-1.5757","5.3549","Sam Dyson",455139,473879,"null","ball",,,,,"11","null","R","R","R","SF","TEX","B","null","null",1,0,2018,"-1.4061","0.4076","-1.1021","2.5615","595777.00","593643.00","608597.00",2,10,"Top","null","null",,,457763,,"180825_055152","4.1393","-136.2022","-2.3597","-17.8797","26.9206","-26.9991","2.9334","1.3987","null","null","null","92.5000","2131","5.4070",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.0904","null","null","null","null","null","null","null",89,"2","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","95.0","-1.8447","5.2077","Sam Dyson",455139,473879,"null","ball",,,,,"13","null","R","R","R","SF","TEX","B","null","null",0,0,2018,"-1.6334","-0.0402","-1.2371","1.4376","595777.00","593643.00","608597.00",2,10,"Top","null","null",,,457763,,"180825_055123","5.0825","-138.1671","-4.0942","-21.5522","29.9149","-32.0346","2.9334","1.4513","null","null","null","93.9550","2201","5.6390",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"54.8587","null","null","null","null","null","null","null",89,"1","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","91.3","-1.9431","5.2085","Sam Dyson",608597,473879,"walk","ball",,,,,"13","Ronald Guzman walks.   Hanser Alberto to 2nd.  ","R","L","R","SF","TEX","B","null","null",3,0,2018,"-1.3830","0.2498","-1.6658","0.6393","595777.00","null","593643.00",2,10,"Top","null","null",,,457763,,"180825_055014","3.4685","-132.5962","-5.9971","-16.4358","27.7891","-28.3472","3.6424","1.7771","null","null","null","89.4550","2178","5.2130",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.2845","null","null","0.70",1,0,0,"null",88,"4","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"SL","2018-08-24","90.6","-1.9275","5.1808","Sam Dyson",608597,473879,"null","ball",,,,,"13","null","R","L","R","SF","TEX","B","null","null",2,0,2018,"-0.0438","0.6226","-1.4097","2.3521","595777.00","null","593643.00",2,10,"Top","null","null",,,457763,,"180825_054951","1.3699","-131.8094","-2.4097","-0.7918","28.0935","-24.8042","3.6424","1.9343","null","null","null","89.6810","2392","5.7390",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"54.7584","null","null","null","null","null","null","null",88,"3","Slider",6,6,6,6,6,6,6,6,"Standard","Standard"
"FF","2018-08-24","89.3","-1.8095","5.3517","Sam Dyson",608597,473879,"null","ball",,,,,"11","null","R","L","R","SF","TEX","B","null","null",1,0,2018,"-0.2207","0.4274","-0.9609","2.9631","595777.00","null","593643.00",2,10,"Top","null","null",,,457763,,"180825_054923","2.4916","-129.8470","-0.6880","-2.9550","28.6958","-27.6459","3.6165","1.8033","null","null","null","87.5830","2337","5.3720",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.1257","null","null","null","null","null","null","null",88,"2","4-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FF","2018-08-24","91.8","-1.8028","5.3170","Sam Dyson",608597,473879,"null","ball",,,,,"13","null","R","L","R","SF","TEX","B","null","null",0,0,2018,"-0.2305","0.5042","-1.4944","1.5888","595777.00","null","593643.00",2,10,"Top","null","null",,,457763,,"180825_054837","1.2367","-133.5116","-4.5568","-2.9271","28.4500","-25.6418","3.6198","1.8193","null","null","null","90.2260","2282","5.3310",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.1668","null","null","null","null","null","null","null",88,"1","4-Seam Fastball",6,6,6,6,6,6,6,6,"Strategic","Standard"
"FT","2018-08-24","93.4","-2.0034","5.2302","Sam Dyson",593643,473879,"null","ball",,,,,"13","null","R","R","R","SF","TEX","B","null","null",0,0,2018,"-1.6537","0.2098","-2.1653","1.1283","null","595777.00","624636.00",1,10,"Top","null","null",,,457763,,"180825_054619","3.1035","-135.7022","-5.1243","-20.5808","32.8767","-28.6902","3.3868","1.5832","null","null","null","91.9010","2151","5.7160",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"54.7816","null","null","null","null","null","null","null",87,"1","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Strategic"
"FT","2018-08-24","92.3","-1.8784","5.3728","Sam Dyson",624636,473879,"null","ball",,,,,"12","null","R","R","R","SF","TEX","B","null","null",1,1,2018,"-1.4575","0.4943","0.0692","4.0431","null","null","595777.00",1,10,"Top","null","null",,,457763,,"180825_054342","7.7979","-133.9337","1.4096","-18.5365","29.7194","-27.0702","3.4051","1.5541","null","null","null","90.1090","2207","5.1640",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.3332","null","null","null","null","null","null","null",86,"3","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","93.0","-1.9770","5.5086","Sam Dyson",624636,473879,"null","ball",,,,,"11","null","R","R","R","SF","TEX","B","null","null",0,1,2018,"-1.4463","0.3069","-1.0564","4.5914","null","null","595777.00",1,10,"Top","null","null",,,457763,,"180825_054307","5.2520","-134.9632","2.7582","-18.0709","30.8252","-29.5160","3.4051","1.5278","null","null","null","90.6190","2233","5.1000",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.3976","null","null","null","null","null","null","null",86,"2","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","93.1","-1.9637","5.2505","Sam Dyson",624636,473879,"null","called_strike",,,,,"7","null","R","R","R","SF","TEX","S","null","null",0,0,2018,"-1.6176","0.2751","-0.4441","1.6929","null","null","595777.00",1,10,"Top","null","null",,,457763,,"180825_054220","7.1738","-135.1625","-3.8462","-20.7236","29.5714","-28.3413","3.2754","1.3701","null","null","null","91.3370","2122","5.3590",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.1387","null","null","null","null","null","null","null",86,"1","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"FT","2018-08-24","93.6","-2.0805","5.2676","Sam Dyson",595777,473879,"null","called_strike",,,,,"9","null","R","L","R","SF","TEX","S","null","null",1,0,2018,"-1.5812","0.0529","0.3626","1.7637","null","null","null",1,10,"Top","null","null",,,457763,,"180825_054055","9.4873","-135.8521","-3.3464","-21.0190","28.9049","-31.0806","3.2572","1.6839","null","null","null","92.0250","2179","5.4220",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.0757","null","null","null","null","null","null","null",85,"2","2-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard"
"SL","2018-08-24","89.6","-2.0272","5.3870","Sam Dyson",595777,473879,"null","ball",,,,,"3","null","R","L","R","SF","TEX","B","null","null",0,0,2018,"0.0367","0.7565","0.4001","3.2917","null","null","null",1,10,"Top","null","null",,,457763,,"180825_054031","5.8022","-130.2431","-0.7400","-0.7206","25.2491","-23.9398","3.2472","1.5703","null","null","null","88.1520","2453","5.2680",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.2297","null","null","null","null","null","null","null",85,"1","Slider",6,6,6,6,6,6,6,6,"Standard","Standard"
"CH","2018-08-24","86.0","-2.2025","5.3050","Sam Dyson",608577,473879,"null","ball",,,,,"13","null","R","L","R","SF","TEX","B","null","null",1,1,2018,"-1.2486","0.0004","-1.8578","1.3289","null","null","null",0,10,"Top","null","null",,,457763,,"180825_053849","3.1562","-124.9979","-3.1380","-13.1962","23.9408","-31.8330","3.4870","1.6970","null","null","null","84.2950","1860","5.1230",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.3741","null","null","null","null","null","null","null",84,"3","Changeup",6,6,6,6,6,6,6,6,"Infield shift","Standard"
"FF","2018-08-24","91.1","-2.2928","5.3672","Sam Dyson",608577,473879,"null","ball",,,,,"11","null","R","L","R","SF","TEX","B","null","null",0,0,2018,"-0.2300","0.4668","-1.2202","2.7010","null","null","null",0,10,"Top","null","null",,,457763,,"180825_053808","3.1041","-132.4935","-1.7643","-3.2433","26.5941","-26.7564","3.6423","1.6970","null","null","null","89.6010","2452","5.2580",531340,473879,457763,474832,605412,446334,543063,596103,621453,457705,"55.2398","null","null","null","null","null","null","null",84,"1","4-Seam Fastball",6,6,6,6,6,6,6,6,"Infield shift","Standard"
"CH","2018-08-24","85.7","-2.3577","4.5651","Cory Gearrin",621453,518715,"null","ball",,,,,"14","null","R","L","R","SF","TEX","B","null","null",1,1,2018,"-1.8795","0.3810","1.5515","1.1583","null","null","null",2,9,"Bot","null","null",,,455139,,"180825_053412","12.7766","-124.0880","-2.4704","-21.5686","23.6662","-28.0551","3.6639","1.6328","null","null","null","84.7320","2233","5.8290",531340,518715,455139,608597,596059,595777,462101,425783,624636,608577,"54.6688","null","null","null","null","null","null","null",83,"3","Changeup",6,6,6,6,6,6,6,6,"Standard","Standard"
"SL","2018-08-24","83.9","-2.5903","4.8454","Cory Gearrin",621453,518715,"null","ball",,,,,"13","null","R","L","R","SF","TEX","B","null","null",0,1,2018,"0.3682","0.6746","-0.5071","1.6793","null","null","null",2,9,"Bot","null","null",,,455139,,"180825_053345","4.0351","-121.9951","-2.1777","2.7810","23.0713","-25.5327","3.6898","1.8164","null","null","null","82.3510","null","5.2040",531340,518715,455139,608597,596059,595777,462101,425783,624636,608577,"55.2939","null","null","null","null","null","null","null",83,"2","Slider",6,6,6,6,6,6,6,6,"Standard","Standard"
"SI","2018-08-24","92.2","-2.3040","4.8499","Cory Gearrin",621453,518715,"null","called_strike",,,,,"7","null","R","L","R","SF","TEX","S","null","null",0,0,2018,"-1.7144","-0.2124","-0.2855","1.9951","null","null","null",2,9,"Bot","null","null",,,455139,,"180825_053321","8.5856","-133.6769","-0.8719","-21.8578","31.7847","-34.7053","3.6645","1.7646","null","null","null","90.2160","2322","5.5120",531340,518715,455139,608597,596059,595777,462101,425783,624636,608577,"54.9858","null","null","null","null","null","null","null",83,"1","Sinker",6,6,6,6,6,6,6,6,"Standard","Standard"
