"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-06-11","79.4","-2.0541","6.1852","Kyle Barraclough",543063,607457,"null","ball",,,,,"14","null","R","L","R","MIA","SF","B","null","null",0,2,2018,"1.2511","-0.6117","1.2830","0.7039","null","null","null",2,9,"Top","null","null",,,592663,,"180612_021326","4.9450","-115.2540","-3.9476","9.6592","23.9186","-36.8754","3.3651","1.5018","null","null","null","77.5340","2588","5.3660",530394,607457,592663,500743,516770,592680,595375,457727,621446,605119,"55.1353","null","null","null","null","null","null","null",75,"3","Slider",7,5,5,7,5,7,5,7,"Standard","Standard"
"SL","2018-06-11","78.5","-2.2652","6.0471","Kyle Barraclough",543063,607457,"null","called_strike",,,,,"8","null","R","L","R","MIA","SF","S","null","null",0,1,2018,"1.2689","-0.6816","0.2691","1.9948","null","null","null",2,9,"Top","null","null",,,592663,,"180612_021303","3.1595","-113.9421","-0.5995","9.8617","23.5380","-38.0080","3.3759","1.5026","null","null","null","76.3530","2580","5.1630",530394,607457,592663,500743,516770,592680,595375,457727,621446,605119,"55.3383","null","null","null","null","null","null","null",75,"2","Slider",7,5,5,7,5,7,5,7,"Standard","Standard"
"FF","2018-06-11","93.6","-2.2534","6.0560","Kyle Barraclough",543063,607457,"null","called_strike",,,,,"7","null","R","L","R","MIA","SF","S","null","null",0,0,2018,"-0.3634","1.4248","-0.5168","1.7819","null","null","null",2,9,"Top","null","null",,,592663,,"180612_021246","5.2340","-135.9177","-8.3100","-5.5979","29.7573","-13.1297","3.4641","1.6789","null","null","null","92.9560","2482","6.0220",530394,607457,592663,500743,516770,592680,595375,457727,621446,605119,"54.4788","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",7,5,5,7,5,7,5,7,"Standard","Standard"
"FF","2018-06-11","94.5","-2.1997","6.2250","Kyle Barraclough",457705,607457,"null","ball",,,,,"12","null","R","R","R","MIA","SF","B","null","null",0,2,2018,"-0.3149","1.2946","0.5721","3.6508","null","null","null",0,9,"Top","null","null",,,592663,,"180612_021035","7.8832","-137.3674","-3.8397","-5.7400","31.2216","-15.3028","3.4350","1.6373","null","null","null","94.0300","2410","6.1320",530394,607457,592663,500743,516770,592680,595375,457727,621446,605119,"54.3688","null","null","null","null","null","null","null",73,"4","4-Seam Fastball",7,5,5,7,5,7,5,7,"Infield shift","Strategic"
"SI","2018-06-11","91.4","-2.5003","4.8721","Cory Gearrin",500743,518715,"null","called_strike",,,,,"5","null","R","R","R","MIA","SF","S","null","null",0,0,2018,"-1.6226","0.0592","0.2109","2.0979","null","null","null",2,8,"Bot","null","null",,,460026,,"180612_020519","10.1439","-132.6324","-1.1826","-20.9997","29.0087","-31.4758","3.2236","1.5807","null","null","null","90.3300","2255","5.8420",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"54.6585","null","null","null","null","null","null","null",72,"1","Sinker",7,5,7,5,5,7,7,5,"Standard","Standard"
"SI","2018-06-11","91.3","-2.2722","4.8124","Cory Gearrin",621446,518715,"null","called_strike",,,,,"6","null","R","R","R","MIA","SF","S","null","null",3,1,2018,"-1.6988","0.0647","0.3336","2.1849","null","null","null",1,8,"Bot","null","null",,,460026,,"180612_020330","10.0973","-132.5072","-0.7921","-21.9966","30.2634","-31.4899","3.5750","1.5191","null","null","null","90.3920","2274","6.0380",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"54.4626","null","null","null","null","null","null","null",71,"5","Sinker",7,5,7,5,5,7,7,5,"Standard","Standard"
"SI","2018-06-11","91.1","-2.2270","4.8268","Cory Gearrin",621446,518715,"null","called_strike",,,,,"9","null","R","R","R","MIA","SF","S","null","null",3,0,2018,"-1.6414","0.1016","0.6501","1.6473","null","null","null",1,8,"Bot","null","null",,,460026,,"180612_020304","10.5719","-132.0531","-2.2169","-21.1843","29.0198","-30.7641","3.7072","1.6073","null","null","null","90.0060","2158","5.9070",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"54.5938","null","null","null","null","null","null","null",71,"4","Sinker",7,5,7,5,5,7,7,5,"Standard","Standard"
"SI","2018-06-11","92.4","-2.3519","4.8538","Cory Gearrin",621446,518715,"null","ball",,,,,"14","null","R","R","R","MIA","SF","B","null","null",2,0,2018,"-1.6881","-0.0746","1.4275","2.1647","null","null","null",1,8,"Bot","null","null",,,460026,,"180612_020239","13.0555","-133.7752","-0.7732","-22.8138","30.7383","-33.1282","3.7520","1.6081","null","null","null","90.9490","2259","5.8410",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"54.6596","null","null","null","null","null","null","null",71,"3","Sinker",7,5,7,5,5,7,7,5,"Standard","Standard"
"SL","2018-06-11","82.2","-2.4667","4.8020","Cory Gearrin",621446,518715,"null","ball",,,,,"14","null","R","R","R","MIA","SF","B","null","null",1,0,2018,"0.9672","0.4259","1.5108","1.9909","null","null","null",1,8,"Bot","null","null",,,460026,,"180612_020213","7.0605","-119.3500","-0.5983","7.5431","22.9361","-28.4108","3.5317","1.5640","null","null","null","80.5090","null","5.2510",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"55.2500","null","null","null","null","null","null","null",71,"2","Slider",7,5,7,5,5,7,7,5,"Standard","Standard"
"SL","2018-06-11","84.6","-2.4717","4.8139","Cory Gearrin",621446,518715,"null","ball",,,,,"14","null","R","R","R","MIA","SF","B","null","null",0,0,2018,"0.4445","0.3846","1.6078","0.9629","null","null","null",1,8,"Bot","null","null",,,460026,,"180612_020149","8.5492","-122.8720","-3.2997","2.6363","25.3909","-27.9355","3.8842","1.7403","null","null","null","83.5550","2820","5.8030",530394,518715,460026,457763,593700,446334,543063,607776,491676,457705,"54.6977","null","null","null","null","null","null","null",71,"1","Slider",7,5,7,5,5,7,7,5,"Standard","Standard"
