"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-04-30","83.5","2.4817","6.1873","Brad Hand",460026,543272,"null","ball",,,,,"11","null","R","R","L","SF","SD","B","null","null",0,0,2018,"-1.9430","0.0897","-0.3549","3.9088","457763.00","446334.00","474832.00",2,9,"Bot","null","null",,,454560,,"180501_053412","-2.8535","-121.1002","1.0822","-17.1247","26.7094","-31.9459","3.3184","1.5855","null","null","null","80.1260","2678","4.4450",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"56.0527","null","null","null","null","null","null","null",84,"1","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-04-30","94.6","2.5573","6.1063","Brad Hand",474832,543272,"walk","ball",,,,,"13","Brandon Belt walks.   Evan Longoria to 2nd.  ","R","L","L","SF","SD","B","null","null",3,2,2018,"0.6648","1.3771","-2.0392","2.3004","457763.00","null","446334.00",2,9,"Bot","null","null",,,454560,,"180501_053303","-13.0231","-136.9028","-6.9589","10.7137","28.0977","-14.3483","3.0622","1.5605","null","null","null","92.3230","2567","5.0770",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.4200","null","null","0.70",1,0,0,"null",83,"6","4-Seam Fastball",4,5,4,5,5,4,4,5,"Strategic","Standard"
"FF","2018-04-30","94.9","2.5250","6.1348","Brad Hand",474832,543272,"null","called_strike",,,,,"11","null","R","L","L","SF","SD","S","null","null",3,1,2018,"0.5199","1.3928","-0.0814","3.5940","457763.00","null","446334.00",2,9,"Bot","null","null",,,454560,,"180501_053231","-7.7372","-137.6942","-3.8463","8.0621","30.5654","-14.6012","3.0847","1.5605","null","null","null","92.7060","2592","5.1430",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.3548","null","null","null","null","null","null","null",83,"5","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-04-30","94.0","2.7018","5.9934","Brad Hand",474832,543272,"null","ball",,,,,"12","null","R","L","L","SF","SD","B","null","null",2,1,2018,"0.7510","1.4375","0.6256","3.9483","457763.00","null","446334.00",2,9,"Bot","null","null",,,454560,,"180501_053158","-6.7687","-136.5036","-2.5329","10.4233","29.6221","-14.7671","3.0397","1.5380","null","null","null","91.6290","2594","4.9410",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.5560","null","null","null","null","null","null","null",83,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-04-30","94.6","2.5422","6.1722","Brad Hand",474832,543272,"null","ball",,,,,"11","null","R","L","L","SF","SD","B","null","null",1,1,2018,"0.4235","1.3638","-0.0953","4.2400","457763.00","null","446334.00",2,9,"Bot","null","null",,,454560,,"180501_053129","-7.5905","-137.3436","-2.1986","6.8039","30.1303","-15.4175","2.9946","1.6056","null","null","null","92.4500","2558","5.1100",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.3879","null","null","null","null","null","null","null",83,"3","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-04-30","95.1","2.4658","6.1520","Brad Hand",474832,543272,"null","ball",,,,,"11","null","R","L","L","SF","SD","B","null","null",0,1,2018,"0.6737","1.4830","-1.8908","2.4113","457763.00","null","446334.00",2,9,"Bot","null","null",,,454560,,"180501_053103","-12.5321","-137.6184","-7.1222","10.9042","29.1123","-12.7603","3.0622","1.5605","null","null","null","92.9100","2589","5.1940",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.3038","null","null","null","null","null","null","null",83,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-04-30","82.9","2.4925","6.2136","Brad Hand",446334,543272,"null","called_strike",,,,,"8","null","R","R","L","SF","SD","S","null","null",1,1,2018,"-1.9658","-0.4735","0.1532","2.1778","null","596103.00","457763.00",2,9,"Bot","null","null",,,454560,,"180501_052854","-1.7338","-120.1961","-1.7346","-17.1593","25.6620","-36.3893","3.4297","1.6887","null","null","null","79.1420","2621","4.1000",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"56.3979","null","null","null","null","null","null","null",82,"3","Slider",3,5,3,5,5,3,3,5,"Strategic","Strategic"
"SL","2018-04-30","80.8","2.3726","6.2194","Brad Hand",446334,543272,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",0,0,2018,"-2.0124","-0.3667","1.8739","4.0467","null","596103.00","457763.00",2,9,"Bot","null","null",,,454560,,"180501_052740","2.2998","-117.1117","2.4066","-17.5060","23.8573","-36.1277","3.4772","1.7113","null","null","null","77.1200","2528","4.0550",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"56.4428","null","null","null","null","null","null","null",82,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Strategic"
"SL","2018-04-30","83.5","2.4801","6.1287","Brad Hand",457763,543272,"walk","ball",,,,,"12","Buster Posey walks.  ","R","R","L","SF","SD","B","null","null",3,2,2018,"-1.9950","-0.3901","1.4372","3.8723","null","596103.00","null",2,9,"Bot","null","null",,,454560,,"180501_052640","1.1769","-121.1411","1.9057","-18.4653","24.7653","-36.4652","3.3409","1.7033","null","null","null","80.1370","2555","4.2430",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"56.2541","null","null","0.70",1,0,0,"null",81,"10","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2018-04-30","94.1","2.6774","6.0896","Brad Hand",457763,543272,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",2,2,2018,"0.6365","1.1735","0.7447","4.3404","null","596103.00","null",2,9,"Bot","null","null",,,454560,,"180501_052609","-6.2505","-136.7587","-1.3505","9.0199","27.4217","-17.8266","3.2733","1.6583","null","null","null","92.7500","2550","5.3500",529837,543272,454560,543333,641319,570799,520471,614173,622534,519333,"55.1470","null","null","null","null","null","null","null",81,"9","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
