"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-05-04","90.5","-1.5330","5.4334","Sam Dyson",542255,473879,"null","ball",,,,,"13","null","R","L","R","ATL","SF","B","null","null",2,2,2018,"0.1914","0.7293","-0.9418","1.0846","null","null","null",2,9,"Bot","null","null",,,457763,,"180505_022035","1.0623","-131.6000","-6.3417","1.9617","24.2100","-23.0278","2.9629","1.4011","null","null","null","89.1380","2488","5.1880",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.3114","null","null","null","null","null","null","null",79,"6","Slider",4,9,4,9,9,4,4,9,"Standard","Standard"
"FT","2018-05-04","92.0","-1.7365","5.3961","Sam Dyson",542255,473879,"null","ball",,,,,"13","null","R","L","R","ATL","SF","B","null","null",1,2,2018,"-1.3126","0.3005","-1.8695","2.1469","null","null","null",2,9,"Bot","null","null",,,457763,,"180505_021956","2.3699","-133.8101","-3.0202","-15.8319","27.0163","-28.2939","3.0244","1.4011","null","null","null","90.8080","2134","5.4470",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.0526","null","null","null","null","null","null","null",79,"4","2-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"CU","2018-05-04","81.9","-1.4832","5.5095","Sam Dyson",542255,473879,"null","ball",,,,,"14","null","R","L","R","ATL","SF","B","null","null",0,2,2018,"1.6476","-0.6472","0.0139","0.2996","null","null","null",2,9,"Bot","null","null",,,457763,,"180505_021930","0.3424","-118.9946","-3.8904","14.8664","23.6123","-37.5595","3.0039","1.4011","null","null","null","79.8810","3196","5.0560",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.4433","null","null","null","null","null","null","null",79,"3","Curveball",4,9,4,9,9,4,4,9,"Standard","Standard"
"CU","2018-05-04","81.1","-1.6115","5.5219","Sam Dyson",542255,473879,"null","called_strike",,,,,"1","null","R","L","R","ATL","SF","S","null","null",0,1,2018,"1.8091","-0.5699","-0.3077","2.4809","null","null","null",2,9,"Bot","null","null",,,457763,,"180505_021907","-0.3706","-117.7715","0.8904","16.1070","23.7198","-37.7020","2.9624","1.3600","null","null","null","78.9760","3162","5.0560",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.4436","null","null","null","null","null","null","null",79,"2","Curveball",4,9,4,9,9,4,4,9,"Standard","Standard"
"SL","2018-05-04","90.2","-1.5558","5.5258","Sam Dyson",605512,473879,"null","ball",,,,,"12","null","R","L","R","ATL","SF","B","null","null",0,1,2018,"0.1187","0.5942","0.1189","3.9929","null","null","622666.00",0,9,"Bot","null","null",,,457763,,"180505_021700","3.8611","-131.3299","0.8312","0.6180","24.6256","-25.8411","3.0811","1.4991","null","null","null","89.3070","2444","5.4500",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.0499","null","null","null","null","null","null","null",78,"2","Slider",4,9,4,9,9,4,4,9,"Standard","Standard"
"FT","2018-05-04","92.9","-1.6706","5.4364","Sam Dyson",605512,473879,"null","called_strike",,,,,"5","null","R","L","R","ATL","SF","S","null","null",0,0,2018,"-1.4201","0.3881","-0.1605","2.6779","null","null","622666.00",0,9,"Bot","null","null",,,457763,,"180505_021639","6.7459","-135.0426","-2.1111","-18.2755","26.7896","-27.3654","3.2142","1.5402","null","null","null","91.7030","2288","5.4280",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.0713","null","null","null","null","null","null","null",78,"1","2-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"FT","2018-05-04","91.5","-1.7995","5.4791","Sam Dyson",622666,473879,"walk","ball",,,,,"11","Johan Camargo walks.  ","R","L","R","ATL","SF","B","null","null",3,0,2018,"-1.2991","0.3098","-1.1034","3.5015","null","null","null",0,9,"Bot","null","null",,,457763,,"180505_021551","4.3962","-133.0512","0.2012","-15.9339","26.9426","-28.8704","3.4901","1.7412","null","null","null","90.3560","2289","5.5050",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"54.9952","null","null","0.70",1,0,0,"null",77,"4","2-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"FT","2018-05-04","92.9","-1.7280","5.4488","Sam Dyson",622666,473879,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",2,0,2018,"-1.3294","0.1269","-1.5564","2.5188","null","null","null",0,9,"Bot","null","null",,,457763,,"180505_021534","3.1460","-135.0251","-1.9668","-16.3085","28.0800","-30.5342","3.3670","1.6386","null","null","null","91.0870","2172","5.1550",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.3445","null","null","null","null","null","null","null",77,"3","2-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"FF","2018-05-04","93.1","-1.6324","5.5748","Sam Dyson",622666,473879,"null","ball",,,,,"12","null","R","L","R","ATL","SF","B","null","null",1,0,2018,"-0.3131","1.0108","0.8906","3.0977","null","null","null",0,9,"Bot","null","null",,,457763,,"180505_021516","6.9712","-135.3004","-2.6906","-5.0975","26.8347","-19.9006","3.5106","1.7617","null","null","null","91.4430","2330","5.1580",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.3421","null","null","null","null","null","null","null",77,"2","4-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"FT","2018-05-04","92.4","-1.7998","5.5609","Sam Dyson",622666,473879,"null","ball",,,,,"11","null","R","L","R","ATL","SF","B","null","null",0,0,2018,"-1.3359","0.3899","-1.6841","3.5909","null","null","null",0,9,"Bot","null","null",,,457763,,"180505_021500","3.0270","-134.4551","-0.0782","-16.3202","26.5668","-27.8153","3.4285","1.5565","null","null","null","91.0870","2217","5.2960",529893,473879,457763,474832,593700,446334,543063,453923,491676,457705,"55.2042","null","null","null","null","null","null","null",77,"1","2-Seam Fastball",4,9,4,9,9,4,4,9,"Standard","Standard"
"FF","2018-05-04","92.1","0.9376","6.1733","Max Fried",467055,608331,"null","called_strike",,,,,"11","null","R","R","L","ATL","SF","S","null","null",0,0,2018,"0.3067","0.5183","-0.8478","2.4732","null","null","null",2,9,"Top","null","null",,,452095,,"180505_021149","-5.1808","-134.1525","-4.7674","4.6563","24.2685","-25.2152","3.1567","1.4694","null","null","null","92.5420","1862","6.1360",529893,608331,452095,518692,645277,430832,622666,660670,542255,455976,"54.3641","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",4,9,9,4,9,4,9,4,"Standard","Standard"
"FF","2018-05-04","91.9","0.8970","6.3228","Max Fried",446334,608331,"null","ball",,,,,"11","null","R","R","L","ATL","SF","B","null","null",1,1,2018,"0.3654","0.7539","-0.2916","3.7134","null","null","null",1,9,"Top","null","null",,,452095,,"180505_021001","-3.7865","-133.9594","-2.4741","5.1096","24.8771","-22.8171","3.5653","1.6294","null","null","null","92.2790","1953","6.1090",529893,608331,452095,518692,645277,430832,622666,660670,542255,455976,"54.3906","null","null","null","null","null","null","null",74,"3","4-Seam Fastball",4,8,8,4,8,4,8,4,"Infield shift","Standard"
"FF","2018-05-04","91.1","1.1974","6.1626","Max Fried",446334,608331,"null","ball",,,,,"11","null","R","R","L","ATL","SF","B","null","null",0,1,2018,"0.2673","0.7278","-0.8621","3.3197","null","null","null",1,9,"Top","null","null",,,452095,,"180505_020944","-5.7159","-132.6628","-2.8616","4.2068","24.4132","-23.2548","3.5447","1.6910","null","null","null","91.2860","1982","6.0500",529893,608331,452095,518692,645277,430832,622666,660670,542255,455976,"54.4492","null","null","null","null","null","null","null",74,"2","4-Seam Fastball",4,8,8,4,8,4,8,4,"Infield shift","Standard"
