"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-06-02","94.8","-2.7908","6.2230","Hunter Strickland",546318,519326,"null","called_strike",,,,,"9","null","R","L","R","SF","PHI","S","null","null",0,0,2018,"-0.4534","1.4254","0.3056","1.9599","null","null","null",2,9,"Top","null","null",,,460026,,"180603_042745","8.9262","-137.4458","-8.4079","-7.5340","29.6091","-12.9682","3.2462","1.5469","null","null","null","93.4050","2481","5.6040",530279,519326,460026,467055,605412,446334,543063,607776,491676,457705,"54.8937","null","null","null","null","null","null","null",62,"1","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-06-02","95.2","-2.9780","5.9546","Hunter Strickland",664068,519326,"null","called_strike",,,,,"1","null","R","R","R","SF","PHI","S","null","null",2,0,2018,"-0.4295","1.1953","-0.6078","2.8680","null","null","null",1,9,"Top","null","null",,,460026,,"180603_042527","7.0775","-138.1633","-4.9468","-7.0827","33.7238","-16.3281","3.2566","1.3641","null","null","null","93.7290","2353","5.7860",530279,519326,460026,467055,605412,446334,543063,607776,491676,457705,"54.7115","null","null","null","null","null","null","null",61,"3","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-06-02","95.5","-3.0381","5.7933","Hunter Strickland",664068,519326,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",1,0,2018,"-0.4269","0.9896","1.4945","1.9178","null","null","null",1,9,"Top","null","null",,,460026,,"180603_042503","12.7094","-138.2710","-6.6363","-8.1635","30.1209","-18.4577","3.2566","1.3641","null","null","null","94.3990","2292","5.8710",530279,519326,460026,467055,605412,446334,543063,607776,491676,457705,"54.6261","null","null","null","null","null","null","null",61,"2","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-06-02","95.8","-2.8441","6.1021","Hunter Strickland",664068,519326,"null","ball",,,,,"14","null","R","R","R","SF","PHI","B","null","null",0,0,2018,"-0.3898","1.0421","1.7262","0.8221","null","null","null",1,9,"Top","null","null",,,460026,,"180603_042441","12.7487","-138.4811","-10.4329","-7.7407","30.4238","-16.9105","3.1607","1.3162","null","null","null","94.5350","2364","5.8820",530279,519326,460026,467055,605412,446334,543063,607776,491676,457705,"54.6150","null","null","null","null","null","null","null",61,"1","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2018-06-02","94.4","-2.7204","6.2816","Hunter Strickland",514917,519326,"null","called_strike",,,,,"4","null","R","L","R","SF","PHI","S","null","null",0,0,2018,"-0.4732","1.2719","-0.8144","2.3426","null","null","null",0,9,"Top","null","null",,,460026,,"180603_042342","5.9342","-137.2111","-7.2664","-7.1650","29.6883","-15.0294","3.1588","1.4483","null","null","null","93.6200","2227","5.8400",530279,519326,460026,467055,605412,446334,543063,607776,491676,457705,"54.6573","null","null","null","null","null","null","null",60,"1","4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard"
"SL","2018-06-02","84.5","-1.9784","6.0041","Edubray Ramos",467055,591693,"strikeout","called_strike",,,,,"4","Pablo Sandoval called out on strikes.  ","R","L","R","SF","PHI","S",2,"null",1,2,2018,"0.5552","-0.1108","-0.7406","2.5010","null","null","543063.00",2,8,"Bot","null","null",,,595751,,"180603_042110","1.7907","-123.1514","-1.6784","5.2448","21.1784","-33.2139","3.1040","1.3423","null","null","null","84.0020","2662","5.5760",530279,591693,595751,467793,514917,596748,664068,608384,546318,571437,"54.9218","null","null","0.00",1,0,0,"null",59,"5","Slider",2,0,2,0,0,2,2,0,"Strategic","Standard"
"FF","2018-06-02","93.1","-2.2230","5.8880","Edubray Ramos",467055,591693,"null","called_strike",,,,,"1","null","R","L","R","SF","PHI","S","null","null",1,1,2018,"-0.5079","1.2580","-0.7899","2.7290","null","null","543063.00",2,8,"Bot","null","null",,,595751,,"180603_042008","4.7474","-135.5190","-5.1019","-7.1380","25.7627","-15.9611","3.1519","1.4382","null","null","null","93.0960","2441","5.9780",530279,591693,595751,467793,514917,596748,664068,608384,546318,571437,"54.5198","null","null","null","null","null","null","null",59,"3","4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Strategic"
"FF","2018-06-02","93.2","-2.1440","5.9076","Edubray Ramos",467055,591693,"null","ball",,,,,"11","null","R","L","R","SF","PHI","B","null","null",0,1,2018,"-0.4676","1.2827","-0.9300","3.4773","null","null","543063.00",2,8,"Bot","null","null",,,595751,,"180603_041946","4.0585","-135.6769","-3.2442","-6.4483","26.0647","-16.2260","3.0939","1.3423","null","null","null","92.4730","2559","5.5580",530279,591693,595751,467793,514917,596748,664068,608384,546318,571437,"54.9390","null","null","null","null","null","null","null",59,"2","4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Strategic"
"SL","2018-06-02","82.9","-1.7748","6.2093","Edubray Ramos",467055,591693,"null","called_strike",,,,,"9","null","R","L","R","SF","PHI","S","null","null",0,0,2018,"0.4460","-0.5259","0.3278","1.6046","null","null","543063.00",2,8,"Bot","null","null",,,595751,,"180603_041929","3.9093","-120.7265","-3.1437","3.6782","19.0581","-36.9514","3.0560","1.3423","null","null","null","82.4430","2584","5.5190",530279,591693,595751,467793,514917,596748,664068,608384,546318,571437,"54.9782","null","null","null","null","null","null","null",59,"1","Slider",2,0,2,0,0,2,2,0,"Strategic","Strategic"
"FF","2018-06-02","94.7","-1.8071","6.0518","Edubray Ramos",446334,591693,"null","ball",,,,,"12","null","R","R","R","SF","PHI","B","null","null",0,2,2018,"-0.2251","1.1512","2.0840","3.8954","null","null","543063.00",1,8,"Bot","null","null",,,595751,,"180603_041806","10.4964","-137.4717","-2.4575","-4.8890","27.2398","-17.5460","3.6966","1.5911","null","null","null","93.8210","2505","5.6670",530279,591693,595751,467793,514917,596748,664068,608384,546318,571437,"54.8303","null","null","null","null","null","null","null",58,"3","4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard"
