"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-11","87.0","-2.6436","5.4462","Mike Foltynewicz",596103,592314,"null","called_strike",,,,,"1","null","R","R","R","SF","ATL","S","null","null",1,0,2018,"0.0597","0.6096","-0.4235","2.8791","null","543063.00","null",2,9,"Bot","null","null",,,452095,,"180912_044547","5.1821","-126.7247","-1.2859","-0.3061","23.1434","-25.6037","3.3074","1.5841","null","null","null","87.0360","2565","6.0180",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.4796","null","null","null","null","null","null","null",72,"2","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"CU","2018-09-11","80.1","-2.2470","5.8925","Mike Foltynewicz",596103,592314,"null","ball",,,,,"14","null","R","R","R","SF","ATL","B","null","null",0,0,2018,"0.4794","-0.2555","1.7032","1.3630","null","null","543063.00",2,9,"Bot","null","null",,,452095,,"180912_044527","7.7820","-116.4616","-2.8476","2.9982","20.0312","-34.2083","3.2559","1.5932","null","null","null","79.9020","2547","6.0080",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.4894","null","null","null","null","null","null","null",72,"1","Curveball",1,4,1,4,4,1,1,4,"Standard","Standard"
"FF","2018-09-11","95.7","-2.6375","5.4123","Mike Foltynewicz",543063,592314,"null","called_strike",,,,,"2","null","R","L","R","SF","ATL","S","null","null",0,0,2018,"-0.8164","1.0893","0.1285","3.4108","null","null","446334.00",2,9,"Bot","null","null",,,452095,,"180912_044316","9.0812","-139.0551","-2.0927","-12.5106","30.2998","-17.8842","3.4102","1.6885","null","null","null","95.4050","2307","6.1340",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.3635","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CU","2018-09-11","80.8","-2.1296","5.8907","Mike Foltynewicz",446334,592314,"null","ball",,,,,"14","null","R","R","R","SF","ATL","B","null","null",0,0,2018,"0.3462","-0.4342","0.8548","1.9596","null","null","null",2,9,"Bot","null","null",,,452095,,"180912_044201","5.9660","-117.5684","-1.3391","2.1539","20.4700","-36.1576","3.4872","1.5579","null","null","null","80.6710","2513","6.0200",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.4770","null","null","null","null","null","null","null",70,"1","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FT","2018-09-11","98.0","-2.4893","5.5107","Mike Foltynewicz",593700,592314,"null","ball",,,,,"14","null","R","L","R","SF","ATL","B","null","null",1,2,2018,"-0.9017","1.0614","1.0612","1.3147","null","null","null",1,9,"Bot","null","null",,,452095,,"180912_044039","11.5716","-142.0427","-8.1575","-14.8366","34.0493","-16.2570","3.4102","1.6363","null","null","null","97.1240","2269","6.1140",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.3831","null","null","null","null","null","null","null",69,"4","2-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-11","89.0","-2.5590","5.4406","Mike Foltynewicz",593700,592314,"null","ball",,,,,"14","null","R","L","R","SF","ATL","B","null","null",0,1,2018,"-1.3101","0.9265","1.0083","1.7740","null","null","null",1,9,"Bot","null","null",,,452095,,"180912_043941","11.4869","-129.0615","-4.8921","-16.9727","25.1289","-20.9977","3.3726","1.6885","null","null","null","89.1150","1842","6.4040",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.0929","null","null","null","null","null","null","null",69,"2","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-11","86.6","-2.3134","5.5907","Mike Foltynewicz",593700,592314,"null","called_strike",,,,,"1","null","R","L","R","SF","ATL","S","null","null",0,0,2018,"-1.2055","1.0579","-0.4912","2.8031","null","null","null",1,9,"Bot","null","null",,,452095,,"180912_043926","6.8299","-126.0691","-2.6835","-14.2232","22.9679","-20.4848","3.1786","1.6885","null","null","null","87.1970","1995","6.4100",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.0870","null","null","null","null","null","null","null",69,"1","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"CU","2018-09-11","82.1","-2.3136","5.8562","Mike Foltynewicz",453923,592314,"null","called_strike",,,,,"2","null","R","L","R","SF","ATL","S","null","null",1,1,2018,"0.2446","-0.4732","0.2147","2.8107","null","null","null",0,9,"Bot","null","null",,,452095,,"180912_043839","5.2233","-119.4592","0.4743","1.4372","20.4025","-36.9690","2.9723","1.5033","null","null","null","81.9810","2566","5.9590",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.5388","null","null","null","null","null","null","null",68,"3","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-11","87.0","-2.3620","5.6347","Mike Foltynewicz",453923,592314,"null","called_strike",,,,,"4","null","R","L","R","SF","ATL","S","null","null",1,0,2018,"-1.1457","0.8612","-0.4785","2.1450","null","null","null",0,9,"Bot","null","null",,,452095,,"180912_043825","6.8470","-126.5151","-3.9941","-13.6165","23.3863","-22.3494","3.0239","1.6102","null","null","null","87.2410","1807","6.2660",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.2310","null","null","null","null","null","null","null",68,"2","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-09-11","95.8","-2.4957","5.6282","Mike Foltynewicz",453923,592314,"null","ball",,,,,"12","null","R","L","R","SF","ATL","B","null","null",0,0,2018,"-0.7887","1.3037","0.3123","3.6299","null","null","null",0,9,"Bot","null","null",,,452095,,"180912_043810","9.1497","-139.2638","-2.6321","-12.0954","27.5278","-14.8461","3.1271","1.6363","null","null","null","95.9640","2223","6.1700",531568,592314,452095,518692,645277,518586,621020,660670,542255,455976,"54.3277","null","null","null","null","null","null","null",68,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"SL","2018-09-11","84.5","3.6101","5.5977","Steven Okert",455976,595345,"null","ball",,,,,"13","null","R","L","L","SF","ATL","B","null","null",1,1,2018,"-0.6154","0.2082","-1.5495","1.4566","null","null","null",2,9,"Top","null","null",,,605244,,"180912_043445","-10.6508","-122.4659","-3.5734","-3.8722","24.8264","-29.6667","3.4872","1.8189","null","null","null","83.1060","2580","5.6460",531568,595345,605244,596103,593700,446334,543063,622046,491676,453923,"54.8513","null","null","null","null","null","null","null",67,"3","Slider",0,4,4,0,4,0,4,0,"Standard","Standard"
"FT","2018-09-11","91.8","3.5681","5.5393","Steven Okert",455976,595345,"null","ball",,,,,"14","null","R","L","L","SF","ATL","B","null","null",0,1,2018,"1.4460","0.8819","0.0988","0.9092","null","null","null",2,9,"Top","null","null",,,605244,,"180912_043423","-11.7471","-132.9635","-7.6679","19.3591","26.0029","-20.4794","3.5129","1.7928","null","null","null","91.2530","2268","6.0170",531568,595345,605244,596103,593700,446334,543063,622046,491676,453923,"54.4802","null","null","null","null","null","null","null",67,"2","2-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"SL","2018-09-11","83.8","3.6048","5.6698","Steven Okert",455976,595345,"null","called_strike",,,,,"4","null","R","L","L","SF","ATL","S","null","null",0,0,2018,"-0.6525","0.2327","-0.7757","2.2272","null","null","null",2,9,"Top","null","null",,,605244,,"180912_043404","-8.7349","-121.7354","-1.9773","-4.7151","22.6266","-29.7869","3.4616","1.6102","null","null","null","82.7630","2636","5.5710",531568,595345,605244,596103,593700,446334,543063,622046,491676,453923,"54.9269","null","null","null","null","null","null","null",67,"1","Slider",0,4,4,0,4,0,4,0,"Standard","Standard"
