"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-07-29","78.6","1.7365","6.4992","Will Smith",456715,519293,"null","ball",,,,,"14","null","R","R","L","SF","MIL","B","null","null",0,0,2018,"-0.9630","-0.5757","0.0753","0.9961","null","null","444489.00",2,9,"Top","null","null",,,457763,,"180729_231620","-1.8473","-114.2467","-3.9330","-7.7173","22.5811","-36.5182","3.4076","1.5466","null","null","null","76.8700","1882","5.2720",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"55.2254","null","null","null","null","null","null","null",78,"1","Curveball",8,5,5,8,5,8,5,8,"Standard","Standard"
"FF","2018-07-29","92.5","1.5818","6.4876","Will Smith",573135,519293,"null","called_strike",,,,,"6","null","R","R","L","SF","MIL","S","null","null",0,1,2018,"0.5713","1.2261","0.6310","2.3445","null","null","444489.00",1,9,"Top","null","null",,,457763,,"180729_231521","-3.5862","-134.3793","-7.2367","7.5339","29.5276","-16.3602","3.3299","1.4678","null","null","null","91.2240","2269","5.6390",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"54.8585","null","null","null","null","null","null","null",77,"2","4-Seam Fastball",8,5,5,8,5,8,5,8,"Standard","Standard"
"FF","2018-07-29","93.1","1.5573","6.4430","Will Smith",573135,519293,"null","called_strike",,,,,"9","null","R","R","L","SF","MIL","S","null","null",0,0,2018,"0.6741","1.6336","0.2910","1.5585","null","null","444489.00",1,9,"Top","null","null",,,457763,,"180729_231501","-4.7034","-135.1055","-10.2184","9.2726","31.6954","-10.2186","3.3817","1.5203","null","null","null","92.4390","2251","6.2190",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"54.2788","null","null","null","null","null","null","null",77,"1","4-Seam Fastball",8,5,5,8,5,8,5,8,"Standard","Standard"
"FF","2018-07-29","93.4","1.5259","6.4833","Will Smith",606115,519293,"null","ball",,,,,"14","null","R","R","L","SF","MIL","B","null","null",0,1,2018,"0.6018","1.4884","0.8652","1.4715","null","null","444489.00",0,9,"Top","null","null",,,457763,,"180729_231357","-2.9791","-135.6518","-10.2810","7.9732","29.0090","-12.0622","3.3299","1.5466","null","null","null","92.7230","2067","5.9400",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"54.5575","null","null","null","null","null","null","null",76,"2","4-Seam Fastball",8,5,5,8,5,8,5,8,"Standard","Standard"
"CU","2018-07-29","77.5","1.6114","6.5294","Will Smith",606115,519293,"null","called_strike",,,,,"2","null","R","R","L","SF","MIL","S","null","null",0,0,2018,"-1.1572","-0.4211","-0.0381","2.8550","null","null","444489.00",0,9,"Top","null","null",,,457763,,"180729_231339","-1.4506","-112.6258","-0.1203","-9.2497","21.6983","-35.8912","3.1742","1.5466","null","null","null","76.1600","1988","5.5270",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"54.9707","null","null","null","null","null","null","null",76,"1","Curveball",8,5,5,8,5,8,5,8,"Standard","Standard"
"CU","2018-07-29","76.0","1.7333","6.5464","Will Smith",444489,519293,"null","ball",,,,,"13","null","R","R","L","SF","MIL","B","null","null",0,0,2018,"-0.9367","-0.5395","-0.7410","0.9502","null","null","null",0,9,"Top","null","null",,,457763,,"180729_231237","-3.5055","-110.5301","-3.6948","-6.8414","18.8046","-36.0837","3.0704","1.3627","null","null","null","74.8090","2034","5.3370",530991,519293,457763,488818,593700,446334,543063,596103,621453,491676,"55.1604","null","null","null","null","null","null","null",75,"1","Curveball",8,5,5,8,5,8,5,8,"Standard","Standard"
"SL","2018-07-29","85.9","-1.1059","5.8274","Corbin Burnes",596103,669203,"null","called_strike",,,,,"5","null","R","R","R","SF","MIL","S","null","null",0,1,2018,"0.7642","-0.0790","0.1533","2.1523","null","457763.00","543063.00",2,8,"Bot","null","null",,,444489,,"180729_230833","1.4701","-125.2251","-2.4360","7.7220","19.2934","-32.8160","3.3039","1.5990","null","null","null","85.6980","3079","5.5340",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.9632","null","null","null","null","null","null","null",74,"2","Slider",8,5,8,5,5,8,8,5,"Standard","Standard"
"SL","2018-07-29","86.7","-1.1603","5.8828","Corbin Burnes",596103,669203,"null","called_strike",,,,,"3","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"0.5786","0.0415","0.4057","3.1277","null","457763.00","543063.00",2,8,"Bot","null","null",,,444489,,"180729_230810","2.5721","-126.4782","-0.6410","5.7963","19.7058","-31.8156","3.2521","1.6273","null","null","null","86.9730","null","5.8020",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.6950","null","null","null","null","null","null","null",74,"1","Slider",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","96.2","-1.1016","6.0295","Corbin Burnes",446334,669203,"null","ball",,,,,"13","null","R","R","R","SF","MIL","B","null","null",1,2,2018,"-0.0838","1.0963","-1.1794","1.5784","null","457763.00","543063.00",1,8,"Bot","null","null",,,444489,,"180729_230702","-0.0182","-139.9807","-8.7383","-1.1035","26.6469","-16.2271","3.4594","1.6253","null","null","null","96.5570","2539","6.1450",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.3519","null","null","null","null","null","null","null",73,"4","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","95.8","-0.9465","6.1088","Corbin Burnes",446334,669203,"null","ball",,,,,"13","null","R","R","R","SF","MIL","B","null","null",0,1,2018,"0.1328","0.9768","-0.1433","1.1166","null","457763.00","543063.00",1,8,"Bot","null","null",,,444489,,"180729_230606","1.8121","-139.3552","-9.7570","1.4049","24.6567","-17.9420","3.5111","1.6777","null","null","null","95.8010","2728","5.8370",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.6599","null","null","null","null","null","null","null",73,"2","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"SL","2018-07-29","87.1","-1.1562","5.9466","Corbin Burnes",446334,669203,"null","called_strike",,,,,"5","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"0.5447","0.1578","-0.2669","2.6039","null","457763.00","543063.00",1,8,"Bot","null","null",,,444489,,"180729_230546","1.0377","-126.9831","-2.2953","5.6768","21.0117","-30.2987","3.5111","1.6253","null","null","null","87.0640","null","5.7360",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.7617","null","null","null","null","null","null","null",73,"1","Slider",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","95.0","-1.1698","5.9664","Corbin Burnes",543063,669203,"null","called_strike",,,,,"13","null","R","L","R","SF","MIL","S","null","null",2,0,2018,"0.2043","0.8887","-0.3738","1.5087","null","null","457763.00",1,8,"Bot","null","null",,,444489,,"180729_230404","1.6284","-138.3944","-8.0765","2.3475","24.6182","-19.4480","3.4335","1.6515","null","null","null","95.4880","2601","6.0590",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.4383","null","null","null","null","null","null","null",72,"3","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"SL","2018-07-29","86.5","-1.2819","5.8582","Corbin Burnes",543063,669203,"null","ball",,,,,"11","null","R","L","R","SF","MIL","B","null","null",1,0,2018,"0.4825","0.1619","-1.0671","3.8459","null","null","457763.00",1,8,"Bot","null","null",,,444489,,"180729_230341","-0.4392","-126.0254","0.9285","5.1768","19.8774","-30.7988","3.4594","1.6253","null","null","null","86.4600","2722","5.7000",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.7975","null","null","null","null","null","null","null",72,"2","Slider",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","95.7","-1.0171","6.0571","Corbin Burnes",457763,669203,"null","ball",,,,,"14","null","R","R","R","SF","MIL","B","null","null",0,1,2018,"0.2760","1.2112","0.3310","0.4534","null","null","null",1,8,"Bot","null","null",,,444489,,"180729_230208","2.9256","-138.9978","-11.8457","2.9834","28.0759","-14.2979","3.2521","1.4678","null","null","null","95.6150","2695","6.1210",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.3763","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","96.5","-0.9674","6.1235","Corbin Burnes",457763,669203,"null","called_strike",,,,,"11","null","R","R","R","SF","MIL","S","null","null",0,0,2018,"-0.1455","1.2101","-0.9893","2.4669","null","null","null",1,8,"Bot","null","null",,,444489,,"180729_230156","0.2658","-140.3939","-6.8722","-1.9660","29.0426","-15.0743","3.2780","1.5466","null","null","null","96.2670","2586","5.9720",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.5253","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"FF","2018-07-29","94.4","-1.0118","6.0642","Corbin Burnes",621389,669203,"null","ball",,,,,"12","null","R","R","R","SF","MIL","B","null","null",0,0,2018,"0.0747","1.2398","0.9617","3.1239","null","null","null",0,8,"Bot","null","null",,,444489,,"180729_230039","4.9645","-137.4965","-4.8053","0.0772","24.3136","-15.6420","3.2521","1.5203","null","null","null","95.0640","2516","6.1730",530991,669203,444489,542583,541650,519058,606115,460075,456715,592885,"54.3243","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",8,5,8,5,5,8,8,5,"Standard","Standard"
"SL","2018-07-29","82.6","3.3691","5.0112","Tony Watson",541650,453265,"null","called_strike",,,,,"4","null","R","R","L","SF","MIL","S","null","null",0,0,2018,"-0.0051","0.3379","-0.3038","2.5850","null","null","null",2,8,"Top","null","null",,,457763,,"180729_225705","-8.1978","-120.0507","0.2563","1.3106","19.8997","-29.2548","3.2521","1.5203","null","null","null","81.5950","2213","5.3550",530991,453265,457763,488818,593700,446334,543063,596103,621453,491676,"55.1423","null","null","null","null","null","null","null",69,"1","Slider",8,5,5,8,5,8,5,8,"Standard","Standard"
"SI","2018-07-29","92.4","3.4114","4.9692","Tony Watson",519058,453265,"null","ball",,,,,"14","null","R","L","L","SF","MIL","B","null","null",1,2,2018,"1.3838","0.4626","1.5408","2.5626","null","null","null",1,8,"Top","null","null",,,457763,,"180729_225501","-7.5983","-134.2929","-1.3202","17.9604","26.5636","-26.6394","3.5887","1.8087","null","null","null","91.5910","2165","5.6740",530991,453265,457763,488818,593700,446334,543063,596103,621453,491676,"54.8239","null","null","null","null","null","null","null",68,"4","Sinker",8,5,5,8,5,8,5,8,"Infield shift","Standard"
