"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-10-03","99.7","0.4573","6.1511","Aroldis Chapman",656305,547973,"null","called_strike",,,,,"6","null","F","R","L","NYY","OAK","S","null","null",1,1,2018,"0.3083","1.4469","0.2874","2.2906","null","543760.00","null",2,9,"Top","null","null",,,596142,,"181004_033245","-1.2081","-145.0142","-8.7008","4.6781","34.5870","-9.6991","3.3710","1.5350","null","null","null","100.2550","2543","6.6630",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.8354","null","null","null","null","null","null","null",72,"3","4-Seam Fastball",7,2,2,7,2,7,2,7,"Strategic","Standard"
"FF","2018-10-03","100.0","0.5447","6.1438","Aroldis Chapman",656305,547973,"null","ball",,,,,"14","null","F","R","L","NYY","OAK","B","null","null",0,1,2018,"0.5156","1.3834","1.3543","2.2745","null","543760.00","null",2,9,"Top","null","null",,,596142,,"181004_033223","1.0066","-145.4942","-8.6821","7.2024","33.6598","-10.4061","3.3710","1.5350","null","null","null","100.9130","2610","6.7640",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.7341","null","null","null","null","null","null","null",72,"2","4-Seam Fastball",7,2,2,7,2,7,2,7,"Strategic","Standard"
"SL","2018-10-03","86.9","0.3625","6.2741","Aroldis Chapman",656305,547973,"null","called_strike",,,,,"5","null","F","R","L","NYY","OAK","S","null","null",0,0,2018,"-0.7500","0.0467","-0.0631","2.7502","null","null","543760.00",2,9,"Top","null","null",,,596142,,"181004_033131","0.5035","-126.5134","-2.3600","-8.1035","25.6453","-31.4209","3.3710","1.5350","null","null","null","86.7550","2562","6.1550",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"54.3434","null","null","null","null","null","null","null",72,"1","Slider",7,2,2,7,2,7,2,7,"Standard","Standard"
"FF","2018-10-03","98.3","0.4612","6.2745","Aroldis Chapman",592192,547973,"null","called_strike",,,,,"2","null","F","R","L","NYY","OAK","S","null","null",0,0,2018,"0.0139","1.3254","0.2609","2.8968","null","null","543760.00",1,9,"Top","null","null",,,596142,,"181004_032901","-0.5823","-143.2127","-6.9043","0.3289","32.9215","-12.2237","3.4670","1.5890","null","null","null","99.4240","2537","6.8360",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.6616","null","null","null","null","null","null","null",71,"1","4-Seam Fastball",7,2,2,7,2,7,2,7,"Standard","Standard"
"FF","2018-10-03","99.6","0.3846","6.1230","Aroldis Chapman",518960,547973,"null","called_strike",,,,,"5","null","F","R","L","NYY","OAK","S","null","null",1,1,2018,"0.2046","1.5398","0.1050","2.1750","null","null","543760.00",0,9,"Top","null","null",,,596142,,"181004_032635","-1.2729","-144.8910","-9.1810","3.2415","37.2949","-8.0894","3.3710","1.5350","null","null","null","100.2570","2614","6.8970",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.6008","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",7,2,2,7,2,7,2,7,"Standard","Standard"
"SL","2018-10-03","85.4","0.2951","6.2700","Aroldis Chapman",518960,547973,"null","ball",,,,,"11","null","F","R","L","NYY","OAK","B","null","null",0,1,2018,"-1.0765","0.1771","-0.3846","4.3240","null","null","543760.00",0,9,"Top","null","null",,,596142,,"181004_032612","0.5634","-124.2508","1.4117","-11.1686","27.1974","-30.9042","3.3710","1.5350","null","null","null","85.0580","2460","6.2850",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"54.2130","null","null","null","null","null","null","null",70,"2","Slider",7,2,2,7,2,7,2,7,"Standard","Standard"
"FF","2018-10-03","99.7","0.3659","6.1998","Aroldis Chapman",518960,547973,"null","called_strike",,,,,"5","null","F","R","L","NYY","OAK","S","null","null",0,0,2018,"0.4467","1.5491","-0.2390","2.2271","null","null","543760.00",0,9,"Top","null","null",,,596142,,"181004_032548","-2.7395","-144.9018","-9.2087","7.0069","36.3575","-8.1600","3.3710","1.5350","null","null","null","99.9200","2547","6.6440",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.8541","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",7,2,2,7,2,7,2,7,"Standard","Standard"
"FF","2018-10-03","99.3","0.6415","6.1718","Aroldis Chapman",543760,547973,"null","ball",,,,,"12","null","F","R","L","NYY","OAK","B","null","null",1,1,2018,"0.6060","1.5185","1.3569","2.5763","null","null","null",0,9,"Top","null","null",,,596142,,"181004_032442","0.5269","-144.3712","-7.9698","8.3005","38.8780","-9.1046","3.3710","1.5350","null","null","null","99.1240","2505","6.5960",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.9016","null","null","null","null","null","null","null",69,"3","4-Seam Fastball",7,2,2,7,2,7,2,7,"Infield shift","Standard"
"FF","2018-10-03","97.4","0.5358","6.2085","Aroldis Chapman",543760,547973,"null","ball",,,,,"13","null","F","R","L","NYY","OAK","B","null","null",0,0,2018,"-0.1498","1.7602","-1.4753","0.9073","null","null","null",0,9,"Top","null","null",,,596142,,"181004_032352","-5.0630","-141.3131","-12.7670","-0.8348","32.9902","-5.7012","3.3710","1.5350","null","null","null","97.4850","2654","6.5540",563346,547973,596142,435522,650402,588751,544369,458731,543305,592450,"53.9439","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",7,2,2,7,2,7,2,7,"Infield shift","Standard"
"SL","2018-10-03","87.2","-1.5860","6.4045","Jeurys Familia",588751,544727,"null","ball",,,,,"12","null","F","R","R","NYY","OAK","B","null","null",1,0,2018,"-0.0189","0.1945","1.1862","2.9944","null","null","null",2,8,"Bot","null","null",,,518960,,"181004_032014","6.5683","-126.7190","-2.3907","-1.4874","24.9004","-29.9365","3.3710","1.5350","null","null","null","85.6850","2404","5.3010",563346,544727,518960,621566,476704,656305,543760,605361,657656,572039,"55.1976","null","null","null","null","null","null","null",68,"2","Slider",7,2,7,2,2,7,7,2,"Standard","Standard"
