"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-05-15","89.4","-2.6273","6.1700","Hunter Strickland",458015,519326,"null","called_strike",,,,,"4","null","R","L","R","SF","CIN","S","null","null",1,1,2018,"-1.5823","0.7271","-0.6022","2.2086","null","null","null",2,9,"Top","null","null",,,457763,,"180516_050646","8.1636","-129.7975","-5.1772","-19.2598","26.9805","-23.2674","3.1269","1.5836","null","null","null","88.4660","1872","5.8150",530026,519326,457763,474832,605509,446334,543063,453923,457706,457705,"54.6828","null","null","null","null","null","null","null",72,"3","2-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-05-15","96.2","-2.7537","6.0370","Hunter Strickland",458015,519326,"null","ball",,,,,"14","null","R","L","R","SF","CIN","B","null","null",0,0,2018,"-0.4285","1.6875","1.0891","0.6955","null","null","null",2,9,"Top","null","null",,,457763,,"180516_050539","11.0101","-139.1457","-12.1258","-7.9892","31.6701","-8.0563","2.9718","1.5511","null","null","null","94.9960","2431","5.9550",530026,519326,457763,474832,605509,446334,543063,453923,457706,457705,"54.5424","null","null","null","null","null","null","null",72,"1","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2018-05-15","95.7","-3.0517","5.7357","Hunter Strickland",594988,519326,"null","called_strike",,,,,"13","null","R","L","R","SF","CIN","S","null","null",0,0,2018,"-0.5944","1.4206","-0.8640","2.4033","null","null","null",0,9,"Top","null","null",,,457763,,"180516_050309","7.0548","-139.0296","-6.2884","-9.2188","31.3702","-12.7585","3.3216","1.6658","null","null","null","95.1300","2467","6.0620",530026,519326,457763,474832,605509,446334,543063,453923,457706,457705,"54.4353","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"CH","2018-05-15","85.5","2.2053","5.8753","Wandy Peralta",622497,593974,"null","ball",,,,,"12","null","R","R","L","SF","CIN","B","null","null",1,0,2018,"1.2476","0.5118","1.1496","2.8253","null","605509.00","null",2,8,"Bot","null","null",,,488810,,"180516_045940","-4.8195","-124.3042","-1.8814","13.4666","24.1995","-26.9262","2.9123","1.5202","null","null","null","84.1230","2024","5.3680",530026,593974,488810,594807,571697,553993,606299,608385,571740,594988,"55.1291","null","null","null","null","null","null","null",69,"2","Changeup",5,3,5,3,3,5,5,3,"Standard","Standard"
"FF","2018-05-15","93.7","1.8478","6.1497","Wandy Peralta",622497,593974,"null","ball",,,,,"3","null","R","R","L","SF","CIN","B","null","null",0,0,2018,"0.9009","1.2654","0.8228","2.7186","null","605509.00","null",2,8,"Bot","null","null",,,488810,,"180516_045923","-4.4268","-136.0272","-5.6296","11.6687","29.9154","-16.1966","3.1598","1.5396","null","null","null","91.4290","1920","5.0540",530026,593974,488810,594807,571697,553993,606299,608385,571740,594988,"55.4437","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",5,3,5,3,3,5,5,3,"Standard","Standard"
"FT","2018-05-15","91.7","-1.8020","6.0665","David Hernandez",457706,456696,"strikeout","called_strike",,,,,"14","Austin Jackson called out on strikes.  ","R","R","R","SF","CIN","S",2,"null",3,2,2018,"-0.9716","1.2049","0.8734","1.7754","null","543063.00","null",1,8,"Bot","null","null",,,488810,,"180516_045430","8.8440","-133.1871","-7.5783","-13.3971","27.2917","-16.4614","3.2769","1.5182","null","null","null","91.7380","2217","6.3110",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.1866","null","null","0.00",1,0,0,"null",67,"8","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"CU","2018-05-15","80.8","-2.1834","6.0451","David Hernandez",457706,456696,"null","ball",,,,,"1","null","R","R","R","SF","CIN","B","null","null",2,2,2018,"1.0500","-0.0156","-0.2843","3.2906","null","543063.00","null",1,8,"Bot","null","null",,,488810,,"180516_045308","2.2606","-117.5943","0.4944","9.0973","21.2774","-32.6485","3.4110","1.5650","null","null","null","79.8930","2393","5.5490",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.9486","null","null","null","null","null","null","null",67,"5","Curveball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FT","2018-05-15","92.4","-1.9369","6.0407","David Hernandez",457706,456696,"null","called_strike",,,,,"2","null","R","R","R","SF","CIN","S","null","null",2,0,2018,"-1.0715","1.3264","0.2522","2.9301","null","null","543063.00",1,8,"Bot","null","null",,,488810,,"180516_045406","7.8265","-134.1678","-4.9087","-14.4890","28.8823","-15.4959","3.2769","1.4507","null","null","null","91.8070","2153","6.0390",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.4587","null","null","null","null","null","null","null",67,"3","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FT","2018-05-15","91.0","-2.0321","6.0872","David Hernandez",457706,456696,"null","ball",,,,,"13","null","R","R","R","SF","CIN","B","null","null",1,0,2018,"-1.3890","1.0132","-1.3166","1.7610","null","null","543063.00",1,8,"Bot","null","null",,,488810,,"180516_045406","4.6382","-132.1310","-6.9556","-16.8944","28.1593","-19.3376","3.2094","1.4957","null","null","null","89.8450","2053","5.6990",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.7980","null","null","null","null","null","null","null",67,"2","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"CU","2018-05-15","80.3","-2.1030","6.0598","David Hernandez",457706,456696,"null","ball",,,,,"14","null","R","R","R","SF","CIN","B","null","null",0,0,2018,"0.9550","0.0570","0.9722","1.6241","null","null","543063.00",1,8,"Bot","null","null",,,488810,,"180516_045406","4.9841","-116.7610","-3.1863","7.5861","22.1974","-31.3097","3.1868","1.4732","null","null","null","79.3630","2370","5.6990",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.7986","null","null","null","null","null","null","null",67,"1","Curveball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FT","2018-05-15","92.3","-1.7163","6.2561","David Hernandez",446334,456696,"null","ball",,,,,"11","null","R","R","R","SF","CIN","B","null","null",0,2,2018,"-1.1052","1.0912","-1.3861","3.1323","null","null","null",0,8,"Bot","null","null",,,488810,,"180516_044746","3.1928","-134.3807","-4.4854","-13.9321","27.4100","-18.3662","3.5781","1.6789","null","null","null","92.0780","2033","5.9940",530026,456696,488810,594807,571697,553993,606299,608385,571740,594988,"54.5037","null","null","null","null","null","null","null",65,"3","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
