"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-21","97.2","-2.7547","6.1070","Keynan Middleton",605412,641871,"null","ball",,,,,"11","null","R","L","R","LAA","SF","B","null","null",0,2,2018,"-0.5343","1.4334","-1.1147","3.8236","null","null","607776.00",2,9,"Top","null","null",,,425784,,"180422_040401","5.5806","-141.4070","-3.8240","-8.3682","32.1468","-12.4844","3.1441","1.3969","null","null","null","96.8160","2401","6.0750",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.4228","null","null","null","null","null","null","null",68,"3","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","96.9","-2.7827","6.0442","Keynan Middleton",460026,641871,"null","ball",,,,,"12","null","R","R","R","LAA","SF","B","null","null",1,2,2018,"-0.8145","1.4477","1.2047","3.0447","null","null","607776.00",1,9,"Top","null","null",,,425784,,"180422_040118","12.4607","-140.3764","-5.6490","-13.7672","34.8322","-12.0332","3.3157","1.6072","null","null","null","96.1390","2300","6.3170",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.1806","null","null","null","null","null","null","null",67,"5","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","96.1","-2.8005","6.1601","Keynan Middleton",460026,641871,"null","ball",,,,,"12","null","R","R","R","LAA","SF","B","null","null",0,2,2018,"-0.9167","1.3369","0.1445","4.3293","null","null","607776.00",1,9,"Top","null","null",,,425784,,"180422_040051","9.7836","-139.4366","-2.1589","-14.1563","34.2951","-14.7599","3.3157","1.6072","null","null","null","95.0470","2316","6.0510",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.4475","null","null","null","null","null","null","null",67,"4","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","95.5","-2.8182","6.1211","Keynan Middleton",543063,641871,"null","ball",,,,,"11","null","R","L","R","LAA","SF","B","null","null",0,0,2018,"-0.8341","1.3391","-0.6158","4.0672","null","null","607776.00",0,9,"Top","null","null",,,425784,,"180422_035649","7.5997","-138.7923","-2.7021","-12.3919","32.5032","-14.7469","3.1549","1.5871","null","null","null","94.7090","2434","6.0020",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.4965","null","null","null","null","null","null","null",66,"1","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"SL","2018-04-21","84.8","-3.5495","5.9719","Keynan Middleton",607776,641871,"null","called_strike",,,,,"9","null","R","R","R","LAA","SF","S","null","null",2,1,2018,"0.1853","0.2699","0.4220","1.3784","null","null","null",0,9,"Top","null","null",,,425784,,"180422_035525","8.8233","-123.0963","-4.8523","0.0992","24.4390","-28.7555","3.5449","1.4580","null","null","null","83.9150","2311","5.8420",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.6561","null","null","null","null","null","null","null",65,"4","Slider",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","97.1","-2.7969","6.0838","Keynan Middleton",607776,641871,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",1,1,2018,"-0.8272","1.4072","1.3851","1.4781","null","null","null",0,9,"Top","null","null",,,425784,,"180422_035502","12.9751","-140.5226","-9.8429","-13.8977","32.8206","-11.6194","3.6646","1.5975","null","null","null","96.2570","2443","6.1780",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.3198","null","null","null","null","null","null","null",65,"3","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","97.6","-2.5748","6.0805","Keynan Middleton",607776,641871,"null","ball",,,,,"14","null","R","R","R","LAA","SF","B","null","null",0,1,2018,"-0.9596","1.3401","1.9875","1.9065","null","null","null",0,9,"Top","null","null",,,425784,,"180422_035441","14.3315","-141.1440","-8.6207","-16.0565","33.0484","-12.6513","3.6451","1.5783","null","null","null","96.6130","2441","6.1340",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.3641","null","null","null","null","null","null","null",65,"2","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FF","2018-04-21","95.9","-3.1043","6.0267","Keynan Middleton",607776,641871,"null","called_strike",,,,,"14","null","R","R","R","LAA","SF","S","null","null",0,0,2018,"-0.7161","1.5308","1.2304","2.0744","null","null","null",0,9,"Top","null","null",,,425784,,"180422_035424","13.0470","-138.8157","-8.1857","-12.4008","33.8922","-10.7048","3.5752","1.6330","null","null","null","95.2730","2397","6.4230",529717,641871,425784,472528,435079,446359,592743,457708,545361,455759,"54.0752","null","null","null","null","null","null","null",65,"1","4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard"
"FT","2018-04-21","93.9","-1.6725","5.4628","Sam Dyson",457708,473879,"walk","ball",,,,,"12","Justin Upton walks.  ","R","R","R","LAA","SF","B","null","null",3,2,2018,"-1.5685","0.3270","1.3611","2.9210","545361.00","null","null",1,8,"Bot","null","null",,,460026,,"180422_035030","10.9903","-136.1029","-1.4912","-21.3171","29.9361","-28.1672","3.5356","1.6076","null","null","null","92.1450","2256","5.4610",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"55.0370","null","null","0.70",1,0,0,"null",63,"6","2-Seam Fastball",4,3,4,3,3,4,4,3,"Strategic","Standard"
"FF","2018-04-21","93.5","-1.6111","5.4985","Sam Dyson",457708,473879,"null","ball",,,,,"11","null","R","R","R","LAA","SF","B","null","null",2,2,2018,"-0.8727","1.0230","-0.8088","4.4881","545361.00","null","null",1,8,"Bot","null","null",,,460026,,"180422_034959","3.8905","-136.0924","0.8904","-11.4296","27.7709","-20.1216","3.6851","1.7073","null","null","null","92.7080","2234","5.6450",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"54.8533","null","null","null","null","null","null","null",63,"5","4-Seam Fastball",4,3,4,3,3,4,4,3,"Strategic","Standard"
"FF","2018-04-21","93.1","-1.7125","5.4648","Sam Dyson",457708,473879,"null","ball",,,,,"11","null","R","R","R","LAA","SF","B","null","null",1,2,2018,"-0.7294","1.0977","-0.2504","4.6312","545361.00","null","null",1,8,"Bot","null","null",,,460026,,"180422_034932","5.2295","-135.4338","1.2611","-9.8642","28.9655","-19.5323","3.5855","1.6076","null","null","null","91.9310","2294","5.5560",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"54.9423","null","null","null","null","null","null","null",63,"4","4-Seam Fastball",4,3,4,3,3,4,4,3,"Strategic","Standard"
"FT","2018-04-21","93.9","-1.8191","5.4414","Sam Dyson",457708,473879,"null","called_strike",,,,,"5","null","R","R","R","LAA","SF","S","null","null",1,1,2018,"-1.5016","0.2290","0.1165","2.3178","null","545361.00","null",1,8,"Bot","null","null",,,460026,,"180422_034727","8.0622","-136.3216","-2.7654","-19.9067","30.9338","-29.0612","3.5955","1.7073","null","null","null","92.0880","2255","5.4040",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"55.0937","null","null","null","null","null","null","null",63,"3","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FT","2018-04-21","93.9","-1.6278","5.4872","Sam Dyson",457708,473879,"null","ball",,,,,"11","null","R","R","R","LAA","SF","B","null","null",0,0,2018,"-1.6614","0.5436","-1.0675","2.7078","null","545361.00","null",1,8,"Bot","null","null",,,460026,,"180422_034622","4.8668","-136.4683","-2.5602","-21.0298","30.4725","-25.3536","3.6353","1.7073","null","null","null","91.9450","2201","5.2160",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"55.2816","null","null","null","null","null","null","null",63,"1","2-Seam Fastball",4,3,4,3,3,4,4,3,"Standard","Standard"
"FT","2018-04-21","94.2","-1.5819","5.4978","Sam Dyson",545361,473879,"null","ball",,,,,"13","null","R","R","R","LAA","SF","B","null","null",1,1,2018,"-1.7741","0.3727","-1.7325","1.8413","null","null","null",1,8,"Bot","null","null",,,460026,,"180422_034433","3.4163","-136.8239","-4.4585","-22.4410","33.9465","-26.8093","3.4657","1.6977","null","null","null","92.5840","2274","5.7100",529717,473879,460026,474832,605412,446334,543063,607776,457706,457705,"54.7877","null","null","null","null","null","null","null",62,"3","2-Seam Fastball",4,3,4,3,3,4,4,3,"Infield shift","Standard"
