"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2018-08-26","88.5","-1.9764","6.1618","Mark Melancon",592685,453343,"null","called_strike",,,,,"1","null","R","L","R","SF","TEX","S","null","null",0,1,2018,"0.2053","0.3617","-0.5734","3.0817","null","null","425783.00",2,9,"Top","null","null",,,460026,,"180826_224034","2.9875","-128.9922","-2.3017","1.7823","21.9280","-27.9408","3.5288","1.8170","null","null","null","88.7440","2048","5.9440",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.5535","null","null","null","null","null","null","null",66,"2","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"KC","2018-08-26","81.8","-1.5675","6.2287","Mark Melancon",592685,453343,"null","called_strike",,,,,"4","null","R","L","R","SF","TEX","S","null","null",0,0,2018,"0.4013","-1.0260","-0.5492","3.0739","null","null","425783.00",2,9,"Top","null","null",,,460026,,"180826_224000","1.5265","-119.0948","1.2708","3.4815","20.4895","-42.1942","3.6840","1.8170","null","null","null","81.1220","2583","5.5640",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.9333","null","null","null","null","null","null","null",66,"1","Knuckle Curve",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-08-26","89.6","-1.7047","6.2295","Mark Melancon",608597,453343,"null","ball",,,,,"14","null","R","L","R","SF","TEX","B","null","null",0,1,2018,"0.0247","0.6778","1.0195","2.4547","null","null","425783.00",1,9,"Top","null","null",,,460026,,"180826_223815","6.6478","-130.3820","-4.7699","-1.0025","25.1553","-23.7654","3.6149","1.8016","null","null","null","89.5300","2482","6.0600",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.4374","null","null","null","null","null","null","null",65,"2","Cutter",3,1,1,3,1,3,1,3,"Standard","Standard"
"FC","2018-08-26","90.4","-1.9437","6.2587","Mark Melancon",425783,453343,"null","ball",,,,,"11","null","R","L","R","SF","TEX","B","null","null",1,1,2018,"0.0936","0.6870","-0.1885","3.5627","null","null","null",1,9,"Top","null","null",,,460026,,"180826_223615","4.1747","-131.7331","-2.2844","0.2622","26.1195","-23.9315","3.3852","1.6865","null","null","null","90.6390","2527","6.2050",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.2921","null","null","null","null","null","null","null",64,"3","Cutter",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FC","2018-08-26","90.8","-1.8531","6.2861","Mark Melancon",425783,453343,"null","ball",,,,,"12","null","R","L","R","SF","TEX","B","null","null",0,1,2018,"0.0484","0.6161","0.9068","3.3618","null","null","null",1,9,"Top","null","null",,,460026,,"180826_223557","6.7507","-132.2835","-2.8149","-0.5372","21.6280","-24.6872","3.3593","1.6340","null","null","null","90.9360","2436","5.7900",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.7070","null","null","null","null","null","null","null",64,"2","Cutter",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"KC","2018-08-26","81.9","-1.6354","6.4207","Mark Melancon",425783,453343,"null","called_strike",,,,,"7","null","R","L","R","SF","TEX","S","null","null",0,0,2018,"-0.0743","-1.1979","-0.5954","2.0111","null","null","null",1,9,"Top","null","null",,,460026,,"180826_223539","2.4547","-119.0681","-1.0746","-1.1937","24.6381","-43.2738","3.3333","1.5290","null","null","null","80.6120","2684","5.6320",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.8652","null","null","null","null","null","null","null",64,"1","Knuckle Curve",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FC","2018-08-26","90.2","-1.7763","6.3592","Mark Melancon",608336,453343,"null","ball",,,,,"14","null","R","L","R","SF","TEX","B","null","null",1,0,2018,"0.3285","0.6301","1.9296","1.7585","null","null","null",0,9,"Top","null","null",,,460026,,"180826_223342","8.4418","-130.9097","-6.6927","1.8927","28.2056","-23.8552","3.6666","1.8278","null","null","null","89.2510","2526","5.8930",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.6041","null","null","null","null","null","null","null",63,"2","Cutter",3,1,1,3,1,3,1,3,"Infield shift","Strategic"
"FC","2018-08-26","91.4","-1.7631","6.3343","Mark Melancon",608336,453343,"null","ball",,,,,"12","null","R","L","R","SF","TEX","B","null","null",0,0,2018,"0.2320","0.8344","1.0489","3.0430","null","null","null",0,9,"Top","null","null",,,460026,,"180826_223324","6.5554","-132.8833","-4.1864","1.3924","27.1072","-21.7229","3.5632","1.7230","null","null","null","91.1070","2610","6.0510",531370,453343,460026,474832,605412,446334,543063,452254,621453,457705,"54.4463","null","null","null","null","null","null","null",63,"1","Cutter",3,1,1,3,1,3,1,3,"Infield shift","Strategic"
"SL","2018-08-26","83.5","-2.7837","4.7070","Cory Gearrin",446334,518715,"null","ball",,,,,"11","null","R","R","R","SF","TEX","B","null","null",1,2,2018,"0.7252","0.6364","-1.3742","3.3063","null","null","null",2,8,"Bot","null","null",,,643396,,"180826_222958","1.8431","-121.4839","1.8954","6.6261","21.2887","-26.6533","3.7099","1.6859","null","null","null","82.1920","null","5.1830",531370,518715,643396,595777,596059,134181,462101,608336,624636,608577,"55.3144","null","null","null","null","null","null","null",62,"5","Slider",3,1,3,1,1,3,3,1,"Standard","Standard"
"SL","2018-08-26","86.0","-2.3956","4.6831","Cory Gearrin",446334,518715,"null","ball",,,,,"14","null","R","R","R","SF","TEX","B","null","null",0,2,2018,"0.5762","0.2923","1.3440","1.7051","null","null","null",2,8,"Bot","null","null",,,643396,,"180826_222851","7.6031","-124.9741","-1.4209","4.5346","22.3091","-29.1647","3.6065","1.6334","null","null","null","84.9210","null","5.4070",531370,518715,643396,595777,596059,134181,462101,608336,624636,608577,"55.0907","null","null","null","null","null","null","null",62,"3","Slider",3,1,3,1,1,3,3,1,"Standard","Standard"
