"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2018-06-26","93.7","-1.4517","5.4450","Sam Dyson",518934,473879,"null","called_strike",,,,,"7","null","R","R","R","SF","COL","S","null","null",1,0,2018,"-1.3595","0.5242","-0.4058","1.9580","null","571595.00","547172.00",1,9,"Top","null","null",,,457763,,"180627_050958","5.4449","-136.1935","-4.3571","-17.4419","25.8375","-25.2573","3.2315","1.6374","null","null","null","92.2560","2172","5.1830",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.3140","null","null","null","null","null","null","null",75,"2","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","93.9","-1.3561","5.4340","Sam Dyson",518934,473879,"null","ball",,,,,"13","null","R","R","R","SF","COL","B","null","null",0,0,2018,"-1.1890","0.5899","-0.9043","2.2798","null","571595.00","547172.00",1,9,"Top","null","null",,,457763,,"180627_050932","3.6925","-136.7378","-3.7615","-15.4304","26.1955","-24.3638","3.2691","1.5985","null","null","null","93.4770","2143","5.7050",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"54.7923","null","null","null","null","null","null","null",75,"1","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","94.3","-1.4229","5.5171","Sam Dyson",455104,473879,"walk","ball",,,,,"14","Chris Iannetta walks.  ","R","R","R","SF","COL","B","null","null",3,2,2018,"-1.5198","0.5591","0.7395","0.8478","null","571595.00","null",1,9,"Top","null","null",,,457763,,"180627_050839","8.7740","-136.8585","-7.5973","-20.4940","25.5714","-24.0299","3.1629","1.5756","null","null","null","93.5670","2200","5.6610",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"54.8365","null","null","0.70",1,0,0,"null",74,"6","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"SL","2018-06-26","89.9","-1.4758","5.4462","Sam Dyson",455104,473879,"null","called_strike",,,,,"3","null","R","R","R","SF","COL","S","null","null",2,0,2018,"-0.1083","0.7893","0.6570","2.9628","null","571595.00","null",1,9,"Top","null","null",,,457763,,"180627_050702","5.3963","-130.8737","-1.8620","-2.1399","22.4959","-23.2405","3.1629","1.5272","null","null","null","88.8700","2543","5.2130",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.2846","null","null","null","null","null","null","null",74,"3","Slider",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","93.7","-1.4492","5.5116","Sam Dyson",455104,473879,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",1,0,2018,"-1.3799","0.5275","0.6005","1.3921","null","571595.00","null",1,9,"Top","null","null",,,457763,,"180627_050616","8.0764","-136.1172","-5.9628","-18.3124","26.9163","-24.8427","3.1437","1.5181","null","null","null","92.4220","2217","5.3970",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.1003","null","null","null","null","null","null","null",74,"2","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","93.9","-1.7380","5.4443","Sam Dyson",455104,473879,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,0,2018,"-1.7099","0.5040","0.2183","0.7361","null","571595.00","null",1,9,"Top","null","null",,,457763,,"180627_050547","8.4664","-136.1613","-7.3447","-22.2602","28.6478","-24.8564","3.2011","1.5181","null","null","null","91.8620","2298","5.1650",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.3324","null","null","null","null","null","null","null",74,"1","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","91.8","-1.5215","5.4465","Sam Dyson",608596,473879,"null","ball",,,,,"13","null","R","R","R","SF","COL","B","null","null",1,1,2018,"-1.5163","0.4024","-1.6072","1.5202","null","null","null",0,9,"Top","null","null",,,457763,,"180627_045907","2.8414","-133.4545","-4.8128","-17.9737","28.2053","-26.8204","3.1681","1.4770","null","null","null","89.8340","2038","5.0920",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.4056","null","null","null","null","null","null","null",72,"3","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FT","2018-06-26","92.8","-1.5573","5.4544","Sam Dyson",608596,473879,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,1,2018,"-1.6830","0.1678","0.7784","0.7292","null","null","null",0,9,"Top","null","null",,,457763,,"180627_045840","9.2580","-134.5571","-6.4784","-21.6125","28.2114","-29.1207","3.2829","1.6110","null","null","null","90.7440","2071","5.1610",530588,473879,457763,474832,605412,467055,543063,596103,491676,457705,"55.3365","null","null","null","null","null","null","null",72,"2","2-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard"
"FC","2018-06-26","87.8","-2.5426","5.3191","Adam Ottavino",457763,493603,"null","ball",,,,,"14","null","R","R","R","SF","COL","B","null","null",0,1,2018,"0.5447","1.0543","1.7711","1.7402","605412.00","593700.00","491676.00",2,8,"Bot","null","null",,,608596,,"180627_045450","9.3360","-127.6228","-4.7739","4.2242","24.4707","-19.8093","3.3227","1.5684","null","null","null","88.3010","null","6.5080",530588,493603,608596,435622,518934,571448,596115,467827,453568,471865,"53.9897","null","null","null","null","null","null","null",71,"2","Cutter",3,2,3,2,2,3,3,2,"Standard","Standard"
"FT","2018-06-26","92.6","-2.5235","5.2388","Adam Ottavino",457763,493603,"null","called_strike",,,,,"2","null","R","R","R","SF","COL","S","null","null",0,0,2018,"-0.9807","0.8204","0.2599","3.0088","605412.00","593700.00","491676.00",2,8,"Bot","null","null",,,608596,,"180627_045424","9.4179","-134.7535","-1.7855","-14.1672","26.8753","-21.7046","3.2752","1.6156","null","null","null","94.1040","2213","6.9830",530588,493603,608596,435622,518934,571448,596115,467827,453568,471865,"53.5146","null","null","null","null","null","null","null",71,"1","2-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
