"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-02","93.4","-0.7975","6.3305","Noah Syndergaard",446334,592789,"null","ball",,,,,"14","null","R","R","R","SF","NYM","B","null","null",0,1,2018,"0.1286","0.5658","1.0028","0.6424","null","null","null",2,9,"Bot","null","null",,,621512,,"180902_222746","4.3467","-135.8331","-10.2022","0.8224","24.5030","-23.4490","3.5818","1.6052","null","null","null","93.9210","2050","6.2340",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"54.2635","null","null","null","null","null","null","null",65,"2","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"SI","2018-09-02","98.7","-0.4139","6.4635","Noah Syndergaard",446334,592789,"null","called_strike",,,,,"3","null","R","R","R","SF","NYM","S","null","null",0,0,2018,"-0.9820","1.0275","0.3056","3.4628","null","null","null",2,9,"Bot","null","null",,,621512,,"180902_222728","4.2493","-143.8021","-5.1933","-14.6159","29.5028","-16.9163","3.6330","1.6052","null","null","null","99.4200","2121","6.3620",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"54.1357","null","null","null","null","null","null","null",65,"1","Sinker",1,4,1,4,4,1,1,4,"Standard","Standard"
"CH","2018-09-02","90.6","-0.7211","6.2827","Noah Syndergaard",605412,592789,"null","ball",,,,,"13","null","R","L","R","SF","NYM","B","null","null",0,1,2018,"-1.1538","0.8390","-1.0206","1.5295","null","null","null",1,9,"Bot","null","null",,,621512,,"180902_222611","1.7461","-131.8630","-7.8044","-13.9525","27.4207","-20.8666","3.2736","1.5790","null","null","null","91.1900","1556","6.5840",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"53.9135","null","null","null","null","null","null","null",64,"2","Changeup",1,4,1,4,4,1,1,4,"Strategic","Standard"
"CU","2018-09-02","83.9","-0.6642","6.3176","Noah Syndergaard",605412,592789,"null","called_strike",,,,,"4","null","R","L","R","SF","NYM","S","null","null",0,0,2018,"0.5207","-0.1125","-0.3163","1.9705","null","null","null",1,9,"Bot","null","null",,,621512,,"180902_222551","-0.2135","-122.1692","-3.4762","5.2361","22.3135","-32.8723","3.0159","1.4221","null","null","null","83.9320","2265","6.1080",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"54.3894","null","null","null","null","null","null","null",64,"1","Curveball",1,4,1,4,4,1,1,4,"Strategic","Standard"
"SI","2018-09-02","98.6","-0.5676","6.3807","Noah Syndergaard",453923,592789,"strikeout","called_strike",,,,,"14","Gregor Blanco called out on strikes.  ","R","L","R","SF","NYM","S",2,"null",1,2,2018,"-1.0529","0.6996","0.9405","2.0986","null","null","null",0,9,"Bot","null","null",,,621512,,"180902_222515","6.5356","-143.3725","-7.8569","-15.9625","29.4780","-21.0377","3.1635","1.7280","null","null","null","99.0180","2221","6.3140",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"54.1838","null","null","0.00",1,0,0,"null",63,"6","Sinker",1,4,1,4,4,1,1,4,"Standard","Standard"
"CU","2018-09-02","83.6","-0.7789","6.3065","Noah Syndergaard",453923,592789,"null","ball",,,,,"14","null","R","L","R","SF","NYM","B","null","null",0,0,2018,"0.7115","0.0549","0.0208","1.1923","null","null","null",0,9,"Bot","null","null",,,621512,,"180902_222325","0.4590","-121.8163","-5.5405","6.9882","21.0453","-30.8748","3.3179","1.5191","null","null","null","83.7340","2193","6.0320",531457,592789,621512,457803,643446,453943,642708,624424,457706,607043,"54.4651","null","null","null","null","null","null","null",63,"1","Curveball",1,4,1,4,4,1,1,4,"Standard","Standard"
"SI","2018-09-02","89.8","2.7535","6.3928","Ty Blach",607043,621389,"walk","ball",,,,,"11","Brandon Nimmo walks.  ","R","L","L","SF","NYM","B","null","null",3,1,2018,"1.0501","1.1342","-0.1811","3.6415","null","null","null",1,9,"Top","null","null",,,460026,,"180902_221825","-9.0669","-130.2764","-3.0408","13.1097","24.1787","-19.5289","3.2508","1.6451","null","null","null","87.5640","2145","4.7890",531457,621389,460026,474832,605412,446334,593700,622046,453923,596103,"55.7084","null","null","0.70",1,0,0,"null",60,"5","Sinker",1,4,4,1,4,1,4,1,"Standard","Standard"
"CH","2018-09-02","80.3","2.7976","6.3951","Ty Blach",607043,621389,"null","ball",,,,,"13","null","R","L","L","SF","NYM","B","null","null",2,1,2018,"1.2732","0.4984","-1.1415","-0.0049","null","null","null",1,9,"Top","null","null",,,460026,,"180902_221807","-10.6283","-116.0577","-8.0620","12.8426","20.3547","-26.7358","3.2250","1.6190","null","null","null","77.9320","1968","4.8530",531457,621389,460026,474832,605412,446334,593700,622046,453923,596103,"55.6442","null","null","null","null","null","null","null",60,"4","Changeup",1,4,4,1,4,1,4,1,"Standard","Standard"
"SI","2018-09-02","90.2","2.8201","6.4317","Ty Blach",607043,621389,"null","called_strike",,,,,"7","null","R","L","L","SF","NYM","S","null","null",2,0,2018,"1.1220","1.0520","-0.3709","2.1365","null","null","null",1,9,"Top","null","null",,,460026,,"180902_221752","-9.9128","-130.6029","-6.6431","14.2960","26.0869","-19.5668","3.4051","1.5929","null","null","null","87.9390","2240","5.0320",531457,621389,460026,474832,605412,446334,593700,622046,453923,596103,"55.4650","null","null","null","null","null","null","null",60,"3","Sinker",1,4,4,1,4,1,4,1,"Standard","Standard"
"SI","2018-09-02","90.8","2.8142","6.3523","Ty Blach",607043,621389,"null","ball",,,,,"8","null","R","L","L","SF","NYM","B","null","null",1,0,2018,"1.1064","1.0349","-0.1358","1.7292","null","null","null",1,9,"Top","null","null",,,460026,,"180902_221735","-9.3262","-131.5744","-7.5369","14.0804","25.0794","-19.4915","3.3792","1.6190","null","null","null","88.5160","2318","4.8720",531457,621389,460026,474832,605412,446334,593700,622046,453923,596103,"55.6250","null","null","null","null","null","null","null",60,"2","Sinker",1,4,4,1,4,1,4,1,"Standard","Standard"
