"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-04","96.1","-2.7766","5.6178","Hunter Strickland",628338,519326,"null","ball",,,,,"12","null","R","R","R","SF","SEA","B","null","null",0,2,2018,"-0.2811","1.1009","1.1681","3.0843","null","571679.00","600301.00",0,9,"Top","null","null",,,460026,,"180405_020759","10.9991","-139.5789","-3.5635","-5.9959","29.8316","-17.3594","3.1581","1.5495","null","null","null","95.6410","2432","6.0130",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.4843","null","null","null","null","null","null","null",81,"3","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FT","2018-04-04","94.4","-2.6701","5.9716","Hunter Strickland",628338,519326,"null","called_strike",,,,,"4","null","R","R","R","SF","SEA","S","null","null",0,0,2018,"-1.1345","1.0431","-0.6394","2.2176","null","571679.00","600301.00",0,9,"Top","null","null",,,460026,,"180405_020716","7.7356","-137.1194","-6.3273","-15.8732","29.8080","-17.9741","3.1682","1.5394","null","null","null","93.9390","2234","6.0780",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.4195","null","null","null","null","null","null","null",81,"1","2-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","95.3","-2.7377","5.8978","Hunter Strickland",600301,519326,"null","ball",,,,,"14","null","R","R","R","SF","SEA","B","null","null",1,2,2018,"-0.3053","1.2226","1.0010","1.6864","null","null","571679.00",0,9,"Top","null","null",,,460026,,"180405_020559","10.3994","-138.2093","-8.0339","-6.1322","30.0875","-15.1634","3.2506","1.5339","null","null","null","94.5340","2288","5.9750",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.5223","null","null","null","null","null","null","null",80,"5","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","95.2","-2.8654","5.6047","Hunter Strickland",600301,519326,"null","ball",,,,,"2","null","R","R","R","SF","SEA","B","null","null",0,2,2018,"-0.2415","1.0253","-0.0566","3.3917","null","null","571679.00",0,9,"Top","null","null",,,460026,,"180405_020537","7.8545","-138.4447","-2.4159","-4.8112","30.7394","-18.8472","3.2731","1.5339","null","null","null","94.6460","2350","5.9860",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.5115","null","null","null","null","null","null","null",80,"4","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","94.9","-2.8352","5.6444","Hunter Strickland",571679,519326,"walk","ball",,,,,"14","David Freitas walks.  ","R","R","R","SF","SEA","B","null","null",3,1,2018,"-0.2182","1.2726","1.0321","1.8279","null","null","null",0,9,"Top","null","null",,,460026,,"180405_020341","10.5468","-137.5873","-7.0262","-5.2985","33.4079","-14.7452","3.5955","1.6606","null","null","null","94.0480","2349","6.2060",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.2914","null","null","0.70",1,0,0,"null",79,"5","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","95.2","-2.8851","5.6257","Hunter Strickland",571679,519326,"null","called_strike",,,,,"7","null","R","R","R","SF","SEA","S","null","null",3,0,2018,"-0.4346","1.2418","-0.3193","1.6241","null","null","null",0,9,"Top","null","null",,,460026,,"180405_020321","7.6621","-138.2063","-7.5118","-7.3529","33.5748","-14.9035","3.5505","1.6156","null","null","null","94.3810","2303","6.1430",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.3542","null","null","null","null","null","null","null",79,"4","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","95.0","-2.7741","5.5614","Hunter Strickland",571679,519326,"null","ball",,,,,"14","null","R","R","R","SF","SEA","B","null","null",2,0,2018,"-0.2852","1.2655","1.8884","2.1906","null","null","null",0,9,"Top","null","null",,,460026,,"180405_020301","12.7479","-137.6370","-5.8607","-6.5690","32.2554","-15.1473","3.5505","1.6381","null","null","null","94.1000","2355","6.1290",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.3688","null","null","null","null","null","null","null",79,"3","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FT","2018-04-04","94.6","-2.6097","5.9712","Hunter Strickland",571679,519326,"null","ball",,,,,"14","null","R","R","R","SF","SEA","B","null","null",1,0,2018,"-1.1258","0.8279","0.3675","1.3919","null","null","null",0,9,"Top","null","null",,,460026,,"180405_020243","10.2144","-137.1451","-7.9790","-16.4939","32.6058","-20.1698","3.5730","1.7057","null","null","null","93.8630","2228","6.2310",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.2665","null","null","null","null","null","null","null",79,"2","2-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"FF","2018-04-04","95.8","-2.8583","5.5042","Hunter Strickland",571679,519326,"null","ball",,,,,"14","null","R","R","R","SF","SEA","B","null","null",0,0,2018,"-0.2943","1.1069","1.4131","1.5952","null","null","null",0,9,"Top","null","null",,,460026,,"180405_020225","11.8780","-138.8484","-7.1020","-6.5295","32.1478","-16.5435","3.5955","1.6606","null","null","null","95.1730","2274","6.2220",529492,519326,460026,474832,605509,467055,543063,453923,491676,457705,"54.2755","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Standard"
"CU","2018-04-04","70.9","2.8510","5.8807","Wade LeBlanc",453923,453281,"null","ball",,,,,"14","null","R","L","L","SF","SEA","B","null","null",0,0,2018,"-0.7209","-0.4384","0.6024","1.1419","null","null","543063.00",2,8,"Bot","null","null",,,605357,,"180405_015936","-3.1851","-103.2018","-0.9644","-4.5030","17.3381","-35.3246","2.9499","1.3842","null","null","null","70.1870","2172","5.7300",529492,453281,605357,596129,461865,572122,516416,600301,628338,571745,"54.7671","null","null","null","null","null","null","null",78,"1","Curveball",10,1,10,1,1,10,10,1,"Standard","Standard"
